Date,Time,Day,Is_Holiday,Weather,Station,From_Station,To_Station,Passenger_Entries,Passenger_Exits,Passenger_Count,Occupancy_Percent,Crowd_Level,Train_Speed_kmph,Number_of_Trips,Delay_Minutes,Congestion_Level,Peak_Hour,Train_Frequency_Per_Hour,AI_Recommendation,Recommended_Frequency
2026-01-01,08:15,Thursday,0,Sunny,Airport,University,Rail Hub,656,1092,1748,69.9,Medium,78,5,2,Medium,1,5,Deploy Crowd Control,Every 3 Minutes
2026-01-01,08:30,Thursday,0,Sunny,University,Airport,Market,890,1060,1950,78.0,Medium,26,8,4,Medium,1,3,Deploy Crowd Control,Every 3 Minutes
2026-01-01,08:45,Thursday,0,Cloudy,Tech Park,Stadium,Central,614,750,1364,54.6,Medium,39,7,1,Medium,1,3,Deploy Crowd Control,Every 3 Minutes
2026-01-01,09:00,Thursday,0,Rainy,South Gate,Market,Rail Hub,1012,632,1644,65.8,Medium,69,6,1,Medium,1,4,Deploy Crowd Control,Every 3 Minutes
2026-01-01,09:15,Thursday,0,Sunny,City Center,Market,Central,882,615,1497,59.9,Medium,78,8,1,Medium,1,3,Deploy Crowd Control,Every 3 Minutes
2026-01-01,09:30,Thursday,0,Rainy,Tech Park,Central,North Gate,1000,469,1469,58.8,Medium,42,6,3,Medium,1,4,Deploy Crowd Control,Every 3 Minutes
2026-01-01,09:45,Thursday,0,Rainy,Airport,Market,City Center,587,947,1534,61.4,Medium,75,4,3,Medium,1,6,Deploy Crowd Control,Every 3 Minutes
2026-01-01,10:00,Thursday,0,Sunny,Stadium,Market,North Gate,1062,619,1681,67.2,Medium,42,7,1,Medium,1,3,Deploy Crowd Control,Every 3 Minutes
2026-01-01,10:15,Thursday,0,Rainy,South Gate,Stadium,Airport,908,832,1740,69.6,Medium,57,7,6,Medium,1,3,Deploy Crowd Control,Every 3 Minutes
2026-01-01,10:30,Thursday,0,Sunny,North Gate,Central,Airport,565,796,1361,54.4,Medium,40,8,4,Medium,1,3,Deploy Crowd Control,Every 3 Minutes
2026-01-01,10:45,Thursday,0,Rainy,Central,Airport,Market,734,519,1253,50.1,Medium,49,4,2,Medium,1,6,Deploy Crowd Control,Every 3 Minutes
2026-01-01,11:00,Thursday,0,Sunny,South Gate,Stadium,University,204,114,318,12.7,Low,45,5,0,Low,0,5,Normal Operation,Every 10 Minutes
2026-01-01,11:15,Thursday,0,Sunny,Airport,University,Stadium,104,170,274,11.0,Low,57,4,0,Low,0,6,Normal Operation,Every 10 Minutes
2026-01-01,11:30,Thursday,0,Rainy,Central,North Gate,North Gate,247,85,332,13.3,Low,42,2,3,Low,0,8,Normal Operation,Every 10 Minutes
2026-01-01,11:45,Thursday,0,Rainy,Stadium,Stadium,North Gate,115,168,283,11.3,Low,46,3,1,Low,0,7,Normal Operation,Every 10 Minutes
2026-01-01,12:00,Thursday,0,Sunny,Stadium,North Gate,City Center,220,85,305,12.2,Low,28,2,7,Low,0,8,Normal Operation,Every 10 Minutes
2026-01-01,12:15,Thursday,0,Cloudy,Stadium,City Center,University,203,114,317,12.7,Low,31,5,2,Low,0,5,Normal Operation,Every 10 Minutes
2026-01-01,12:30,Thursday,0,Sunny,University,North Gate,South Gate,147,176,323,12.9,Low,39,5,0,Low,0,5,Normal Operation,Every 10 Minutes
2026-01-01,12:45,Thursday,0,Sunny,Central,Tech Park,Central,228,198,426,17.0,Low,74,2,3,Low,0,8,Normal Operation,Every 7 Minutes
2026-01-01,13:00,Thursday,0,Sunny,Rail Hub,Airport,City Center,202,188,390,15.6,Low,60,2,2,Low,0,8,Normal Operation,Every 10 Minutes
2026-01-01,13:15,Thursday,0,Sunny,Rail Hub,Rail Hub,North Gate,97,120,217,8.7,Low,37,5,0,Low,0,5,Normal Operation,Every 10 Minutes
2026-01-01,13:30,Thursday,0,Rainy,Rail Hub,North Gate,Tech Park,90,218,308,12.3,Low,43,4,3,Low,0,6,Normal Operation,Every 10 Minutes
2026-01-01,13:45,Thursday,0,Sunny,South Gate,Tech Park,Airport,181,93,274,11.0,Low,58,4,1,Low,0,6,Normal Operation,Every 10 Minutes
2026-01-01,14:00,Thursday,0,Sunny,Stadium,South Gate,City Center,239,204,443,17.7,Low,61,3,1,Low,0,7,Normal Operation,Every 7 Minutes
2026-01-01,14:15,Thursday,0,Cloudy,Airport,Stadium,Market,142,154,296,11.8,Low,40,4,0,Low,0,6,Normal Operation,Every 10 Minutes
2026-01-01,14:30,Thursday,0,Rainy,South Gate,Airport,City Center,236,195,431,17.2,Low,68,4,4,Low,0,6,Normal Operation,Every 7 Minutes
2026-01-01,14:45,Thursday,0,Cloudy,Airport,South Gate,Rail Hub,107,201,308,12.3,Low,47,3,0,Low,0,7,Normal Operation,Every 10 Minutes
2026-01-01,15:00,Thursday,0,Sunny,Tech Park,University,South Gate,132,127,259,10.4,Low,35,2,0,Low,0,8,Normal Operation,Every 10 Minutes
2026-01-01,15:15,Thursday,0,Sunny,Central,Stadium,Market,165,93,258,10.3,Low,40,4,0,Low,0,6,Normal Operation,Every 10 Minutes
2026-01-01,15:30,Thursday,0,Rainy,University,Central,Tech Park,223,62,285,11.4,Low,60,3,4,Low,0,7,Normal Operation,Every 10 Minutes
2026-01-01,15:45,Thursday,0,Rainy,Market,South Gate,Tech Park,117,170,287,11.5,Low,29,3,3,Low,0,7,Normal Operation,Every 10 Minutes
2026-01-01,16:00,Thursday,0,Sunny,Tech Park,City Center,North Gate,133,123,256,10.2,Low,69,5,0,Low,0,5,Normal Operation,Every 10 Minutes
2026-01-01,16:15,Thursday,0,Sunny,City Center,Tech Park,University,185,66,251,10.0,Low,77,3,0,Low,0,7,Normal Operation,Every 10 Minutes
2026-01-01,16:30,Thursday,0,Rainy,North Gate,North Gate,North Gate,148,100,248,9.9,Low,60,2,0,Low,0,8,Normal Operation,Every 10 Minutes
2026-01-01,16:45,Thursday,0,Cloudy,Tech Park,North Gate,University,158,118,276,11.0,Low,31,3,0,Low,0,7,Normal Operation,Every 10 Minutes
2026-01-01,17:00,Thursday,0,Cloudy,South Gate,Central,Airport,571,735,1306,52.2,Medium,51,8,0,Medium,1,3,Deploy Crowd Control,Every 3 Minutes
2026-01-01,17:15,Thursday,0,Cloudy,City Center,Rail Hub,University,1094,721,1815,72.6,Medium,33,4,3,Medium,1,6,Deploy Crowd Control,Every 3 Minutes
2026-01-01,17:30,Thursday,0,Cloudy,Tech Park,South Gate,Central,946,1070,2016,80.6,High,40,8,2,High,1,3,Increase Train Frequency,Every 3 Minutes
2026-01-01,17:45,Thursday,0,Rainy,University,North Gate,Tech Park,501,982,1483,59.3,Medium,72,8,1,Medium,1,3,Deploy Crowd Control,Every 3 Minutes
2026-01-01,18:00,Thursday,0,Cloudy,Airport,South Gate,Market,1180,788,1968,78.7,Medium,76,4,0,Medium,1,6,Deploy Crowd Control,Every 3 Minutes
2026-01-01,18:15,Thursday,0,Cloudy,University,City Center,North Gate,834,862,1696,67.8,Medium,65,6,0,Medium,1,4,Deploy Crowd Control,Every 3 Minutes
2026-01-01,18:30,Thursday,0,Cloudy,University,South Gate,South Gate,1193,628,1821,72.8,Medium,30,8,0,Medium,1,3,Deploy Crowd Control,Every 3 Minutes
2026-01-01,18:45,Thursday,0,Sunny,University,Stadium,Stadium,1093,1071,2164,86.6,High,59,6,0,High,1,4,Increase Train Frequency,Every 3 Minutes
2026-01-01,19:00,Thursday,0,Rainy,North Gate,Airport,South Gate,1023,934,1957,78.3,Medium,69,5,3,Medium,1,5,Deploy Crowd Control,Every 3 Minutes
2026-01-01,19:15,Thursday,0,Rainy,Rail Hub,South Gate,North Gate,843,545,1388,55.5,Medium,73,5,0,Medium,1,5,Deploy Crowd Control,Every 3 Minutes
2026-01-01,19:30,Thursday,0,Sunny,City Center,University,Rail Hub,525,497,1022,40.9,Low,57,4,2,Low,1,6,Normal Operation,Every 3 Minutes
2026-01-01,19:45,Thursday,0,Sunny,University,Central,Airport,1006,859,1865,74.6,Medium,35,5,4,Medium,1,5,Deploy Crowd Control,Every 3 Minutes
2026-01-01,20:00,Thursday,0,Cloudy,North Gate,City Center,Stadium,680,980,1660,66.4,Medium,59,4,0,Medium,1,6,Deploy Crowd Control,Every 3 Minutes
2026-01-01,20:15,Thursday,0,Rainy,Market,Stadium,Rail Hub,1072,1059,2131,85.2,High,76,6,2,High,1,4,Increase Train Frequency,Every 3 Minutes
2026-01-01,20:30,Thursday,0,Rainy,Market,South Gate,North Gate,936,1011,1947,77.9,Medium,58,7,0,Medium,1,3,Deploy Crowd Control,Every 3 Minutes
2026-01-01,20:45,Thursday,0,Rainy,South Gate,Stadium,Airport,1033,946,1979,79.2,Medium,45,5,2,Medium,1,5,Deploy Crowd Control,Every 3 Minutes
2026-01-01,21:00,Thursday,0,Rainy,South Gate,City Center,North Gate,140,129,269,10.8,Low,38,2,0,Low,0,8,Normal Operation,Every 10 Minutes
2026-01-01,21:15,Thursday,0,Cloudy,City Center,Tech Park,Market,134,76,210,8.4,Low,52,5,4,Low,0,5,Normal Operation,Every 10 Minutes
2026-01-01,21:30,Thursday,0,Cloudy,University,Rail Hub,University,95,112,207,8.3,Low,77,2,1,Low,0,8,Normal Operation,Every 10 Minutes
2026-01-01,21:45,Thursday,0,Cloudy,Central,Market,Market,170,136,306,12.2,Low,56,5,0,Low,0,5,Normal Operation,Every 10 Minutes
2026-01-01,22:00,Thursday,0,Rainy,North Gate,University,City Center,204,116,320,12.8,Low,51,5,0,Low,0,5,Normal Operation,Every 10 Minutes
2026-01-01,22:15,Thursday,0,Cloudy,City Center,Rail Hub,Rail Hub,239,196,435,17.4,Low,53,2,2,Low,0,8,Normal Operation,Every 7 Minutes
2026-01-01,22:30,Thursday,0,Rainy,Central,University,Tech Park,101,169,270,10.8,Low,45,2,1,Low,0,8,Normal Operation,Every 10 Minutes
2026-01-01,22:45,Thursday,0,Sunny,Stadium,University,South Gate,163,146,309,12.4,Low,45,5,2,Low,0,5,Normal Operation,Every 10 Minutes
2026-01-01,23:00,Thursday,0,Sunny,Stadium,Airport,Central,84,198,282,11.3,Low,66,3,5,Low,0,7,Normal Operation,Every 10 Minutes
2026-01-01,23:15,Thursday,0,Sunny,North Gate,City Center,Stadium,131,65,196,7.8,Low,43,3,2,Low,0,7,Normal Operation,Every 10 Minutes
2026-01-01,23:30,Thursday,0,Rainy,Airport,Rail Hub,Rail Hub,224,115,339,13.6,Low,40,4,0,Low,0,6,Normal Operation,Every 10 Minutes
2026-01-01,23:45,Thursday,0,Rainy,Airport,Central,South Gate,121,139,260,10.4,Low,67,2,0,Low,0,8,Normal Operation,Every 10 Minutes
2026-01-02,00:00,Friday,0,Rainy,University,South Gate,Rail Hub,181,110,291,11.6,Low,33,3,3,Low,0,7,Normal Operation,Every 10 Minutes
2026-01-02,00:15,Friday,0,Sunny,Rail Hub,Tech Park,Airport,90,148,238,9.5,Low,71,5,1,Low,0,5,Normal Operation,Every 10 Minutes
2026-01-02,00:30,Friday,0,Rainy,Tech Park,Stadium,City Center,83,167,250,10.0,Low,70,4,0,Low,0,6,Normal Operation,Every 10 Minutes
2026-01-02,00:45,Friday,0,Cloudy,City Center,University,Rail Hub,213,129,342,13.7,Low,59,5,0,Low,0,5,Normal Operation,Every 10 Minutes
2026-01-02,01:00,Friday,0,Cloudy,Tech Park,Rail Hub,University,142,82,224,9.0,Low,66,5,0,Low,0,5,Normal Operation,Every 10 Minutes
2026-01-02,01:15,Friday,0,Cloudy,Central,North Gate,Tech Park,206,143,349,14.0,Low,59,3,2,Low,0,7,Normal Operation,Every 10 Minutes
2026-01-02,01:30,Friday,0,Cloudy,Tech Park,North Gate,Airport,151,212,363,14.5,Low,63,2,0,Low,0,8,Normal Operation,Every 10 Minutes
2026-01-02,01:45,Friday,0,Sunny,University,Stadium,Stadium,205,202,407,16.3,Low,74,3,0,Low,0,7,Normal Operation,Every 7 Minutes
2026-01-02,02:00,Friday,0,Cloudy,Central,Rail Hub,Tech Park,103,135,238,9.5,Low,71,4,1,Low,0,6,Normal Operation,Every 10 Minutes
2026-01-02,02:15,Friday,0,Cloudy,Market,Market,Tech Park,215,148,363,14.5,Low,74,5,3,Low,0,5,Normal Operation,Every 10 Minutes
2026-01-02,02:30,Friday,0,Cloudy,Stadium,Airport,Market,149,138,287,11.5,Low,50,3,0,Low,0,7,Normal Operation,Every 10 Minutes
2026-01-02,02:45,Friday,0,Rainy,City Center,Rail Hub,Market,129,115,244,9.8,Low,46,5,1,Low,0,5,Normal Operation,Every 10 Minutes
2026-01-02,03:00,Friday,0,Rainy,South Gate,Market,City Center,105,109,214,8.6,Low,30,4,0,Low,0,6,Normal Operation,Every 10 Minutes
2026-01-02,03:15,Friday,0,Cloudy,Central,City Center,Stadium,93,201,294,11.8,Low,72,4,2,Low,0,6,Normal Operation,Every 10 Minutes
2026-01-02,03:30,Friday,0,Sunny,Central,South Gate,Stadium,226,132,358,14.3,Low,33,3,0,Low,0,7,Normal Operation,Every 10 Minutes
2026-01-02,03:45,Friday,0,Sunny,Airport,Central,City Center,182,185,367,14.7,Low,66,2,0,Low,0,8,Normal Operation,Every 10 Minutes
2026-01-02,04:00,Friday,0,Sunny,Rail Hub,Rail Hub,Rail Hub,157,81,238,9.5,Low,67,5,1,Low,0,5,Normal Operation,Every 10 Minutes
2026-01-02,04:15,Friday,0,Sunny,Market,Rail Hub,University,177,175,352,14.1,Low,49,5,0,Low,0,5,Normal Operation,Every 10 Minutes
2026-01-02,04:30,Friday,0,Cloudy,Rail Hub,North Gate,South Gate,238,75,313,12.5,Low,70,3,0,Low,0,7,Normal Operation,Every 10 Minutes
2026-01-02,04:45,Friday,0,Rainy,Airport,Airport,City Center,120,121,241,9.6,Low,65,3,0,Low,0,7,Normal Operation,Every 10 Minutes
2026-01-02,05:00,Friday,0,Sunny,University,South Gate,Stadium,195,212,407,16.3,Low,75,4,0,Low,0,6,Normal Operation,Every 7 Minutes
2026-01-02,05:15,Friday,0,Sunny,North Gate,Airport,Market,147,220,367,14.7,Low,57,3,0,Low,0,7,Normal Operation,Every 10 Minutes
2026-01-02,05:30,Friday,0,Sunny,City Center,Rail Hub,South Gate,148,96,244,9.8,Low,67,4,1,Low,0,6,Normal Operation,Every 10 Minutes
2026-01-02,05:45,Friday,0,Cloudy,Airport,Market,Market,199,137,336,13.4,Low,46,5,1,Low,0,5,Normal Operation,Every 10 Minutes
2026-01-02,06:00,Friday,0,Cloudy,Stadium,South Gate,Central,100,213,313,12.5,Low,66,4,2,Low,0,6,Normal Operation,Every 10 Minutes
2026-01-02,06:15,Friday,0,Sunny,North Gate,South Gate,Rail Hub,227,210,437,17.5,Low,77,2,1,Low,0,8,Normal Operation,Every 7 Minutes
2026-01-02,06:30,Friday,0,Sunny,City Center,University,Stadium,200,192,392,15.7,Low,67,3,0,Low,0,7,Normal Operation,Every 10 Minutes
2026-01-02,06:45,Friday,0,Sunny,Stadium,Airport,City Center,169,164,333,13.3,Low,50,4,0,Low,0,6,Normal Operation,Every 10 Minutes
2026-01-02,07:00,Friday,0,Cloudy,University,Stadium,Airport,1007,745,1752,70.1,Medium,32,8,0,Medium,1,3,Deploy Crowd Control,Every 3 Minutes
2026-01-02,07:15,Friday,0,Cloudy,South Gate,Central,Market,831,568,1399,56.0,Medium,62,7,0,Medium,1,3,Deploy Crowd Control,Every 3 Minutes
2026-01-02,07:30,Friday,0,Cloudy,University,Stadium,Central,555,642,1197,47.9,Low,70,7,0,Low,1,3,Normal Operation,Every 3 Minutes
2026-01-02,07:45,Friday,0,Sunny,South Gate,Stadium,Airport,1062,584,1646,65.8,Medium,57,6,1,Medium,1,4,Deploy Crowd Control,Every 3 Minutes
2026-01-02,08:00,Friday,0,Sunny,Rail Hub,North Gate,Airport,745,612,1357,54.3,Medium,34,7,1,Medium,1,3,Deploy Crowd Control,Every 3 Minutes
2026-01-02,08:15,Friday,0,Cloudy,Airport,South Gate,Market,1163,607,1770,70.8,Medium,73,7,2,Medium,1,3,Deploy Crowd Control,Every 3 Minutes
2026-01-02,08:30,Friday,0,Rainy,South Gate,University,North Gate,925,944,1869,74.8,Medium,36,8,3,Medium,1,3,Deploy Crowd Control,Every 3 Minutes
2026-01-02,08:45,Friday,0,Rainy,Market,University,Tech Park,639,521,1160,46.4,Low,78,6,1,Low,1,4,Normal Operation,Every 3 Minutes
2026-01-02,09:00,Friday,0,Rainy,South Gate,Stadium,City Center,502,739,1241,49.6,Low,71,8,1,Low,1,3,Normal Operation,Every 3 Minutes
2026-01-02,09:15,Friday,0,Cloudy,Market,Market,University,995,803,1798,71.9,Medium,65,6,0,Medium,1,4,Deploy Crowd Control,Every 3 Minutes
2026-01-02,09:30,Friday,0,Cloudy,Tech Park,Tech Park,Stadium,693,694,1387,55.5,Medium,32,7,0,Medium,1,3,Deploy Crowd Control,Every 3 Minutes
2026-01-02,09:45,Friday,0,Rainy,University,City Center,Market,895,605,1500,60.0,Medium,31,7,1,Medium,1,3,Deploy Crowd Control,Every 3 Minutes
2026-01-02,10:00,Friday,0,Rainy,Tech Park,City Center,University,602,900,1502,60.1,Medium,71,4,5,Medium,1,6,Deploy Crowd Control,Every 3 Minutes
2026-01-02,10:15,Friday,0,Rainy,City Center,Rail Hub,University,576,930,1506,60.2,Medium,47,6,4,Medium,1,4,Deploy Crowd Control,Every 3 Minutes
2026-01-02,10:30,Friday,0,Rainy,Airport,Central,Rail Hub,836,996,1832,73.3,Medium,64,7,0,Medium,1,3,Deploy Crowd Control,Every 3 Minutes
2026-01-02,10:45,Friday,0,Sunny,North Gate,Airport,University,1146,744,1890,75.6,Medium,74,5,3,Medium,1,5,Deploy Crowd Control,Every 3 Minutes
2026-01-02,11:00,Friday,0,Sunny,Airport,Central,South Gate,193,102,295,11.8,Low,50,2,0,Low,0,8,Normal Operation,Every 10 Minutes
2026-01-02,11:15,Friday,0,Cloudy,Tech Park,University,Rail Hub,190,97,287,11.5,Low,63,3,0,Low,0,7,Normal Operation,Every 10 Minutes
2026-01-02,11:30,Friday,0,Rainy,City Center,Rail Hub,City Center,123,104,227,9.1,Low,57,3,4,Low,0,7,Normal Operation,Every 10 Minutes
2026-01-02,11:45,Friday,0,Sunny,Stadium,Central,Stadium,243,125,368,14.7,Low,44,5,2,Low,0,5,Normal Operation,Every 10 Minutes
2026-01-02,12:00,Friday,0,Cloudy,Market,University,South Gate,120,78,198,7.9,Low,70,4,0,Low,0,6,Normal Operation,Every 10 Minutes
2026-01-02,12:15,Friday,0,Cloudy,South Gate,North Gate,University,130,158,288,11.5,Low,35,5,1,Low,0,5,Normal Operation,Every 10 Minutes
2026-01-02,12:30,Friday,0,Rainy,Tech Park,Central,Rail Hub,227,135,362,14.5,Low,45,5,2,Low,0,5,Normal Operation,Every 10 Minutes
2026-01-02,12:45,Friday,0,Rainy,Central,North Gate,Rail Hub,235,187,422,16.9,Low,79,4,0,Low,0,6,Normal Operation,Every 7 Minutes
2026-01-02,13:00,Friday,0,Cloudy,North Gate,Airport,Central,242,108,350,14.0,Low,70,3,0,Low,0,7,Normal Operation,Every 10 Minutes
2026-01-02,13:15,Friday,0,Cloudy,Stadium,City Center,Airport,88,208,296,11.8,Low,76,4,0,Low,0,6,Normal Operation,Every 10 Minutes
2026-01-02,13:30,Friday,0,Cloudy,Tech Park,Market,South Gate,186,104,290,11.6,Low,62,4,1,Low,0,6,Normal Operation,Every 10 Minutes
2026-01-02,13:45,Friday,0,Sunny,South Gate,Stadium,Airport,203,135,338,13.5,Low,34,4,3,Low,0,6,Normal Operation,Every 10 Minutes
2026-01-02,14:00,Friday,0,Sunny,North Gate,Market,Airport,181,202,383,15.3,Low,46,2,0,Low,0,8,Normal Operation,Every 10 Minutes
2026-01-02,14:15,Friday,0,Cloudy,Tech Park,Tech Park,Airport,147,209,356,14.2,Low,67,5,3,Low,0,5,Normal Operation,Every 10 Minutes
2026-01-02,14:30,Friday,0,Rainy,North Gate,North Gate,Airport,200,66,266,10.6,Low,69,4,0,Low,0,6,Normal Operation,Every 10 Minutes
2026-01-02,14:45,Friday,0,Rainy,Stadium,Central,Central,157,164,321,12.8,Low,38,2,0,Low,0,8,Normal Operation,Every 10 Minutes
2026-01-02,15:00,Friday,0,Cloudy,Stadium,Tech Park,Market,109,84,193,7.7,Low,59,5,0,Low,0,5,Normal Operation,Every 10 Minutes
2026-01-02,15:15,Friday,0,Cloudy,Rail Hub,Rail Hub,University,119,166,285,11.4,Low,59,2,2,Low,0,8,Normal Operation,Every 10 Minutes
2026-01-02,15:30,Friday,0,Cloudy,Central,Tech Park,Market,174,115,289,11.6,Low,36,4,0,Low,0,6,Normal Operation,Every 10 Minutes
2026-01-02,15:45,Friday,0,Rainy,Tech Park,Airport,Stadium,95,161,256,10.2,Low,40,4,2,Low,0,6,Normal Operation,Every 10 Minutes
2026-01-02,16:00,Friday,0,Sunny,North Gate,City Center,Rail Hub,244,212,456,18.2,Low,44,4,1,Low,0,6,Normal Operation,Every 7 Minutes
2026-01-02,16:15,Friday,0,Sunny,Airport,Tech Park,City Center,221,113,334,13.4,Low,44,3,0,Low,0,7,Normal Operation,Every 10 Minutes
2026-01-02,16:30,Friday,0,Rainy,Central,Central,City Center,150,97,247,9.9,Low,35,3,2,Low,0,7,Normal Operation,Every 10 Minutes
2026-01-02,16:45,Friday,0,Sunny,Tech Park,City Center,South Gate,140,210,350,14.0,Low,31,4,0,Low,0,6,Normal Operation,Every 10 Minutes
2026-01-02,17:00,Friday,0,Sunny,City Center,Tech Park,Market,931,988,1919,76.8,Medium,77,7,2,Medium,1,3,Deploy Crowd Control,Every 3 Minutes
2026-01-02,17:15,Friday,0,Rainy,Airport,Central,Market,962,965,1927,77.1,Medium,67,5,2,Medium,1,5,Deploy Crowd Control,Every 3 Minutes
2026-01-02,17:30,Friday,0,Cloudy,Stadium,Airport,Stadium,1158,481,1639,65.6,Medium,53,7,4,Medium,1,3,Deploy Crowd Control,Every 3 Minutes
2026-01-02,17:45,Friday,0,Rainy,Stadium,City Center,Airport,575,532,1107,44.3,Low,66,6,2,Low,1,4,Normal Operation,Every 3 Minutes
2026-01-02,18:00,Friday,0,Sunny,South Gate,Market,South Gate,1139,1098,2237,89.5,High,68,7,0,High,1,3,Increase Train Frequency,Every 3 Minutes
2026-01-02,18:15,Friday,0,Cloudy,Market,Airport,Market,1119,890,2009,80.4,High,80,4,0,High,1,6,Increase Train Frequency,Every 3 Minutes
2026-01-02,18:30,Friday,0,Rainy,North Gate,University,Airport,940,912,1852,74.1,Medium,52,7,3,Medium,1,3,Deploy Crowd Control,Every 3 Minutes
2026-01-02,18:45,Friday,0,Cloudy,University,Stadium,Airport,820,711,1531,61.2,Medium,39,6,0,Medium,1,4,Deploy Crowd Control,Every 3 Minutes
2026-01-02,19:00,Friday,0,Sunny,Airport,Central,Rail Hub,595,892,1487,59.5,Medium,61,5,4,Medium,1,5,Deploy Crowd Control,Every 3 Minutes
2026-01-02,19:15,Friday,0,Rainy,Market,University,Central,837,575,1412,56.5,Medium,49,7,3,Medium,1,3,Deploy Crowd Control,Every 3 Minutes
2026-01-02,19:30,Friday,0,Cloudy,Rail Hub,Stadium,North Gate,819,810,1629,65.2,Medium,69,5,3,Medium,1,5,Deploy Crowd Control,Every 3 Minutes
2026-01-02,19:45,Friday,0,Sunny,Tech Park,South Gate,Rail Hub,1069,826,1895,75.8,Medium,75,4,3,Medium,1,6,Deploy Crowd Control,Every 3 Minutes
2026-01-02,20:00,Friday,0,Sunny,University,South Gate,Central,1074,1086,2160,86.4,High,68,4,0,High,1,6,Increase Train Frequency,Every 3 Minutes
2026-01-02,20:15,Friday,0,Sunny,South Gate,City Center,City Center,816,797,1613,64.5,Medium,30,6,0,Medium,1,4,Deploy Crowd Control,Every 3 Minutes
2026-01-02,20:30,Friday,0,Rainy,University,Market,North Gate,571,595,1166,46.6,Low,76,4,1,Low,1,6,Normal Operation,Every 3 Minutes
2026-01-02,20:45,Friday,0,Cloudy,University,South Gate,Tech Park,964,799,1763,70.5,Medium,53,5,0,Medium,1,5,Deploy Crowd Control,Every 3 Minutes
2026-01-02,21:00,Friday,0,Rainy,Rail Hub,Airport,South Gate,101,73,174,7.0,Low,71,2,2,Low,0,8,Normal Operation,Every 10 Minutes
2026-01-02,21:15,Friday,0,Cloudy,University,South Gate,North Gate,204,215,419,16.8,Low,53,5,3,Low,0,5,Normal Operation,Every 7 Minutes
2026-01-02,21:30,Friday,0,Rainy,Airport,South Gate,Central,168,170,338,13.5,Low,61,5,2,Low,0,5,Normal Operation,Every 10 Minutes
2026-01-02,21:45,Friday,0,Sunny,University,South Gate,North Gate,233,74,307,12.3,Low,41,2,2,Low,0,8,Normal Operation,Every 10 Minutes
2026-01-02,22:00,Friday,0,Sunny,South Gate,City Center,University,154,143,297,11.9,Low,39,5,2,Low,0,5,Normal Operation,Every 10 Minutes
2026-01-02,22:15,Friday,0,Rainy,North Gate,University,Central,208,203,411,16.4,Low,32,4,2,Low,0,6,Normal Operation,Every 7 Minutes
2026-01-02,22:30,Friday,0,Cloudy,Central,University,South Gate,197,79,276,11.0,Low,73,5,2,Low,0,5,Normal Operation,Every 10 Minutes
2026-01-02,22:45,Friday,0,Sunny,University,Stadium,Tech Park,85,143,228,9.1,Low,69,3,0,Low,0,7,Normal Operation,Every 10 Minutes
