station_name,station_code,capacity,recorded_at,passenger_count,inflow_rate,outflow_rate,hour_of_day,day_of_week,month,is_holiday,is_special_event,weather,weather_code,lag_passenger_count
Central Hub,HUB,5000,2026-01-23 12:06:49,1900,109,99,12,4,1,0,0,Clear,0,1981
Central Hub,HUB,5000,2026-01-23 13:06:49,1984,142,169,13,4,1,0,0,Clear,0,1900
Central Hub,HUB,5000,2026-01-23 14:06:49,2066,212,136,14,4,1,0,0,Rainy,1,1984
Central Hub,HUB,5000,2026-01-23 15:06:49,1626,114,99,15,4,1,0,0,Clear,0,2066
Central Hub,HUB,5000,2026-01-23 16:06:49,2125,235,225,16,4,1,0,0,Snowy,2,1626
Central Hub,HUB,5000,2026-01-23 17:06:49,4039,845,475,17,4,1,0,0,Clear,0,2125
Central Hub,HUB,5000,2026-01-23 18:06:49,4047,530,388,18,4,1,0,0,Rainy,1,4039
Central Hub,HUB,5000,2026-01-23 19:06:49,3918,790,549,19,4,1,0,0,Clear,0,4047
Central Hub,HUB,5000,2026-01-23 20:06:49,86,5,5,20,4,1,0,0,Clear,0,3918
Central Hub,HUB,5000,2026-01-23 21:06:49,836,96,60,21,4,1,0,0,Clear,0,86
Central Hub,HUB,5000,2026-01-23 22:06:49,514,60,60,22,4,1,0,0,Clear,0,836
Central Hub,HUB,5000,2026-01-23 23:06:49,2350,199,166,23,4,1,0,1,Clear,0,514
Central Hub,HUB,5000,2026-01-24 00:06:49,1025,87,54,0,5,1,0,0,Clear,0,2350
Central Hub,HUB,5000,2026-01-24 01:06:49,891,101,59,1,5,1,0,0,Clear,0,1025
Central Hub,HUB,5000,2026-01-24 02:06:49,1084,72,105,2,5,1,0,0,Clear,0,891
Central Hub,HUB,5000,2026-01-24 03:06:49,1098,73,110,3,5,1,0,0,Rainy,1,1084
Central Hub,HUB,5000,2026-01-24 04:06:49,1351,118,76,4,5,1,0,0,Clear,0,1098
Central Hub,HUB,5000,2026-01-24 05:06:49,1448,104,91,5,5,1,0,0,Rainy,1,1351
Central Hub,HUB,5000,2026-01-24 06:06:49,1426,72,122,6,5,1,0,0,Clear,0,1448
Central Hub,HUB,5000,2026-01-24 07:06:49,1218,115,75,7,5,1,0,0,Clear,0,1426
Central Hub,HUB,5000,2026-01-24 08:06:49,1155,68,85,8,5,1,0,0,Clear,0,1218
Central Hub,HUB,5000,2026-01-24 09:06:49,959,110,106,9,5,1,0,0,Clear,0,1155
Central Hub,HUB,5000,2026-01-24 10:06:49,1260,111,109,10,5,1,0,0,Clear,0,959
Central Hub,HUB,5000,2026-01-24 11:06:49,1131,63,127,11,5,1,0,0,Clear,0,1260
Central Hub,HUB,5000,2026-01-24 12:06:49,1839,136,185,12,5,1,0,0,Rainy,1,1131
Central Hub,HUB,5000,2026-01-24 13:06:49,2497,279,261,13,5,1,0,0,Rainy,1,1839
Central Hub,HUB,5000,2026-01-24 14:06:49,2056,104,117,14,5,1,0,0,Clear,0,2497
Central Hub,HUB,5000,2026-01-24 15:06:49,2211,111,135,15,5,1,0,0,Clear,0,2056
Central Hub,HUB,5000,2026-01-24 16:06:49,2262,148,225,16,5,1,1,0,Clear,0,2211
Central Hub,HUB,5000,2026-01-24 17:06:49,1331,96,136,17,5,1,0,0,Clear,0,2262
Central Hub,HUB,5000,2026-01-24 18:06:49,1106,99,62,18,5,1,0,0,Clear,0,1331
Central Hub,HUB,5000,2026-01-24 19:06:49,1235,84,82,19,5,1,0,0,Clear,0,1106
Central Hub,HUB,5000,2026-01-24 20:06:49,1219,114,128,20,5,1,0,0,Snowy,2,1235
Central Hub,HUB,5000,2026-01-24 21:06:49,940,84,79,21,5,1,0,0,Clear,0,1219
Central Hub,HUB,5000,2026-01-24 22:06:49,759,39,72,22,5,1,0,0,Clear,0,940
Central Hub,HUB,5000,2026-01-24 23:06:49,1244,144,145,23,5,1,0,0,Clear,0,759
Central Hub,HUB,5000,2026-01-25 00:06:49,968,113,113,0,6,1,1,0,Snowy,2,1244
Central Hub,HUB,5000,2026-01-25 01:06:49,1285,90,98,1,6,1,1,0,Rainy,1,968
Central Hub,HUB,5000,2026-01-25 02:06:49,868,77,100,2,6,1,1,0,Rainy,1,1285
Central Hub,HUB,5000,2026-01-25 03:06:49,871,78,49,3,6,1,1,0,Clear,0,868
Central Hub,HUB,5000,2026-01-25 04:06:49,1264,128,124,4,6,1,1,0,Clear,0,871
Central Hub,HUB,5000,2026-01-25 05:06:49,1012,76,71,5,6,1,1,0,Clear,0,1264
Central Hub,HUB,5000,2026-01-25 06:06:49,1176,133,100,6,6,1,1,0,Rainy,1,1012
Central Hub,HUB,5000,2026-01-25 07:06:49,1064,112,101,7,6,1,1,0,Clear,0,1176
Central Hub,HUB,5000,2026-01-25 08:06:49,2308,170,176,8,6,1,1,1,Clear,0,1064
Central Hub,HUB,5000,2026-01-25 09:06:49,1044,94,54,9,6,1,1,0,Clear,0,2308
Central Hub,HUB,5000,2026-01-25 10:06:49,1802,164,93,10,6,1,1,1,Clear,0,1044
Central Hub,HUB,5000,2026-01-25 11:06:49,1089,117,81,11,6,1,1,0,Clear,0,1802
Central Hub,HUB,5000,2026-01-25 12:06:49,2390,155,223,12,6,1,1,0,Clear,0,1089
Central Hub,HUB,5000,2026-01-25 13:06:49,2032,108,177,13,6,1,1,0,Clear,0,2390
Central Hub,HUB,5000,2026-01-25 14:06:49,2340,276,201,14,6,1,1,0,Clear,0,2032
Central Hub,HUB,5000,2026-01-25 15:06:49,2207,233,152,15,6,1,1,0,Clear,0,2340
Central Hub,HUB,5000,2026-01-25 16:06:49,1807,112,110,16,6,1,1,0,Clear,0,2207
Central Hub,HUB,5000,2026-01-25 17:06:49,1415,125,141,17,6,1,1,0,Clear,0,1807
Central Hub,HUB,5000,2026-01-25 18:06:49,1094,101,86,18,6,1,1,0,Clear,0,1415
Central Hub,HUB,5000,2026-01-25 19:06:49,1412,105,145,19,6,1,1,0,Clear,0,1094
Central Hub,HUB,5000,2026-01-25 20:06:49,940,53,79,20,6,1,1,0,Clear,0,1412
Central Hub,HUB,5000,2026-01-25 21:06:49,1468,91,117,21,6,1,1,0,Clear,0,940
Central Hub,HUB,5000,2026-01-25 22:06:49,1385,73,105,22,6,1,1,0,Clear,0,1468
Central Hub,HUB,5000,2026-01-25 23:06:49,1330,113,146,23,6,1,1,0,Clear,0,1385
Central Hub,HUB,5000,2026-01-26 00:06:49,699,63,80,0,0,1,0,0,Clear,0,1330
Central Hub,HUB,5000,2026-01-26 01:06:49,765,59,72,1,0,1,0,0,Clear,0,699
Central Hub,HUB,5000,2026-01-26 02:06:49,921,70,108,2,0,1,0,0,Clear,0,765
Central Hub,HUB,5000,2026-01-26 03:06:49,842,53,46,3,0,1,0,0,Rainy,1,921
Central Hub,HUB,5000,2026-01-26 04:06:49,628,45,68,4,0,1,0,0,Clear,0,842
Central Hub,HUB,5000,2026-01-26 05:06:49,801,85,55,5,0,1,0,0,Clear,0,628
Central Hub,HUB,5000,2026-01-26 06:06:49,988,110,100,6,0,1,0,0,Clear,0,801
Central Hub,HUB,5000,2026-01-26 07:06:49,1188,82,74,7,0,1,0,0,Rainy,1,988
Central Hub,HUB,5000,2026-01-26 08:06:49,3678,726,381,8,0,1,0,0,Rainy,1,1188
Central Hub,HUB,5000,2026-01-26 09:06:49,3444,708,378,9,0,1,0,0,Snowy,2,3678
Central Hub,HUB,5000,2026-01-26 10:06:49,4023,845,464,10,0,1,0,0,Rainy,1,3444
Central Hub,HUB,5000,2026-01-26 11:06:49,2265,163,255,11,0,1,0,0,Rainy,1,4023
Central Hub,HUB,5000,2026-01-26 12:06:49,1932,225,225,12,0,1,0,0,Clear,0,2265
Central Hub,HUB,5000,2026-01-26 13:06:49,1846,173,150,13,0,1,0,0,Clear,0,1932
Central Hub,HUB,5000,2026-01-26 14:06:49,2301,236,242,14,0,1,0,0,Clear,0,1846
Central Hub,HUB,5000,2026-01-26 15:06:49,1900,107,160,15,0,1,0,0,Rainy,1,2301
Central Hub,HUB,5000,2026-01-26 16:06:49,1477,165,110,16,0,1,0,0,Clear,0,1900
Central Hub,HUB,5000,2026-01-26 17:06:49,4192,562,558,17,0,1,0,0,Clear,0,1477
Central Hub,HUB,5000,2026-01-26 18:06:49,3641,736,471,18,0,1,0,0,Clear,0,4192
Central Hub,HUB,5000,2026-01-26 19:06:49,3800,488,566,19,0,1,0,0,Clear,0,3641
Central Hub,HUB,5000,2026-01-26 20:06:49,1038,120,123,20,0,1,0,0,Clear,0,3800
Central Hub,HUB,5000,2026-01-26 21:06:49,705,53,39,21,0,1,0,0,Rainy,1,1038
Central Hub,HUB,5000,2026-01-26 22:06:49,315,35,18,22,0,1,0,0,Rainy,1,705
Central Hub,HUB,5000,2026-01-26 23:06:49,1142,58,94,23,0,1,0,0,Clear,0,315
Central Hub,HUB,5000,2026-01-27 00:06:49,1067,96,125,0,1,1,0,0,Clear,0,1142
Central Hub,HUB,5000,2026-01-27 01:06:49,942,65,104,1,1,1,0,0,Clear,0,1067
Central Hub,HUB,5000,2026-01-27 02:06:49,767,91,42,2,1,1,0,0,Clear,0,942
Central Hub,HUB,5000,2026-01-27 03:06:49,995,117,86,3,1,1,0,0,Clear,0,767
Central Hub,HUB,5000,2026-01-27 04:06:49,642,60,58,4,1,1,0,0,Clear,0,995
Central Hub,HUB,5000,2026-01-27 05:06:49,1289,68,89,5,1,1,0,0,Rainy,1,642
Central Hub,HUB,5000,2026-01-27 06:06:49,722,67,50,6,1,1,0,0,Snowy,2,1289
Central Hub,HUB,5000,2026-01-27 07:06:49,994,81,74,7,1,1,0,0,Clear,0,722
Central Hub,HUB,5000,2026-01-27 08:06:49,3271,658,418,8,1,1,0,0,Clear,0,994
Central Hub,HUB,5000,2026-01-27 09:06:49,3840,810,528,9,1,1,0,0,Clear,0,3271
Central Hub,HUB,5000,2026-01-27 10:06:49,3935,636,571,10,1,1,0,0,Snowy,2,3840
Central Hub,HUB,5000,2026-01-27 11:06:49,2569,136,133,11,1,1,0,0,Rainy,1,3935
Central Hub,HUB,5000,2026-01-27 12:06:49,2073,158,244,12,1,1,0,0,Clear,0,2569
Central Hub,HUB,5000,2026-01-27 13:06:49,1925,209,159,13,1,1,0,0,Rainy,1,2073
Central Hub,HUB,5000,2026-01-27 14:06:49,1972,217,210,14,1,1,0,0,Clear,0,1925
Central Hub,HUB,5000,2026-01-27 15:06:49,2186,261,194,15,1,1,0,0,Stormy,3,1972
Central Hub,HUB,5000,2026-01-27 16:06:49,2121,125,247,16,1,1,0,0,Rainy,1,2186
Central Hub,HUB,5000,2026-01-27 17:06:49,3350,478,425,17,1,1,0,0,Clear,0,2121
Central Hub,HUB,5000,2026-01-27 18:06:49,3543,663,412,18,1,1,0,0,Clear,0,3350
Central Hub,HUB,5000,2026-01-27 19:06:49,4049,696,565,19,1,1,0,0,Rainy,1,3543
Central Hub,HUB,5000,2026-01-27 20:06:49,1006,78,59,20,1,1,0,0,Clear,0,4049
Central Hub,HUB,5000,2026-01-27 21:06:49,791,81,73,21,1,1,0,0,Clear,0,1006
Central Hub,HUB,5000,2026-01-27 22:06:49,641,32,47,22,1,1,0,0,Clear,0,791
Central Hub,HUB,5000,2026-01-27 23:06:49,664,51,53,23,1,1,0,0,Clear,0,641
Central Hub,HUB,5000,2026-01-28 00:06:49,875,91,68,0,2,1,0,0,Rainy,1,664
Central Hub,HUB,5000,2026-01-28 01:06:49,207,22,24,1,2,1,0,0,Clear,0,875
Central Hub,HUB,5000,2026-01-28 02:06:49,746,50,61,2,2,1,0,0,Clear,0,207
Central Hub,HUB,5000,2026-01-28 03:06:49,1024,86,74,3,2,1,0,0,Stormy,3,746
Central Hub,HUB,5000,2026-01-28 04:06:49,719,42,42,4,2,1,0,0,Clear,0,1024
Central Hub,HUB,5000,2026-01-28 05:06:49,731,43,69,5,2,1,0,0,Clear,0,719
Central Hub,HUB,5000,2026-01-28 06:06:49,936,77,90,6,2,1,0,0,Clear,0,731
Central Hub,HUB,5000,2026-01-28 07:06:49,677,42,35,7,2,1,0,0,Clear,0,936
Central Hub,HUB,5000,2026-01-28 08:06:49,3546,456,313,8,2,1,0,0,Clear,0,677
Central Hub,HUB,5000,2026-01-28 09:06:49,3610,507,380,9,2,1,0,0,Clear,0,3546
Central Hub,HUB,5000,2026-01-28 10:06:49,3724,744,461,10,2,1,0,0,Clear,0,3610
Central Hub,HUB,5000,2026-01-28 11:06:49,2010,223,230,11,2,1,0,0,Clear,0,3724
Central Hub,HUB,5000,2026-01-28 12:06:49,2212,226,139,12,2,1,0,0,Clear,0,2010
Central Hub,HUB,5000,2026-01-28 13:06:49,1844,140,154,13,2,1,0,0,Clear,0,2212
Central Hub,HUB,5000,2026-01-28 14:06:49,1843,188,96,14,2,1,0,0,Clear,0,1844
Central Hub,HUB,5000,2026-01-28 15:06:49,1451,145,163,15,2,1,0,0,Clear,0,1843
Central Hub,HUB,5000,2026-01-28 16:06:49,3006,244,262,16,2,1,0,1,Clear,0,1451
Central Hub,HUB,5000,2026-01-28 17:06:49,3769,553,401,17,2,1,0,0,Clear,0,3006
Central Hub,HUB,5000,2026-01-28 18:06:49,3484,532,307,18,2,1,0,0,Clear,0,3769
Central Hub,HUB,5000,2026-01-28 19:06:49,3961,710,505,19,2,1,0,0,Rainy,1,3484
Central Hub,HUB,5000,2026-01-28 20:06:49,606,53,55,20,2,1,0,0,Rainy,1,3961
Central Hub,HUB,5000,2026-01-28 21:06:49,749,60,44,21,2,1,0,0,Clear,0,606
Central Hub,HUB,5000,2026-01-28 22:06:49,1098,98,82,22,2,1,0,0,Clear,0,749
Central Hub,HUB,5000,2026-01-28 23:06:49,497,45,33,23,2,1,0,0,Stormy,3,1098
Central Hub,HUB,5000,2026-01-29 00:06:49,635,38,40,0,3,1,0,0,Clear,0,497
Central Hub,HUB,5000,2026-01-29 01:06:49,593,36,66,1,3,1,0,0,Clear,0,635
Central Hub,HUB,5000,2026-01-29 02:06:49,124,14,7,2,3,1,0,0,Clear,0,593
Central Hub,HUB,5000,2026-01-29 03:06:49,921,108,101,3,3,1,1,0,Clear,0,124
Central Hub,HUB,5000,2026-01-29 04:06:49,643,62,73,4,3,1,0,0,Rainy,1,921
Central Hub,HUB,5000,2026-01-29 05:06:49,616,55,42,5,3,1,0,0,Clear,0,643
Central Hub,HUB,5000,2026-01-29 06:06:49,1933,154,165,6,3,1,0,1,Rainy,1,616
Central Hub,HUB,5000,2026-01-29 07:06:49,499,28,46,7,3,1,0,0,Clear,0,1933
Central Hub,HUB,5000,2026-01-29 08:06:49,3465,582,406,8,3,1,0,0,Clear,0,499
Central Hub,HUB,5000,2026-01-29 09:06:49,3816,586,341,9,3,1,0,0,Clear,0,3465
Central Hub,HUB,5000,2026-01-29 10:06:49,3599,677,479,10,3,1,0,0,Clear,0,3816
Central Hub,HUB,5000,2026-01-29 11:06:49,2190,181,172,11,3,1,0,0,Clear,0,3599
Central Hub,HUB,5000,2026-01-29 12:06:49,2042,128,111,12,3,1,0,0,Clear,0,2190
Central Hub,HUB,5000,2026-01-29 13:06:49,2022,182,220,13,3,1,0,0,Clear,0,2042
Central Hub,HUB,5000,2026-01-29 14:06:49,1851,113,113,14,3,1,0,0,Clear,0,2022
Central Hub,HUB,5000,2026-01-29 15:06:49,2347,226,203,15,3,1,0,0,Rainy,1,1851
Central Hub,HUB,5000,2026-01-29 16:06:49,1932,207,155,16,3,1,0,0,Clear,0,2347
Central Hub,HUB,5000,2026-01-29 17:06:49,3986,662,402,17,3,1,0,0,Clear,0,1932
Central Hub,HUB,5000,2026-01-29 18:06:49,3354,704,358,18,3,1,0,0,Clear,0,3986
Central Hub,HUB,5000,2026-01-29 19:06:49,3754,790,464,19,3,1,0,0,Clear,0,3354
Central Hub,HUB,5000,2026-01-29 20:06:49,791,58,47,20,3,1,0,0,Clear,0,3754
Central Hub,HUB,5000,2026-01-29 21:06:49,967,90,84,21,3,1,0,0,Rainy,1,791
Central Hub,HUB,5000,2026-01-29 22:06:49,703,50,47,22,3,1,0,0,Rainy,1,967
Central Hub,HUB,5000,2026-01-29 23:06:49,850,44,76,23,3,1,0,0,Clear,0,703
Central Hub,HUB,5000,2026-01-30 00:06:49,738,79,42,0,4,1,0,0,Rainy,1,850
Central Hub,HUB,5000,2026-01-30 01:06:49,1032,60,80,1,4,1,0,0,Rainy,1,738
Central Hub,HUB,5000,2026-01-30 02:06:49,718,72,72,2,4,1,0,0,Rainy,1,1032
Central Hub,HUB,5000,2026-01-30 03:06:49,611,60,53,3,4,1,0,0,Clear,0,718
Central Hub,HUB,5000,2026-01-30 04:06:49,485,55,44,4,4,1,0,0,Clear,0,611
Central Hub,HUB,5000,2026-01-30 05:06:49,621,51,72,5,4,1,0,0,Clear,0,485
Central Hub,HUB,5000,2026-01-30 06:06:49,795,73,40,6,4,1,0,0,Clear,0,621
Central Hub,HUB,5000,2026-01-30 07:06:49,1485,171,132,7,4,1,0,0,Rainy,1,795
Central Hub,HUB,5000,2026-01-30 08:06:49,3804,514,457,8,4,1,0,0,Clear,0,1485
Central Hub,HUB,5000,2026-01-30 09:06:49,3860,626,507,9,4,1,0,0,Clear,0,3804
Central Hub,HUB,5000,2026-01-30 10:06:49,3727,489,555,10,4,1,0,0,Snowy,2,3860
Central Hub,HUB,5000,2026-01-30 11:06:49,2395,140,274,11,4,1,0,0,Rainy,1,3727
Central Hub,HUB,5000,2026-01-30 12:06:49,2834,220,152,12,4,1,0,0,Rainy,1,2395
Central Hub,HUB,5000,2026-01-30 13:06:49,2130,226,107,13,4,1,0,0,Clear,0,2834
Central Hub,HUB,5000,2026-01-30 14:06:49,2213,253,164,14,4,1,0,0,Clear,0,2130
Central Hub,HUB,5000,2026-01-30 15:06:49,1419,144,115,15,4,1,0,0,Clear,0,2213
Central Hub,HUB,5000,2026-01-30 16:06:49,1718,107,145,16,4,1,0,0,Clear,0,1419
Central Hub,HUB,5000,2026-01-30 17:06:49,3712,785,391,17,4,1,0,0,Clear,0,1718
Central Hub,HUB,5000,2026-01-30 18:06:49,3495,755,315,18,4,1,1,0,Clear,0,3712
Central Hub,HUB,5000,2026-01-30 19:06:49,3879,498,581,19,4,1,0,0,Clear,0,3495
Central Hub,HUB,5000,2026-01-30 20:06:49,580,59,37,20,4,1,0,0,Clear,0,3879
Central Hub,HUB,5000,2026-01-30 21:06:49,862,55,54,21,4,1,0,0,Rainy,1,580
Central Hub,HUB,5000,2026-01-30 22:06:49,1392,76,145,22,4,1,0,0,Clear,0,862
Central Hub,HUB,5000,2026-01-30 23:06:49,473,41,38,23,4,1,0,0,Clear,0,1392
Central Hub,HUB,5000,2026-01-31 00:06:49,705,44,77,0,5,1,0,0,Clear,0,473
Central Hub,HUB,5000,2026-01-31 01:06:49,1050,79,72,1,5,1,0,0,Snowy,2,705
Central Hub,HUB,5000,2026-01-31 02:06:49,909,55,91,2,5,1,0,0,Clear,0,1050
Central Hub,HUB,5000,2026-01-31 03:06:49,982,50,64,3,5,1,0,0,Clear,0,909
Central Hub,HUB,5000,2026-01-31 04:06:49,1024,63,97,4,5,1,0,0,Clear,0,982
Central Hub,HUB,5000,2026-01-31 05:06:49,967,55,64,5,5,1,0,0,Clear,0,1024
Central Hub,HUB,5000,2026-01-31 06:06:49,1058,82,102,6,5,1,0,0,Clear,0,967
Central Hub,HUB,5000,2026-01-31 07:06:49,1063,74,119,7,5,1,1,0,Clear,0,1058
Central Hub,HUB,5000,2026-01-31 08:06:49,582,65,62,8,5,1,0,0,Clear,0,1063
Central Hub,HUB,5000,2026-01-31 09:06:49,1441,98,110,9,5,1,0,0,Clear,0,582
Central Hub,HUB,5000,2026-01-31 10:06:49,1189,93,105,10,5,1,0,0,Clear,0,1441
Central Hub,HUB,5000,2026-01-31 11:06:49,646,45,75,11,5,1,0,0,Clear,0,1189
Central Hub,HUB,5000,2026-01-31 12:06:49,2442,258,194,12,5,1,0,0,Rainy,1,646
Central Hub,HUB,5000,2026-01-31 13:06:49,1992,137,175,13,5,1,0,0,Clear,0,2442
Central Hub,HUB,5000,2026-01-31 14:06:49,1844,199,219,14,5,1,0,0,Clear,0,1992
Central Hub,HUB,5000,2026-01-31 15:06:49,1895,117,130,15,5,1,0,0,Clear,0,1844
Central Hub,HUB,5000,2026-01-31 16:06:49,1592,141,152,16,5,1,0,0,Clear,0,1895
Central Hub,HUB,5000,2026-01-31 17:06:49,2487,160,126,17,5,1,0,1,Rainy,1,1592
Central Hub,HUB,5000,2026-01-31 18:06:49,1405,135,87,18,5,1,0,0,Clear,0,2487
Central Hub,HUB,5000,2026-01-31 19:06:49,1392,110,106,19,5,1,0,0,Snowy,2,1405
Central Hub,HUB,5000,2026-01-31 20:06:49,912,84,61,20,5,1,0,0,Clear,0,1392
Central Hub,HUB,5000,2026-01-31 21:06:49,1049,73,78,21,5,1,0,0,Clear,0,912
Central Hub,HUB,5000,2026-01-31 22:06:49,1143,95,110,22,5,1,0,0,Clear,0,1049
Central Hub,HUB,5000,2026-01-31 23:06:49,1811,183,117,23,5,1,0,1,Snowy,2,1143
Central Hub,HUB,5000,2026-02-01 00:06:49,1151,61,97,0,6,2,1,0,Clear,0,1811
Central Hub,HUB,5000,2026-02-01 01:06:49,620,45,64,1,6,2,1,0,Clear,0,1151
Central Hub,HUB,5000,2026-02-01 02:06:49,1044,88,102,2,6,2,1,0,Clear,0,620
Central Hub,HUB,5000,2026-02-01 03:06:49,916,61,98,3,6,2,1,0,Clear,0,1044
Central Hub,HUB,5000,2026-02-01 04:06:49,828,75,62,4,6,2,1,0,Rainy,1,916
Central Hub,HUB,5000,2026-02-01 05:06:49,1232,140,73,5,6,2,1,0,Clear,0,828
Central Hub,HUB,5000,2026-02-01 06:06:49,670,58,74,6,6,2,1,0,Snowy,2,1232
Central Hub,HUB,5000,2026-02-01 07:06:49,943,100,90,7,6,2,1,0,Clear,0,670
Central Hub,HUB,5000,2026-02-01 08:06:49,886,74,58,8,6,2,1,0,Clear,0,943
Central Hub,HUB,5000,2026-02-01 09:06:49,1258,146,66,9,6,2,1,0,Stormy,3,886
Central Hub,HUB,5000,2026-02-01 10:06:49,1204,63,118,10,6,2,1,0,Clear,0,1258
Central Hub,HUB,5000,2026-02-01 11:06:49,1033,118,121,11,6,2,1,0,Clear,0,1204
Central Hub,HUB,5000,2026-02-01 12:06:49,2282,249,165,12,6,2,1,0,Snowy,2,1033
Central Hub,HUB,5000,2026-02-01 13:06:49,2179,114,199,13,6,2,1,0,Rainy,1,2282
Central Hub,HUB,5000,2026-02-01 14:06:49,1739,175,94,14,6,2,1,0,Clear,0,2179
Central Hub,HUB,5000,2026-02-01 15:06:49,2319,203,244,15,6,2,1,0,Clear,0,1739
Central Hub,HUB,5000,2026-02-01 16:06:49,2216,206,146,16,6,2,1,0,Clear,0,2319
Central Hub,HUB,5000,2026-02-01 17:06:49,1070,118,55,17,6,2,1,0,Clear,0,2216
Central Hub,HUB,5000,2026-02-01 18:06:49,1278,135,153,18,6,2,1,0,Rainy,1,1070
Central Hub,HUB,5000,2026-02-01 19:06:49,1011,104,78,19,6,2,1,0,Clear,0,1278
Central Hub,HUB,5000,2026-02-01 20:06:49,1229,146,127,20,6,2,1,0,Clear,0,1011
Central Hub,HUB,5000,2026-02-01 21:06:49,1078,85,109,21,6,2,1,0,Clear,0,1229
Central Hub,HUB,5000,2026-02-01 22:06:49,924,64,65,22,6,2,1,0,Clear,0,1078
Central Hub,HUB,5000,2026-02-01 23:06:49,798,42,40,23,6,2,1,0,Clear,0,924
Central Hub,HUB,5000,2026-02-02 00:06:49,341,33,22,0,0,2,0,0,Stormy,3,798
Central Hub,HUB,5000,2026-02-02 01:06:49,448,47,25,1,0,2,0,0,Snowy,2,341
Central Hub,HUB,5000,2026-02-02 02:06:49,1327,81,158,2,0,2,0,0,Clear,0,448
Central Hub,HUB,5000,2026-02-02 03:06:49,584,67,55,3,0,2,0,0,Clear,0,1327
Central Hub,HUB,5000,2026-02-02 04:06:49,357,22,23,4,0,2,0,0,Clear,0,584
Central Hub,HUB,5000,2026-02-02 05:06:49,768,80,57,5,0,2,0,0,Clear,0,357
Central Hub,HUB,5000,2026-02-02 06:06:49,656,67,64,6,0,2,0,0,Clear,0,768
Central Hub,HUB,5000,2026-02-02 07:06:49,456,48,29,7,0,2,0,0,Clear,0,656
Central Hub,HUB,5000,2026-02-02 08:06:49,4339,772,374,8,0,2,0,0,Clear,0,456
Central Hub,HUB,5000,2026-02-02 09:06:49,4359,638,388,9,0,2,0,0,Rainy,1,4339
Central Hub,HUB,5000,2026-02-02 10:06:49,4260,745,366,10,0,2,0,0,Rainy,1,4359
Central Hub,HUB,5000,2026-02-02 11:06:49,2270,172,154,11,0,2,0,0,Clear,0,4260
Central Hub,HUB,5000,2026-02-02 12:06:49,1789,117,175,12,0,2,0,0,Clear,0,2270
Central Hub,HUB,5000,2026-02-02 13:06:49,1997,218,169,13,0,2,0,0,Clear,0,1789
Central Hub,HUB,5000,2026-02-02 14:06:49,3551,264,346,14,0,2,0,1,Clear,0,1997
Central Hub,HUB,5000,2026-02-02 15:06:49,2085,143,232,15,0,2,0,0,Clear,0,3551
Central Hub,HUB,5000,2026-02-02 16:06:49,2433,269,242,16,0,2,0,0,Rainy,1,2085
Central Hub,HUB,5000,2026-02-02 17:06:49,4230,802,539,17,0,2,0,0,Rainy,1,2433
