id,entry_station,entry_time,entry_gate,exit_station,exit_time,exit_gate,travel_duration_mins
PID-626C97A8,Hauz Khas,2026-07-19 06:45:00,Gate 3,Mandi House,2026-07-19 07:05:00,Gate 5,20
PID-E44F5BC7,Kashmere Gate,2026-07-19 06:47:00,Gate 5,INA,2026-07-19 07:05:00,Gate 4,18
PID-17C23B2F,Mandi House,2026-07-19 06:47:00,Gate 5,Dwarka Sector 21,2026-07-19 07:05:00,Gate 4,18
PID-926497F6,Dwarka Sector 21,2026-07-19 06:48:00,Gate 4,Yamuna Bank,2026-07-19 07:46:00,Gate 2,58
PID-A1C774DF,Yamuna Bank,2026-07-19 06:49:00,Gate 4,Kashmere Gate,2026-07-19 07:35:00,Gate 5,46
PID-CAB1C85E,Dwarka Sector 21,2026-07-19 06:49:00,Gate 5,INA,2026-07-19 07:05:00,Gate 4,16
PID-6DF48137,Mandi House,2026-07-19 06:49:00,Gate 2,Rajiv Chowk,2026-07-19 07:34:00,Gate 5,45
PID-8BB60996,Rajiv Chowk,2026-07-19 06:50:00,Gate 4,Mandi House,2026-07-19 07:09:00,Gate 1,19
PID-1D7D55C3,Botanical Garden,2026-07-19 06:50:00,Gate 4,Rajiv Chowk,2026-07-19 07:04:00,Gate 5,14
PID-118B2678,Rajiv Chowk,2026-07-19 06:52:00,Gate 1,Botanical Garden,2026-07-19 08:11:00,Gate 2,79
PID-C8AF84F6,Kashmere Gate,2026-07-19 06:52:00,Gate 2,Mandi House,2026-07-19 07:50:00,Gate 3,58
PID-ABABBB11,Rajiv Chowk,2026-07-19 06:52:00,Gate 3,Dwarka Sector 21,2026-07-19 08:14:00,Gate 2,82
PID-25BCD475,INA,2026-07-19 06:53:00,Gate 4,Mandi House,2026-07-19 07:46:00,Gate 4,53
PID-45DC072E,INA,2026-07-19 06:54:00,Gate 1,Dwarka Sector 21,2026-07-19 07:06:00,Gate 4,12
PID-52878E30,Botanical Garden,2026-07-19 06:54:00,Gate 2,Kashmere Gate,2026-07-19 07:30:00,Gate 4,36
PID-4E6E1724,Rajiv Chowk,2026-07-19 06:54:00,Gate 5,Hauz Khas,2026-07-19 07:23:00,Gate 3,29
PID-470D4AA9,Mandi House,2026-07-19 06:55:00,Gate 1,INA,2026-07-19 07:12:00,Gate 3,17
PID-0793D643,INA,2026-07-19 06:57:00,Gate 1,Dwarka Sector 21,2026-07-19 07:36:00,Gate 2,39
PID-9A222E8E,Hauz Khas,2026-07-19 06:57:00,Gate 3,Dwarka Sector 21,2026-07-19 07:40:00,Gate 5,43
PID-AD4C48C4,INA,2026-07-19 06:57:00,Gate 5,Yamuna Bank,2026-07-19 08:07:00,Gate 4,70
PID-A6BBE043,INA,2026-07-19 06:57:00,Gate 1,Rajiv Chowk,2026-07-19 08:13:00,Gate 2,76
PID-139A765B,Mandi House,2026-07-19 06:58:00,Gate 4,Yamuna Bank,2026-07-19 07:36:00,Gate 1,38
PID-745143BC,Dwarka Sector 21,2026-07-19 06:59:00,Gate 5,Mandi House,2026-07-19 08:26:00,Gate 4,87
PID-F9D4A1C0,Botanical Garden,2026-07-19 07:00:00,Gate 1,INA,2026-07-19 08:10:00,Gate 1,70
PID-B53CE9BD,Yamuna Bank,2026-07-19 07:00:00,Gate 5,Rajiv Chowk,2026-07-19 08:12:00,Gate 5,72
PID-DBBFFB7D,INA,2026-07-19 07:00:00,Gate 4,Botanical Garden,2026-07-19 07:41:00,Gate 3,41
PID-25CFB060,INA,2026-07-19 07:01:00,Gate 3,Dwarka Sector 21,2026-07-19 07:35:00,Gate 4,34
PID-5943A629,INA,2026-07-19 07:02:00,Gate 1,Rajiv Chowk,2026-07-19 08:00:00,Gate 3,58
PID-5694FACF,Yamuna Bank,2026-07-19 07:03:00,Gate 3,Rajiv Chowk,2026-07-19 08:18:00,Gate 2,75
PID-05077AC2,Yamuna Bank,2026-07-19 07:03:00,Gate 2,Botanical Garden,2026-07-19 07:49:00,Gate 3,46
PID-3EFED5B0,Kashmere Gate,2026-07-19 07:04:00,Gate 4,Hauz Khas,2026-07-19 07:56:00,Gate 4,52
PID-75A7D631,Mandi House,2026-07-19 07:05:00,Gate 4,Yamuna Bank,2026-07-19 07:17:00,Gate 2,12
PID-BF7ED504,Botanical Garden,2026-07-19 07:05:00,Gate 4,Yamuna Bank,2026-07-19 07:59:00,Gate 2,54
PID-2A7C059F,Mandi House,2026-07-19 07:05:00,Gate 3,Kashmere Gate,2026-07-19 08:19:00,Gate 1,74
PID-FCA3529F,Rajiv Chowk,2026-07-19 07:05:00,Gate 1,Mandi House,2026-07-19 07:43:00,Gate 2,38
PID-7DF74BFA,Dwarka Sector 21,2026-07-19 07:06:00,Gate 3,Mandi House,2026-07-19 07:43:00,Gate 1,37
PID-E7B4D623,INA,2026-07-19 07:07:00,Gate 1,Mandi House,2026-07-19 07:51:00,Gate 1,44
PID-E30CC288,Botanical Garden,2026-07-19 07:07:00,Gate 5,Hauz Khas,2026-07-19 08:29:00,Gate 2,82
PID-67E54A0C,INA,2026-07-19 07:07:00,Gate 3,Botanical Garden,2026-07-19 08:28:00,Gate 2,81
PID-BD5878E2,Yamuna Bank,2026-07-19 07:09:00,Gate 2,Botanical Garden,2026-07-19 08:25:00,Gate 2,76
PID-FA88D49D,Dwarka Sector 21,2026-07-19 07:10:00,Gate 5,Rajiv Chowk,2026-07-19 07:35:00,Gate 1,25
PID-33CFBD51,INA,2026-07-19 07:11:00,Gate 3,Hauz Khas,2026-07-19 07:36:00,Gate 5,25
PID-FB11C221,Botanical Garden,2026-07-19 07:12:00,Gate 2,Hauz Khas,2026-07-19 08:36:00,Gate 2,84
PID-3AA724F1,Yamuna Bank,2026-07-19 07:13:00,Gate 3,Rajiv Chowk,2026-07-19 08:15:00,Gate 2,62
PID-A4EB4E88,Hauz Khas,2026-07-19 07:14:00,Gate 1,INA,2026-07-19 07:33:00,Gate 3,19
PID-451B8AA0,Dwarka Sector 21,2026-07-19 07:16:00,Gate 2,Yamuna Bank,2026-07-19 08:13:00,Gate 4,57
PID-252A35AF,Dwarka Sector 21,2026-07-19 07:16:00,Gate 5,Yamuna Bank,2026-07-19 08:11:00,Gate 5,55
PID-A83929A9,INA,2026-07-19 07:17:00,Gate 1,Dwarka Sector 21,2026-07-19 08:21:00,Gate 2,64
PID-BC79B8D8,Rajiv Chowk,2026-07-19 07:18:00,Gate 5,Botanical Garden,2026-07-19 08:30:00,Gate 3,72
PID-EB188CF0,Mandi House,2026-07-19 07:19:00,Gate 5,Hauz Khas,2026-07-19 08:19:00,Gate 5,60
PID-3C99D7B0,Yamuna Bank,2026-07-19 07:19:00,Gate 4,Rajiv Chowk,2026-07-19 08:20:00,Gate 2,61
PID-EB07D77B,INA,2026-07-19 07:20:00,Gate 5,Yamuna Bank,2026-07-19 07:32:00,Gate 1,12
PID-F96FB86E,INA,2026-07-19 07:20:00,Gate 2,Kashmere Gate,2026-07-19 07:59:00,Gate 2,39
PID-8E92CFC8,Botanical Garden,2026-07-19 07:20:00,Gate 5,Kashmere Gate,2026-07-19 08:40:00,Gate 4,80
PID-4195D794,Botanical Garden,2026-07-19 07:20:00,Gate 2,Yamuna Bank,2026-07-19 07:48:00,Gate 3,28
PID-F2C07AFB,Yamuna Bank,2026-07-19 07:22:00,Gate 2,INA,2026-07-19 07:46:00,Gate 1,24
PID-B6D98345,Botanical Garden,2026-07-19 07:23:00,Gate 5,INA,2026-07-19 08:44:00,Gate 1,81
PID-82240D95,Mandi House,2026-07-19 07:24:00,Gate 3,Yamuna Bank,2026-07-19 08:15:00,Gate 3,51
PID-76C79856,Mandi House,2026-07-19 07:25:00,Gate 2,INA,2026-07-19 07:46:00,Gate 4,21
PID-76C09D93,Dwarka Sector 21,2026-07-19 07:25:00,Gate 4,Mandi House,2026-07-19 08:15:00,Gate 3,50
PID-A160E199,Dwarka Sector 21,2026-07-19 07:25:00,Gate 1,Yamuna Bank,2026-07-19 08:50:00,Gate 3,85
PID-8A4B1AED,Rajiv Chowk,2026-07-19 07:27:00,Gate 5,Mandi House,2026-07-19 07:45:00,Gate 1,18
PID-4A11E3B5,INA,2026-07-19 07:28:00,Gate 3,Botanical Garden,2026-07-19 08:33:00,Gate 5,65
PID-A857DD87,Botanical Garden,2026-07-19 07:29:00,Gate 1,Kashmere Gate,2026-07-19 08:51:00,Gate 2,82
PID-4FB093A5,Rajiv Chowk,2026-07-19 07:30:00,Gate 4,Yamuna Bank,2026-07-19 07:49:00,Gate 4,19
PID-13B9C637,Kashmere Gate,2026-07-19 07:31:00,Gate 4,Hauz Khas,2026-07-19 07:58:00,Gate 1,27
PID-49530B88,Yamuna Bank,2026-07-19 07:31:00,Gate 3,Mandi House,2026-07-19 08:40:00,Gate 2,69
PID-ACD32D7E,INA,2026-07-19 07:32:00,Gate 1,Hauz Khas,2026-07-19 07:49:00,Gate 3,17
PID-1EB59200,Botanical Garden,2026-07-19 07:32:00,Gate 3,Yamuna Bank,2026-07-19 08:02:00,Gate 4,30
PID-D21F8453,Dwarka Sector 21,2026-07-19 07:33:00,Gate 3,Yamuna Bank,2026-07-19 08:23:00,Gate 2,50
PID-0E1DCEBE,Rajiv Chowk,2026-07-19 07:33:00,Gate 2,Mandi House,2026-07-19 07:49:00,Gate 5,16
PID-56E8774E,Hauz Khas,2026-07-19 07:33:00,Gate 5,Kashmere Gate,2026-07-19 07:54:00,Gate 5,21
PID-9FCD938B,Kashmere Gate,2026-07-19 07:33:00,Gate 3,INA,2026-07-19 08:07:00,Gate 4,34
PID-0D76FA31,Mandi House,2026-07-19 07:34:00,Gate 1,Botanical Garden,2026-07-19 07:58:00,Gate 2,24
PID-3E463F3C,Dwarka Sector 21,2026-07-19 07:34:00,Gate 3,Rajiv Chowk,2026-07-19 08:34:00,Gate 1,60
PID-9F867DF7,Dwarka Sector 21,2026-07-19 07:34:00,Gate 3,Hauz Khas,2026-07-19 07:49:00,Gate 1,15
PID-B22E50F6,Botanical Garden,2026-07-19 07:34:00,Gate 4,INA,2026-07-19 08:08:00,Gate 3,34
PID-C4C653C7,Botanical Garden,2026-07-19 07:37:00,Gate 4,Yamuna Bank,2026-07-19 08:51:00,Gate 4,74
PID-4CBE2A4D,Kashmere Gate,2026-07-19 07:37:00,Gate 4,Mandi House,2026-07-19 08:05:00,Gate 1,28
PID-696511F7,Mandi House,2026-07-19 07:38:00,Gate 2,Hauz Khas,2026-07-19 08:30:00,Gate 5,52
PID-B649985D,Rajiv Chowk,2026-07-19 07:38:00,Gate 4,Yamuna Bank,2026-07-19 08:15:00,Gate 4,37
PID-80195BE0,Dwarka Sector 21,2026-07-19 07:39:00,Gate 3,Rajiv Chowk,2026-07-19 07:56:00,Gate 2,17
PID-BFF39CD1,Mandi House,2026-07-19 07:39:00,Gate 4,Yamuna Bank,2026-07-19 09:08:00,Gate 4,89
PID-BFDB6087,Dwarka Sector 21,2026-07-19 07:40:00,Gate 5,Yamuna Bank,2026-07-19 08:44:00,Gate 5,64
PID-0473639E,Mandi House,2026-07-19 07:40:00,Gate 4,Hauz Khas,2026-07-19 08:31:00,Gate 4,51
PID-6635F051,INA,2026-07-19 07:40:00,Gate 3,Mandi House,2026-07-19 08:30:00,Gate 5,50
PID-977037B1,Hauz Khas,2026-07-19 07:41:00,Gate 4,Rajiv Chowk,2026-07-19 08:33:00,Gate 1,52
PID-67B9F301,Dwarka Sector 21,2026-07-19 07:42:00,Gate 2,Kashmere Gate,2026-07-19 09:10:00,Gate 2,88
PID-6501A273,Botanical Garden,2026-07-19 07:42:00,Gate 3,Kashmere Gate,2026-07-19 08:41:00,Gate 5,59
PID-3B97BE52,Rajiv Chowk,2026-07-19 07:42:00,Gate 5,Kashmere Gate,2026-07-19 08:20:00,Gate 5,38
PID-A9D39F00,Kashmere Gate,2026-07-19 07:45:00,Gate 5,Dwarka Sector 21,2026-07-19 08:38:00,Gate 5,53
PID-E15C51F9,Hauz Khas,2026-07-19 07:45:00,Gate 4,Kashmere Gate,2026-07-19 07:57:00,Gate 5,12
PID-BAF4C562,Dwarka Sector 21,2026-07-19 07:46:00,Gate 4,INA,2026-07-19 09:01:00,Gate 4,75
PID-4B9183E0,Dwarka Sector 21,2026-07-19 07:47:00,Gate 1,Mandi House,2026-07-19 07:58:00,Gate 3,11
PID-1281C679,Botanical Garden,2026-07-19 07:47:00,Gate 4,Rajiv Chowk,2026-07-19 09:16:00,Gate 1,89
PID-F74286FC,Kashmere Gate,2026-07-19 07:47:00,Gate 5,Rajiv Chowk,2026-07-19 08:00:00,Gate 1,13
PID-8A2B1F33,INA,2026-07-19 07:47:00,Gate 1,Rajiv Chowk,2026-07-19 08:22:00,Gate 4,35
PID-FE596D63,Botanical Garden,2026-07-19 07:48:00,Gate 1,Mandi House,2026-07-19 09:13:00,Gate 3,85
PID-175FF175,Rajiv Chowk,2026-07-19 07:48:00,Gate 2,INA,2026-07-19 09:00:00,Gate 4,72
PID-D1859E0B,Mandi House,2026-07-19 07:50:00,Gate 4,INA,2026-07-19 08:55:00,Gate 2,65
PID-444688FB,Hauz Khas,2026-07-19 07:51:00,Gate 1,Dwarka Sector 21,2026-07-19 08:54:00,Gate 2,63
PID-611F0BE8,Mandi House,2026-07-19 07:53:00,Gate 1,Botanical Garden,2026-07-19 09:06:00,Gate 5,73
PID-FBACE23E,Botanical Garden,2026-07-19 07:53:00,Gate 5,Yamuna Bank,2026-07-19 08:42:00,Gate 4,49
PID-2A59B009,Yamuna Bank,2026-07-19 07:54:00,Gate 1,Dwarka Sector 21,2026-07-19 09:19:00,Gate 3,85
PID-35C75988,Yamuna Bank,2026-07-19 07:56:00,Gate 5,INA,2026-07-19 08:16:00,Gate 2,20
PID-6FC089D4,Botanical Garden,2026-07-19 07:58:00,Gate 5,INA,2026-07-19 08:58:00,Gate 5,60
PID-564E8083,Mandi House,2026-07-19 07:58:00,Gate 4,Kashmere Gate,2026-07-19 09:26:00,Gate 4,88
PID-0BCF7435,Rajiv Chowk,2026-07-19 07:59:00,Gate 1,Mandi House,2026-07-19 08:42:00,Gate 5,43
PID-C69EF7FE,Rajiv Chowk,2026-07-19 07:59:00,Gate 4,Hauz Khas,2026-07-19 08:57:00,Gate 4,58
PID-CEAE2EFB,INA,2026-07-19 08:00:00,Gate 2,Botanical Garden,2026-07-19 09:22:00,Gate 4,82
PID-C7A1E19B,Rajiv Chowk,2026-07-19 08:01:00,Gate 2,Dwarka Sector 21,2026-07-19 09:17:00,Gate 4,76
PID-0AF2425F,Kashmere Gate,2026-07-19 08:01:00,Gate 2,Yamuna Bank,2026-07-19 08:45:00,Gate 3,44
PID-504ACD39,Hauz Khas,2026-07-19 08:01:00,Gate 4,INA,2026-07-19 08:47:00,Gate 3,46
PID-8726378D,Dwarka Sector 21,2026-07-19 08:02:00,Gate 5,INA,2026-07-19 09:15:00,Gate 3,73
PID-430B2EFF,Kashmere Gate,2026-07-19 08:03:00,Gate 3,Rajiv Chowk,2026-07-19 09:02:00,Gate 5,59
PID-D498CA9D,Rajiv Chowk,2026-07-19 08:03:00,Gate 4,Dwarka Sector 21,2026-07-19 09:17:00,Gate 3,74
PID-3C195AA8,Mandi House,2026-07-19 08:04:00,Gate 2,Yamuna Bank,2026-07-19 08:43:00,Gate 4,39
PID-5443D571,Kashmere Gate,2026-07-19 08:04:00,Gate 2,Hauz Khas,2026-07-19 08:59:00,Gate 2,55
PID-A98DAC32,Rajiv Chowk,2026-07-19 08:05:00,Gate 3,INA,2026-07-19 09:28:00,Gate 2,83
PID-E83FA5A0,Yamuna Bank,2026-07-19 08:05:00,Gate 2,Botanical Garden,2026-07-19 08:58:00,Gate 2,53
PID-B1B1FD05,Yamuna Bank,2026-07-19 08:05:00,Gate 3,Botanical Garden,2026-07-19 08:24:00,Gate 5,19
PID-C61C6B0B,Hauz Khas,2026-07-19 08:06:00,Gate 1,Rajiv Chowk,2026-07-19 09:09:00,Gate 4,63
PID-9DD1874D,Hauz Khas,2026-07-19 08:06:00,Gate 3,Mandi House,2026-07-19 09:16:00,Gate 2,70
PID-4F757179,Yamuna Bank,2026-07-19 08:06:00,Gate 1,Hauz Khas,2026-07-19 09:28:00,Gate 1,82
PID-C1832DE8,Hauz Khas,2026-07-19 08:07:00,Gate 2,Botanical Garden,2026-07-19 08:46:00,Gate 2,39
PID-1567C638,Yamuna Bank,2026-07-19 08:07:00,Gate 2,Botanical Garden,2026-07-19 09:05:00,Gate 1,58
PID-3FFC85EF,Dwarka Sector 21,2026-07-19 08:07:00,Gate 2,Hauz Khas,2026-07-19 09:29:00,Gate 2,82
PID-5E7344C4,Kashmere Gate,2026-07-19 08:07:00,Gate 2,Yamuna Bank,2026-07-19 09:34:00,Gate 5,87
PID-59F468A8,Hauz Khas,2026-07-19 08:08:00,Gate 3,INA,2026-07-19 09:19:00,Gate 5,71
PID-251F0941,Rajiv Chowk,2026-07-19 08:08:00,Gate 2,Dwarka Sector 21,2026-07-19 08:19:00,Gate 2,11
PID-612B12EB,Rajiv Chowk,2026-07-19 08:08:00,Gate 3,Hauz Khas,2026-07-19 09:31:00,Gate 5,83
PID-6D639736,Hauz Khas,2026-07-19 08:08:00,Gate 5,Dwarka Sector 21,2026-07-19 09:15:00,Gate 1,67
PID-EF1EF578,Botanical Garden,2026-07-19 08:08:00,Gate 4,Mandi House,2026-07-19 08:56:00,Gate 3,48
PID-722019FA,INA,2026-07-19 08:08:00,Gate 1,Kashmere Gate,2026-07-19 08:58:00,Gate 5,50
PID-A6B18055,Dwarka Sector 21,2026-07-19 08:09:00,Gate 5,Yamuna Bank,2026-07-19 08:39:00,Gate 3,30
PID-6E9F87EE,Mandi House,2026-07-19 08:09:00,Gate 1,Kashmere Gate,2026-07-19 09:15:00,Gate 4,66
PID-7CC3A63E,Yamuna Bank,2026-07-19 08:09:00,Gate 3,Dwarka Sector 21,2026-07-19 09:19:00,Gate 3,70
PID-99C766F2,Botanical Garden,2026-07-19 08:10:00,Gate 2,Hauz Khas,2026-07-19 08:39:00,Gate 5,29
PID-ABBB4AFA,Mandi House,2026-07-19 08:11:00,Gate 3,INA,2026-07-19 08:22:00,Gate 4,11
PID-0E88475A,Rajiv Chowk,2026-07-19 08:11:00,Gate 1,Mandi House,2026-07-19 09:17:00,Gate 5,66
PID-DC46E3BC,Hauz Khas,2026-07-19 08:11:00,Gate 2,Rajiv Chowk,2026-07-19 08:32:00,Gate 2,21
PID-00E2ACF1,Kashmere Gate,2026-07-19 08:11:00,Gate 4,Yamuna Bank,2026-07-19 09:11:00,Gate 5,60
PID-6BFAB070,Rajiv Chowk,2026-07-19 08:12:00,Gate 2,Hauz Khas,2026-07-19 08:30:00,Gate 3,18
PID-31DE30C6,Dwarka Sector 21,2026-07-19 08:14:00,Gate 4,Hauz Khas,2026-07-19 08:50:00,Gate 5,36
PID-CDE5F7B1,Mandi House,2026-07-19 08:14:00,Gate 1,Hauz Khas,2026-07-19 09:42:00,Gate 5,88
PID-605698B2,INA,2026-07-19 08:15:00,Gate 2,Botanical Garden,2026-07-19 08:48:00,Gate 2,33
PID-F9F1242A,INA,2026-07-19 08:15:00,Gate 2,Botanical Garden,2026-07-19 09:28:00,Gate 2,73
PID-764516EA,Dwarka Sector 21,2026-07-19 08:15:00,Gate 5,Yamuna Bank,2026-07-19 08:55:00,Gate 1,40
PID-9DB1959C,Rajiv Chowk,2026-07-19 08:15:00,Gate 4,Botanical Garden,2026-07-19 09:00:00,Gate 3,45
PID-E0D61AE0,Dwarka Sector 21,2026-07-19 08:16:00,Gate 4,Mandi House,2026-07-19 09:32:00,Gate 5,76
PID-5CC676EF,Mandi House,2026-07-19 08:16:00,Gate 5,Rajiv Chowk,2026-07-19 09:28:00,Gate 4,72
