id,station_name,timestamp,temperature,humidity,co2_ppm,pm25,platform_crowd,escalator_status,lift_status,camera_status
SNS_000029,Yamuna Bank,2026-03-01 02:00:00,22.9,62.0,537,130,1,Active,Active,Active
SNS_000030,Inderlok,2026-03-01 02:00:00,23.0,63.4,453,89,10,Active,Active,Active
SNS_000031,Rajiv Chowk,2026-03-01 03:00:00,21.3,64.6,782,140,3,Active,Active,Active
SNS_000032,Kashmere Gate,2026-03-01 03:00:00,23.8,52.1,829,126,7,Active,Active,Active
SNS_000033,New Delhi,2026-03-01 03:00:00,23.8,45.3,645,99,8,Active,Active,Active
SNS_000034,Hauz Khas,2026-03-01 03:00:00,24.1,59.2,788,51,4,Active,Active,Active
SNS_000035,Botanical Garden,2026-03-01 03:00:00,22.4,48.5,720,100,9,Active,Active,Active
SNS_000036,Janakpuri West,2026-03-01 03:00:00,23.8,59.5,631,133,7,Active,Active,Active
SNS_000037,Lajpat Nagar,2026-03-01 03:00:00,24.5,61.9,750,108,5,Under Maintenance,Active,Active
SNS_000038,Central Secretariat,2026-03-01 03:00:00,22.7,51.1,507,58,1,Active,Active,Active
SNS_000039,Yamuna Bank,2026-03-01 03:00:00,24.1,54.9,651,118,1,Active,Active,Active
SNS_000040,Inderlok,2026-03-01 03:00:00,22.2,51.2,491,78,3,Active,Active,Active
SNS_000041,Rajiv Chowk,2026-03-01 04:00:00,23.7,57.3,637,50,6,Active,Active,Active
SNS_000042,Kashmere Gate,2026-03-01 04:00:00,24.2,56.3,653,125,6,Active,Active,Active
SNS_000043,New Delhi,2026-03-01 04:00:00,22.7,64.7,505,65,4,Active,Active,Active
SNS_000044,Hauz Khas,2026-03-01 04:00:00,21.5,55.1,629,110,2,Active,Active,Active
SNS_000045,Botanical Garden,2026-03-01 04:00:00,23.8,63.7,768,48,10,Active,Active,Active
SNS_000046,Janakpuri West,2026-03-01 04:00:00,21.3,57.5,578,55,0,Active,Active,Active
SNS_000047,Lajpat Nagar,2026-03-01 04:00:00,23.8,54.4,738,138,5,Active,Active,Active
SNS_000048,Central Secretariat,2026-03-01 04:00:00,21.2,51.2,545,97,7,Active,Active,Active
SNS_000049,Yamuna Bank,2026-03-01 04:00:00,21.5,45.6,812,46,6,Active,Active,Active
SNS_000050,Inderlok,2026-03-01 04:00:00,21.7,61.4,822,100,9,Active,Active,Active
SNS_000051,Rajiv Chowk,2026-03-01 05:00:00,22.9,61.1,685,83,6,Active,Active,Active
SNS_000052,Kashmere Gate,2026-03-01 05:00:00,23.8,64.6,463,106,8,Active,Active,Active
SNS_000053,New Delhi,2026-03-01 05:00:00,22.0,56.5,681,83,3,Active,Active,Active
SNS_000054,Hauz Khas,2026-03-01 05:00:00,23.8,52.1,562,54,8,Active,Active,Active
SNS_000055,Botanical Garden,2026-03-01 05:00:00,22.7,55.6,777,47,1,Active,Active,Active
SNS_000056,Janakpuri West,2026-03-01 05:00:00,24.4,64.3,558,134,7,Active,Active,Active
SNS_000057,Lajpat Nagar,2026-03-01 05:00:00,22.1,54.3,520,111,0,Active,Active,Active
SNS_000058,Central Secretariat,2026-03-01 05:00:00,22.2,64.1,802,145,6,Active,Active,Active
SNS_000059,Yamuna Bank,2026-03-01 05:00:00,22.9,51.0,602,48,1,Active,Active,Active
SNS_000060,Inderlok,2026-03-01 05:00:00,21.4,62.1,688,97,1,Active,Active,Active
SNS_000061,Rajiv Chowk,2026-03-01 06:00:00,22.5,49.7,592,92,192,Active,Active,Active
SNS_000062,Kashmere Gate,2026-03-01 06:00:00,23.5,50.4,619,146,219,Active,Active,Active
SNS_000063,New Delhi,2026-03-01 06:00:00,21.5,49.7,597,75,282,Active,Active,Active
SNS_000064,Hauz Khas,2026-03-01 06:00:00,21.3,52.1,606,42,299,Active,Active,Active
SNS_000065,Botanical Garden,2026-03-01 06:00:00,23.2,56.9,619,75,214,Active,Active,Active
SNS_000066,Janakpuri West,2026-03-01 06:00:00,23.2,60.2,669,134,132,Active,Active,Active
SNS_000067,Lajpat Nagar,2026-03-01 06:00:00,21.5,47.1,640,116,369,Active,Active,Active
SNS_000068,Central Secretariat,2026-03-01 06:00:00,22.2,52.0,821,53,297,Active,Under Maintenance,Active
SNS_000069,Yamuna Bank,2026-03-01 06:00:00,21.9,58.2,696,98,172,Active,Active,Active
SNS_000070,Inderlok,2026-03-01 06:00:00,21.1,51.2,848,150,176,Active,Active,Active
SNS_000071,Rajiv Chowk,2026-03-01 07:00:00,21.2,50.5,620,150,374,Active,Active,Active
SNS_000072,Kashmere Gate,2026-03-01 07:00:00,22.7,50.4,713,59,161,Active,Active,Active
SNS_000073,New Delhi,2026-03-01 07:00:00,24.4,63.0,642,53,368,Active,Active,Active
SNS_000074,Hauz Khas,2026-03-01 07:00:00,23.3,54.2,783,84,381,Active,Active,Active
SNS_000075,Botanical Garden,2026-03-01 07:00:00,22.1,56.9,818,139,286,Active,Active,Active
SNS_000076,Janakpuri West,2026-03-01 07:00:00,21.6,56.3,781,70,184,Active,Active,Active
SNS_000077,Lajpat Nagar,2026-03-01 07:00:00,22.2,63.3,561,110,237,Active,Active,Active
SNS_000078,Central Secretariat,2026-03-01 07:00:00,23.6,47.1,694,150,252,Active,Active,Active
SNS_000079,Yamuna Bank,2026-03-01 07:00:00,23.0,48.0,756,127,314,Under Maintenance,Active,Active
SNS_000080,Inderlok,2026-03-01 07:00:00,21.7,50.9,698,135,321,Active,Active,Active
SNS_000081,Rajiv Chowk,2026-03-01 08:00:00,23.5,51.2,596,101,875,Active,Active,Active
SNS_000082,Kashmere Gate,2026-03-01 08:00:00,24.4,63.8,581,109,1135,Active,Inactive,Active
SNS_000083,New Delhi,2026-03-01 08:00:00,21.7,56.8,608,66,1388,Active,Active,Active
SNS_000084,Hauz Khas,2026-03-01 08:00:00,21.9,47.7,768,124,1481,Active,Active,Active
SNS_000085,Botanical Garden,2026-03-01 08:00:00,21.6,60.9,540,44,539,Active,Active,Active
SNS_000086,Janakpuri West,2026-03-01 08:00:00,24.1,54.9,477,57,701,Active,Active,Active
SNS_000087,Lajpat Nagar,2026-03-01 08:00:00,24.4,46.9,600,47,798,Active,Active,Active
SNS_000088,Central Secretariat,2026-03-01 08:00:00,23.8,52.7,510,99,1472,Active,Active,Active
SNS_000089,Yamuna Bank,2026-03-01 08:00:00,23.1,57.3,717,145,530,Inactive,Active,Active
SNS_000090,Inderlok,2026-03-01 08:00:00,21.1,49.8,495,93,595,Active,Active,Active
SNS_000091,Rajiv Chowk,2026-03-01 09:00:00,22.8,52.9,848,68,628,Active,Active,Active
SNS_000092,Kashmere Gate,2026-03-01 09:00:00,23.0,54.1,658,95,1180,Active,Active,Active
SNS_000093,New Delhi,2026-03-01 09:00:00,22.3,51.7,695,132,994,Active,Under Maintenance,Active
SNS_000094,Hauz Khas,2026-03-01 09:00:00,24.0,52.8,730,83,862,Active,Active,Active
SNS_000095,Botanical Garden,2026-03-01 09:00:00,23.6,46.8,608,139,1440,Active,Active,Active
SNS_000096,Janakpuri West,2026-03-01 09:00:00,22.8,48.4,605,132,1026,Active,Active,Active
SNS_000097,Lajpat Nagar,2026-03-01 09:00:00,21.2,45.2,569,63,614,Active,Active,Active
SNS_000098,Central Secretariat,2026-03-01 09:00:00,24.0,60.0,701,94,510,Active,Active,Active
SNS_000099,Yamuna Bank,2026-03-01 09:00:00,23.5,64.7,752,111,1163,Active,Active,Active
SNS_000100,Inderlok,2026-03-01 09:00:00,22.5,48.8,702,90,1156,Active,Active,Active
SNS_000101,Rajiv Chowk,2026-03-01 10:00:00,21.2,56.9,504,99,512,Active,Active,Active
SNS_000102,Kashmere Gate,2026-03-01 10:00:00,22.0,53.6,662,126,1319,Active,Active,Active
SNS_000103,New Delhi,2026-03-01 10:00:00,21.7,64.2,690,109,1173,Active,Active,Active
SNS_000104,Hauz Khas,2026-03-01 10:00:00,22.6,62.7,534,45,838,Active,Active,Active
SNS_000105,Botanical Garden,2026-03-01 10:00:00,23.3,64.1,810,140,539,Active,Active,Active
SNS_000106,Janakpuri West,2026-03-01 10:00:00,23.2,65.0,472,106,551,Active,Active,Active
SNS_000107,Lajpat Nagar,2026-03-01 10:00:00,23.1,54.3,819,80,887,Active,Active,Active
SNS_000108,Central Secretariat,2026-03-01 10:00:00,22.6,46.7,722,44,954,Active,Active,Active
SNS_000109,Yamuna Bank,2026-03-01 10:00:00,23.0,51.2,492,146,996,Active,Active,Active
SNS_000110,Inderlok,2026-03-01 10:00:00,22.0,56.5,728,90,1396,Active,Active,Active
SNS_000111,Rajiv Chowk,2026-03-01 11:00:00,21.8,64.2,491,138,311,Active,Active,Active
SNS_000112,Kashmere Gate,2026-03-01 11:00:00,24.3,59.2,843,52,144,Active,Active,Active
SNS_000113,New Delhi,2026-03-01 11:00:00,24.3,63.0,459,66,205,Active,Active,Active
SNS_000114,Hauz Khas,2026-03-01 11:00:00,22.5,53.1,715,114,113,Active,Active,Active
SNS_000115,Botanical Garden,2026-03-01 11:00:00,23.3,61.3,709,125,326,Active,Active,Active
SNS_000116,Janakpuri West,2026-03-01 11:00:00,23.7,59.4,512,92,384,Active,Active,Active
SNS_000117,Lajpat Nagar,2026-03-01 11:00:00,21.3,51.8,553,67,348,Under Maintenance,Active,Active
SNS_000118,Central Secretariat,2026-03-01 11:00:00,23.7,54.4,752,87,114,Under Maintenance,Active,Active
SNS_000119,Yamuna Bank,2026-03-01 11:00:00,22.7,64.9,590,148,109,Active,Active,Active
SNS_000120,Inderlok,2026-03-01 11:00:00,24.2,51.1,751,41,268,Active,Active,Active
SNS_000121,Rajiv Chowk,2026-03-01 12:00:00,21.9,60.4,472,131,109,Active,Active,Active
SNS_000122,Kashmere Gate,2026-03-01 12:00:00,23.9,56.4,841,123,213,Active,Active,Active
SNS_000123,New Delhi,2026-03-01 12:00:00,21.5,63.3,818,41,364,Active,Active,Active
SNS_000124,Hauz Khas,2026-03-01 12:00:00,22.3,49.2,627,106,119,Active,Active,Active
SNS_000125,Botanical Garden,2026-03-01 12:00:00,22.4,47.6,564,123,153,Active,Active,Active
SNS_000126,Janakpuri West,2026-03-01 12:00:00,22.5,50.8,608,126,398,Active,Active,Active
SNS_000127,Lajpat Nagar,2026-03-01 12:00:00,24.0,48.5,555,68,123,Active,Active,Inactive
SNS_000128,Central Secretariat,2026-03-01 12:00:00,23.5,52.6,471,107,296,Active,Active,Active
SNS_000129,Yamuna Bank,2026-03-01 12:00:00,23.0,63.6,790,67,170,Active,Active,Active
SNS_000130,Inderlok,2026-03-01 12:00:00,21.8,57.3,680,44,284,Active,Active,Active
SNS_000131,Rajiv Chowk,2026-03-01 13:00:00,21.1,48.2,489,42,130,Active,Active,Active
SNS_000132,Kashmere Gate,2026-03-01 13:00:00,21.3,63.9,698,62,247,Active,Active,Active
SNS_000133,New Delhi,2026-03-01 13:00:00,22.9,57.3,526,142,181,Active,Under Maintenance,Active
SNS_000134,Hauz Khas,2026-03-01 13:00:00,21.2,47.6,755,117,156,Active,Active,Active
SNS_000135,Botanical Garden,2026-03-01 13:00:00,22.9,57.8,451,66,284,Active,Active,Active
SNS_000136,Janakpuri West,2026-03-01 13:00:00,22.2,63.4,741,106,325,Active,Active,Active
SNS_000137,Lajpat Nagar,2026-03-01 13:00:00,22.6,54.7,516,114,334,Active,Active,Active
SNS_000138,Central Secretariat,2026-03-01 13:00:00,24.4,45.5,603,109,311,Active,Active,Active
SNS_000139,Yamuna Bank,2026-03-01 13:00:00,21.3,62.4,466,50,286,Active,Active,Active
SNS_000140,Inderlok,2026-03-01 13:00:00,24.0,55.7,603,123,294,Active,Active,Active
SNS_000141,Rajiv Chowk,2026-03-01 14:00:00,22.4,46.9,796,67,100,Active,Active,Active
SNS_000142,Kashmere Gate,2026-03-01 14:00:00,24.4,54.8,571,88,221,Active,Active,Active
SNS_000143,New Delhi,2026-03-01 14:00:00,21.3,47.8,602,107,213,Active,Active,Active
SNS_000144,Hauz Khas,2026-03-01 14:00:00,23.2,46.2,800,62,287,Active,Active,Active
SNS_000145,Botanical Garden,2026-03-01 14:00:00,23.6,46.0,497,40,191,Active,Active,Active
SNS_000146,Janakpuri West,2026-03-01 14:00:00,23.9,55.0,707,45,314,Active,Active,Active
SNS_000147,Lajpat Nagar,2026-03-01 14:00:00,24.2,63.8,568,69,178,Active,Active,Active
SNS_000148,Central Secretariat,2026-03-01 14:00:00,23.5,53.9,568,126,295,Active,Active,Active
SNS_000149,Yamuna Bank,2026-03-01 14:00:00,24.3,57.8,746,85,363,Active,Active,Active
SNS_000150,Inderlok,2026-03-01 14:00:00,21.5,45.9,488,128,179,Active,Active,Active
SNS_000151,Rajiv Chowk,2026-03-01 15:00:00,22.6,63.3,572,83,152,Active,Active,Active
SNS_000152,Kashmere Gate,2026-03-01 15:00:00,21.6,54.9,593,81,175,Active,Active,Active
SNS_000153,New Delhi,2026-03-01 15:00:00,24.5,51.3,738,42,362,Active,Active,Active
SNS_000154,Hauz Khas,2026-03-01 15:00:00,21.6,46.3,579,56,384,Active,Active,Active
SNS_000155,Botanical Garden,2026-03-01 15:00:00,21.9,55.5,518,111,304,Active,Active,Active
SNS_000156,Janakpuri West,2026-03-01 15:00:00,23.1,47.1,808,45,309,Active,Active,Active
SNS_000157,Lajpat Nagar,2026-03-01 15:00:00,21.9,64.5,832,112,166,Inactive,Active,Active
SNS_000158,Central Secretariat,2026-03-01 15:00:00,21.4,51.3,846,54,158,Active,Active,Active
SNS_000159,Yamuna Bank,2026-03-01 15:00:00,24.0,63.8,770,134,199,Active,Active,Active
SNS_000160,Inderlok,2026-03-01 15:00:00,21.4,59.0,603,65,190,Active,Active,Active
SNS_000161,Rajiv Chowk,2026-03-01 16:00:00,21.4,52.4,734,121,175,Active,Active,Active
SNS_000162,Kashmere Gate,2026-03-01 16:00:00,22.2,55.8,465,75,241,Active,Active,Active
SNS_000163,New Delhi,2026-03-01 16:00:00,21.4,53.4,586,87,256,Active,Active,Active
SNS_000164,Hauz Khas,2026-03-01 16:00:00,21.2,62.9,559,84,109,Active,Active,Active
SNS_000165,Botanical Garden,2026-03-01 16:00:00,22.6,51.1,545,99,356,Active,Active,Active
SNS_000166,Janakpuri West,2026-03-01 16:00:00,22.8,56.3,669,119,164,Active,Active,Active
SNS_000167,Lajpat Nagar,2026-03-01 16:00:00,23.2,59.1,585,120,358,Active,Active,Active
SNS_000168,Central Secretariat,2026-03-01 16:00:00,22.8,49.6,616,97,392,Active,Active,Active
SNS_000169,Yamuna Bank,2026-03-01 16:00:00,22.7,63.4,760,74,145,Active,Active,Active
SNS_000170,Inderlok,2026-03-01 16:00:00,24.2,60.7,773,41,308,Active,Active,Active
SNS_000171,Rajiv Chowk,2026-03-01 17:00:00,22.5,57.3,814,46,1057,Active,Active,Active
SNS_000172,Kashmere Gate,2026-03-01 17:00:00,22.2,48.7,483,135,649,Active,Active,Active
SNS_000173,New Delhi,2026-03-01 17:00:00,21.7,59.7,555,59,792,Active,Active,Active
SNS_000174,Hauz Khas,2026-03-01 17:00:00,24.4,49.2,651,59,998,Active,Active,Active
SNS_000175,Botanical Garden,2026-03-01 17:00:00,23.8,60.5,820,59,1392,Active,Active,Active
SNS_000176,Janakpuri West,2026-03-01 17:00:00,21.4,64.3,522,66,551,Active,Active,Active
SNS_000177,Lajpat Nagar,2026-03-01 17:00:00,22.9,56.9,709,64,735,Active,Active,Active
SNS_000178,Central Secretariat,2026-03-01 17:00:00,22.7,62.4,503,50,1481,Active,Active,Active
SNS_000179,Yamuna Bank,2026-03-01 17:00:00,21.2,49.4,606,145,1207,Active,Active,Active
SNS_000180,Inderlok,2026-03-01 17:00:00,22.3,57.6,776,100,1435,Active,Active,Active
SNS_000181,Rajiv Chowk,2026-03-01 18:00:00,21.8,63.2,631,59,904,Active,Active,Active
SNS_000182,Kashmere Gate,2026-03-01 18:00:00,24.0,46.8,512,87,634,Active,Active,Active
SNS_000183,New Delhi,2026-03-01 18:00:00,23.3,45.6,817,119,976,Active,Active,Active
SNS_000184,Hauz Khas,2026-03-01 18:00:00,21.4,49.9,667,122,1037,Active,Active,Active
SNS_000185,Botanical Garden,2026-03-01 18:00:00,24.4,57.1,784,49,1031,Active,Active,Active
SNS_000186,Janakpuri West,2026-03-01 18:00:00,24.2,50.3,544,50,526,Active,Active,Active
SNS_000187,Lajpat Nagar,2026-03-01 18:00:00,23.8,52.2,504,126,617,Active,Active,Active
SNS_000188,Central Secretariat,2026-03-01 18:00:00,21.3,49.8,621,86,601,Active,Active,Active
SNS_000189,Yamuna Bank,2026-03-01 18:00:00,22.9,47.6,615,68,1196,Active,Active,Active
SNS_000190,Inderlok,2026-03-01 18:00:00,21.1,50.6,505,137,527,Active,Active,Active
SNS_000191,Rajiv Chowk,2026-03-01 19:00:00,24.3,60.2,709,53,863,Active,Active,Active
SNS_000192,Kashmere Gate,2026-03-01 19:00:00,21.6,53.1,579,131,1056,Active,Active,Active
SNS_000193,New Delhi,2026-03-01 19:00:00,23.1,45.1,485,105,896,Active,Active,Active
SNS_000194,Hauz Khas,2026-03-01 19:00:00,23.9,58.3,675,50,618,Active,Active,Active
SNS_000195,Botanical Garden,2026-03-01 19:00:00,22.4,54.6,758,127,629,Active,Active,Active
SNS_000196,Janakpuri West,2026-03-01 19:00:00,23.1,56.7,722,83,1264,Active,Active,Active
SNS_000197,Lajpat Nagar,2026-03-01 19:00:00,21.2,55.0,566,78,1042,Active,Active,Active
SNS_000198,Central Secretariat,2026-03-01 19:00:00,23.3,53.2,573,140,691,Active,Active,Active
SNS_000199,Yamuna Bank,2026-03-01 19:00:00,24.3,45.8,577,64,1106,Inactive,Active,Active
SNS_000200,Inderlok,2026-03-01 19:00:00,22.1,45.4,577,137,736,Active,Active,Active
SNS_000201,Rajiv Chowk,2026-03-01 20:00:00,23.5,57.1,502,121,850,Active,Active,Active
SNS_000202,Kashmere Gate,2026-03-01 20:00:00,24.5,46.0,793,95,1306,Active,Active,Inactive
SNS_000203,New Delhi,2026-03-01 20:00:00,23.5,61.8,805,58,1132,Under Maintenance,Active,Active
SNS_000204,Hauz Khas,2026-03-01 20:00:00,22.2,54.5,603,67,803,Active,Active,Active
SNS_000205,Botanical Garden,2026-03-01 20:00:00,21.5,52.7,626,84,1109,Active,Active,Active
SNS_000206,Janakpuri West,2026-03-01 20:00:00,22.4,52.0,679,117,1221,Active,Active,Active
SNS_000207,Lajpat Nagar,2026-03-01 20:00:00,23.9,49.1,486,131,969,Active,Active,Active
SNS_000208,Central Secretariat,2026-03-01 20:00:00,23.0,62.2,627,142,1067,Active,Active,Active
SNS_000209,Yamuna Bank,2026-03-01 20:00:00,21.9,47.0,637,143,717,Active,Active,Active
SNS_000210,Inderlok,2026-03-01 20:00:00,23.4,46.2,544,91,858,Active,Active,Active
SNS_000211,Rajiv Chowk,2026-03-01 21:00:00,22.7,63.5,751,81,142,Active,Active,Active
SNS_000212,Kashmere Gate,2026-03-01 21:00:00,23.2,46.8,661,150,198,Active,Active,Active
SNS_000213,New Delhi,2026-03-01 21:00:00,22.4,45.3,537,90,400,Active,Active,Active
SNS_000214,Hauz Khas,2026-03-01 21:00:00,21.6,58.6,624,41,109,Active,Active,Active
SNS_000215,Botanical Garden,2026-03-01 21:00:00,22.8,57.8,514,139,223,Active,Active,Active
SNS_000216,Janakpuri West,2026-03-01 21:00:00,22.3,54.3,593,88,226,Active,Active,Active
SNS_000217,Lajpat Nagar,2026-03-01 21:00:00,21.2,63.6,711,53,102,Active,Active,Active
SNS_000218,Central Secretariat,2026-03-01 21:00:00,24.0,52.2,499,68,223,Active,Active,Active
SNS_000219,Yamuna Bank,2026-03-01 21:00:00,22.5,53.9,763,58,218,Inactive,Active,Active
SNS_000220,Inderlok,2026-03-01 21:00:00,23.0,54.7,725,74,180,Active,Active,Active
SNS_000221,Rajiv Chowk,2026-03-01 22:00:00,23.7,49.6,757,138,245,Active,Active,Active
SNS_000222,Kashmere Gate,2026-03-01 22:00:00,22.1,54.4,566,87,321,Active,Active,Active
SNS_000223,New Delhi,2026-03-01 22:00:00,21.7,49.7,527,69,313,Active,Active,Active
SNS_000224,Hauz Khas,2026-03-01 22:00:00,22.8,48.9,523,57,399,Active,Active,Active
SNS_000225,Botanical Garden,2026-03-01 22:00:00,23.5,52.0,807,100,335,Active,Active,Active
SNS_000226,Janakpuri West,2026-03-01 22:00:00,24.2,64.8,586,72,152,Active,Active,Active
SNS_000227,Lajpat Nagar,2026-03-01 22:00:00,23.5,59.0,555,148,136,Active,Inactive,Active
SNS_000228,Central Secretariat,2026-03-01 22:00:00,24.3,63.2,569,65,365,Active,Active,Active
SNS_000229,Yamuna Bank,2026-03-01 22:00:00,22.4,47.8,692,91,195,Active,Active,Active
SNS_000230,Inderlok,2026-03-01 22:00:00,24.0,46.2,746,110,179,Active,Active,Active
SNS_000231,Rajiv Chowk,2026-03-01 23:00:00,21.8,62.8,754,98,175,Active,Active,Active
SNS_000232,Kashmere Gate,2026-03-01 23:00:00,24.1,57.6,742,84,369,Active,Active,Active
SNS_000233,New Delhi,2026-03-01 23:00:00,24.5,63.2,658,47,287,Active,Active,Active
SNS_000234,Hauz Khas,2026-03-01 23:00:00,21.9,45.7,465,40,301,Active,Active,Active
SNS_000235,Botanical Garden,2026-03-01 23:00:00,21.9,58.5,686,50,293,Active,Active,Active
SNS_000236,Janakpuri West,2026-03-01 23:00:00,23.4,49.3,504,110,279,Active,Active,Active
SNS_000237,Lajpat Nagar,2026-03-01 23:00:00,23.5,63.9,619,107,100,Active,Active,Active
SNS_000238,Central Secretariat,2026-03-01 23:00:00,23.1,57.1,591,75,102,Active,Active,Active
SNS_000239,Yamuna Bank,2026-03-01 23:00:00,24.4,62.7,645,73,161,Inactive,Active,Active
SNS_000240,Inderlok,2026-03-01 23:00:00,22.7,58.9,848,146,387,Active,Active,Active
SNS_000241,Rajiv Chowk,2026-03-02 00:00:00,23.1,49.5,643,114,9,Active,Active,Active
SNS_000242,Kashmere Gate,2026-03-02 00:00:00,22.9,47.2,658,78,4,Active,Active,Active
SNS_000243,New Delhi,2026-03-02 00:00:00,22.8,51.6,843,120,0,Active,Active,Active
SNS_000244,Hauz Khas,2026-03-02 00:00:00,21.9,57.4,783,108,0,Active,Active,Active
SNS_000245,Botanical Garden,2026-03-02 00:00:00,23.7,63.9,581,93,2,Active,Active,Active
SNS_000246,Janakpuri West,2026-03-02 00:00:00,22.6,52.1,591,48,3,Active,Active,Active
SNS_000247,Lajpat Nagar,2026-03-02 00:00:00,23.6,45.5,461,79,5,Active,Active,Active
SNS_000248,Central Secretariat,2026-03-02 00:00:00,24.0,62.1,578,94,4,Under Maintenance,Active,Active
SNS_000249,Yamuna Bank,2026-03-02 00:00:00,22.1,45.3,565,76,2,Active,Active,Active
SNS_000250,Inderlok,2026-03-02 00:00:00,22.1,57.1,815,82,2,Active,Active,Active
SNS_000251,Rajiv Chowk,2026-03-02 01:00:00,23.6,60.2,632,70,7,Active,Active,Active
SNS_000252,Kashmere Gate,2026-03-02 01:00:00,23.5,56.6,515,100,0,Active,Active,Active
SNS_000253,New Delhi,2026-03-02 01:00:00,24.0,64.0,451,126,4,Active,Active,Active
SNS_000254,Hauz Khas,2026-03-02 01:00:00,22.3,46.7,767,106,8,Active,Active,Active
SNS_000255,Botanical Garden,2026-03-02 01:00:00,22.5,57.3,775,103,3,Active,Active,Active
SNS_000256,Janakpuri West,2026-03-02 01:00:00,22.4,51.7,826,81,6,Active,Active,Active
SNS_000257,Lajpat Nagar,2026-03-02 01:00:00,22.1,55.2,720,123,5,Inactive,Active,Active
SNS_000258,Central Secretariat,2026-03-02 01:00:00,22.2,57.3,600,90,8,Active,Active,Active
SNS_000259,Yamuna Bank,2026-03-02 01:00:00,23.7,57.7,732,69,5,Active,Active,Active
SNS_000260,Inderlok,2026-03-02 01:00:00,23.4,45.0,593,107,4,Active,Active,Active
SNS_000261,Rajiv Chowk,2026-03-02 02:00:00,24.5,58.5,778,133,0,Under Maintenance,Active,Active
SNS_000262,Kashmere Gate,2026-03-02 02:00:00,22.7,46.2,510,47,5,Active,Active,Active
SNS_000263,New Delhi,2026-03-02 02:00:00,21.6,61.4,496,79,5,Active,Active,Active
SNS_000264,Hauz Khas,2026-03-02 02:00:00,22.0,50.0,520,92,3,Active,Active,Active
SNS_000265,Botanical Garden,2026-03-02 02:00:00,22.7,52.9,824,78,8,Inactive,Active,Active
SNS_000266,Janakpuri West,2026-03-02 02:00:00,23.5,56.6,753,129,8,Active,Active,Active
SNS_000267,Lajpat Nagar,2026-03-02 02:00:00,22.1,49.0,482,104,6,Active,Active,Active
SNS_000268,Central Secretariat,2026-03-02 02:00:00,22.4,49.8,780,52,4,Inactive,Active,Active
SNS_000269,Yamuna Bank,2026-03-02 02:00:00,21.7,47.1,494,46,1,Active,Active,Active
