id,train_id,station_name,arrival_time,departure_time,stop_sequence,day_type,platform
SCH_000056,TRN_001,Rohini East,07:21:41,07:22:11,27,Saturday,2
SCH_000057,TRN_001,Rohini West,07:24:41,07:25:11,28,Saturday,1
SCH_000058,TRN_001,Rithala,07:27:39,07:29:39,29,Saturday,2
SCH_000059,TRN_001,Shaheed Sthal,06:00:00,06:02:00,1,Sunday,2
SCH_000060,TRN_001,Hindon River,06:04:19,06:04:49,2,Sunday,1
SCH_000061,TRN_001,Arthala,06:07:39,06:08:09,3,Sunday,2
SCH_000062,TRN_001,Mohan Nagar,06:10:26,06:10:56,4,Sunday,1
SCH_000063,TRN_001,Shyam Park,06:13:33,06:14:03,5,Sunday,2
SCH_000064,TRN_001,Major Mohit Sharma Rajendra Nagar,06:16:06,06:16:36,6,Sunday,1
SCH_000065,TRN_001,Raj Bagh,06:18:58,06:19:28,7,Sunday,2
SCH_000066,TRN_001,Shaheed Nagar,06:22:00,06:22:30,8,Sunday,1
SCH_000067,TRN_001,Dilshad Garden,06:24:34,06:25:04,9,Sunday,2
SCH_000068,TRN_001,Jhilmil,06:27:23,06:27:53,10,Sunday,1
SCH_000069,TRN_001,Mansarovar Park,06:30:22,06:30:52,11,Sunday,2
SCH_000070,TRN_001,Shahdara,06:33:20,06:33:50,12,Sunday,1
SCH_000071,TRN_001,Welcome,06:35:52,06:36:22,13,Sunday,2
SCH_000072,TRN_001,Seelampur,06:38:25,06:38:55,14,Sunday,1
SCH_000073,TRN_001,Shastri Park,06:41:18,06:41:48,15,Sunday,2
SCH_000074,TRN_001,Kashmere Gate,06:44:41,06:45:11,16,Sunday,1
SCH_000075,TRN_001,Tis Hazari,06:47:29,06:47:59,17,Sunday,2
SCH_000076,TRN_001,Pul Bangash,06:50:03,06:50:33,18,Sunday,1
SCH_000077,TRN_001,Pratap Nagar,06:53:14,06:53:44,19,Sunday,2
SCH_000078,TRN_001,Shastri Nagar,06:56:39,06:57:09,20,Sunday,1
SCH_000079,TRN_001,Inderlok,07:00:03,07:00:33,21,Sunday,2
SCH_000080,TRN_001,Kanhaiya Nagar,07:02:38,07:03:08,22,Sunday,1
SCH_000081,TRN_001,Keshav Puram,07:05:47,07:06:17,23,Sunday,2
SCH_000082,TRN_001,Netaji Subhash Place,07:08:55,07:09:25,24,Sunday,1
SCH_000083,TRN_001,Kohat Enclave,07:11:57,07:12:27,25,Sunday,2
SCH_000084,TRN_001,Pitampura,07:14:51,07:15:21,26,Sunday,1
SCH_000085,TRN_001,Rohini East,07:17:50,07:18:20,27,Sunday,2
SCH_000086,TRN_001,Rohini West,07:20:57,07:21:27,28,Sunday,1
SCH_000087,TRN_001,Rithala,07:24:02,07:26:02,29,Sunday,2
SCH_000088,TRN_002,Shaheed Sthal,07:03:00,07:05:00,1,Weekday,2
SCH_000089,TRN_002,Hindon River,07:07:47,07:08:17,2,Weekday,1
SCH_000090,TRN_002,Arthala,07:11:14,07:11:44,3,Weekday,2
SCH_000091,TRN_002,Mohan Nagar,07:13:46,07:14:16,4,Weekday,1
SCH_000092,TRN_002,Shyam Park,07:16:44,07:17:14,5,Weekday,2
SCH_000093,TRN_002,Major Mohit Sharma Rajendra Nagar,07:20:12,07:20:42,6,Weekday,1
SCH_000094,TRN_002,Raj Bagh,07:23:33,07:24:03,7,Weekday,2
SCH_000095,TRN_002,Shaheed Nagar,07:26:39,07:27:09,8,Weekday,1
SCH_000096,TRN_002,Dilshad Garden,07:29:50,07:30:20,9,Weekday,2
SCH_000097,TRN_002,Jhilmil,07:32:32,07:33:02,10,Weekday,1
SCH_000098,TRN_002,Mansarovar Park,07:35:22,07:35:52,11,Weekday,2
SCH_000099,TRN_002,Shahdara,07:38:30,07:39:00,12,Weekday,1
SCH_000100,TRN_002,Welcome,07:41:30,07:42:00,13,Weekday,2
SCH_000101,TRN_002,Seelampur,07:44:32,07:45:02,14,Weekday,1
SCH_000102,TRN_002,Shastri Park,07:47:11,07:47:41,15,Weekday,2
SCH_000103,TRN_002,Kashmere Gate,07:49:44,07:50:14,16,Weekday,1
SCH_000104,TRN_002,Tis Hazari,07:52:42,07:53:12,17,Weekday,2
SCH_000105,TRN_002,Pul Bangash,07:55:18,07:55:48,18,Weekday,1
SCH_000106,TRN_002,Pratap Nagar,07:58:39,07:59:09,19,Weekday,2
SCH_000107,TRN_002,Shastri Nagar,08:02:06,08:02:36,20,Weekday,1
SCH_000108,TRN_002,Inderlok,08:05:29,08:05:59,21,Weekday,2
SCH_000109,TRN_002,Kanhaiya Nagar,08:08:20,08:08:50,22,Weekday,1
SCH_000110,TRN_002,Keshav Puram,08:11:35,08:12:05,23,Weekday,2
SCH_000111,TRN_002,Netaji Subhash Place,08:14:10,08:14:40,24,Weekday,1
SCH_000112,TRN_002,Kohat Enclave,08:17:12,08:17:42,25,Weekday,2
SCH_000113,TRN_002,Pitampura,08:20:23,08:20:53,26,Weekday,1
SCH_000114,TRN_002,Rohini East,08:23:04,08:23:34,27,Weekday,2
SCH_000115,TRN_002,Rohini West,08:25:36,08:26:06,28,Weekday,1
SCH_000116,TRN_002,Rithala,08:28:21,08:30:21,29,Weekday,2
SCH_000117,TRN_002,Shaheed Sthal,07:03:00,07:05:00,1,Saturday,2
SCH_000118,TRN_002,Hindon River,07:07:28,07:07:58,2,Saturday,1
SCH_000119,TRN_002,Arthala,07:10:26,07:10:56,3,Saturday,2
SCH_000120,TRN_002,Mohan Nagar,07:13:29,07:13:59,4,Saturday,1
SCH_000121,TRN_002,Shyam Park,07:16:32,07:17:02,5,Saturday,2
SCH_000122,TRN_002,Major Mohit Sharma Rajendra Nagar,07:19:41,07:20:11,6,Saturday,1
SCH_000123,TRN_002,Raj Bagh,07:22:21,07:22:51,7,Saturday,2
SCH_000124,TRN_002,Shaheed Nagar,07:25:14,07:25:44,8,Saturday,1
SCH_000125,TRN_002,Dilshad Garden,07:28:07,07:28:37,9,Saturday,2
SCH_000126,TRN_002,Jhilmil,07:31:35,07:32:05,10,Saturday,1
SCH_000127,TRN_002,Mansarovar Park,07:34:23,07:34:53,11,Saturday,2
SCH_000128,TRN_002,Shahdara,07:37:17,07:37:47,12,Saturday,1
SCH_000129,TRN_002,Welcome,07:40:13,07:40:43,13,Saturday,2
SCH_000130,TRN_002,Seelampur,07:43:32,07:44:02,14,Saturday,1
SCH_000131,TRN_002,Shastri Park,07:46:23,07:46:53,15,Saturday,2
SCH_000132,TRN_002,Kashmere Gate,07:49:36,07:50:06,16,Saturday,1
SCH_000133,TRN_002,Tis Hazari,07:52:44,07:53:14,17,Saturday,2
SCH_000134,TRN_002,Pul Bangash,07:55:17,07:55:47,18,Saturday,1
SCH_000135,TRN_002,Pratap Nagar,07:58:37,07:59:07,19,Saturday,2
SCH_000136,TRN_002,Shastri Nagar,08:01:47,08:02:17,20,Saturday,1
SCH_000137,TRN_002,Inderlok,08:04:58,08:05:28,21,Saturday,2
SCH_000138,TRN_002,Kanhaiya Nagar,08:07:49,08:08:19,22,Saturday,1
SCH_000139,TRN_002,Keshav Puram,08:10:23,08:10:53,23,Saturday,2
SCH_000140,TRN_002,Netaji Subhash Place,08:13:14,08:13:44,24,Saturday,1
SCH_000141,TRN_002,Kohat Enclave,08:15:50,08:16:20,25,Saturday,2
SCH_000142,TRN_002,Pitampura,08:18:55,08:19:25,26,Saturday,1
SCH_000143,TRN_002,Rohini East,08:22:08,08:22:38,27,Saturday,2
SCH_000144,TRN_002,Rohini West,08:25:02,08:25:32,28,Saturday,1
SCH_000145,TRN_002,Rithala,08:27:50,08:29:50,29,Saturday,2
SCH_000146,TRN_002,Shaheed Sthal,07:03:00,07:05:00,1,Sunday,2
SCH_000147,TRN_002,Hindon River,07:07:46,07:08:16,2,Sunday,1
SCH_000148,TRN_002,Arthala,07:11:10,07:11:40,3,Sunday,2
SCH_000149,TRN_002,Mohan Nagar,07:14:22,07:14:52,4,Sunday,1
SCH_000150,TRN_002,Shyam Park,07:17:50,07:18:20,5,Sunday,2
SCH_000151,TRN_002,Major Mohit Sharma Rajendra Nagar,07:20:58,07:21:28,6,Sunday,1
SCH_000152,TRN_002,Raj Bagh,07:24:23,07:24:53,7,Sunday,2
SCH_000153,TRN_002,Shaheed Nagar,07:27:02,07:27:32,8,Sunday,1
SCH_000154,TRN_002,Dilshad Garden,07:29:53,07:30:23,9,Sunday,2
SCH_000155,TRN_002,Jhilmil,07:32:28,07:32:58,10,Sunday,1
SCH_000156,TRN_002,Mansarovar Park,07:35:35,07:36:05,11,Sunday,2
SCH_000157,TRN_002,Shahdara,07:38:47,07:39:17,12,Sunday,1
SCH_000158,TRN_002,Welcome,07:41:26,07:41:56,13,Sunday,2
SCH_000159,TRN_002,Seelampur,07:44:54,07:45:24,14,Sunday,1
SCH_000160,TRN_002,Shastri Park,07:47:46,07:48:16,15,Sunday,2
SCH_000161,TRN_002,Kashmere Gate,07:50:35,07:51:05,16,Sunday,1
SCH_000162,TRN_002,Tis Hazari,07:53:46,07:54:16,17,Sunday,2
SCH_000163,TRN_002,Pul Bangash,07:57:00,07:57:30,18,Sunday,1
SCH_000164,TRN_002,Pratap Nagar,08:00:12,08:00:42,19,Sunday,2
SCH_000165,TRN_002,Shastri Nagar,08:03:07,08:03:37,20,Sunday,1
SCH_000166,TRN_002,Inderlok,08:05:45,08:06:15,21,Sunday,2
SCH_000167,TRN_002,Kanhaiya Nagar,08:08:53,08:09:23,22,Sunday,1
SCH_000168,TRN_002,Keshav Puram,08:12:08,08:12:38,23,Sunday,2
SCH_000169,TRN_002,Netaji Subhash Place,08:15:38,08:16:08,24,Sunday,1
SCH_000170,TRN_002,Kohat Enclave,08:18:13,08:18:43,25,Sunday,2
SCH_000171,TRN_002,Pitampura,08:21:02,08:21:32,26,Sunday,1
SCH_000172,TRN_002,Rohini East,08:24:07,08:24:37,27,Sunday,2
SCH_000173,TRN_002,Rohini West,08:27:01,08:27:31,28,Sunday,1
SCH_000174,TRN_002,Rithala,08:30:12,08:32:12,29,Sunday,2
SCH_000175,TRN_003,Majlis Park,08:06:00,08:08:00,1,Weekday,2
SCH_000176,TRN_003,Azadpur,08:10:21,08:10:51,2,Weekday,1
SCH_000177,TRN_003,Shalimar Bagh,08:13:43,08:14:13,3,Weekday,2
SCH_000178,TRN_003,Netaji Subhash Place,08:16:21,08:16:51,4,Weekday,1
SCH_000179,TRN_003,Shakurpur,08:19:33,08:20:03,5,Weekday,2
SCH_000180,TRN_003,Punjabi Bagh West,08:22:47,08:23:17,6,Weekday,1
SCH_000181,TRN_003,ESI Basaidarapur,08:26:10,08:26:40,7,Weekday,2
SCH_000182,TRN_003,Rajouri Garden,08:29:40,08:30:10,8,Weekday,1
SCH_000183,TRN_003,Mayapuri Cantonment,08:32:57,08:33:27,9,Weekday,2
SCH_000184,TRN_003,Delhi Cantt,08:36:10,08:36:40,10,Weekday,1
SCH_000185,TRN_003,Durgabai Deshmukh South Campus,08:39:38,08:40:08,11,Weekday,2
SCH_000186,TRN_003,Sir M. Vishveshwaraya Moti Bagh,08:42:41,08:43:11,12,Weekday,1
SCH_000187,TRN_003,Bhikaji Cama Place,08:45:16,08:45:46,13,Weekday,2
SCH_000188,TRN_003,Sarojini Nagar,08:48:27,08:48:57,14,Weekday,1
SCH_000189,TRN_003,Dilli Haat - INA,08:51:39,08:52:09,15,Weekday,2
SCH_000190,TRN_003,South Extension,08:54:36,08:55:06,16,Weekday,1
SCH_000191,TRN_003,Lajpat Nagar,08:57:38,08:58:08,17,Weekday,2
SCH_000192,TRN_003,Vinobapuri,09:00:31,09:01:01,18,Weekday,1
SCH_000193,TRN_003,Ashram,09:03:02,09:03:32,19,Weekday,2
SCH_000194,TRN_003,Hazrat Nizamuddin,09:05:55,09:06:25,20,Weekday,1
SCH_000195,TRN_003,Mayur Vihar-I,09:08:44,09:09:14,21,Weekday,2
SCH_000196,TRN_003,Mayur Vihar Pocket 1,09:11:25,09:11:55,22,Weekday,1
SCH_000197,TRN_003,Trilokpuri Sanjay Lake,09:14:55,09:15:25,23,Weekday,2
SCH_000198,TRN_003,East Vinod Nagar - Mayur Vihar-II,09:17:38,09:18:08,24,Weekday,1
SCH_000199,TRN_003,Mandawali - West Vinod Nagar,09:20:29,09:20:59,25,Weekday,2
SCH_000200,TRN_003,IP Extension,09:23:59,09:24:29,26,Weekday,1
SCH_000201,TRN_003,Anand Vihar ISBT,09:27:18,09:27:48,27,Weekday,2
SCH_000202,TRN_003,Karkarduma,09:30:19,09:30:49,28,Weekday,1
SCH_000203,TRN_003,Karkarduma Court,09:33:01,09:33:31,29,Weekday,2
SCH_000204,TRN_003,Krishna Nagar,09:35:45,09:36:15,30,Weekday,1
SCH_000205,TRN_003,East Azad Nagar,09:38:23,09:38:53,31,Weekday,2
SCH_000206,TRN_003,Jafrabad,09:41:02,09:41:32,32,Weekday,1
SCH_000207,TRN_003,Maujpur - Babarpur,09:43:36,09:44:06,33,Weekday,2
SCH_000208,TRN_003,Gokulpuri,09:46:24,09:46:54,34,Weekday,1
SCH_000209,TRN_003,Johri Enclave,09:49:48,09:50:18,35,Weekday,2
SCH_000210,TRN_003,Shiv Vihar,09:53:08,09:55:08,36,Weekday,1
SCH_000211,TRN_003,Majlis Park,08:06:00,08:08:00,1,Saturday,2
SCH_000212,TRN_003,Azadpur,08:10:32,08:11:02,2,Saturday,1
SCH_000213,TRN_003,Shalimar Bagh,08:13:51,08:14:21,3,Saturday,2
SCH_000214,TRN_003,Netaji Subhash Place,08:16:55,08:17:25,4,Saturday,1
SCH_000215,TRN_003,Shakurpur,08:20:18,08:20:48,5,Saturday,2
SCH_000216,TRN_003,Punjabi Bagh West,08:23:35,08:24:05,6,Saturday,1
SCH_000217,TRN_003,ESI Basaidarapur,08:27:01,08:27:31,7,Saturday,2
SCH_000218,TRN_003,Rajouri Garden,08:30:04,08:30:34,8,Saturday,1
SCH_000219,TRN_003,Mayapuri Cantonment,08:32:36,08:33:06,9,Saturday,2
SCH_000220,TRN_003,Delhi Cantt,08:35:48,08:36:18,10,Saturday,1
SCH_000221,TRN_003,Durgabai Deshmukh South Campus,08:38:39,08:39:09,11,Saturday,2
SCH_000222,TRN_003,Sir M. Vishveshwaraya Moti Bagh,08:42:05,08:42:35,12,Saturday,1
SCH_000223,TRN_003,Bhikaji Cama Place,08:45:24,08:45:54,13,Saturday,2
SCH_000224,TRN_003,Sarojini Nagar,08:48:33,08:49:03,14,Saturday,1
SCH_000225,TRN_003,Dilli Haat - INA,08:51:11,08:51:41,15,Saturday,2
SCH_000226,TRN_003,South Extension,08:54:19,08:54:49,16,Saturday,1
SCH_000227,TRN_003,Lajpat Nagar,08:57:13,08:57:43,17,Saturday,2
SCH_000228,TRN_003,Vinobapuri,08:59:52,09:00:22,18,Saturday,1
SCH_000229,TRN_003,Ashram,09:02:32,09:03:02,19,Saturday,2
SCH_000230,TRN_003,Hazrat Nizamuddin,09:05:13,09:05:43,20,Saturday,1
SCH_000231,TRN_003,Mayur Vihar-I,09:08:36,09:09:06,21,Saturday,2
SCH_000232,TRN_003,Mayur Vihar Pocket 1,09:11:50,09:12:20,22,Saturday,1
SCH_000233,TRN_003,Trilokpuri Sanjay Lake,09:15:09,09:15:39,23,Saturday,2
SCH_000234,TRN_003,East Vinod Nagar - Mayur Vihar-II,09:18:18,09:18:48,24,Saturday,1
SCH_000235,TRN_003,Mandawali - West Vinod Nagar,09:21:39,09:22:09,25,Saturday,2
SCH_000236,TRN_003,IP Extension,09:25:06,09:25:36,26,Saturday,1
SCH_000237,TRN_003,Anand Vihar ISBT,09:27:46,09:28:16,27,Saturday,2
SCH_000238,TRN_003,Karkarduma,09:31:02,09:31:32,28,Saturday,1
SCH_000239,TRN_003,Karkarduma Court,09:34:00,09:34:30,29,Saturday,2
SCH_000240,TRN_003,Krishna Nagar,09:36:32,09:37:02,30,Saturday,1
SCH_000241,TRN_003,East Azad Nagar,09:39:28,09:39:58,31,Saturday,2
SCH_000242,TRN_003,Jafrabad,09:42:21,09:42:51,32,Saturday,1
SCH_000243,TRN_003,Maujpur - Babarpur,09:45:34,09:46:04,33,Saturday,2
SCH_000244,TRN_003,Gokulpuri,09:48:50,09:49:20,34,Saturday,1
SCH_000245,TRN_003,Johri Enclave,09:51:35,09:52:05,35,Saturday,2
SCH_000246,TRN_003,Shiv Vihar,09:54:33,09:56:33,36,Saturday,1
SCH_000247,TRN_003,Majlis Park,08:06:00,08:08:00,1,Sunday,2
SCH_000248,TRN_003,Azadpur,08:10:18,08:10:48,2,Sunday,1
SCH_000249,TRN_003,Shalimar Bagh,08:13:36,08:14:06,3,Sunday,2
SCH_000250,TRN_003,Netaji Subhash Place,08:16:53,08:17:23,4,Sunday,1
SCH_000251,TRN_003,Shakurpur,08:20:13,08:20:43,5,Sunday,2
SCH_000252,TRN_003,Punjabi Bagh West,08:23:11,08:23:41,6,Sunday,1
SCH_000253,TRN_003,ESI Basaidarapur,08:25:55,08:26:25,7,Sunday,2
SCH_000254,TRN_003,Rajouri Garden,08:28:59,08:29:29,8,Sunday,1
SCH_000255,TRN_003,Mayapuri Cantonment,08:31:44,08:32:14,9,Sunday,2
SCH_000256,TRN_003,Delhi Cantt,08:34:33,08:35:03,10,Sunday,1
SCH_000257,TRN_003,Durgabai Deshmukh South Campus,08:37:54,08:38:24,11,Sunday,2
SCH_000258,TRN_003,Sir M. Vishveshwaraya Moti Bagh,08:41:14,08:41:44,12,Sunday,1
SCH_000259,TRN_003,Bhikaji Cama Place,08:44:14,08:44:44,13,Sunday,2
SCH_000260,TRN_003,Sarojini Nagar,08:47:41,08:48:11,14,Sunday,1
SCH_000261,TRN_003,Dilli Haat - INA,08:51:04,08:51:34,15,Sunday,2
SCH_000262,TRN_003,South Extension,08:53:46,08:54:16,16,Sunday,1
SCH_000263,TRN_003,Lajpat Nagar,08:56:39,08:57:09,17,Sunday,2
SCH_000264,TRN_003,Vinobapuri,08:59:52,09:00:22,18,Sunday,1
SCH_000265,TRN_003,Ashram,09:03:22,09:03:52,19,Sunday,2
SCH_000266,TRN_003,Hazrat Nizamuddin,09:06:28,09:06:58,20,Sunday,1
SCH_000267,TRN_003,Mayur Vihar-I,09:09:26,09:09:56,21,Sunday,2
SCH_000268,TRN_003,Mayur Vihar Pocket 1,09:12:25,09:12:55,22,Sunday,1
SCH_000269,TRN_003,Trilokpuri Sanjay Lake,09:15:44,09:16:14,23,Sunday,2
SCH_000270,TRN_003,East Vinod Nagar - Mayur Vihar-II,09:18:32,09:19:02,24,Sunday,1
SCH_000271,TRN_003,Mandawali - West Vinod Nagar,09:21:51,09:22:21,25,Sunday,2
SCH_000272,TRN_003,IP Extension,09:24:45,09:25:15,26,Sunday,1
SCH_000273,TRN_003,Anand Vihar ISBT,09:27:47,09:28:17,27,Sunday,2
SCH_000274,TRN_003,Karkarduma,09:30:50,09:31:20,28,Sunday,1
SCH_000275,TRN_003,Karkarduma Court,09:33:46,09:34:16,29,Sunday,2
SCH_000276,TRN_003,Krishna Nagar,09:36:26,09:36:56,30,Sunday,1
SCH_000277,TRN_003,East Azad Nagar,09:39:48,09:40:18,31,Sunday,2
SCH_000278,TRN_003,Jafrabad,09:42:30,09:43:00,32,Sunday,1
SCH_000279,TRN_003,Maujpur - Babarpur,09:45:51,09:46:21,33,Sunday,2
SCH_000280,TRN_003,Gokulpuri,09:48:59,09:49:29,34,Sunday,1
SCH_000281,TRN_003,Johri Enclave,09:51:37,09:52:07,35,Sunday,2
SCH_000282,TRN_003,Shiv Vihar,09:55:02,09:57:02,36,Sunday,1
SCH_000283,TRN_004,Majlis Park,09:09:00,09:11:00,1,Weekday,2
SCH_000284,TRN_004,Azadpur,09:13:03,09:13:33,2,Weekday,1
SCH_000285,TRN_004,Shalimar Bagh,09:16:14,09:16:44,3,Weekday,2
SCH_000286,TRN_004,Netaji Subhash Place,09:19:14,09:19:44,4,Weekday,1
SCH_000287,TRN_004,Shakurpur,09:22:39,09:23:09,5,Weekday,2
SCH_000288,TRN_004,Punjabi Bagh West,09:25:32,09:26:02,6,Weekday,1
SCH_000289,TRN_004,ESI Basaidarapur,09:28:37,09:29:07,7,Weekday,2
SCH_000290,TRN_004,Rajouri Garden,09:32:06,09:32:36,8,Weekday,1
SCH_000291,TRN_004,Mayapuri Cantonment,09:34:42,09:35:12,9,Weekday,2
SCH_000292,TRN_004,Delhi Cantt,09:37:57,09:38:27,10,Weekday,1
SCH_000293,TRN_004,Durgabai Deshmukh South Campus,09:41:21,09:41:51,11,Weekday,2
SCH_000294,TRN_004,Sir M. Vishveshwaraya Moti Bagh,09:44:24,09:44:54,12,Weekday,1
SCH_000295,TRN_004,Bhikaji Cama Place,09:47:48,09:48:18,13,Weekday,2
SCH_000296,TRN_004,Sarojini Nagar,09:50:25,09:50:55,14,Weekday,1
SCH_000297,TRN_004,Dilli Haat - INA,09:53:13,09:53:43,15,Weekday,2
SCH_000298,TRN_004,South Extension,09:55:48,09:56:18,16,Weekday,1
SCH_000299,TRN_004,Lajpat Nagar,09:59:06,09:59:36,17,Weekday,2
SCH_000300,TRN_004,Vinobapuri,10:01:46,10:02:16,18,Weekday,1
SCH_000301,TRN_004,Ashram,10:04:33,10:05:03,19,Weekday,2
SCH_000302,TRN_004,Hazrat Nizamuddin,10:07:31,10:08:01,20,Weekday,1
SCH_000303,TRN_004,Mayur Vihar-I,10:10:58,10:11:28,21,Weekday,2
SCH_000304,TRN_004,Mayur Vihar Pocket 1,10:14:00,10:14:30,22,Weekday,1
SCH_000305,TRN_004,Trilokpuri Sanjay Lake,10:16:39,10:17:09,23,Weekday,2
SCH_000306,TRN_004,East Vinod Nagar - Mayur Vihar-II,10:20:02,10:20:32,24,Weekday,1
SCH_000307,TRN_004,Mandawali - West Vinod Nagar,10:22:59,10:23:29,25,Weekday,2
SCH_000308,TRN_004,IP Extension,10:25:34,10:26:04,26,Weekday,1
SCH_000309,TRN_004,Anand Vihar ISBT,10:29:04,10:29:34,27,Weekday,2
SCH_000310,TRN_004,Karkarduma,10:32:32,10:33:02,28,Weekday,1
SCH_000311,TRN_004,Karkarduma Court,10:35:16,10:35:46,29,Weekday,2
SCH_000312,TRN_004,Krishna Nagar,10:38:38,10:39:08,30,Weekday,1
SCH_000313,TRN_004,East Azad Nagar,10:41:36,10:42:06,31,Weekday,2
SCH_000314,TRN_004,Jafrabad,10:45:02,10:45:32,32,Weekday,1
SCH_000315,TRN_004,Maujpur - Babarpur,10:47:54,10:48:24,33,Weekday,2
SCH_000316,TRN_004,Gokulpuri,10:51:23,10:51:53,34,Weekday,1
SCH_000317,TRN_004,Johri Enclave,10:53:54,10:54:24,35,Weekday,2
SCH_000318,TRN_004,Shiv Vihar,10:56:50,10:58:50,36,Weekday,1
SCH_000319,TRN_004,Majlis Park,09:09:00,09:11:00,1,Saturday,2
SCH_000320,TRN_004,Azadpur,09:13:25,09:13:55,2,Saturday,1
SCH_000321,TRN_004,Shalimar Bagh,09:16:27,09:16:57,3,Saturday,2
SCH_000322,TRN_004,Netaji Subhash Place,09:19:20,09:19:50,4,Saturday,1
