id,train_id,station_name,timestamp,occupancy,capacity,occupancy_percentage,crowd_level
REC_000036,TRN_062,Welcome,2026-03-07 09:32:00,1781,1800,98.94,Critical
REC_000037,TRN_177,Chirag Delhi,2026-03-06 10:11:00,1320,1800,73.33,Medium
REC_000038,TRN_156,Karkarduma,2026-03-07 22:23:00,1404,2200,63.82,Medium
REC_000039,TRN_054,Shalimar Bagh,2026-03-30 14:21:00,959,1800,53.28,Medium
REC_000040,TRN_086,Old Faridabad,2026-03-24 06:41:00,521,1500,34.73,Low
REC_000041,TRN_181,Durgabai Deshmukh South Campus,2026-03-07 22:27:00,1256,2200,57.09,Medium
REC_000042,TRN_006,Punjabi Bagh West,2026-03-15 12:39:00,1269,2200,57.68,Medium
REC_000043,TRN_052,Escorts Mujesar,2026-03-08 19:00:00,1501,1800,83.39,High
REC_000044,TRN_028,R K Ashram Marg,2026-03-07 14:42:00,472,1500,31.47,Low
REC_000045,TRN_120,Okhla Vihar,2026-03-04 08:15:00,1582,2200,71.91,Medium
REC_000046,TRN_181,Ashram,2026-03-13 10:26:00,2046,2200,93.0,High
REC_000047,TRN_015,Karkarduma,2026-03-16 15:44:00,635,2400,26.46,Low
REC_000048,TRN_028,Dwarka Sector 11,2026-03-30 19:32:00,1088,1500,72.53,Medium
REC_000049,TRN_182,Janakpuri West,2026-03-18 21:33:00,935,1500,62.33,Medium
REC_000050,TRN_005,Vishwa Vidyalaya,2026-03-25 15:32:00,1254,2200,57.0,Medium
REC_000051,TRN_084,Hauz Khas,2026-03-10 11:02:00,451,2400,18.79,Low
REC_000052,TRN_044,Pratap Nagar,2026-03-08 07:03:00,1245,1800,69.17,Medium
REC_000053,TRN_020,Krishna Nagar,2026-03-13 15:28:00,347,1800,19.28,Low
REC_000054,TRN_074,Tughlakabad,2026-03-30 15:01:00,1125,2400,46.88,Medium
REC_000055,TRN_114,Rajiv Chowk,2026-03-19 20:30:00,1656,2200,75.27,High
REC_000056,TRN_197,Inderlok,2026-03-22 08:13:00,1569,2200,71.32,Medium
REC_000057,TRN_094,Hauz Khas,2026-03-27 08:50:00,2211,2200,100.5,Critical
REC_000058,TRN_149,Dabri Mor - Janakpuri South,2026-03-09 18:12:00,2390,2200,108.64,Critical
REC_000059,TRN_041,ESI Basaidarapur,2026-03-25 08:13:00,1072,1500,71.47,Medium
REC_000060,TRN_164,Noida Sector 61,2026-03-01 20:09:00,1235,1500,82.33,High
REC_000061,TRN_138,Sector 28,2026-03-07 19:51:00,1880,1800,104.44,Critical
REC_000062,TRN_136,Khan Market,2026-03-17 18:18:00,1812,1800,100.67,Critical
REC_000063,TRN_027,Krishna Nagar,2026-03-03 16:47:00,410,1800,22.78,Low
REC_000064,TRN_027,ESI Basaidarapur,2026-03-03 19:17:00,1500,1800,83.33,High
REC_000065,TRN_012,Shyam Park,2026-03-02 16:56:00,1032,1800,57.33,Medium
REC_000066,TRN_175,GTB Nagar,2026-03-08 10:49:00,1878,2200,85.36,High
REC_000067,TRN_121,Dwarka Sector 14,2026-03-20 22:17:00,1139,1800,63.28,Medium
REC_000068,TRN_009,Hindon River,2026-03-10 15:35:00,1285,2400,53.54,Medium
REC_000069,TRN_135,Sarita Vihar,2026-03-14 13:50:00,586,1500,39.07,Low
REC_000070,TRN_162,Raja Nahar Singh,2026-03-10 08:00:00,1389,1800,77.17,High
REC_000071,TRN_139,Nehru Enclave,2026-03-18 21:12:00,929,1500,61.93,Medium
REC_000072,TRN_009,Shaheed Nagar,2026-03-15 16:38:00,1672,2400,69.67,Medium
REC_000073,TRN_084,Guru Dronacharya,2026-03-18 14:40:00,1372,2400,57.17,Medium
REC_000074,TRN_110,Durgabai Deshmukh South Campus,2026-03-28 10:36:00,1537,1800,85.39,High
REC_000075,TRN_078,Jhilmil,2026-03-24 07:01:00,489,2400,20.38,Low
REC_000076,TRN_142,Pitampura,2026-03-24 20:05:00,2032,2200,92.36,High
REC_000077,TRN_083,Kohat Enclave,2026-03-06 15:26:00,1445,2400,60.21,Medium
REC_000078,TRN_121,Ramesh Nagar,2026-03-11 06:54:00,320,1800,17.78,Low
REC_000079,TRN_126,Hauz Khas,2026-03-22 19:12:00,1763,2400,73.46,Medium
REC_000080,TRN_048,Vishwa Vidyalaya,2026-03-11 21:48:00,1135,2200,51.59,Medium
REC_000081,TRN_025,Saket,2026-03-17 14:29:00,912,1800,50.67,Medium
REC_000082,TRN_062,Hindon River,2026-03-23 21:05:00,899,1800,49.94,Medium
REC_000083,TRN_139,Munirka,2026-03-30 20:25:00,1260,1500,84.0,High
REC_000084,TRN_200,Shiv Vihar,2026-03-02 12:56:00,1050,1500,70.0,Medium
REC_000085,TRN_006,Hazrat Nizamuddin,2026-03-17 07:06:00,562,2200,25.55,Low
REC_000086,TRN_087,Kashmere Gate,2026-03-30 14:50:00,635,1800,35.28,Low
REC_000087,TRN_123,Vasant Vihar,2026-03-05 10:32:00,1766,2400,73.58,Medium
REC_000088,TRN_112,Patel Nagar,2026-03-27 15:05:00,329,1500,21.93,Low
REC_000089,TRN_108,Karol Bagh,2026-03-27 21:26:00,1252,2400,52.17,Medium
REC_000090,TRN_193,Netaji Subhash Place,2026-03-22 15:16:00,860,1800,47.78,Medium
REC_000091,TRN_101,Sant Surdas (Sihi),2026-03-05 14:51:00,353,2200,16.05,Low
REC_000092,TRN_172,Badkhal Mor,2026-03-12 13:22:00,532,1800,29.56,Low
REC_000093,TRN_158,Sukhdev Vihar,2026-03-05 19:29:00,1901,1800,105.61,Critical
REC_000094,TRN_164,Noida Sector 15,2026-03-14 13:39:00,510,1500,34.0,Low
REC_000095,TRN_051,Pratap Nagar,2026-03-01 20:43:00,1578,1800,87.67,High
REC_000096,TRN_193,Shaheed Sthal,2026-03-08 22:28:00,903,1800,50.17,Medium
REC_000097,TRN_130,Gokulpuri,2026-03-22 08:35:00,1853,2200,84.23,High
REC_000098,TRN_090,Sant Surdas (Sihi),2026-03-19 20:32:00,1555,1800,86.39,High
REC_000099,TRN_043,Vidhan Sabha,2026-03-06 16:48:00,1482,2200,67.36,Medium
REC_000100,TRN_098,Rajouri Garden,2026-03-01 16:22:00,939,1500,62.6,Medium
REC_000101,TRN_130,Majlis Park,2026-03-05 17:01:00,1893,2200,86.05,High
REC_000102,TRN_106,Krishna Nagar,2026-03-25 09:05:00,2100,2200,95.45,Critical
REC_000103,TRN_066,Khan Market,2026-03-12 16:43:00,396,1500,26.4,Low
REC_000104,TRN_112,Kirti Nagar,2026-03-03 11:45:00,938,1500,62.53,Medium
REC_000105,TRN_124,Raj Bagh,2026-03-27 06:38:00,1451,2200,65.95,Medium
REC_000106,TRN_097,Patel Chowk,2026-03-11 17:36:00,1790,2200,81.36,High
REC_000107,TRN_047,Kalkaji Mandir,2026-03-24 20:13:00,1821,1800,101.17,Critical
REC_000108,TRN_066,Delhi Gate,2026-03-19 08:32:00,1186,1500,79.07,High
REC_000109,TRN_137,Mansarovar Park,2026-03-04 19:10:00,1797,2400,74.88,Medium
REC_000110,TRN_143,Adarsh Nagar,2026-03-27 12:30:00,658,1800,36.56,Low
REC_000111,TRN_133,Vishwa Vidyalaya,2026-03-14 07:29:00,534,2400,22.25,Low
REC_000112,TRN_137,Welcome,2026-03-09 20:08:00,1690,2400,70.42,Medium
REC_000113,TRN_177,Shankar Vihar,2026-03-28 19:42:00,1942,1800,107.89,Critical
REC_000114,TRN_014,Arjan Garh,2026-03-03 16:46:00,1180,2200,53.64,Medium
REC_000115,TRN_130,Mayur Vihar Pocket 1,2026-03-06 17:10:00,2099,2200,95.41,Critical
REC_000116,TRN_097,Arjan Garh,2026-03-08 18:43:00,1847,2200,83.95,High
REC_000117,TRN_179,Yamuna Bank,2026-03-16 14:52:00,506,1800,28.11,Low
REC_000118,TRN_075,Dashrathpuri,2026-03-13 06:11:00,612,2200,27.82,Low
REC_000119,TRN_126,R.K. Puram,2026-03-24 09:48:00,2186,2400,91.08,High
REC_000120,TRN_003,Dilli Haat - INA,2026-03-21 18:46:00,1283,1500,85.53,High
REC_000121,TRN_087,Mansarovar Park,2026-03-29 18:28:00,1962,1800,109.0,Critical
REC_000122,TRN_018,Munirka,2026-03-25 09:16:00,1463,1500,97.53,Critical
REC_000123,TRN_044,Keshav Puram,2026-03-27 18:54:00,1423,1800,79.06,High
REC_000124,TRN_168,Bhikaji Cama Place,2026-03-20 15:39:00,302,1500,20.13,Low
REC_000125,TRN_182,Janakpuri West,2026-03-02 22:09:00,804,1500,53.6,Medium
REC_000126,TRN_138,Lal Quila,2026-03-20 15:41:00,494,1800,27.44,Low
REC_000127,TRN_183,Azadpur,2026-03-23 18:55:00,1286,1800,71.44,Medium
REC_000128,TRN_060,Kohat Enclave,2026-03-24 18:14:00,2191,2400,91.29,High
REC_000129,TRN_045,Noida Sector 59,2026-03-11 10:56:00,1601,2200,72.77,Medium
REC_000130,TRN_192,Mohan Estate,2026-03-27 22:16:00,959,1500,63.93,Medium
REC_000131,TRN_043,Model Town,2026-03-17 07:20:00,766,2200,34.82,Low
REC_000132,TRN_129,Samaypur Badli,2026-03-29 18:00:00,1279,1500,85.27,High
REC_000133,TRN_092,Rithala,2026-03-14 17:03:00,1967,2200,89.41,High
REC_000134,TRN_038,Shastri Nagar,2026-03-07 10:48:00,1905,2200,86.59,High
REC_000135,TRN_146,Sarita Vihar,2026-03-15 13:25:00,685,2200,31.14,Low
REC_000136,TRN_194,Samaypur Badli,2026-03-08 21:33:00,718,1800,39.89,Low
REC_000137,TRN_006,Azadpur,2026-03-27 10:53:00,1954,2200,88.82,High
REC_000138,TRN_115,Mayur Vihar-I,2026-03-25 06:13:00,772,1800,42.89,Medium
REC_000139,TRN_128,Chirag Delhi,2026-03-10 18:18:00,1573,1800,87.39,High
REC_000140,TRN_130,Mandawali - West Vinod Nagar,2026-03-15 07:00:00,659,2200,29.95,Low
REC_000141,TRN_022,Jawaharlal Nehru Stadium,2026-03-02 18:54:00,1153,1500,76.87,High
REC_000142,TRN_019,Rajouri Garden,2026-03-17 15:16:00,463,2400,19.29,Low
REC_000143,TRN_148,Badkhal Mor,2026-03-07 16:30:00,975,1500,65.0,Medium
REC_000144,TRN_189,Okhla Vihar,2026-03-17 08:28:00,1832,2200,83.27,High
REC_000145,TRN_122,Khan Market,2026-03-01 20:36:00,1976,2200,89.82,High
REC_000146,TRN_155,Shahdara,2026-03-18 16:12:00,1297,2400,54.04,Medium
REC_000147,TRN_118,Dilli Haat - INA,2026-03-09 15:42:00,1469,2400,61.21,Medium
REC_000148,TRN_160,Kashmere Gate,2026-03-25 17:51:00,1372,1500,91.47,High
REC_000149,TRN_045,Uttam Nagar East,2026-03-17 15:50:00,870,2200,39.55,Low
REC_000150,TRN_180,Shyam Park,2026-03-21 15:53:00,608,2400,25.33,Low
REC_000151,TRN_168,Majlis Park,2026-03-07 22:27:00,979,1500,65.27,Medium
REC_000152,TRN_101,Raja Nahar Singh,2026-03-08 21:07:00,1063,2200,48.32,Medium
REC_000153,TRN_027,Rajouri Garden,2026-03-14 16:54:00,818,1800,45.44,Medium
REC_000154,TRN_153,Dwarka Sector 14,2026-03-25 15:57:00,1325,2200,60.23,Medium
REC_000155,TRN_124,Tis Hazari,2026-03-10 16:23:00,1192,2200,54.18,Medium
REC_000156,TRN_115,Noida Sector 61,2026-03-19 16:57:00,644,1800,35.78,Low
REC_000157,TRN_101,Sector 28,2026-03-14 17:57:00,2360,2200,107.27,Critical
REC_000158,TRN_099,Sant Surdas (Sihi),2026-03-21 14:36:00,429,1800,23.83,Low
REC_000159,TRN_059,Jhandewalan,2026-03-14 14:00:00,250,1500,16.67,Low
REC_000160,TRN_161,Majlis Park,2026-03-27 11:59:00,526,1800,29.22,Low
REC_000161,TRN_158,R.K. Puram,2026-03-12 12:05:00,876,1800,48.67,Medium
REC_000162,TRN_098,Jafrabad,2026-03-08 11:59:00,361,1500,24.07,Low
REC_000163,TRN_030,Kanhaiya Nagar,2026-03-09 15:27:00,432,2400,18.0,Low
REC_000164,TRN_134,Mewala Maharajpur,2026-03-06 12:54:00,1275,2400,53.12,Medium
REC_000165,TRN_069,Vasant Vihar,2026-03-02 10:44:00,2302,2200,104.64,Critical
REC_000166,TRN_005,Vishwa Vidyalaya,2026-03-11 15:34:00,553,2200,25.14,Low
REC_000167,TRN_012,Dilshad Garden,2026-03-29 15:20:00,859,1800,47.72,Medium
REC_000168,TRN_001,Netaji Subhash Place,2026-03-09 19:50:00,2020,2200,91.82,High
REC_000169,TRN_135,Janpath,2026-03-28 22:57:00,717,1500,47.8,Medium
REC_000170,TRN_178,Khan Market,2026-03-01 09:22:00,2543,2400,105.96,Critical
REC_000171,TRN_023,Mayur Vihar Pocket 1,2026-03-07 10:54:00,1085,1500,72.33,Medium
REC_000172,TRN_189,Panchsheel Park,2026-03-13 11:03:00,334,2200,15.18,Low
REC_000173,TRN_164,Dwarka Sector 8,2026-03-14 13:11:00,701,1500,46.73,Medium
REC_000174,TRN_059,Noida Sector 34,2026-03-01 09:06:00,1103,1500,73.53,Medium
REC_000175,TRN_126,Dashrathpuri,2026-03-18 10:51:00,2059,2400,85.79,High
REC_000176,TRN_060,Arthala,2026-03-12 07:02:00,1640,2400,68.33,Medium
REC_000177,TRN_167,Kashmere Gate,2026-03-24 09:47:00,1760,1800,97.78,Critical
REC_000178,TRN_021,Qutab Minar,2026-03-02 10:44:00,2015,2200,91.59,High
REC_000179,TRN_027,Azadpur,2026-03-14 22:27:00,277,1800,15.39,Low
REC_000180,TRN_182,Kalindi Kunj,2026-03-30 20:44:00,1368,1500,91.2,High
REC_000181,TRN_003,Shakurpur,2026-03-19 10:28:00,1609,1500,107.27,Critical
REC_000182,TRN_106,Azadpur,2026-03-17 12:36:00,806,2200,36.64,Low
REC_000183,TRN_001,Pitampura,2026-03-05 18:45:00,2014,2200,91.55,High
REC_000184,TRN_114,Haiderpur Badli Mor,2026-03-07 07:24:00,1253,2200,56.95,Medium
REC_000185,TRN_156,Netaji Subhash Place,2026-03-19 14:11:00,867,2200,39.41,Low
REC_000186,TRN_138,Kailash Colony,2026-03-21 19:06:00,1972,1800,109.56,Critical
REC_000187,TRN_185,Krishna Nagar,2026-03-26 06:42:00,1282,2200,58.27,Medium
REC_000188,TRN_101,Mandi House,2026-03-14 06:02:00,350,2200,15.91,Low
REC_000189,TRN_133,GTB Nagar,2026-03-19 13:15:00,1234,2400,51.42,Medium
REC_000190,TRN_077,Rithala,2026-03-23 14:00:00,715,1800,39.72,Low
REC_000191,TRN_133,Ghitorni,2026-03-25 10:41:00,2555,2400,106.46,Critical
REC_000192,TRN_164,Uttam Nagar East,2026-03-06 21:01:00,838,1500,55.87,Medium
REC_000193,TRN_055,Sadar Bazar Cantonment,2026-03-30 16:14:00,527,2200,23.95,Low
REC_000194,TRN_057,Civil Lines,2026-03-10 13:14:00,899,1800,49.94,Medium
REC_000195,TRN_048,Millennium City Centre Gurugram,2026-03-21 09:35:00,1833,2200,83.32,High
REC_000196,TRN_072,Chawri Bazar,2026-03-07 21:55:00,509,1800,28.28,Low
REC_000197,TRN_009,Rohini West,2026-03-26 10:03:00,2148,2400,89.5,High
REC_000198,TRN_110,Bhikaji Cama Place,2026-03-12 18:09:00,1741,1800,96.72,Critical
REC_000199,TRN_053,Munirka,2026-03-15 21:21:00,1056,1800,58.67,Medium
REC_000200,TRN_105,Dwarka Sector 11,2026-03-10 17:27:00,1531,1500,102.07,Critical
REC_000201,TRN_116,Noida Sector 18,2026-03-16 19:57:00,1409,1800,78.28,High
REC_000202,TRN_127,Janakpuri West,2026-03-22 15:20:00,510,2400,21.25,Low
REC_000203,TRN_127,Dwarka Sector 13,2026-03-13 19:20:00,2095,2400,87.29,High
REC_000204,TRN_076,Central Secretariat,2026-03-08 06:07:00,354,1500,23.6,Low
REC_000205,TRN_062,Hindon River,2026-03-27 19:43:00,1536,1800,85.33,High
REC_000206,TRN_156,Ashram,2026-03-09 18:48:00,1753,2200,79.68,High
REC_000207,TRN_199,Janakpuri West,2026-03-08 06:14:00,690,2200,31.36,Low
REC_000208,TRN_153,Noida Sector 61,2026-03-07 21:57:00,1022,2200,46.45,Medium
REC_000209,TRN_129,AIIMS,2026-03-21 11:36:00,850,1500,56.67,Medium
REC_000210,TRN_028,Dwarka Sector 14,2026-03-24 13:06:00,904,1500,60.27,Medium
REC_000211,TRN_150,Netaji Subhash Place,2026-03-30 18:25:00,2339,2400,97.46,Critical
REC_000212,TRN_013,Civil Lines,2026-03-19 17:57:00,1802,2200,81.91,High
REC_000213,TRN_046,Shastri Park,2026-03-15 06:08:00,1190,2200,54.09,Medium
REC_000214,TRN_171,Pratap Nagar,2026-03-21 08:21:00,1330,1500,88.67,High
REC_000215,TRN_045,Shadipur,2026-03-19 14:04:00,821,2200,37.32,Low
REC_000216,TRN_085,Badkhal Mor,2026-03-01 12:59:00,449,2200,20.41,Low
REC_000217,TRN_072,Adarsh Nagar,2026-03-08 06:12:00,739,1800,41.06,Medium
REC_000218,TRN_070,Neelam Chowk Ajronda,2026-03-01 21:01:00,981,1500,65.4,Medium
REC_000219,TRN_017,Central Secretariat,2026-03-08 16:44:00,905,2400,37.71,Low
REC_000220,TRN_110,Karkarduma,2026-03-04 14:19:00,1247,1800,69.28,Medium
REC_000221,TRN_067,Harkesh Nagar Okhla,2026-03-20 18:22:00,2457,2400,102.38,Critical
REC_000222,TRN_005,Vidhan Sabha,2026-03-07 10:59:00,2418,2200,109.91,Critical
REC_000223,TRN_138,Bata Chowk,2026-03-12 14:05:00,1128,1800,62.67,Medium
REC_000224,TRN_051,Kohat Enclave,2026-03-12 22:43:00,1081,1800,60.06,Medium
REC_000225,TRN_076,Janpath,2026-03-11 10:43:00,1132,1500,75.47,High
REC_000226,TRN_144,Rajiv Chowk,2026-03-11 16:46:00,1174,1800,65.22,Medium
REC_000227,TRN_185,Krishna Nagar,2026-03-15 15:35:00,1229,2200,55.86,Medium
REC_000228,TRN_068,Okhla Bird Sanctuary,2026-03-24 13:35:00,424,1500,28.27,Low
REC_000229,TRN_058,Shaheed Nagar,2026-03-27 20:54:00,2230,2200,101.36,Critical
REC_000230,TRN_007,Netaji Subhash Place,2026-03-26 20:00:00,1632,2200,74.18,Medium
REC_000231,TRN_149,Dabri Mor - Janakpuri South,2026-03-14 11:39:00,1502,2200,68.27,Medium
REC_000232,TRN_081,Maujpur - Babarpur,2026-03-09 15:42:00,999,1800,55.5,Medium
REC_000233,TRN_073,Old Faridabad,2026-03-14 12:29:00,520,1800,28.89,Low
REC_000234,TRN_001,Seelampur,2026-03-29 15:41:00,631,2200,28.68,Low
REC_000235,TRN_192,Mandi House,2026-03-28 11:12:00,925,1500,61.67,Medium
REC_000236,TRN_144,Millennium City Centre Gurugram,2026-03-11 11:45:00,884,1800,49.11,Medium
REC_000237,TRN_149,Okhla NSIC,2026-03-17 11:09:00,364,2200,16.55,Low
REC_000238,TRN_134,Delhi Gate,2026-03-06 15:16:00,495,2400,20.62,Low
REC_000239,TRN_069,Palam,2026-03-22 15:21:00,1076,2200,48.91,Medium
REC_000240,TRN_140,ESI Basaidarapur,2026-03-15 19:24:00,1424,1500,94.93,High
REC_000241,TRN_122,Jasola Apollo,2026-03-16 09:04:00,1941,2200,88.23,High
REC_000242,TRN_095,Dwarka Sector 12,2026-03-15 08:58:00,1286,1800,71.44,Medium
REC_000243,TRN_162,Jangpura,2026-03-03 08:11:00,1979,1800,109.94,Critical
REC_000244,TRN_199,Kalkaji Mandir,2026-03-04 08:09:00,2012,2200,91.45,High
REC_000245,TRN_140,Mayur Vihar-I,2026-03-26 16:03:00,965,1500,64.33,Medium
REC_000246,TRN_078,Inderlok,2026-03-21 17:09:00,2326,2400,96.92,Critical
REC_000247,TRN_152,R K Ashram Marg,2026-03-23 12:10:00,363,2400,15.12,Low
REC_000248,TRN_006,Shalimar Bagh,2026-03-06 15:40:00,1229,2200,55.86,Medium
REC_000249,TRN_167,Mansarovar Park,2026-03-07 19:49:00,1650,1800,91.67,High
REC_000250,TRN_141,NHPC Chowk,2026-03-12 12:59:00,478,1500,31.87,Low
REC_000251,TRN_194,Lok Kalyan Marg,2026-03-26 17:49:00,1905,1800,105.83,Critical
REC_000252,TRN_171,Rohini East,2026-03-23 10:18:00,1441,1500,96.07,Critical
REC_000253,TRN_105,Uttam Nagar West,2026-03-16 11:32:00,863,1500,57.53,Medium
REC_000254,TRN_129,Jahangirpuri,2026-03-05 10:07:00,1230,1500,82.0,High
REC_000255,TRN_167,Kashmere Gate,2026-03-13 19:25:00,1895,1800,105.28,Critical
REC_000256,TRN_090,ITO,2026-03-06 19:28:00,1688,1800,93.78,High
REC_000257,TRN_173,Major Mohit Sharma Rajendra Nagar,2026-03-04 10:36:00,2293,2400,95.54,Critical
REC_000258,TRN_074,Escorts Mujesar,2026-03-19 13:23:00,1016,2400,42.33,Medium
REC_000259,TRN_191,Anand Vihar ISBT,2026-03-10 12:20:00,1530,2400,63.75,Medium
REC_000260,TRN_023,East Vinod Nagar - Mayur Vihar-II,2026-03-11 16:52:00,713,1500,47.53,Medium
REC_000261,TRN_024,Kashmere Gate,2026-03-20 22:14:00,1131,1800,62.83,Medium
REC_000262,TRN_106,Delhi Cantt,2026-03-24 15:00:00,1432,2200,65.09,Medium
REC_000263,TRN_010,Samaypur Badli,2026-03-12 22:39:00,380,2200,17.27,Low
REC_000264,TRN_014,GTB Nagar,2026-03-24 20:03:00,1915,2200,87.05,High
REC_000265,TRN_043,Haiderpur Badli Mor,2026-03-13 20:05:00,1749,2200,79.5,High
REC_000266,TRN_012,Shahdara,2026-03-01 14:39:00,873,1800,48.5,Medium
REC_000267,TRN_188,GTB Nagar,2026-03-10 09:46:00,2570,2400,107.08,Critical
REC_000268,TRN_020,Karkarduma,2026-03-05 17:10:00,1409,1800,78.28,High
REC_000269,TRN_125,Mohan Nagar,2026-03-29 15:43:00,786,2400,32.75,Low
REC_000270,TRN_035,Patel Chowk,2026-03-07 14:50:00,1047,2400,43.62,Medium
REC_000271,TRN_135,Lajpat Nagar,2026-03-14 11:33:00,228,1500,15.2,Low
REC_000272,TRN_047,Dashrathpuri,2026-03-11 16:48:00,517,1800,28.72,Low
REC_000273,TRN_050,Jasola Vihar Shaheen Bagh,2026-03-09 10:33:00,2491,2400,103.79,Critical
REC_000274,TRN_180,Shyam Park,2026-03-17 15:08:00,1202,2400,50.08,Medium
REC_000275,TRN_159,Panchsheel Park,2026-03-17 17:04:00,1299,1500,86.6,High
REC_000276,TRN_071,Janpath,2026-03-04 13:49:00,481,2400,20.04,Low
REC_000277,TRN_145,Raja Nahar Singh,2026-03-18 11:23:00,846,1800,47.0,Medium
REC_000278,TRN_146,Nehru Place,2026-03-10 18:41:00,2099,2200,95.41,Critical
REC_000279,TRN_012,Hindon River,2026-03-18 21:04:00,1159,1800,64.39,Medium
REC_000280,TRN_001,Tis Hazari,2026-03-25 07:07:00,1503,2200,68.32,Medium
REC_000281,TRN_175,Guru Dronacharya,2026-03-06 21:16:00,716,2200,32.55,Low
REC_000282,TRN_064,Uttam Nagar,2026-03-18 22:26:00,399,2400,16.62,Low
REC_000283,TRN_152,Uttam Nagar East,2026-03-11 15:24:00,499,2400,20.79,Low
REC_000284,TRN_167,Inderlok,2026-03-30 09:57:00,1540,1800,85.56,High
REC_000285,TRN_184,Welcome,2026-03-14 09:32:00,1857,2200,84.41,High
REC_000286,TRN_032,Ghitorni,2026-03-05 09:39:00,2258,2400,94.08,High
REC_000287,TRN_076,Janpath,2026-03-03 06:56:00,406,1500,27.07,Low
REC_000288,TRN_050,Okhla Vihar,2026-03-26 07:21:00,914,2400,38.08,Low
REC_000289,TRN_101,Jangpura,2026-03-21 17:21:00,2272,2200,103.27,Critical
REC_000290,TRN_193,Hindon River,2026-03-05 08:30:00,1667,1800,92.61,High
REC_000291,TRN_200,IP Extension,2026-03-26 10:33:00,1131,1500,75.4,High
REC_000292,TRN_101,Neelam Chowk Ajronda,2026-03-26 06:56:00,453,2200,20.59,Low
REC_000293,TRN_002,Kohat Enclave,2026-03-17 06:20:00,676,2400,28.17,Low
REC_000294,TRN_142,Welcome,2026-03-10 15:22:00,1250,2200,56.82,Medium
REC_000295,TRN_118,Shalimar Bagh,2026-03-09 16:35:00,483,2400,20.12,Low
REC_000296,TRN_195,R.K. Puram,2026-03-19 06:21:00,424,2400,17.67,Low
