trip_id,date,time,transport_type,route_id,origin_station,destination_station,scheduled_departure,scheduled_arrival,actual_departure_delay_min,actual_arrival_delay_min,weather_condition,temperature_c,humidity_percent,wind_speed_kmh,precipitation_mm,event_type,event_attendance_est,traffic_congestion_index,holiday,peak_hour,weekday,season,delayed,time_min,scheduled_departure_min,scheduled_arrival_min,is_delayed_5min,year,month,day_of_week,is_weekend,actual_departure_delay_min_outlier,actual_arrival_delay_min_outlier,event_attendance_est_outlier,traffic_congestion_index_outlier
T00013,2023-01-01,08:15:00,Tram,Route_9,Station_41,Station_3,08:17:00,08:44:00,10,22,Storm,10.0,55,48,1.6,Unknown,10000,62,0,1,6,Summer,1,495.0,497.0,524.0,1,2023,1,6,1,0,0,1,0
T00014,2023-01-01,08:30:00,Metro,Route_13,Station_6,Station_42,08:32:00,09:28:00,16,0,Storm,17.6,52,22,5.2,Unknown,500,21,0,0,6,Winter,0,510.0,512.0,568.0,1,2023,1,6,1,0,0,0,0
T00015,2023-01-01,08:45:00,Bus,Route_15,Station_5,Station_11,08:46:00,09:22:00,9,11,Fog,28.4,42,37,19.1,Unknown,500,53,0,0,6,Summer,1,525.0,526.0,562.0,1,2023,1,6,1,0,0,0,0
T00016,2023-01-01,09:00:00,Metro,Route_10,Station_44,Station_43,09:03:00,09:20:00,14,28,Storm,-4.3,32,52,2.2,Festival,0,88,0,0,6,Spring,1,540.0,543.0,560.0,1,2023,1,6,1,0,0,0,0
T00017,2023-01-01,09:15:00,Metro,Route_16,Station_29,Station_17,09:18:00,10:13:00,19,25,Fog,27.1,58,27,6.1,Unknown,0,84,0,0,6,Spring,1,555.0,558.0,613.0,1,2023,1,6,1,0,0,0,0
T00018,2023-01-01,09:30:00,Metro,Route_7,Station_28,Station_32,09:31:00,10:10:00,9,6,Clear,32.9,95,12,0.7,Unknown,2000,35,0,1,6,Winter,1,570.0,571.0,610.0,1,2023,1,6,1,0,0,0,0
T00019,2023-01-01,09:45:00,Tram,Route_17,Station_11,Station_4,09:48:00,10:05:00,10,17,Clear,-3.7,93,28,3.0,Festival,0,57,0,0,6,Winter,1,585.0,588.0,605.0,1,2023,1,6,1,0,0,0,0
T00020,2023-01-01,10:00:00,Train,Route_7,Station_1,Station_4,10:00:00,10:34:00,9,12,Clear,-3.2,57,7,14.0,Concert,0,19,0,0,6,Winter,1,600.0,600.0,634.0,1,2023,1,6,1,0,0,0,0
T00021,2023-01-01,10:15:00,Bus,Route_14,Station_43,Station_17,10:18:00,10:38:00,16,15,Clear,8.8,65,10,7.3,Unknown,0,15,0,0,6,Autumn,1,615.0,618.0,638.0,1,2023,1,6,1,0,0,0,0
T00022,2023-01-01,10:30:00,Train,Route_15,Station_19,Station_41,10:31:00,11:09:00,11,25,Cloudy,-1.5,35,46,9.0,Unknown,0,91,0,0,6,Summer,1,630.0,631.0,669.0,1,2023,1,6,1,0,0,0,0
T00023,2023-01-01,10:45:00,Metro,Route_7,Station_9,Station_19,10:48:00,11:14:00,4,14,Snow,14.2,40,44,3.1,Festival,500,55,0,1,6,Winter,1,645.0,648.0,674.0,1,2023,1,6,1,0,0,0,0
T00024,2023-01-01,11:00:00,Metro,Route_9,Station_27,Station_5,11:04:00,11:42:00,10,12,Snow,24.1,67,17,13.6,Festival,0,92,0,0,6,Winter,1,660.0,664.0,702.0,1,2023,1,6,1,0,0,0,0
T00025,2023-01-01,11:15:00,Train,Route_19,Station_34,Station_32,11:17:00,12:08:00,3,-3,Cloudy,17.7,63,49,15.0,Unknown,0,49,0,0,6,Winter,0,675.0,677.0,728.0,0,2023,1,6,1,0,0,0,0
T00026,2023-01-01,11:30:00,Train,Route_16,Station_44,Station_22,11:30:00,12:22:00,16,-2,Clear,2.9,96,24,3.6,Unknown,0,89,1,0,6,Spring,0,690.0,690.0,742.0,1,2023,1,6,1,0,0,0,0
T00027,2023-01-01,11:45:00,Train,Route_8,Station_4,Station_6,11:49:00,12:38:00,16,11,Storm,21.2,75,48,0.9,Unknown,10000,65,0,0,6,Winter,1,705.0,709.0,758.0,1,2023,1,6,1,0,0,1,0
T00028,2023-01-01,12:00:00,Metro,Route_18,Station_36,Station_35,12:04:00,12:58:00,1,24,Fog,22.4,58,21,1.6,Unknown,50000,73,0,0,6,Spring,1,720.0,724.0,778.0,1,2023,1,6,1,0,0,1,0
T00029,2023-01-01,12:15:00,Metro,Route_18,Station_18,Station_22,12:16:00,12:44:00,16,-3,Snow,32.3,89,44,13.1,Sports,0,12,0,1,6,Spring,0,735.0,736.0,764.0,1,2023,1,6,1,0,0,0,0
T00030,2023-01-01,12:30:00,Bus,Route_20,Station_15,Station_1,12:32:00,13:09:00,6,1,Rain,0.9,83,34,2.7,Unknown,0,14,0,0,6,Autumn,0,750.0,752.0,789.0,1,2023,1,6,1,0,0,0,0
T00031,2023-01-01,12:45:00,Bus,Route_7,Station_13,Station_20,12:47:00,13:05:00,13,18,Fog,22.7,98,28,9.9,Sports,0,72,0,1,6,Winter,1,765.0,767.0,785.0,1,2023,1,6,1,0,0,0,0
T00032,2023-01-01,13:00:00,Metro,Route_3,Station_19,Station_22,13:00:00,13:32:00,1,9,Rain,31.5,38,20,3.1,Concert,0,26,0,0,6,Autumn,1,780.0,780.0,812.0,1,2023,1,6,1,0,0,0,0
T00033,2023-01-01,13:15:00,Train,Route_18,Station_49,Station_48,13:16:00,13:35:00,3,-3,Rain,15.1,39,55,3.4,Sports,2000,7,0,1,6,Winter,0,795.0,796.0,815.0,0,2023,1,6,1,0,0,0,0
T00034,2023-01-01,13:30:00,Train,Route_10,Station_6,Station_11,13:30:00,13:54:00,5,12,Clear,9.5,97,6,0.1,Festival,0,69,0,0,6,Summer,1,810.0,810.0,834.0,1,2023,1,6,1,0,0,0,0
T00035,2023-01-01,13:45:00,Bus,Route_7,Station_48,Station_13,13:48:00,14:20:00,13,18,Rain,1.8,87,11,6.4,Unknown,0,99,0,0,6,Winter,1,825.0,828.0,860.0,1,2023,1,6,1,0,0,0,0
T00036,2023-01-01,14:00:00,Metro,Route_17,Station_12,Station_42,14:04:00,14:34:00,2,28,Clear,29.7,81,35,1.8,Unknown,0,49,0,1,6,Winter,1,840.0,844.0,874.0,1,2023,1,6,1,0,0,0,0
T00037,2023-01-01,14:15:00,Bus,Route_14,Station_37,Station_3,14:15:00,15:02:00,18,12,Cloudy,10.8,63,23,7.9,Concert,50000,87,0,0,6,Winter,1,855.0,855.0,902.0,1,2023,1,6,1,0,0,1,0
T00038,2023-01-01,14:30:00,Bus,Route_3,Station_17,Station_9,14:34:00,15:20:00,19,11,Storm,32.0,64,31,12.0,Protest,10000,66,0,0,6,Winter,1,870.0,874.0,920.0,1,2023,1,6,1,0,0,1,0
T00039,2023-01-01,14:45:00,Tram,Route_12,Station_23,Station_12,14:46:00,15:27:00,7,8,Rain,28.9,62,26,7.4,Unknown,2000,25,0,1,6,Winter,1,885.0,886.0,927.0,1,2023,1,6,1,0,0,0,0
T00040,2023-01-01,15:00:00,Tram,Route_13,Station_26,Station_23,15:03:00,15:36:00,10,-3,Storm,10.1,61,31,14.1,Protest,0,35,0,0,6,Winter,0,900.0,903.0,936.0,1,2023,1,6,1,0,0,0,0
T00041,2023-01-01,15:15:00,Tram,Route_2,Station_29,Station_14,15:16:00,16:08:00,11,13,Clear,18.0,84,58,14.8,Unknown,0,20,0,0,6,Autumn,1,915.0,916.0,968.0,1,2023,1,6,1,0,0,0,0
T00042,2023-01-01,15:30:00,Train,Route_3,Station_33,Station_33,15:33:00,16:02:00,4,24,Rain,-3.9,37,31,13.9,Unknown,10000,76,0,1,6,Summer,1,930.0,933.0,962.0,1,2023,1,6,1,0,0,1,0
T00043,2023-01-01,15:45:00,Metro,Route_5,Station_27,Station_18,15:48:00,16:18:00,17,3,Fog,5.5,75,31,18.7,Unknown,0,51,0,1,6,Autumn,0,945.0,948.0,978.0,1,2023,1,6,1,0,0,0,0
T00044,2023-01-01,16:00:00,Metro,Route_11,Station_25,Station_49,16:04:00,16:30:00,3,5,Cloudy,23.4,43,25,4.7,Parade,500,10,0,1,6,Summer,0,960.0,964.0,990.0,0,2023,1,6,1,0,0,0,0
T00045,2023-01-01,16:15:00,Metro,Route_8,Station_10,Station_41,16:16:00,17:02:00,4,18,Snow,22.1,37,10,3.8,Unknown,0,7,0,0,6,Autumn,1,975.0,976.0,1022.0,1,2023,1,6,1,0,0,0,0
T00046,2023-01-01,16:30:00,Metro,Route_12,Station_47,Station_9,16:31:00,17:21:00,2,22,Cloudy,9.1,83,45,12.2,Unknown,0,56,0,0,6,Autumn,1,990.0,991.0,1041.0,1,2023,1,6,1,0,0,0,0
T00047,2023-01-01,16:45:00,Tram,Route_7,Station_23,Station_23,16:45:00,17:39:00,18,8,Rain,27.3,50,17,11.9,Parade,0,45,0,1,6,Winter,1,1005.0,1005.0,1059.0,1,2023,1,6,1,0,0,0,0
T00048,2023-01-01,17:00:00,Train,Route_15,Station_21,Station_10,17:01:00,17:50:00,15,3,Cloudy,4.4,43,38,10.2,Sports,10000,77,0,0,6,Autumn,0,1020.0,1021.0,1070.0,1,2023,1,6,1,0,0,1,0
T00049,2023-01-01,17:15:00,Train,Route_17,Station_21,Station_19,17:15:00,17:51:00,9,11,Snow,13.5,31,4,0.1,Protest,0,96,0,1,6,Summer,1,1035.0,1035.0,1071.0,1,2023,1,6,1,0,0,0,0
T00050,2023-01-01,17:30:00,Tram,Route_4,Station_43,Station_47,17:32:00,17:58:00,3,17,Fog,13.9,90,15,11.1,Unknown,2000,1,0,0,6,Spring,1,1050.0,1052.0,1078.0,1,2023,1,6,1,0,0,0,0
T00051,2023-01-01,17:45:00,Train,Route_13,Station_13,Station_5,17:47:00,18:14:00,-2,10,Storm,8.6,46,10,18.7,Unknown,10000,63,0,0,6,Summer,1,1065.0,1067.0,1094.0,1,2023,1,6,1,0,0,1,0
T00052,2023-01-01,18:00:00,Tram,Route_18,Station_37,Station_47,18:02:00,18:27:00,1,-2,Fog,33.2,77,53,6.7,Unknown,50000,51,0,0,6,Autumn,0,1080.0,1082.0,1107.0,0,2023,1,6,1,0,0,1,0
T00053,2023-01-01,18:15:00,Metro,Route_1,Station_33,Station_23,18:16:00,18:55:00,16,4,Cloudy,22.9,37,34,19.4,Sports,0,64,0,1,6,Spring,0,1095.0,1096.0,1135.0,1,2023,1,6,1,0,0,0,0
T00054,2023-01-01,18:30:00,Tram,Route_16,Station_24,Station_30,18:31:00,19:02:00,9,2,Snow,16.6,85,47,7.1,Concert,0,10,0,0,6,Winter,0,1110.0,1111.0,1142.0,1,2023,1,6,1,0,0,0,0
T00055,2023-01-01,18:45:00,Metro,Route_13,Station_44,Station_25,18:45:00,19:09:00,12,29,Storm,15.4,46,10,2.8,Concert,50000,5,0,1,6,Spring,1,1125.0,1125.0,1149.0,1,2023,1,6,1,0,0,1,0
T00056,2023-01-01,19:00:00,Metro,Route_10,Station_11,Station_28,19:03:00,19:25:00,0,2,Snow,1.4,98,41,8.0,Sports,0,95,0,1,6,Winter,0,1140.0,1143.0,1165.0,0,2023,1,6,1,0,0,0,0
T00057,2023-01-01,19:15:00,Bus,Route_12,Station_17,Station_34,19:15:00,20:04:00,17,22,Fog,9.9,41,22,9.9,Unknown,0,78,0,1,6,Summer,1,1155.0,1155.0,1204.0,1,2023,1,6,1,0,0,0,0
T00058,2023-01-01,19:30:00,Tram,Route_2,Station_4,Station_45,19:32:00,20:20:00,5,10,Clear,21.9,67,54,12.6,Concert,0,75,0,1,6,Spring,1,1170.0,1172.0,1220.0,1,2023,1,6,1,0,0,0,0
T00059,2023-01-01,19:45:00,Bus,Route_3,Station_47,Station_48,19:45:00,20:21:00,8,4,Clear,32.0,47,33,10.1,Unknown,0,63,0,1,6,Spring,0,1185.0,1185.0,1221.0,1,2023,1,6,1,0,0,0,0
T00060,2023-01-01,20:00:00,Tram,Route_10,Station_25,Station_47,20:03:00,20:30:00,13,9,Storm,27.7,55,47,10.7,Unknown,0,92,0,1,6,Spring,1,1200.0,1203.0,1230.0,1,2023,1,6,1,0,0,0,0
T00061,2023-01-01,20:15:00,Tram,Route_2,Station_30,Station_25,20:16:00,20:54:00,6,9,Storm,7.0,66,16,0.5,Unknown,500,54,0,0,6,Winter,1,1215.0,1216.0,1254.0,1,2023,1,6,1,0,0,0,0
T00062,2023-01-01,20:30:00,Bus,Route_13,Station_9,Station_10,20:30:00,20:58:00,0,24,Storm,12.4,99,9,5.1,Sports,500,43,0,0,6,Winter,1,1230.0,1230.0,1258.0,1,2023,1,6,1,0,0,0,0
T00063,2023-01-01,20:45:00,Bus,Route_13,Station_21,Station_14,20:47:00,21:06:00,2,14,Clear,-1.7,70,17,6.2,Festival,0,85,0,0,6,Summer,1,1245.0,1247.0,1266.0,1,2023,1,6,1,0,0,0,0
T00064,2023-01-01,21:00:00,Tram,Route_18,Station_20,Station_42,21:02:00,21:56:00,17,15,Fog,-0.9,71,43,19.7,Unknown,10000,13,1,0,6,Summer,1,1260.0,1262.0,1316.0,1,2023,1,6,1,0,0,1,0
T00065,2023-01-01,21:15:00,Train,Route_3,Station_19,Station_46,21:16:00,21:35:00,11,28,Storm,13.8,70,7,5.9,Unknown,0,82,0,0,6,Autumn,1,1275.0,1276.0,1295.0,1,2023,1,6,1,0,0,0,0
T00066,2023-01-01,21:30:00,Metro,Route_7,Station_19,Station_30,21:30:00,21:53:00,12,18,Clear,16.2,76,58,17.9,Unknown,0,4,0,0,6,Winter,1,1290.0,1290.0,1313.0,1,2023,1,6,1,0,0,0,0
T00067,2023-01-01,21:45:00,Bus,Route_14,Station_12,Station_41,21:48:00,22:40:00,3,-2,Storm,5.6,43,25,6.1,Festival,50000,98,0,1,6,Summer,0,1305.0,1308.0,1360.0,0,2023,1,6,1,0,0,1,0
T00068,2023-01-01,22:00:00,Metro,Route_20,Station_37,Station_25,22:01:00,22:44:00,1,9,Storm,20.7,30,2,1.9,Concert,0,24,0,0,6,Spring,1,1320.0,1321.0,1364.0,1,2023,1,6,1,0,0,0,0
T00069,2023-01-01,22:15:00,Train,Route_17,Station_42,Station_14,22:15:00,22:37:00,5,19,Snow,23.1,46,58,5.0,Parade,2000,49,0,0,6,Spring,1,1335.0,1335.0,1357.0,1,2023,1,6,1,0,0,0,0
T00070,2023-01-01,22:30:00,Train,Route_12,Station_17,Station_35,22:34:00,22:58:00,16,21,Storm,7.0,84,51,5.5,Festival,0,72,0,1,6,Spring,1,1350.0,1354.0,1378.0,1,2023,1,6,1,0,0,0,0
T00071,2023-01-01,22:45:00,Train,Route_16,Station_37,Station_48,22:47:00,23:26:00,2,24,Clear,25.3,82,23,19.6,Unknown,2000,70,0,0,6,Summer,1,1365.0,1367.0,1406.0,1,2023,1,6,1,0,0,0,0
T00072,2023-01-01,23:00:00,Bus,Route_12,Station_48,Station_34,23:03:00,23:42:00,10,7,Fog,3.2,60,2,13.5,Unknown,0,81,0,0,6,Spring,1,1380.0,1383.0,1422.0,1,2023,1,6,1,0,0,0,0
T00073,2023-01-01,23:15:00,Train,Route_15,Station_39,Station_10,23:18:00,23:46:00,13,29,Clear,16.8,91,37,18.6,Unknown,0,1,0,1,6,Spring,1,1395.0,1398.0,1426.0,1,2023,1,6,1,0,0,0,0
T00074,2023-01-01,23:30:00,Bus,Route_10,Station_28,Station_35,23:33:00,23:59:00,-2,20,Clear,27.2,37,1,16.7,Unknown,0,9,0,0,6,Winter,1,1410.0,1413.0,1439.0,1,2023,1,6,1,0,0,0,0
T00075,2023-01-01,23:45:00,Train,Route_7,Station_41,Station_11,23:47:00,00:38:00,10,-2,Storm,16.5,59,34,11.6,Unknown,0,1,0,0,6,Winter,0,1425.0,1427.0,38.0,1,2023,1,6,1,0,0,0,0
T00076,2023-01-02,00:00:00,Metro,Route_20,Station_35,Station_11,00:00:00,00:29:00,19,26,Snow,31.3,95,16,13.5,Unknown,0,59,0,0,0,Summer,1,0.0,0.0,29.0,1,2023,1,0,0,0,0,0,0
T00077,2023-01-02,00:15:00,Metro,Route_5,Station_47,Station_21,00:16:00,01:04:00,8,13,Rain,-2.7,74,8,12.5,Concert,10000,44,0,0,0,Winter,1,15.0,16.0,64.0,1,2023,1,0,0,0,0,1,0
T00078,2023-01-02,00:30:00,Tram,Route_1,Station_48,Station_21,00:30:00,01:11:00,18,18,Rain,18.5,47,35,13.3,Unknown,0,7,0,1,0,Autumn,1,30.0,30.0,71.0,1,2023,1,0,0,0,0,0,0
T00079,2023-01-02,00:45:00,Metro,Route_17,Station_18,Station_22,00:46:00,01:10:00,5,1,Rain,17.5,74,21,5.3,Unknown,10000,57,0,0,0,Summer,0,45.0,46.0,70.0,0,2023,1,0,0,0,0,1,0
T00080,2023-01-02,01:00:00,Tram,Route_3,Station_14,Station_45,01:03:00,01:21:00,5,12,Clear,21.4,48,30,8.2,Unknown,0,6,0,1,0,Autumn,1,60.0,63.0,81.0,1,2023,1,0,0,0,0,0,0
T00081,2023-01-02,01:15:00,Metro,Route_13,Station_35,Station_7,01:15:00,02:04:00,11,9,Storm,28.3,97,54,11.9,Unknown,0,98,0,0,0,Autumn,1,75.0,75.0,124.0,1,2023,1,0,0,0,0,0,0
T00082,2023-01-02,01:30:00,Bus,Route_14,Station_44,Station_17,01:33:00,01:51:00,10,22,Rain,24.0,79,33,0.7,Sports,50000,86,0,0,0,Summer,1,90.0,93.0,111.0,1,2023,1,0,0,0,0,1,0
T00083,2023-01-02,01:45:00,Metro,Route_18,Station_41,Station_2,01:49:00,02:36:00,0,27,Cloudy,26.6,54,23,9.7,Sports,50000,71,0,1,0,Winter,1,105.0,109.0,156.0,1,2023,1,0,0,0,0,1,0
T00084,2023-01-02,02:00:00,Tram,Route_4,Station_7,Station_12,02:03:00,02:35:00,1,19,Cloudy,6.6,67,59,17.2,Unknown,0,20,1,1,0,Winter,1,120.0,123.0,155.0,1,2023,1,0,0,0,0,0,0
T00085,2023-01-02,02:15:00,Tram,Route_18,Station_41,Station_42,02:18:00,02:46:00,17,8,Cloudy,10.5,65,8,9.8,Concert,10000,96,0,0,0,Summer,1,135.0,138.0,166.0,1,2023,1,0,0,0,0,1,0
T00086,2023-01-02,02:30:00,Train,Route_5,Station_13,Station_18,02:31:00,02:50:00,12,10,Fog,20.1,97,45,11.0,Unknown,0,46,0,0,0,Autumn,1,150.0,151.0,170.0,1,2023,1,0,0,0,0,0,0
T00087,2023-01-02,02:45:00,Bus,Route_16,Station_18,Station_11,02:49:00,03:12:00,12,14,Storm,17.1,85,57,4.0,Unknown,0,0,0,1,0,Summer,1,165.0,169.0,192.0,1,2023,1,0,0,0,0,0,0
T00088,2023-01-02,03:00:00,Metro,Route_1,Station_37,Station_16,03:03:00,03:32:00,18,23,Clear,33.4,68,42,15.9,Unknown,0,11,0,0,0,Summer,1,180.0,183.0,212.0,1,2023,1,0,0,0,0,0,0
T00089,2023-01-02,03:15:00,Train,Route_14,Station_13,Station_49,03:18:00,03:49:00,10,24,Clear,2.5,92,1,7.2,Parade,50000,74,0,0,0,Spring,1,195.0,198.0,229.0,1,2023,1,0,0,0,0,1,0
T00090,2023-01-02,03:30:00,Metro,Route_15,Station_36,Station_18,03:34:00,03:57:00,6,14,Storm,9.1,36,20,19.1,Unknown,50000,47,1,1,0,Spring,1,210.0,214.0,237.0,1,2023,1,0,0,0,0,1,0
T00091,2023-01-02,03:45:00,Metro,Route_9,Station_31,Station_35,03:49:00,04:14:00,7,12,Snow,17.9,87,33,19.9,Unknown,0,93,0,0,0,Autumn,1,225.0,229.0,254.0,1,2023,1,0,0,0,0,0,0
T00092,2023-01-02,04:00:00,Train,Route_15,Station_2,Station_26,04:00:00,04:24:00,9,12,Snow,29.7,88,26,18.3,Protest,2000,3,0,0,0,Winter,1,240.0,240.0,264.0,1,2023,1,0,0,0,0,0,0
T00093,2023-01-02,04:15:00,Train,Route_17,Station_16,Station_16,04:16:00,04:53:00,11,9,Fog,32.2,77,36,1.7,Unknown,10000,33,0,0,0,Spring,1,255.0,256.0,293.0,1,2023,1,0,0,0,0,1,0
T00094,2023-01-02,04:30:00,Train,Route_4,Station_9,Station_6,04:34:00,05:27:00,-2,25,Storm,8.4,34,6,6.7,Unknown,0,86,0,1,0,Spring,1,270.0,274.0,327.0,1,2023,1,0,0,0,0,0,0
T00095,2023-01-02,04:45:00,Train,Route_12,Station_9,Station_44,04:49:00,05:15:00,11,5,Snow,-2.3,65,21,18.9,Festival,500,31,0,0,0,Autumn,0,285.0,289.0,315.0,1,2023,1,0,0,0,0,0,0
T00096,2023-01-02,05:00:00,Train,Route_5,Station_38,Station_43,05:02:00,05:39:00,11,22,Fog,11.9,54,3,16.1,Unknown,0,2,0,1,0,Summer,1,300.0,302.0,339.0,1,2023,1,0,0,0,0,0,0
T00097,2023-01-02,05:15:00,Metro,Route_5,Station_11,Station_47,05:19:00,05:54:00,5,24,Rain,10.8,74,13,18.2,Concert,0,91,0,0,0,Spring,1,315.0,319.0,354.0,1,2023,1,0,0,0,0,0,0
T00098,2023-01-02,05:30:00,Train,Route_11,Station_22,Station_47,05:31:00,06:10:00,13,9,Rain,34.5,48,33,11.5,Sports,2000,67,0,0,0,Winter,1,330.0,331.0,370.0,1,2023,1,0,0,0,0,0,0
T00099,2023-01-02,05:45:00,Bus,Route_6,Station_33,Station_48,05:48:00,06:22:00,11,5,Fog,12.2,36,22,9.6,Sports,0,56,0,0,0,Autumn,0,345.0,348.0,382.0,1,2023,1,0,0,0,0,0,0
T00100,2023-01-02,06:00:00,Tram,Route_7,Station_36,Station_42,06:03:00,06:29:00,-2,10,Storm,7.2,87,43,2.1,Parade,0,75,0,0,0,Spring,1,360.0,363.0,389.0,1,2023,1,0,0,0,0,0,0
T00101,2023-01-02,06:15:00,Train,Route_14,Station_45,Station_12,06:18:00,07:08:00,13,8,Rain,9.6,95,41,16.8,Protest,0,23,0,0,0,Autumn,1,375.0,378.0,428.0,1,2023,1,0,0,0,0,0,0
T00102,2023-01-02,06:30:00,Train,Route_11,Station_23,Station_13,06:33:00,07:15:00,15,28,Storm,10.9,68,24,14.9,Concert,2000,32,0,0,0,Spring,1,390.0,393.0,435.0,1,2023,1,0,0,0,0,0,0
T00103,2023-01-02,06:45:00,Metro,Route_13,Station_45,Station_4,06:47:00,07:34:00,4,-1,Snow,27.9,47,0,1.2,Festival,0,2,0,1,0,Spring,0,405.0,407.0,454.0,0,2023,1,0,0,0,0,0,0
T00104,2023-01-02,07:00:00,Train,Route_2,Station_45,Station_39,07:04:00,07:28:00,12,12,Rain,-1.8,30,50,4.2,Festival,0,3,0,1,0,Autumn,1,420.0,424.0,448.0,1,2023,1,0,0,0,0,0,0
T00105,2023-01-02,07:15:00,Train,Route_7,Station_34,Station_2,07:18:00,08:05:00,14,16,Snow,7.7,92,54,11.1,Parade,500,29,0,0,0,Winter,1,435.0,438.0,485.0,1,2023,1,0,0,0,0,0,0
T00106,2023-01-02,07:30:00,Train,Route_20,Station_9,Station_26,07:30:00,07:53:00,16,28,Storm,33.7,32,47,13.7,Sports,0,69,0,1,0,Winter,1,450.0,450.0,473.0,1,2023,1,0,0,0,0,0,0
T00107,2023-01-02,07:45:00,Metro,Route_4,Station_24,Station_27,07:48:00,08:10:00,10,19,Storm,1.1,50,14,2.8,Unknown,10000,48,0,0,0,Summer,1,465.0,468.0,490.0,1,2023,1,0,0,0,0,1,0
T00108,2023-01-02,08:00:00,Train,Route_8,Station_8,Station_27,08:04:00,08:33:00,6,13,Cloudy,24.7,59,31,4.9,Sports,0,29,0,0,0,Spring,1,480.0,484.0,513.0,1,2023,1,0,0,0,0,0,0
T00109,2023-01-02,08:15:00,Tram,Route_20,Station_7,Station_15,08:18:00,08:38:00,12,12,Fog,9.3,40,13,3.9,Unknown,0,71,0,0,0,Summer,1,495.0,498.0,518.0,1,2023,1,0,0,0,0,0,0
T00110,2023-01-02,08:30:00,Metro,Route_19,Station_36,Station_8,08:32:00,09:15:00,0,4,Clear,18.3,51,40,4.4,Unknown,0,81,0,0,0,Autumn,0,510.0,512.0,555.0,0,2023,1,0,0,0,0,0,0
