station_code,station_name,state,zone,address,geometry_type,longitude,latitude,coord_invalid,code_length,name_word_count,is_junction,is_road_station,code_length_outlier,name_word_count_outlier
CLJ,Colonelganj,Unknown,Unknown,Unknown,Point,81.69417800000001,27.137698,0,3,1,0,0,0,0
KTHL,Kathola,Unknown,Unknown,Unknown,Point,81.8556626477,27.1465555756,0,4,1,0,0,0,0
MND,Munderwa,Unknown,Unknown,Unknown,Point,82.903373,26.776435,0,3,1,0,0,0,0
SNSI,Sainagar Shirdi,Maharashtra,CR,"Near New Bus Stand Shirdi Sainagar, Maharashtra",Point,74.4806877,19.7807923,0,4,2,0,0,0,0
DLJ,Dhola Jn,Gujarat,WR,"Dhola, Gujarat",Point,71.738273,21.822549,0,3,2,1,0,0,0
PGW,Phagwara Jn,Unknown,Unknown,Unknown,Point,75.7655019775,31.2175557498,0,3,2,1,0,0,0
YY-BINP,Yy-Binp,Unknown,Unknown,Unknown,Unknown,,,1,7,1,0,0,1,0
JUP,Jhunpa,Rajasthan,?,"Nh 65, Rajasthan",Point,75.521553,28.777449,0,3,1,0,0,0,0
XX-JSGB,Xx-Jsgb,Unknown,Unknown,Unknown,Unknown,,,1,7,1,0,0,1,0
JSG,Jharsuguda Jn,Unknown,Unknown,Unknown,Point,84.017427,21.862274,0,3,2,1,0,0,0
KYW,Karchhue,Unknown,Unknown,Unknown,Point,84.20715351199999,26.2311244405,0,3,1,0,0,0,0
MHRN,Mahendranath,Unknown,Unknown,Unknown,Point,84.509909,26.000739,0,4,1,0,0,0,0
TKVR,Tappa Khajuriay,Unknown,Unknown,Unknown,Point,84.688889,25.807401,0,4,2,0,0,0,0
DPI,Doddampatti,Unknown,Unknown,Unknown,Point,78.42225009,12.18134581,0,3,1,0,0,0,0
SREE,Sree,Unknown,Unknown,Unknown,Unknown,,,1,4,1,0,0,0,0
AQG,Ashapura Gomat,Rajasthan,NWR,"National Highway 15, Rajasthan",Point,71.892665,26.950232,0,3,2,0,0,0,0
NEA,Neykkarapatti,Unknown,Unknown,Unknown,Point,78.09669699999999,11.612765,0,3,1,0,0,0,0
GRL,Goraul,Unknown,Unknown,Unknown,Point,85.318477,25.931049,0,3,1,0,0,0,0
DKJC,Dkjc,Unknown,Unknown,Unknown,Unknown,,,1,4,1,0,0,0,0
KHI,Kurhani,Unknown,Unknown,Unknown,Point,85.339288,25.979631,0,3,1,0,0,0,0
VNJ,Tiruppur Vanjipalayam,Unknown,Unknown,Unknown,Point,77.26580200000001,11.117791,0,3,2,0,0,0,0
CBF,Coimbatore North,Unknown,Unknown,Unknown,Point,76.954304,11.019937,0,3,2,0,0,0,0
UMB,Ambala Cant Jn,Unknown,Unknown,Unknown,Point,76.826966,30.338918,0,3,3,1,0,0,0
SRO,Sirathu,Unknown,Unknown,Unknown,Point,81.31786,25.650642,0,3,1,0,0,0,0
SJT,Shujaatpur,Unknown,Unknown,Unknown,Point,81.401934,25.605607000000003,0,3,1,0,0,0,0
BDNP,Bidanpur,Unknown,Unknown,Unknown,Point,81.44201699999999,25.585017,0,4,1,0,0,0,0
MTPC,Motipura Chauki,Rajasthan,WCR,"Motipura, Rajasthan",Point,77.04829951629999,24.6093382288,0,4,2,0,0,0,0
HTZ,Hathidah Jn,Unknown,Unknown,Unknown,Point,85.987826,25.367027,0,3,2,1,0,0,0
TSKG,Tinsukia Goods,Unknown,Unknown,Unknown,Unknown,,,1,4,2,0,0,0,0
DDNI,Dudhnoi,Assam,NFR,"Dudhnoi Railway Station, Assam",Point,90.76188,26.001459,0,4,1,0,0,0,0
RDE,Rundhi,Unknown,Unknown,Unknown,Point,77.350991,28.067751,0,3,1,0,0,0,0
IJ,Itaunja,Uttar Pradesh,NER,"Itaunja, Uttar Pradesh",Point,80.89123400000001,27.081067,0,2,1,0,0,0,0
RMX,Ramsar,Rajasthan,NWR,"Barmer, Rajasthan",Point,70.866078,25.722252,0,3,1,0,0,0,0
PBE,Pilibhit Jn,Uttar Pradesh,NER,"Pilibhit, Uttar Pradesh",Point,79.813946,28.614978,0,3,2,1,0,0,0
RMB,Rampura Beri,Rajasthan,NWR,"Rampura Bhal, Rajasthan",Point,75.64547982849999,28.5301320576,0,3,2,0,0,0,0
MGS,Mughal Sarai Jn,Unknown,Unknown,Unknown,Point,83.11925000000001,25.278149,0,3,3,1,0,0,0
RSWT,Ramgarh Shekhawati,Rajasthan,NWR,"Ramgarh, Rajasthan",Point,74.993046,28.169397,0,4,2,0,0,0,0
BKNA,Bakaina Halt,Unknown,Unknown,Unknown,Point,78.27473099999999,29.0358,0,4,2,0,0,0,0
HBD,Hoshangabad,Unknown,Unknown,Unknown,Point,77.715594,22.75274,0,3,1,0,0,0,0
ANA,Aslana,Unknown,Unknown,Unknown,Point,79.319493,23.860522,0,3,1,0,0,0,0
BNI,Budni,Unknown,Unknown,Unknown,Point,77.6812826,22.7871143,0,3,1,0,0,0,0
YY-IDHW,Yy-Idhw,Unknown,Unknown,Unknown,Unknown,,,1,7,1,0,0,1,0
DMGN,Dhamalgaon,Assam,NFR,"A T Rd, Assam",Point,94.856569,27.325566,0,4,1,0,0,0,0
LKPL,Lakdikapul,Andhra Pradesh,SCR,"Hyderabad, Andhra Pradesh",Point,78.463527,17.404048000000003,0,4,1,0,0,0,0
BRUD,Barud,Madhya Pradesh,WCR,"Khandwa, Madhya Pradesh",Point,76.814085,22.052142,0,4,1,0,0,0,0
DVL,Devlali,Unknown,Unknown,Unknown,Point,73.83729,19.897509,0,3,1,0,0,0,0
JRTR,Jurtara,Unknown,Unknown,Unknown,Point,79.76127199999999,22.253005,0,4,1,0,0,0,0
REWA,Rewa,Madhya Pradesh,WCR,"Rewa, Madhya Pradesh",Point,81.250615,24.537122,0,4,1,0,0,0,0
DOK,Dholka,Gujarat,WR,"Bagodara Dholka, Gujarat",Point,72.433842,22.731982,0,3,1,0,0,0,0
NDR,Nandesari,Unknown,Unknown,Unknown,Point,73.0952734283,22.418331637,0,3,1,0,0,0,0
MYG,Miyagam Karjan,Unknown,Unknown,Unknown,Point,73.120353,22.050722,0,3,2,0,0,0,0
MBA,Mahoba,Uttar Pradesh,NCR,"Junction Point - Khajuraho, Uttar Pradesh",Point,79.849079,25.306914,0,3,1,0,0,0,0
JGZ,Jamgaon,Madhya Pradesh,SECR,"Bamhani, Madhya Pradesh",Point,80.198945,22.418426,0,3,1,0,0,0,0
BHKH,Baghoi Kusa,Unknown,Unknown,Unknown,Point,84.46243313289999,24.8399006513,0,4,2,0,0,0,0
NOLI,Noli,Uttar Pradesh,NR,"Ghaziabad, Uttar Pradesh",Point,77.31077099999999,28.746571,0,4,1,0,0,0,0
SUJR,Sujra,Uttar Pradesh,NR,"State Highway 57, Uttar Pradesh",Point,77.26134099999999,29.012729,0,4,1,0,0,0,0
AMOD,Amod,Gujarat,WR,"Amod, Gujarat",Point,72.86546467803419,21.99079116739973,0,4,1,0,0,0,0
LKD,Lakodara,Unknown,Unknown,Unknown,Point,73.09899399999999,21.991872,0,3,1,0,0,0,0
VKL,Vankal,Gujarat,WR,"Sh 166, Gujarat",Point,73.23136643506587,21.43967393177265,0,3,1,0,0,0,0
BY,Byculla,Maharashtra,CR,"Mumbai, Maharashtra",Point,72.833211,18.97695,0,2,1,0,0,0,0
BNR,Bhagwanpur,Unknown,Unknown,Unknown,Point,85.30109021000001,25.85831672,0,3,1,0,0,0,0
KTY,Kotturu,Tamil Nadu,SWR,"Kothur Rd, Tamil Nadu",Point,76.21354088187218,14.826788325296278,0,3,1,0,0,0,0
BLMR,Bhalukmara,Assam,NFR,"Bhalukmara, Assam",Point,94.143709,26.685532,0,4,1,0,0,0,0
ANJ,Anjangaon,Maharashtra,CR,"Anjangaon, Maharashtra",Point,77.31896504759789,21.163199753077336,0,3,1,0,0,0,0
DEB,Debagram,West Bengal,ER,"Debagram, West Bengal",Point,88.306807,23.685277,0,3,1,0,0,0,0
ELP,Achalpur,Maharashtra,CR,"Dist. Amravati, Maharashtra",Point,77.51926277764142,21.27760302246017,0,3,1,0,0,0,0
BTY,Bethuadahari,West Bengal,ER,"Bethuadahari, West Bengal",Point,88.384597,23.610275,0,3,1,0,0,0,0
WARUD,Warud,Maharashtra,CR,"Wardha, Maharashtra",Point,78.65141943097115,20.74690547756532,0,5,1,0,0,0,0
BVAC,Bvac,Unknown,Unknown,Unknown,Unknown,,,1,4,1,0,0,0,0
BVBC,Bvbc,Unknown,Unknown,Unknown,Unknown,,,1,4,1,0,0,0,0
VLKN,Velankanni,Tamil Nadu,?,"Velankanni, Tamil Nadu",Point,79.84618068672717,10.686877168293025,0,4,1,0,0,0,0
PCU,Putlacheruvu,Andhra Pradesh,SCR,"Putlacheruvu, Andhra Pradesh",Point,81.112395,16.484823,0,3,1,0,0,0,0
BNPT,Bennipatti Pirapur,Unknown,Unknown,Unknown,Point,85.3090478906,25.892949366,0,4,2,0,0,0,0
JM,Jalamb Jn,Unknown,Unknown,Unknown,Point,76.573236,20.813007,0,2,2,1,0,0,0
GPJ,Gorapur,Andhra Pradesh,ECOR,"Jeypore Rd, Andhra Pradesh",Point,82.79406,18.346936,0,3,1,0,0,0,0
ABEO,Pattaravakkam,,SR,,Point,80.16618146561086,13.114499981582952,0,4,1,0,0,0,0
SEG,Shegaon,Unknown,Unknown,Unknown,Point,76.690331,20.801724,0,3,1,0,0,0,0
GDU,Gudru Halt,Madhya Pradesh,SECR,"Lamta, Madhya Pradesh",Point,80.1163395764,22.2718946035,0,3,2,0,0,0,0
BGNA,Balgona,West Bengal,ER,"Balgona, West Bengal",Point,87.95045644976199,23.458049719226736,0,4,1,0,0,0,0
KLNP,Kalinarayanpur,West Bengal,ER,"Ranaghat-Bagula Bypass, West Bengal",Point,88.573216,23.206506,0,4,1,0,0,0,0
NGZ,S K Nagjihari,Unknown,Unknown,Unknown,Point,76.755353,20.761641,0,3,3,0,0,0,0
PS,Paras,Unknown,Unknown,Unknown,Point,76.815865,20.724519,0,2,1,0,0,0,0
BRDB,Barda,West Bengal,SER,"Sutahata, West Bengal",Point,88.08753041,22.15295838,0,4,1,0,0,0,0
GAO,Gaigaon,Unknown,Unknown,Unknown,Point,76.890093,20.720684,0,3,1,0,0,0,0
RRL,Rewral,Unknown,Unknown,Unknown,Point,79.468096,21.261121,0,3,1,0,0,0,0
KHAT,Khat,Unknown,Unknown,Unknown,Point,79.550792,21.242242,0,4,1,0,0,0,0
BRD,Bhandara Road,Unknown,Unknown,Unknown,Point,79.64752299999999,21.238512,0,3,2,0,1,0,0
KOKA,Koka,Unknown,Unknown,Unknown,Point,79.71240900000001,21.263021,0,4,1,0,0,0,0
DAO,Daghora,Unknown,Unknown,Unknown,Point,83.678086,21.857535,0,3,1,0,0,0,0
HGR,Hemagiri,Unknown,Unknown,Unknown,Point,83.742815,21.876504,0,3,1,0,0,0,0
NIR,Nainpur Junction,Madhya Pradesh,SECR,"Nainpur, Madhya Pradesh",Point,80.108853,22.425676,0,3,2,1,0,0,0
NCH,Nakachari,Assam,NFR,"Mariani, Assam",Point,94.3939129431,26.7081333353,0,3,1,0,0,0,0
APDJ,Alipur Duar Jn,West Bengal,NFR,"03564-255091, West Bengal",Point,89.534048,26.523279,0,4,3,1,0,0,0
BRE,Bharwari,Unknown,Unknown,Unknown,Point,81.4918665,25.5591917,0,3,1,0,0,0,0
JTK,Jhitkia,West Bengal,NFR,"National Highway 34, West Bengal",Point,88.05297200000001,25.626133,0,3,1,0,0,0,0
MNJ,Manoharganj,Unknown,Unknown,Unknown,Point,81.55907499999999,25.524992,0,3,1,0,0,0,0
SYWN,Saiyid Sarawan,Unknown,Unknown,Unknown,Point,81.613788,25.494982,0,4,2,0,0,0,0
MRE,Manauri,Unknown,Unknown,Unknown,Point,81.662491,25.470171,0,3,1,0,0,0,0
BMU,Bamhrauli,Unknown,Unknown,Unknown,Point,81.741641,25.44494,0,3,1,0,0,0,0
SFG,Subedarganj,Unknown,Unknown,Unknown,Point,81.789897,25.439879,0,3,1,0,0,0,0
KLX,Kolakalur,Unknown,Unknown,Unknown,Point,80.627521,16.295185999999998,0,3,1,0,0,0,0
CLVR,Chiluvur,Unknown,Unknown,Unknown,Point,80.61690800000001,16.379558,0,4,1,0,0,0,0
KVR,Kovvur,Unknown,Unknown,Unknown,Point,81.726495,17.007084,0,3,1,0,0,0,0
GVN,Godavari,Unknown,Unknown,Unknown,Point,81.77083,17.007707,0,3,1,0,0,0,0
KJKD,Kanjikode,Unknown,Unknown,Unknown,Point,76.75531600000001,10.800919,0,4,1,0,0,0,0
SNKR,Sanka,West Bengal,SER,"Garh Dhrubeswar, West Bengal",Point,86.616164,23.52693,0,4,1,0,0,0,0
VNK,Binaiki,Madhya Pradesh,SECR,"Binaiki Railway Station, Madhya Pradesh",Point,79.902424,22.72003,0,3,1,0,0,0,0
GCN,Gocharan,West Bengal,ER,"Gocharan, West Bengal",Point,88.45836999999999,22.277738,0,3,1,0,0,0,0
SEY,Seoni,Madhya Pradesh,SECR,"Seoni, Madhya Pradesh",Point,79.545769,22.075431,0,3,1,0,0,0,0
SDMD,Sudamdih,West Bengal,SER,"Jairampur More To Baliapur, West Bengal",Point,86.44032,23.654478,0,4,1,0,0,0,0
PCLS,Pcls,Unknown,Unknown,Unknown,Unknown,,,1,4,1,0,0,0,0
BJU,Barauni Jn,Unknown,Unknown,Unknown,Point,85.988748,25.461768000000003,0,3,2,1,0,0,0
DMO,Damoh,Unknown,Unknown,Unknown,Point,79.432246,23.836693,0,3,1,0,0,0,0
ADD,Adas Road,Unknown,Unknown,Unknown,Point,73.0346944543,22.486628078200003,0,3,2,0,1,0,0
CLC,Chalala,Gujarat,WR,"Chalala, Gujarat",Point,71.16224249999999,21.4155588,0,3,1,0,0,0,0
RNO,Ranoli,Unknown,Unknown,Unknown,Point,73.1122662115,22.4052520954,0,3,1,0,0,0,0
HP,Haripur,Rajasthan,NWR,"Pali, Rajasthan",Point,74.024928,26.012397,0,2,1,0,0,0,0
KUGT,Kumarghat,Tripura,NFR,"Kumarghat, Tripura",Point,92.0348331158,24.1506303119,0,4,1,0,0,0,0
AWB,Aurangabad,Maharashtra,SCR,"Aurangabad, Maharashtra",Point,75.31064599999999,19.859276,0,3,1,0,0,0,0
BNL,Bevinahalu,Andhra Pradesh,SCR,"Rayalaseema Region, Andhra Pradesh",Point,77.21298975,15.16697376,0,3,1,0,0,0,0
VMC,Vmc,Unknown,Unknown,Unknown,Unknown,,,1,3,1,0,0,0,0
SMNH,Somnath,Gujarat,WR,"Somnath, Gujarat",Point,70.408254,20.896132,0,4,1,0,0,0,0
CUPJ,Cuddalore Port,Tamil Nadu,SR,"Cuddalore Township, Tamil Nadu",Point,79.766287,11.715119,0,4,2,0,0,0,0
PLJ,Palej,Unknown,Unknown,Unknown,Point,73.072387,21.921578,0,3,1,0,0,0,0
GOLE,Gole,Rajasthan,NWR,"National Highway 112, Rajasthan",Point,72.00004,25.891938,0,4,1,0,0,0,0
BDX,Bdx,Unknown,Unknown,Unknown,Unknown,,,1,3,1,0,0,0,0
TRO,Tirora,Unknown,Unknown,Unknown,Point,79.91803499999999,21.415039,0,3,1,0,0,0,0
JMG,Jamga,Unknown,Unknown,Unknown,Point,83.564842,21.874971,0,3,1,0,0,0,0
JMSY,Jmsy,Unknown,Unknown,Unknown,Unknown,,,1,4,1,0,0,0,0
AHLR,Ahalyapur,Unknown,Unknown,Unknown,Point,83.824844,26.468381,0,4,1,0,0,0,0
TEL,Tenali Jn,Unknown,Unknown,Unknown,Point,80.640413,16.242409000000002,0,3,2,1,0,0,0
TAT,Tummanamgutta,Andhra Pradesh,SCR,"Chennai - Anantpur Rd, Andhra Pradesh",Point,78.37926300000001,13.707414,0,3,1,0,0,0,0
CU,Chagallu,Unknown,Unknown,Unknown,Point,81.690558,16.965076999999997,0,2,1,0,0,0,0
PSDA,Pasivedala,Unknown,Unknown,Unknown,Point,81.700939,16.99331,0,4,1,0,0,0,0
MBGA,Marwar Bagra,Rajasthan,NWR,"Sh 31, Rajasthan",Point,72.59376099999999,25.208689,0,4,2,0,0,0,0
JNE,Janiyana,Rajasthan,NWR,"State Highway 68, Rajasthan",Point,72.336284,25.827638,0,3,1,0,0,0,0
SMR,Samdhari Jn,Rajasthan,NWR,"Barmer, Rajasthan",Point,72.57300699999999,25.837202,0,3,2,1,0,0,0
SUT,Sutlana,Rajasthan,NWR,"Dundara, Rajasthan",Point,72.951414,25.970783,0,3,1,0,0,0,0
PBR,Porbandar,Gujarat,WR,"Porbandar, Gujarat",Point,69.615506,21.643598,0,3,1,0,0,0,0
CKVD,Chikkandawadi,Karnataka,SWR,"Chikkandawadi, Karnataka",Point,76.2025684888,14.1379202737,0,4,1,0,0,0,0
BHG,Bhaton Ki Gali,Rajasthan,NWR,"Chomun, Rajasthan",Point,75.712919,27.105646,0,3,3,0,0,0,0
HMO,Hanumangarh Town,Rajasthan,NWR,"Hanumangarh, Rajasthan",Point,74.33120188303292,29.57422054549568,0,3,2,0,0,0,0
SANR,Sardarnagar,Unknown,Unknown,Unknown,Point,83.494054,26.700859,0,4,1,0,0,0,0
GRD,Giridih,Jharkhand,ER,"Giridih, Jharkhand",Point,86.3146452,24.1822559,0,3,1,0,0,0,0
CC,Chauri Chaura,Unknown,Unknown,Unknown,Point,83.545894,26.673882,0,2,2,0,0,0,0
KMPT,Komatipalli,Unknown,Unknown,Unknown,Point,79.5158922174,18.023547297,0,4,1,0,0,0,0
HSP,Hasanparthi Rd,Unknown,Unknown,Unknown,Point,79.50184999999999,18.078262,0,3,2,0,0,0,0
GGY,Gagariya,Rajasthan,NWR,"State Highway 40, Rajasthan",Point,70.734877,25.741083,0,3,1,0,0,0,0
NNPR,Nonapar,Unknown,Unknown,Unknown,Point,83.969786,26.353209,0,4,1,0,0,0,0
MW,Mairwa,Unknown,Unknown,Unknown,Point,84.151979,26.240309,0,2,1,0,0,0,0
KUY,Tiruppur Kulipalayam,Unknown,Unknown,Unknown,Point,77.3893135876,11.1440279246,0,3,2,0,0,0,0
PLL,Parli,Unknown,Unknown,Unknown,Point,76.559421,10.800415,0,3,1,0,0,0,0
AGTL,Agartala,Tripura,NFR,"Agartala, Tripura",Point,91.278481,23.792417,0,4,1,0,0,0,0
MNY,Mankarai,Unknown,Unknown,Unknown,Point,76.500232,10.771526,0,3,1,0,0,0,0
LDY,Lakkiti,Unknown,Unknown,Unknown,Point,76.434467,10.753217,0,3,1,0,0,0,0
PLPM,Palappuram,Unknown,Unknown,Unknown,Point,76.398385813,10.7525187905,0,4,1,0,0,0,0
OTP,Ottappalam,Unknown,Unknown,Unknown,Point,76.377993,10.770046,0,3,1,0,0,0,0
MNUR,Mannanur,Unknown,Unknown,Unknown,Point,76.323555,10.749322,0,4,1,0,0,0,0
ZRDE,Jiradei,Unknown,Unknown,Unknown,Point,84.256142,26.220819,0,4,1,0,0,0,0
SV,Siwan Jn,Unknown,Unknown,Unknown,Point,84.359267,26.210724000000003,0,2,2,1,0,0,0
PCK,Pachrukhi,Unknown,Unknown,Unknown,Point,84.415667,26.162628,0,3,1,0,0,0,0
DDA,Duraundha Jn,Unknown,Unknown,Unknown,Point,84.45894600000001,26.086973,0,3,2,1,0,0,0
CW,Chainwa,Unknown,Unknown,Unknown,Point,84.49649600000001,26.022117,0,2,1,0,0,0,0
POK,Pokran,Rajasthan,NWR,"National Highway 15, Rajasthan",Point,71.923129,26.930571,0,3,1,0,0,0,0
OCH,Odhaniya Chacha,Rajasthan,NWR,"National Highway 15, Rajasthan",Point,71.718687,26.972848,0,3,2,0,0,0,0
EKMA,Ekma,Unknown,Unknown,Unknown,Point,84.53637,25.967099,0,4,1,0,0,0,0
DDP,Daudpur,Unknown,Unknown,Unknown,Point,84.591425,25.90709,0,3,1,0,0,0,0
KPS,Kopa Samhota,Unknown,Unknown,Unknown,Point,84.65281399999999,25.851866,0,3,2,0,0,0,0
BTHL,Bithauli,Unknown,Unknown,Unknown,Point,85.29179,25.817069,0,4,1,0,0,0,0
GB,Gauri Bazar,Unknown,Unknown,Unknown,Point,83.667801,26.594934,0,2,2,0,0,0,0
BALR,Baitalpur,Unknown,Unknown,Unknown,Point,83.7385572,26.5526634,0,4,1,0,0,0,0
DEOS,Deoria Sadar,Unknown,Unknown,Unknown,Point,83.7819590961,26.5076811676,0,4,2,0,0,0,0
NRA,Nunkhar,Unknown,Unknown,Unknown,Point,83.880179,26.425483,0,3,1,0,0,0,0
AGMN,Agomoni,Unknown,Unknown,Unknown,Point,89.786242,26.225947,0,4,1,0,0,0,0
BND,Bhandup,Unknown,Unknown,Unknown,Point,72.93723505,19.14200998,0,3,1,0,0,0,0
ASR,Amritsar Jn,Unknown,Unknown,Unknown,Point,74.858025,31.631512,0,3,2,1,0,0,0
MUC,Mullurkara,Unknown,Unknown,Unknown,Point,76.271415,10.705843,0,3,1,0,0,0,0
WKI,Wadakancheri,Unknown,Unknown,Unknown,Point,76.237041,10.648956,0,3,1,0,0,0,0
SOG,Suratgarh Jn,Rajasthan,NWR,"National Highway 15, Rajasthan",Point,73.90724800000001,29.324152,0,3,2,1,0,0,0
SNV,Sondad,Maharashtra,SECR,"National Highway 6, Maharashtra",Point,80.094149,21.079845,0,3,1,0,0,0,0
QMRS,Kayamsar,Rajasthan,NWR,"State Highway 41, Rajasthan",Point,75.000562,28.125576,0,4,1,0,0,0,0
AYB,Aliyabad,Karnataka,SWR,"Bijapur, Karnataka",Point,75.758306,16.878268000000002,0,3,1,0,0,0,0
MBF,Munabao,Rajasthan,NWR,"Barmer, Rajasthan",Point,70.276543,25.742614,0,3,1,0,0,0,0
CLDR,Chilikidara,Orissa,ECOR,"Orissa, Orissa",Point,85.827112,21.243022,0,4,1,0,0,0,0
KLYT,Kolayat,Rajasthan,NWR,"Kolayat, Rajasthan",Point,72.95507400000001,27.835319,0,4,1,0,0,0,0
CLD,Chalsa Jn,West Bengal,NFR,"Chalsa, West Bengal",Point,88.798213,26.882215,0,3,2,1,0,0,0
CRX,Carron,West Bengal,NFR,"National Highway 31C, West Bengal",Point,88.9704,26.880279,0,3,1,0,0,0,0
ETF,Itarsi F Cabin,Unknown,Unknown,Unknown,Point,77.774856,22.61521,0,3,3,0,0,0,0
CNPI,Chandanpahari,Jharkhand,ER,"Chandanpahari, Jharkhand",Point,86.953082,24.404224,0,4,1,0,0,0,0
MIG,Midghat,Unknown,Unknown,Unknown,Point,77.647526,22.828141,0,3,1,0,0,0,0
BNU,Bandakpur,Unknown,Unknown,Unknown,Point,79.575956,23.848206,0,3,1,0,0,0,0
COD,Chhota Gudha,Rajasthan,NWR,"Ringas, Rajasthan",Point,75.599508,27.293803,0,3,2,0,0,0,0
CHQ,Choka,Unknown,Unknown,Unknown,Point,77.638968,22.864326,0,3,1,0,0,0,0
