day,station_id,hour,day_of_week,is_weekend,is_peak,capacity,passenger_count,density_percentage,lag_1h_footfall
2,1,15,2,0,0,1200,397,33.08,428.0
2,1,16,2,0,0,1200,500,41.67,397.0
2,1,17,2,0,1,1200,1074,89.5,500.0
2,1,18,2,0,1,1200,1200,100.0,1074.0
2,1,19,2,0,1,1200,1211,100.92,1200.0
2,1,20,2,0,0,1200,889,74.08,1211.0
2,1,21,2,0,0,1200,358,29.83,889.0
2,1,22,2,0,0,1200,226,18.83,358.0
2,1,23,2,0,0,1200,196,16.33,226.0
3,1,0,3,0,0,1200,45,3.75,196.0
3,1,1,3,0,0,1200,61,5.08,45.0
3,1,2,3,0,0,1200,54,4.5,61.0
3,1,3,3,0,0,1200,24,2.0,54.0
3,1,4,3,0,0,1200,48,4.0,24.0
3,1,5,3,0,0,1200,126,10.5,48.0
3,1,6,3,0,0,1200,705,58.75,126.0
3,1,7,3,0,0,1200,716,59.67,705.0
3,1,8,3,0,1,1200,1129,94.08,716.0
3,1,9,3,0,1,1200,1196,99.67,1129.0
3,1,10,3,0,0,1200,428,35.67,1196.0
3,1,11,3,0,0,1200,388,32.33,428.0
3,1,12,3,0,0,1200,495,41.25,388.0
3,1,13,3,0,0,1200,470,39.17,495.0
3,1,14,3,0,0,1200,485,40.42,470.0
3,1,15,3,0,0,1200,408,34.0,485.0
3,1,16,3,0,0,1200,465,38.75,408.0
3,1,17,3,0,1,1200,1167,97.25,465.0
3,1,18,3,0,1,1200,1117,93.08,1167.0
3,1,19,3,0,1,1200,1178,98.17,1117.0
3,1,20,3,0,0,1200,898,74.83,1178.0
3,1,21,3,0,0,1200,275,22.92,898.0
3,1,22,3,0,0,1200,343,28.58,275.0
3,1,23,3,0,0,1200,146,12.17,343.0
4,1,0,4,0,0,1200,105,8.75,146.0
4,1,1,4,0,0,1200,24,2.0,105.0
4,1,2,4,0,0,1200,137,11.42,24.0
4,1,3,4,0,0,1200,121,10.08,137.0
4,1,4,4,0,0,1200,112,9.33,121.0
4,1,5,4,0,0,1200,58,4.83,112.0
4,1,6,4,0,0,1200,668,55.67,58.0
4,1,7,4,0,0,1200,688,57.33,668.0
4,1,8,4,0,1,1200,1120,93.33,688.0
4,1,9,4,0,1,1200,1119,93.25,1120.0
4,1,10,4,0,0,1200,397,33.08,1119.0
4,1,11,4,0,0,1200,404,33.67,397.0
4,1,12,4,0,0,1200,468,39.0,404.0
4,1,13,4,0,0,1200,437,36.42,468.0
4,1,14,4,0,0,1200,496,41.33,437.0
4,1,15,4,0,0,1200,460,38.33,496.0
4,1,16,4,0,0,1200,486,40.5,460.0
4,1,17,4,0,1,1200,1304,108.67,486.0
4,1,18,4,0,1,1200,1254,104.5,1304.0
4,1,19,4,0,1,1200,1253,104.42,1254.0
4,1,20,4,0,0,1200,851,70.92,1253.0
4,1,21,4,0,0,1200,346,28.83,851.0
4,1,22,4,0,0,1200,266,22.17,346.0
4,1,23,4,0,0,1200,176,14.67,266.0
5,1,0,5,1,0,1200,150,12.5,176.0
5,1,1,5,1,0,1200,24,2.0,150.0
5,1,2,5,1,0,1200,78,6.5,24.0
5,1,3,5,1,0,1200,24,2.0,78.0
5,1,4,5,1,0,1200,28,2.33,24.0
5,1,5,5,1,0,1200,120,10.0,28.0
5,1,6,5,1,0,1200,395,32.92,120.0
5,1,7,5,1,0,1200,389,32.42,395.0
5,1,8,5,1,0,1200,498,41.5,389.0
5,1,9,5,1,0,1200,526,43.83,498.0
5,1,10,5,1,0,1200,147,12.25,526.0
5,1,11,5,1,0,1200,259,21.58,147.0
5,1,12,5,1,0,1200,195,16.25,259.0
5,1,13,5,1,0,1200,318,26.5,195.0
5,1,14,5,1,0,1200,157,13.08,318.0
5,1,15,5,1,0,1200,265,22.08,157.0
5,1,16,5,1,0,1200,212,17.67,265.0
5,1,17,5,1,0,1200,604,50.33,212.0
5,1,18,5,1,0,1200,711,59.25,604.0
5,1,19,5,1,0,1200,580,48.33,711.0
5,1,20,5,1,0,1200,494,41.17,580.0
5,1,21,5,1,0,1200,114,9.5,494.0
5,1,22,5,1,0,1200,171,14.25,114.0
5,1,23,5,1,0,1200,234,19.5,171.0
6,1,0,6,1,0,1200,24,2.0,234.0
6,1,1,6,1,0,1200,161,13.42,24.0
6,1,2,6,1,0,1200,24,2.0,161.0
6,1,3,6,1,0,1200,64,5.33,24.0
6,1,4,6,1,0,1200,24,2.0,64.0
6,1,5,6,1,0,1200,80,6.67,24.0
6,1,6,6,1,0,1200,355,29.58,80.0
6,1,7,6,1,0,1200,434,36.17,355.0
6,1,8,6,1,0,1200,513,42.75,434.0
6,1,9,6,1,0,1200,648,54.0,513.0
6,1,10,6,1,0,1200,234,19.5,648.0
6,1,11,6,1,0,1200,294,24.5,234.0
6,1,12,6,1,0,1200,296,24.67,294.0
6,1,13,6,1,0,1200,269,22.42,296.0
6,1,14,6,1,0,1200,244,20.33,269.0
6,1,15,6,1,0,1200,208,17.33,244.0
6,1,16,6,1,0,1200,210,17.5,208.0
6,1,17,6,1,0,1200,669,55.75,210.0
6,1,18,6,1,0,1200,687,57.25,669.0
6,1,19,6,1,0,1200,669,55.75,687.0
6,1,20,6,1,0,1200,476,39.67,669.0
6,1,21,6,1,0,1200,188,15.67,476.0
6,1,22,6,1,0,1200,144,12.0,188.0
6,1,23,6,1,0,1200,95,7.92,144.0
7,1,0,0,0,0,1200,76,6.33,95.0
7,1,1,0,0,0,1200,48,4.0,76.0
7,1,2,0,0,0,1200,24,2.0,48.0
7,1,3,0,0,0,1200,41,3.42,24.0
7,1,4,0,0,0,1200,88,7.33,41.0
7,1,5,0,0,0,1200,24,2.0,88.0
7,1,6,0,0,0,1200,699,58.25,24.0
7,1,7,0,0,0,1200,608,50.67,699.0
7,1,8,0,0,1,1200,1230,102.5,608.0
7,1,9,0,0,1,1200,1173,97.75,1230.0
7,1,10,0,0,0,1200,420,35.0,1173.0
7,1,11,0,0,0,1200,480,40.0,420.0
7,1,12,0,0,0,1200,485,40.42,480.0
7,1,13,0,0,0,1200,335,27.92,485.0
7,1,14,0,0,0,1200,535,44.58,335.0
7,1,15,0,0,0,1200,444,37.0,535.0
7,1,16,0,0,0,1200,499,41.58,444.0
7,1,17,0,0,1,1200,1170,97.5,499.0
7,1,18,0,0,1,1200,1223,101.92,1170.0
7,1,19,0,0,1,1200,1081,90.08,1223.0
7,1,20,0,0,0,1200,841,70.08,1081.0
7,1,21,0,0,0,1200,246,20.5,841.0
7,1,22,0,0,0,1200,231,19.25,246.0
7,1,23,0,0,0,1200,245,20.42,231.0
8,1,0,1,0,0,1200,24,2.0,245.0
8,1,1,1,0,0,1200,301,25.08,24.0
8,1,2,1,0,0,1200,33,2.75,301.0
8,1,3,1,0,0,1200,81,6.75,33.0
8,1,4,1,0,0,1200,125,10.42,81.0
8,1,5,1,0,0,1200,170,14.17,125.0
8,1,6,1,0,0,1200,545,45.42,170.0
8,1,7,1,0,0,1200,602,50.17,545.0
8,1,8,1,0,1,1200,1007,83.92,602.0
8,1,9,1,0,1,1200,1184,98.67,1007.0
8,1,10,1,0,0,1200,312,26.0,1184.0
8,1,11,1,0,0,1200,339,28.25,312.0
8,1,12,1,0,0,1200,481,40.08,339.0
8,1,13,1,0,0,1200,571,47.58,481.0
8,1,14,1,0,0,1200,352,29.33,571.0
8,1,15,1,0,0,1200,483,40.25,352.0
8,1,16,1,0,0,1200,432,36.0,483.0
8,1,17,1,0,1,1200,1214,101.17,432.0
8,1,18,1,0,1,1200,1238,103.17,1214.0
8,1,19,1,0,1,1200,1082,90.17,1238.0
8,1,20,1,0,0,1200,916,76.33,1082.0
8,1,21,1,0,0,1200,151,12.58,916.0
8,1,22,1,0,0,1200,335,27.92,151.0
8,1,23,1,0,0,1200,204,17.0,335.0
9,1,0,2,0,0,1200,66,5.5,204.0
9,1,1,2,0,0,1200,74,6.17,66.0
9,1,2,2,0,0,1200,53,4.42,74.0
9,1,3,2,0,0,1200,156,13.0,53.0
9,1,4,2,0,0,1200,86,7.17,156.0
9,1,5,2,0,0,1200,90,7.5,86.0
9,1,6,2,0,0,1200,714,59.5,90.0
9,1,7,2,0,0,1200,757,63.08,714.0
9,1,8,2,0,1,1200,1052,87.67,757.0
9,1,9,2,0,1,1200,1060,88.33,1052.0
9,1,10,2,0,0,1200,367,30.58,1060.0
9,1,11,2,0,0,1200,310,25.83,367.0
9,1,12,2,0,0,1200,425,35.42,310.0
9,1,13,2,0,0,1200,515,42.92,425.0
9,1,14,2,0,0,1200,433,36.08,515.0
9,1,15,2,0,0,1200,381,31.75,433.0
9,1,16,2,0,0,1200,443,36.92,381.0
9,1,17,2,0,1,1200,1304,108.67,443.0
9,1,18,2,0,1,1200,1261,105.08,1304.0
9,1,19,2,0,1,1200,1117,93.08,1261.0
9,1,20,2,0,0,1200,877,73.08,1117.0
9,1,21,2,0,0,1200,262,21.83,877.0
9,1,22,2,0,0,1200,246,20.5,262.0
9,1,23,2,0,0,1200,186,15.5,246.0
10,1,0,3,0,0,1200,24,2.0,186.0
10,1,1,3,0,0,1200,110,9.17,24.0
10,1,2,3,0,0,1200,101,8.42,110.0
10,1,3,3,0,0,1200,24,2.0,101.0
10,1,4,3,0,0,1200,44,3.67,24.0
10,1,5,3,0,0,1200,70,5.83,44.0
10,1,6,3,0,0,1200,692,57.67,70.0
10,1,7,3,0,0,1200,678,56.5,692.0
10,1,8,3,0,1,1200,1181,98.42,678.0
10,1,9,3,0,1,1200,1114,92.83,1181.0
10,1,10,3,0,0,1200,426,35.5,1114.0
10,1,11,3,0,0,1200,463,38.58,426.0
10,1,12,3,0,0,1200,452,37.67,463.0
10,1,13,3,0,0,1200,442,36.83,452.0
10,1,14,3,0,0,1200,402,33.5,442.0
10,1,15,3,0,0,1200,532,44.33,402.0
10,1,16,3,0,0,1200,425,35.42,532.0
10,1,17,3,0,1,1200,1178,98.17,425.0
10,1,18,3,0,1,1200,1104,92.0,1178.0
10,1,19,3,0,1,1200,1220,101.67,1104.0
10,1,20,3,0,0,1200,824,68.67,1220.0
10,1,21,3,0,0,1200,258,21.5,824.0
10,1,22,3,0,0,1200,304,25.33,258.0
10,1,23,3,0,0,1200,318,26.5,304.0
11,1,0,4,0,0,1200,24,2.0,318.0
11,1,1,4,0,0,1200,77,6.42,24.0
11,1,2,4,0,0,1200,24,2.0,77.0
11,1,3,4,0,0,1200,101,8.42,24.0
11,1,4,4,0,0,1200,196,16.33,101.0
11,1,5,4,0,0,1200,123,10.25,196.0
11,1,6,4,0,0,1200,615,51.25,123.0
11,1,7,4,0,0,1200,622,51.83,615.0
11,1,8,4,0,1,1200,1160,96.67,622.0
11,1,9,4,0,1,1200,1060,88.33,1160.0
11,1,10,4,0,0,1200,530,44.17,1060.0
11,1,11,4,0,0,1200,396,33.0,530.0
11,1,12,4,0,0,1200,499,41.58,396.0
11,1,13,4,0,0,1200,448,37.33,499.0
11,1,14,4,0,0,1200,369,30.75,448.0
11,1,15,4,0,0,1200,483,40.25,369.0
11,1,16,4,0,0,1200,476,39.67,483.0
11,1,17,4,0,1,1200,1221,101.75,476.0
11,1,18,4,0,1,1200,1093,91.08,1221.0
11,1,19,4,0,1,1200,1095,91.25,1093.0
11,1,20,4,0,0,1200,917,76.42,1095.0
11,1,21,4,0,0,1200,257,21.42,917.0
11,1,22,4,0,0,1200,294,24.5,257.0
11,1,23,4,0,0,1200,168,14.0,294.0
12,1,0,5,1,0,1200,35,2.92,168.0
12,1,1,5,1,0,1200,24,2.0,35.0
12,1,2,5,1,0,1200,24,2.0,24.0
12,1,3,5,1,0,1200,162,13.5,24.0
12,1,4,5,1,0,1200,45,3.75,162.0
12,1,5,5,1,0,1200,24,2.0,45.0
12,1,6,5,1,0,1200,322,26.83,24.0
12,1,7,5,1,0,1200,295,24.58,322.0
12,1,8,5,1,0,1200,535,44.58,295.0
12,1,9,5,1,0,1200,634,52.83,535.0
12,1,10,5,1,0,1200,273,22.75,634.0
12,1,11,5,1,0,1200,158,13.17,273.0
12,1,12,5,1,0,1200,196,16.33,158.0
12,1,13,5,1,0,1200,199,16.58,196.0
12,1,14,5,1,0,1200,264,22.0,199.0
12,1,15,5,1,0,1200,289,24.08,264.0
12,1,16,5,1,0,1200,189,15.75,289.0
12,1,17,5,1,0,1200,640,53.33,189.0
12,1,18,5,1,0,1200,616,51.33,640.0
12,1,19,5,1,0,1200,638,53.17,616.0
12,1,20,5,1,0,1200,444,37.0,638.0
12,1,21,5,1,0,1200,24,2.0,444.0
12,1,22,5,1,0,1200,130,10.83,24.0
12,1,23,5,1,0,1200,135,11.25,130.0
13,1,0,6,1,0,1200,24,2.0,135.0
13,1,1,6,1,0,1200,24,2.0,24.0
13,1,2,6,1,0,1200,24,2.0,24.0
13,1,3,6,1,0,1200,24,2.0,24.0
13,1,4,6,1,0,1200,67,5.58,24.0
13,1,5,6,1,0,1200,53,4.42,67.0
13,1,6,6,1,0,1200,363,30.25,53.0
13,1,7,6,1,0,1200,344,28.67,363.0
13,1,8,6,1,0,1200,647,53.92,344.0
13,1,9,6,1,0,1200,602,50.17,647.0
13,1,10,6,1,0,1200,306,25.5,602.0
13,1,11,6,1,0,1200,285,23.75,306.0
13,1,12,6,1,0,1200,225,18.75,285.0
13,1,13,6,1,0,1200,193,16.08,225.0
13,1,14,6,1,0,1200,204,17.0,193.0
13,1,15,6,1,0,1200,309,25.75,204.0
13,1,16,6,1,0,1200,353,29.42,309.0
13,1,17,6,1,0,1200,686,57.17,353.0
13,1,18,6,1,0,1200,667,55.58,686.0
13,1,19,6,1,0,1200,639,53.25,667.0
13,1,20,6,1,0,1200,400,33.33,639.0
13,1,21,6,1,0,1200,142,11.83,400.0
13,1,22,6,1,0,1200,241,20.08,142.0
13,1,23,6,1,0,1200,71,5.92,241.0
14,1,0,0,0,0,1200,95,7.92,71.0
14,1,1,0,0,0,1200,24,2.0,95.0
14,1,2,0,0,0,1200,24,2.0,24.0
14,1,3,0,0,0,1200,205,17.08,24.0
14,1,4,0,0,0,1200,127,10.58,205.0
14,1,5,0,0,0,1200,97,8.08,127.0
14,1,6,0,0,0,1200,686,57.17,97.0
14,1,7,0,0,0,1200,667,55.58,686.0
14,1,8,0,0,1,1200,1138,94.83,667.0
14,1,9,0,0,1,1200,1230,102.5,1138.0
14,1,10,0,0,0,1200,423,35.25,1230.0
14,1,11,0,0,0,1200,511,42.58,423.0
14,1,12,0,0,0,1200,569,47.42,511.0
14,1,13,0,0,0,1200,586,48.83,569.0
14,1,14,0,0,0,1200,404,33.67,586.0
14,1,15,0,0,0,1200,412,34.33,404.0
14,1,16,0,0,0,1200,423,35.25,412.0
14,1,17,0,0,1,1200,1177,98.08,423.0
14,1,18,0,0,1,1200,1171,97.58,1177.0
14,1,19,0,0,1,1200,1187,98.92,1171.0
14,1,20,0,0,0,1200,794,66.17,1187.0
14,1,21,0,0,0,1200,317,26.42,794.0
14,1,22,0,0,0,1200,189,15.75,317.0
14,1,23,0,0,0,1200,265,22.08,189.0
15,1,0,1,0,0,1200,24,2.0,265.0
15,1,1,1,0,0,1200,104,8.67,24.0
15,1,2,1,0,0,1200,24,2.0,104.0
15,1,3,1,0,0,1200,52,4.33,24.0
15,1,4,1,0,0,1200,63,5.25,52.0
15,1,5,1,0,0,1200,164,13.67,63.0
15,1,6,1,0,0,1200,635,52.92,164.0
15,1,7,1,0,0,1200,710,59.17,635.0
15,1,8,1,0,1,1200,1077,89.75,710.0
15,1,9,1,0,1,1200,1272,106.0,1077.0
15,1,10,1,0,0,1200,403,33.58,1272.0
15,1,11,1,0,0,1200,503,41.92,403.0
15,1,12,1,0,0,1200,576,48.0,503.0
15,1,13,1,0,0,1200,357,29.75,576.0
15,1,14,1,0,0,1200,501,41.75,357.0
15,1,15,1,0,0,1200,456,38.0,501.0
15,1,16,1,0,0,1200,509,42.42,456.0
15,1,17,1,0,1,1200,1139,94.92,509.0
15,1,18,1,0,1,1200,1337,111.42,1139.0
15,1,19,1,0,1,1200,1098,91.5,1337.0
15,1,20,1,0,0,1200,856,71.33,1098.0
15,1,21,1,0,0,1200,238,19.83,856.0
15,1,22,1,0,0,1200,255,21.25,238.0
15,1,23,1,0,0,1200,286,23.83,255.0
16,1,0,2,0,0,1200,67,5.58,286.0
16,1,1,2,0,0,1200,24,2.0,67.0
16,1,2,2,0,0,1200,24,2.0,24.0
16,1,3,2,0,0,1200,74,6.17,24.0
16,1,4,2,0,0,1200,68,5.67,74.0
16,1,5,2,0,0,1200,40,3.33,68.0
16,1,6,2,0,0,1200,674,56.17,40.0
16,1,7,2,0,0,1200,624,52.0,674.0
16,1,8,2,0,1,1200,977,81.42,624.0
16,1,9,2,0,1,1200,1182,98.5,977.0
16,1,10,2,0,0,1200,492,41.0,1182.0
16,1,11,2,0,0,1200,410,34.17,492.0
16,1,12,2,0,0,1200,382,31.83,410.0
16,1,13,2,0,0,1200,513,42.75,382.0
16,1,14,2,0,0,1200,520,43.33,513.0
16,1,15,2,0,0,1200,427,35.58,520.0
16,1,16,2,0,0,1200,395,32.92,427.0
16,1,17,2,0,1,1200,1136,94.67,395.0
16,1,18,2,0,1,1200,1089,90.75,1136.0
16,1,19,2,0,1,1200,1163,96.92,1089.0
16,1,20,2,0,0,1200,860,71.67,1163.0
16,1,21,2,0,0,1200,217,18.08,860.0
16,1,22,2,0,0,1200,308,25.67,217.0
16,1,23,2,0,0,1200,327,27.25,308.0
17,1,0,3,0,0,1200,59,4.92,327.0
17,1,1,3,0,0,1200,24,2.0,59.0
17,1,2,3,0,0,1200,179,14.92,24.0
17,1,3,3,0,0,1200,29,2.42,179.0
17,1,4,3,0,0,1200,123,10.25,29.0
17,1,5,3,0,0,1200,57,4.75,123.0
17,1,6,3,0,0,1200,719,59.92,57.0
17,1,7,3,0,0,1200,640,53.33,719.0
17,1,8,3,0,1,1200,1109,92.42,640.0
17,1,9,3,0,1,1200,989,82.42,1109.0
17,1,10,3,0,0,1200,440,36.67,989.0
17,1,11,3,0,0,1200,425,35.42,440.0
17,1,12,3,0,0,1200,448,37.33,425.0
17,1,13,3,0,0,1200,504,42.0,448.0
17,1,14,3,0,0,1200,541,45.08,504.0
17,1,15,3,0,0,1200,466,38.83,541.0
17,1,16,3,0,0,1200,515,42.92,466.0
17,1,17,3,0,1,1200,1253,104.42,515.0
17,1,18,3,0,1,1200,1071,89.25,1253.0
17,1,19,3,0,1,1200,1268,105.67,1071.0
17,1,20,3,0,0,1200,789,65.75,1268.0
17,1,21,3,0,0,1200,244,20.33,789.0
17,1,22,3,0,0,1200,247,20.58,244.0
17,1,23,3,0,0,1200,312,26.0,247.0
18,1,0,4,0,0,1200,107,8.92,312.0
18,1,1,4,0,0,1200,88,7.33,107.0
18,1,2,4,0,0,1200,159,13.25,88.0
18,1,3,4,0,0,1200,82,6.83,159.0
18,1,4,4,0,0,1200,82,6.83,82.0
18,1,5,4,0,0,1200,24,2.0,82.0
18,1,6,4,0,0,1200,652,54.33,24.0
18,1,7,4,0,0,1200,666,55.5,652.0
18,1,8,4,0,1,1200,1044,87.0,666.0
18,1,9,4,0,1,1200,1121,93.42,1044.0
18,1,10,4,0,0,1200,367,30.58,1121.0
18,1,11,4,0,0,1200,569,47.42,367.0
18,1,12,4,0,0,1200,511,42.58,569.0
18,1,13,4,0,0,1200,508,42.33,511.0
18,1,14,4,0,0,1200,490,40.83,508.0
18,1,15,4,0,0,1200,392,32.67,490.0
18,1,16,4,0,0,1200,496,41.33,392.0
18,1,17,4,0,1,1200,1218,101.5,496.0
18,1,18,4,0,1,1200,1241,103.42,1218.0
18,1,19,4,0,1,1200,1212,101.0,1241.0
18,1,20,4,0,0,1200,930,77.5,1212.0
18,1,21,4,0,0,1200,347,28.92,930.0
18,1,22,4,0,0,1200,290,24.17,347.0
18,1,23,4,0,0,1200,228,19.0,290.0
19,1,0,5,1,0,1200,24,2.0,228.0
19,1,1,5,1,0,1200,137,11.42,24.0
19,1,2,5,1,0,1200,60,5.0,137.0
19,1,3,5,1,0,1200,24,2.0,60.0
19,1,4,5,1,0,1200,93,7.75,24.0
19,1,5,5,1,0,1200,24,2.0,93.0
19,1,6,5,1,0,1200,316,26.33,24.0
19,1,7,5,1,0,1200,427,35.58,316.0
19,1,8,5,1,0,1200,684,57.0,427.0
19,1,9,5,1,0,1200,618,51.5,684.0
19,1,10,5,1,0,1200,289,24.08,618.0
19,1,11,5,1,0,1200,300,25.0,289.0
19,1,12,5,1,0,1200,377,31.42,300.0
19,1,13,5,1,0,1200,327,27.25,377.0
19,1,14,5,1,0,1200,312,26.0,327.0
19,1,15,5,1,0,1200,197,16.42,312.0
19,1,16,5,1,0,1200,274,22.83,197.0
19,1,17,5,1,0,1200,550,45.83,274.0
19,1,18,5,1,0,1200,594,49.5,550.0
19,1,19,5,1,0,1200,537,44.75,594.0
19,1,20,5,1,0,1200,278,23.17,537.0
19,1,21,5,1,0,1200,24,2.0,278.0
19,1,22,5,1,0,1200,116,9.67,24.0
19,1,23,5,1,0,1200,186,15.5,116.0
20,1,0,6,1,0,1200,44,3.67,186.0
20,1,1,6,1,0,1200,70,5.83,44.0
20,1,2,6,1,0,1200,24,2.0,70.0
20,1,3,6,1,0,1200,24,2.0,24.0
20,1,4,6,1,0,1200,155,12.92,24.0
20,1,5,6,1,0,1200,24,2.0,155.0
20,1,6,6,1,0,1200,185,15.42,24.0
20,1,7,6,1,0,1200,180,15.0,185.0
20,1,8,6,1,0,1200,655,54.58,180.0
20,1,9,6,1,0,1200,635,52.92,655.0
20,1,10,6,1,0,1200,199,16.58,635.0
20,1,11,6,1,0,1200,299,24.92,199.0
20,1,12,6,1,0,1200,309,25.75,299.0
20,1,13,6,1,0,1200,143,11.92,309.0
20,1,14,6,1,0,1200,317,26.42,143.0
20,1,15,6,1,0,1200,286,23.83,317.0
20,1,16,6,1,0,1200,359,29.92,286.0
20,1,17,6,1,0,1200,590,49.17,359.0
20,1,18,6,1,0,1200,710,59.17,590.0
20,1,19,6,1,0,1200,615,51.25,710.0
20,1,20,6,1,0,1200,575,47.92,615.0
20,1,21,6,1,0,1200,173,14.42,575.0
20,1,22,6,1,0,1200,220,18.33,173.0
20,1,23,6,1,0,1200,173,14.42,220.0
21,1,0,0,0,0,1200,24,2.0,173.0
21,1,1,0,0,0,1200,24,2.0,24.0
21,1,2,0,0,0,1200,24,2.0,24.0
21,1,3,0,0,0,1200,24,2.0,24.0
21,1,4,0,0,0,1200,24,2.0,24.0
21,1,5,0,0,0,1200,40,3.33,24.0
21,1,6,0,0,0,1200,726,60.5,40.0
21,1,7,0,0,0,1200,698,58.17,726.0
21,1,8,0,0,1,1200,1153,96.08,698.0
21,1,9,0,0,1,1200,1209,100.75,1153.0
21,1,10,0,0,0,1200,481,40.08,1209.0
21,1,11,0,0,0,1200,376,31.33,481.0
21,1,12,0,0,0,1200,504,42.0,376.0
21,1,13,0,0,0,1200,469,39.08,504.0
21,1,14,0,0,0,1200,515,42.92,469.0
21,1,15,0,0,0,1200,465,38.75,515.0
21,1,16,0,0,0,1200,411,34.25,465.0
21,1,17,0,0,1,1200,1197,99.75,411.0
21,1,18,0,0,1,1200,1176,98.0,1197.0
21,1,19,0,0,1,1200,1275,106.25,1176.0
21,1,20,0,0,0,1200,981,81.75,1275.0
21,1,21,0,0,0,1200,242,20.17,981.0
21,1,22,0,0,0,1200,273,22.75,242.0
21,1,23,0,0,0,1200,259,21.58,273.0
22,1,0,1,0,0,1200,144,12.0,259.0
22,1,1,1,0,0,1200,116,9.67,144.0
22,1,2,1,0,0,1200,24,2.0,116.0
22,1,3,1,0,0,1200,38,3.17,24.0
22,1,4,1,0,0,1200,24,2.0,38.0
22,1,5,1,0,0,1200,198,16.5,24.0
22,1,6,1,0,0,1200,642,53.5,198.0
22,1,7,1,0,0,1200,651,54.25,642.0
22,1,8,1,0,1,1200,1109,92.42,651.0
22,1,9,1,0,1,1200,1149,95.75,1109.0
22,1,10,1,0,0,1200,518,43.17,1149.0
22,1,11,1,0,0,1200,476,39.67,518.0
22,1,12,1,0,0,1200,318,26.5,476.0
22,1,13,1,0,0,1200,452,37.67,318.0
22,1,14,1,0,0,1200,445,37.08,452.0
22,1,15,1,0,0,1200,460,38.33,445.0
22,1,16,1,0,0,1200,453,37.75,460.0
22,1,17,1,0,1,1200,1255,104.58,453.0
22,1,18,1,0,1,1200,1224,102.0,1255.0
22,1,19,1,0,1,1200,1161,96.75,1224.0
22,1,20,1,0,0,1200,758,63.17,1161.0
