trip_id,train_id,origin_station,destination_station,departure_time,arrival_time,trip_date,trip_duration_min,distance_km,average_speed_kmh
TRP_000023,TRN_051,Shahdara,Kohat Enclave,08:39:00,09:05:00,2026-03-25,26,16.25,37.87
TRP_000024,TRN_089,Adarsh Nagar,Sikanderpur,12:15:00,13:15:00,2026-03-06,60,36.25,36.14
TRP_000025,TRN_126,Jamia Millia Islamia,Botanical Garden,11:01:00,11:10:00,2026-03-06,9,6.25,39.59
TRP_000026,TRN_029,Rajouri Garden,Jafrabad,18:36:00,19:27:00,2026-03-04,51,30.0,35.32
TRP_000027,TRN_088,NHPC Chowk,Sector 28,10:54:00,10:58:00,2026-03-16,4,2.5,35.81
TRP_000028,TRN_031,Terminal 1 IGI Airport,IIT Delhi,11:45:00,11:56:00,2026-03-12,11,6.25,32.96
TRP_000029,TRN_180,Seelampur,Rithala,11:16:00,11:49:00,2026-03-03,33,18.75,34.52
TRP_000030,TRN_183,Chandni Chowk,Malviya Nagar,08:21:00,08:49:00,2026-03-21,28,16.25,34.27
TRP_000031,TRN_073,Janpath,Old Faridabad,07:35:00,08:19:00,2026-03-01,44,27.5,37.24
TRP_000032,TRN_033,Hindon River,Kanhaiya Nagar,06:33:00,07:15:00,2026-03-06,42,25.0,35.73
TRP_000033,TRN_141,Kashmere Gate,Mohan Estate,17:54:00,18:36:00,2026-03-01,42,25.0,35.85
TRP_000034,TRN_171,Arthala,Major Mohit Sharma Rajendra Nagar,21:11:00,21:18:00,2026-03-20,7,3.75,33.88
TRP_000035,TRN_004,Sarojini Nagar,Johri Enclave,10:38:00,11:16:00,2026-03-04,38,26.25,41.76
TRP_000036,TRN_017,Lajpat Nagar,Sarai,11:32:00,11:54:00,2026-03-23,22,15.0,40.91
TRP_000037,TRN_029,Delhi Cantt,Karkarduma Court,09:51:00,10:35:00,2026-03-02,44,23.75,32.3
TRP_000038,TRN_011,Udyog Bhawan,Lok Kalyan Marg,11:37:00,11:39:00,2026-03-22,2,1.25,33.08
TRP_000039,TRN_060,Major Mohit Sharma Rajendra Nagar,Tis Hazari,12:38:00,12:58:00,2026-03-16,20,13.75,41.0
TRP_000040,TRN_040,Sadar Bazar Cantonment,Jamia Millia Islamia,18:50:00,19:17:00,2026-03-15,27,18.75,41.2
TRP_000041,TRN_159,Palam,Greater Kailash,16:15:00,16:36:00,2026-03-03,21,13.75,38.69
TRP_000042,TRN_162,Jawaharlal Nehru Stadium,Sarai,21:12:00,21:43:00,2026-03-27,31,17.5,34.39
TRP_000043,TRN_178,Jama Masjid,Mewala Maharajpur,21:51:00,22:39:00,2026-03-30,48,28.75,35.58
TRP_000044,TRN_125,Kanhaiya Nagar,Rohini East,09:54:00,10:04:00,2026-03-27,10,6.25,39.08
TRP_000045,TRN_001,Arthala,Tis Hazari,22:36:00,23:03:00,2026-03-11,27,17.5,38.64
TRP_000046,TRN_158,Sukhdev Vihar,Kalindi Kunj,12:18:00,12:26:00,2026-03-13,8,5.0,37.32
TRP_000047,TRN_200,Mayapuri Cantonment,Mayur Vihar-I,15:40:00,16:05:00,2026-03-07,25,15.0,36.48
TRP_000048,TRN_135,Mewala Maharajpur,Badkhal Mor,21:01:00,21:05:00,2026-03-03,4,2.5,36.35
TRP_000049,TRN_129,Model Town,Arjan Garh,18:19:00,19:12:00,2026-03-16,53,31.25,35.22
TRP_000050,TRN_135,Jasola Apollo,Escorts Mujesar,07:33:00,07:58:00,2026-03-23,25,16.25,39.71
TRP_000051,TRN_095,Dwarka Sector 9,Uttam Nagar East,11:41:00,11:59:00,2026-03-10,18,12.5,41.47
TRP_000052,TRN_014,Jahangirpuri,Jor Bagh,15:24:00,15:58:00,2026-03-02,34,21.25,37.34
TRP_000053,TRN_166,Shankar Vihar,Hauz Khas,19:47:00,19:56:00,2026-03-02,9,6.25,41.64
TRP_000054,TRN_175,Guru Dronacharya,Sikanderpur,17:43:00,17:45:00,2026-03-17,2,1.25,40.49
TRP_000055,TRN_020,Shalimar Bagh,Sarojini Nagar,13:45:00,14:10:00,2026-03-06,25,13.75,32.99
TRP_000056,TRN_048,Adarsh Nagar,Jor Bagh,12:36:00,13:07:00,2026-03-16,31,20.0,39.14
TRP_000057,TRN_166,Jamia Millia Islamia,Okhla Vihar,18:13:00,18:15:00,2026-03-30,2,1.25,32.16
TRP_000058,TRN_196,Rajouri Garden,Ashram,16:11:00,16:37:00,2026-03-08,26,13.75,32.05
TRP_000059,TRN_066,Nehru Place,NHPC Chowk,18:02:00,18:23:00,2026-03-27,21,12.5,35.72
TRP_000060,TRN_165,Jawaharlal Nehru Stadium,Kalkaji Mandir,19:43:00,19:55:00,2026-03-09,12,7.5,38.22
TRP_000061,TRN_106,Sarojini Nagar,Hazrat Nizamuddin,14:26:00,14:37:00,2026-03-21,11,7.5,41.4
TRP_000062,TRN_145,Kashmere Gate,Sector 28,14:53:00,15:41:00,2026-03-13,48,32.5,40.24
TRP_000063,TRN_118,Bhikaji Cama Place,Jafrabad,18:02:00,18:43:00,2026-03-01,41,23.75,34.53
TRP_000064,TRN_025,Vishwa Vidyalaya,Chhattarpur,08:40:00,09:19:00,2026-03-08,39,25.0,38.63
TRP_000065,TRN_071,Central Secretariat,Jangpura,08:11:00,08:16:00,2026-03-16,5,3.75,41.02
TRP_000066,TRN_012,Mansarovar Park,Pul Bangash,14:43:00,14:59:00,2026-03-24,16,8.75,33.67
TRP_000067,TRN_160,Udyog Bhawan,Malviya Nagar,14:06:00,14:20:00,2026-03-10,14,8.75,37.36
TRP_000068,TRN_028,Dwarka Sector 14,Noida Sector 59,12:05:00,13:31:00,2026-03-29,86,51.25,35.95
TRP_000069,TRN_120,Nehru Enclave,Okhla NSIC,07:30:00,07:34:00,2026-03-17,4,2.5,34.01
TRP_000070,TRN_040,Palam,Nehru Enclave,18:11:00,18:38:00,2026-03-02,27,15.0,33.11
TRP_000071,TRN_169,Arthala,Kohat Enclave,13:27:00,14:09:00,2026-03-03,42,27.5,38.94
TRP_000072,TRN_029,East Vinod Nagar - Mayur Vihar-II,Karkarduma Court,07:42:00,07:52:00,2026-03-15,10,6.25,39.38
TRP_000073,TRN_065,Kalkaji Mandir,Botanical Garden,12:46:00,13:00:00,2026-03-25,14,10.0,41.75
TRP_000074,TRN_162,Jama Masjid,Mohan Estate,16:55:00,17:31:00,2026-03-05,36,22.5,37.69
TRP_000075,TRN_153,Uttam Nagar West,Tilak Nagar,07:25:00,07:36:00,2026-03-07,11,6.25,35.5
TRP_000076,TRN_197,Shyam Park,Welcome,08:14:00,08:28:00,2026-03-17,14,10.0,41.47
TRP_000077,TRN_001,Major Mohit Sharma Rajendra Nagar,Inderlok,20:01:00,20:34:00,2026-03-22,33,18.75,33.94
TRP_000078,TRN_062,Shastri Park,Rohini West,22:18:00,22:48:00,2026-03-08,30,16.25,32.69
TRP_000079,TRN_107,Durgabai Deshmukh South Campus,Shiv Vihar,07:07:00,08:03:00,2026-03-11,56,31.25,33.43
TRP_000080,TRN_136,ITO,Sector 28,11:46:00,12:30:00,2026-03-01,44,27.5,37.18
TRP_000081,TRN_065,IIT Delhi,Hauz Khas,09:43:00,09:45:00,2026-03-29,2,1.25,32.38
TRP_000082,TRN_073,Kashmere Gate,Nehru Place,07:52:00,08:21:00,2026-03-19,29,17.5,35.81
TRP_000083,TRN_057,Hauz Khas,Millennium City Centre Gurugram,07:36:00,08:03:00,2026-03-08,27,15.0,33.2
TRP_000084,TRN_127,Dwarka Sector 11,Yamuna Bank,21:59:00,23:09:00,2026-03-27,70,37.5,32.2
TRP_000085,TRN_154,Mayur Vihar-I,Noida Sector 18,18:28:00,18:38:00,2026-03-22,10,6.25,35.86
TRP_000086,TRN_130,South Extension,Jafrabad,20:30:00,21:01:00,2026-03-12,31,20.0,38.13
TRP_000087,TRN_101,Jawaharlal Nehru Stadium,Neelam Chowk Ajronda,13:09:00,13:49:00,2026-03-12,40,25.0,37.36
TRP_000088,TRN_185,Sir M. Vishveshwaraya Moti Bagh,Ashram,14:56:00,15:09:00,2026-03-13,13,8.75,41.63
TRP_000089,TRN_129,Civil Lines,Green Park,15:09:00,15:34:00,2026-03-14,25,16.25,39.4
TRP_000090,TRN_105,Dwarka Sector 9,Rajiv Chowk,13:25:00,14:21:00,2026-03-29,56,33.75,36.1
TRP_000091,TRN_184,Shyam Park,Rohini East,18:26:00,19:09:00,2026-03-07,43,27.5,38.26
TRP_000092,TRN_155,Seelampur,Rithala,20:24:00,20:55:00,2026-03-15,31,18.75,36.61
TRP_000093,TRN_167,Shahdara,Shastri Park,18:08:00,18:14:00,2026-03-22,6,3.75,35.38
TRP_000094,TRN_058,Tis Hazari,Netaji Subhash Place,12:36:00,12:51:00,2026-03-07,15,8.75,34.06
TRP_000095,TRN_013,Chandni Chowk,Green Park,19:23:00,19:43:00,2026-03-18,20,13.75,41.0
TRP_000096,TRN_025,Chawri Bazar,Lok Kalyan Marg,09:34:00,09:47:00,2026-03-16,13,7.5,35.93
TRP_000097,TRN_162,Sarita Vihar,Old Faridabad,19:03:00,19:19:00,2026-03-25,16,11.25,41.05
TRP_000098,TRN_133,Chandni Chowk,Chawri Bazar,11:42:00,11:44:00,2026-03-29,2,1.25,35.38
TRP_000099,TRN_147,Panchsheel Park,Kalkaji Mandir,06:44:00,06:52:00,2026-03-15,8,5.0,36.32
TRP_000100,TRN_128,Shankar Vihar,Panchsheel Park,14:47:00,14:59:00,2026-03-06,12,7.5,37.67
TRP_000101,TRN_081,Delhi Cantt,IP Extension,12:09:00,12:41:00,2026-03-26,32,20.0,37.75
TRP_000102,TRN_076,Mohan Estate,Sector 28,10:48:00,11:00:00,2026-03-28,12,7.5,36.69
TRP_000103,TRN_041,Mayur Vihar-I,Jafrabad,22:47:00,23:09:00,2026-03-25,22,13.75,38.1
TRP_000104,TRN_083,Inderlok,Rithala,08:05:00,08:24:00,2026-03-04,19,10.0,32.35
TRP_000105,TRN_014,Samaypur Badli,"Rohini Sector 18, 19",07:21:00,07:23:00,2026-03-28,2,1.25,41.2
TRP_000106,TRN_049,Dwarka Sector 12,Ramesh Nagar,12:47:00,13:14:00,2026-03-12,27,18.75,41.32
TRP_000107,TRN_011,Vidhan Sabha,Chawri Bazar,17:39:00,17:48:00,2026-03-03,9,5.0,35.08
TRP_000108,TRN_070,Mohan Estate,Old Faridabad,11:18:00,11:34:00,2026-03-23,16,10.0,36.75
TRP_000109,TRN_024,Model Town,Lok Kalyan Marg,10:10:00,10:34:00,2026-03-06,24,16.25,40.02
TRP_000110,TRN_052,Central Secretariat,Sector 28,19:10:00,19:48:00,2026-03-20,38,23.75,37.32
TRP_000111,TRN_086,Harkesh Nagar Okhla,Bata Chowk,13:07:00,13:32:00,2026-03-29,25,16.25,38.9
TRP_000112,TRN_088,Jawaharlal Nehru Stadium,Old Faridabad,10:56:00,11:39:00,2026-03-02,43,23.75,32.97
TRP_000113,TRN_039,Hauz Khas,Ghitorni,06:37:00,06:50:00,2026-03-06,13,7.5,35.79
TRP_000114,TRN_071,Sarai,Old Faridabad,20:57:00,21:07:00,2026-03-06,10,6.25,37.85
TRP_000115,TRN_041,Azadpur,Jafrabad,17:56:00,18:50:00,2026-03-19,54,37.5,41.47
TRP_000116,TRN_006,Punjabi Bagh West,Mayur Vihar Pocket 1,11:08:00,11:37:00,2026-03-03,29,20.0,40.86
TRP_000117,TRN_132,Rajouri Garden,Noida Sector 15,10:07:00,10:46:00,2026-03-30,39,25.0,38.77
TRP_000118,TRN_013,Chandni Chowk,Jor Bagh,08:22:00,08:39:00,2026-03-26,17,10.0,34.92
TRP_000119,TRN_129,"Rohini Sector 18, 19",Arjan Garh,19:10:00,20:09:00,2026-03-19,59,37.5,38.22
TRP_000120,TRN_041,Lajpat Nagar,East Vinod Nagar - Mayur Vihar-II,22:57:00,23:12:00,2026-03-09,15,8.75,33.92
TRP_000121,TRN_199,Janakpuri West,Nehru Enclave,07:41:00,08:13:00,2026-03-06,32,18.75,35.19
TRP_000122,TRN_065,Vasant Vihar,Kalindi Kunj,19:21:00,19:53:00,2026-03-15,32,18.75,35.07
TRP_000123,TRN_151,Shalimar Bagh,Vinobapuri,20:42:00,21:10:00,2026-03-25,28,18.75,39.5
TRP_000124,TRN_018,Dashrathpuri,IIT Delhi,06:47:00,07:03:00,2026-03-05,16,10.0,37.51
TRP_000125,TRN_164,Dwarka Sector 8,Mayur Vihar-I,21:24:00,22:39:00,2026-03-07,75,43.75,35.03
TRP_000126,TRN_037,Haiderpur Badli Mor,Hauz Khas,18:21:00,19:03:00,2026-03-09,42,27.5,38.95
TRP_000127,TRN_089,Green Park,Guru Dronacharya,19:26:00,19:43:00,2026-03-26,17,11.25,40.54
TRP_000128,TRN_082,Khan Market,Tughlakabad,14:35:00,14:59:00,2026-03-24,24,16.25,41.43
TRP_000129,TRN_079,Chandni Chowk,Arjan Garh,20:58:00,21:39:00,2026-03-03,41,23.75,34.82
TRP_000130,TRN_006,Punjabi Bagh West,Mayur Vihar-I,09:01:00,09:29:00,2026-03-29,28,18.75,40.61
TRP_000131,TRN_032,Model Town,Vishwa Vidyalaya,17:04:00,17:08:00,2026-03-06,4,2.5,34.43
TRP_000132,TRN_165,Jawaharlal Nehru Stadium,Kalkaji Mandir,08:00:00,08:11:00,2026-03-28,11,7.5,39.79
TRP_000133,TRN_200,Majlis Park,Mayur Vihar Pocket 1,08:09:00,08:48:00,2026-03-20,39,26.25,40.7
TRP_000134,TRN_009,Pratap Nagar,Inderlok,16:50:00,16:54:00,2026-03-15,4,2.5,41.66
TRP_000135,TRN_011,Model Town,GTB Nagar,12:58:00,13:00:00,2026-03-05,2,1.25,32.56
TRP_000136,TRN_172,Mandi House,Lajpat Nagar,06:27:00,06:41:00,2026-03-03,14,7.5,32.92
TRP_000137,TRN_022,Kailash Colony,Nehru Place,18:20:00,18:22:00,2026-03-03,2,1.25,32.5
TRP_000138,TRN_199,Kalkaji Mandir,Okhla Vihar,12:45:00,12:54:00,2026-03-27,9,5.0,33.93
TRP_000139,TRN_088,Lajpat Nagar,Escorts Mujesar,07:28:00,08:09:00,2026-03-24,41,25.0,36.69
TRP_000140,TRN_160,Kashmere Gate,Guru Dronacharya,12:16:00,13:05:00,2026-03-06,49,26.25,32.06
TRP_000141,TRN_096,Delhi Cantt,Johri Enclave,09:44:00,10:34:00,2026-03-07,50,31.25,37.75
TRP_000142,TRN_111,Dwarka Sector 11,Noida Sector 59,16:48:00,18:25:00,2026-03-28,97,55.0,33.88
TRP_000143,TRN_086,Jangpura,Nehru Place,15:38:00,15:46:00,2026-03-27,8,5.0,35.95
TRP_000144,TRN_042,Karol Bagh,Supreme Court,19:16:00,19:28:00,2026-03-07,12,7.5,38.41
TRP_000145,TRN_021,Rajiv Chowk,AIIMS,14:18:00,14:32:00,2026-03-21,14,8.75,37.31
TRP_000146,TRN_103,Major Mohit Sharma Rajendra Nagar,Kohat Enclave,21:22:00,22:06:00,2026-03-03,44,23.75,32.65
TRP_000147,TRN_091,Dabri Mor - Janakpuri South,Okhla Bird Sanctuary,19:05:00,19:48:00,2026-03-27,43,27.5,38.2
TRP_000148,TRN_096,Majlis Park,Karkarduma Court,08:20:00,09:10:00,2026-03-22,50,35.0,41.77
TRP_000149,TRN_017,ITO,Sarai,16:28:00,17:06:00,2026-03-24,38,23.75,37.69
TRP_000150,TRN_090,Badarpur Border,Bata Chowk,21:20:00,21:37:00,2026-03-10,17,10.0,35.7
TRP_000151,TRN_101,Moolchand,Nehru Place,17:26:00,17:30:00,2026-03-02,4,2.5,37.87
TRP_000152,TRN_089,Jor Bagh,Sultanpur,18:29:00,18:45:00,2026-03-28,16,11.25,41.23
TRP_000153,TRN_038,Rohini West,Rithala,10:47:00,10:49:00,2026-03-05,2,1.25,36.64
TRP_000154,TRN_046,Welcome,Kohat Enclave,10:50:00,11:15:00,2026-03-01,25,15.0,36.2
TRP_000155,TRN_014,Jor Bagh,Hauz Khas,10:25:00,10:32:00,2026-03-21,7,5.0,41.9
TRP_000156,TRN_136,Kashmere Gate,Sarai,11:09:00,11:56:00,2026-03-27,47,28.75,36.34
TRP_000157,TRN_167,Major Mohit Sharma Rajendra Nagar,Pratap Nagar,18:30:00,18:59:00,2026-03-01,29,16.25,34.17
TRP_000158,TRN_059,Dwarka Mor,Subhash Nagar,21:25:00,21:42:00,2026-03-01,17,10.0,35.37
TRP_000159,TRN_157,Jangpura,Sarita Vihar,14:14:00,14:31:00,2026-03-28,17,11.25,40.3
TRP_000160,TRN_166,Shankar Vihar,Nehru Enclave,19:27:00,19:45:00,2026-03-16,18,11.25,38.07
TRP_000161,TRN_050,Terminal 1 IGI Airport,Nehru Enclave,17:06:00,17:24:00,2026-03-02,18,12.5,41.69
TRP_000162,TRN_101,ITO,Mohan Estate,15:09:00,15:40:00,2026-03-20,31,20.0,39.06
TRP_000163,TRN_046,Shaheed Nagar,Tis Hazari,12:26:00,12:42:00,2026-03-26,16,11.25,41.43
TRP_000164,TRN_052,Kashmere Gate,Escorts Mujesar,11:21:00,12:17:00,2026-03-21,56,38.75,41.57
TRP_000165,TRN_127,Rajouri Garden,Noida Sector 16,09:38:00,10:19:00,2026-03-14,41,26.25,38.84
TRP_000166,TRN_072,Vishwa Vidyalaya,Sikanderpur,17:51:00,18:45:00,2026-03-24,54,31.25,34.82
TRP_000167,TRN_179,Dwarka,Noida City Centre,08:01:00,09:17:00,2026-03-16,76,45.0,35.7
TRP_000168,TRN_123,Hauz Khas,Greater Kailash,16:44:00,16:50:00,2026-03-07,6,3.75,36.17
TRP_000169,TRN_126,Vasant Vihar,IIT Delhi,21:50:00,21:56:00,2026-03-29,6,3.75,38.34
TRP_000170,TRN_117,Harkesh Nagar Okhla,Tughlakabad,12:57:00,13:05:00,2026-03-11,8,5.0,37.77
TRP_000171,TRN_192,Khan Market,Mohan Estate,13:45:00,14:08:00,2026-03-19,23,15.0,39.82
TRP_000172,TRN_158,Sukhdev Vihar,Jamia Millia Islamia,13:31:00,13:33:00,2026-03-27,2,1.25,34.37
TRP_000173,TRN_166,Nehru Enclave,Sukhdev Vihar,22:56:00,23:01:00,2026-03-11,5,3.75,40.91
TRP_000174,TRN_041,ESI Basaidarapur,Mandawali - West Vinod Nagar,16:05:00,16:39:00,2026-03-20,34,22.5,39.5
TRP_000175,TRN_096,Jafrabad,Gokulpuri,14:04:00,14:08:00,2026-03-29,4,2.5,36.63
TRP_000176,TRN_135,NHPC Chowk,Old Faridabad,14:45:00,14:53:00,2026-03-26,8,5.0,39.77
TRP_000177,TRN_077,Shyam Park,Shahdara,21:15:00,21:28:00,2026-03-02,13,8.75,40.48
TRP_000178,TRN_170,Shaheed Nagar,Inderlok,21:35:00,22:05:00,2026-03-12,30,16.25,32.03
TRP_000179,TRN_073,Jawaharlal Nehru Stadium,Harkesh Nagar Okhla,16:38:00,16:52:00,2026-03-16,14,10.0,41.57
TRP_000180,TRN_052,Central Secretariat,Moolchand,12:33:00,12:44:00,2026-03-02,11,6.25,34.96
TRP_000181,TRN_177,R.K. Puram,Kalkaji Mandir,19:44:00,19:59:00,2026-03-13,15,8.75,34.48
TRP_000182,TRN_067,Kashmere Gate,Sarita Vihar,15:01:00,15:42:00,2026-03-05,41,23.75,34.61
TRP_000183,TRN_109,"Rohini Sector 18, 19",Saket,10:28:00,11:25:00,2026-03-15,57,31.25,32.79
TRP_000184,TRN_008,Panchsheel Park,Okhla Vihar,20:48:00,21:04:00,2026-03-20,16,10.0,37.55
TRP_000185,TRN_089,Model Town,Jor Bagh,14:12:00,14:37:00,2026-03-15,25,17.5,41.37
TRP_000186,TRN_046,Shastri Nagar,Keshav Puram,10:20:00,10:26:00,2026-03-06,6,3.75,36.53
TRP_000187,TRN_124,Shaheed Sthal,Mohan Nagar,21:23:00,21:30:00,2026-03-11,7,3.75,32.52
TRP_000188,TRN_173,Shyam Park,Mansarovar Park,06:40:00,06:51:00,2026-03-13,11,7.5,40.32
TRP_000189,TRN_161,Mayur Vihar-I,Karkarduma,07:41:00,07:56:00,2026-03-11,15,8.75,35.96
TRP_000190,TRN_131,Jasola Apollo,Mohan Estate,07:56:00,08:00:00,2026-03-19,4,2.5,37.66
TRP_000191,TRN_057,Jahangirpuri,Guru Dronacharya,10:31:00,11:26:00,2026-03-23,55,36.25,39.23
TRP_000192,TRN_092,Arthala,Shyam Park,11:45:00,11:49:00,2026-03-17,4,2.5,33.52
TRP_000193,TRN_060,Arthala,Shaheed Nagar,16:05:00,16:14:00,2026-03-12,9,6.25,39.55
TRP_000194,TRN_061,Mansarovar Park,Seelampur,18:34:00,18:40:00,2026-03-16,6,3.75,39.51
TRP_000195,TRN_121,Dwarka Sector 10,Indraprastha,18:44:00,19:46:00,2026-03-26,62,37.5,36.16
TRP_000196,TRN_015,Delhi Cantt,Shiv Vihar,12:28:00,13:16:00,2026-03-27,48,32.5,40.23
TRP_000197,TRN_079,GTB Nagar,Civil Lines,14:14:00,14:20:00,2026-03-28,6,3.75,39.63
TRP_000198,TRN_030,Hindon River,Shaheed Nagar,06:03:00,06:15:00,2026-03-18,12,7.5,38.45
TRP_000199,TRN_049,Noida Sector 18,Noida City Centre,07:14:00,07:21:00,2026-03-02,7,3.75,34.26
TRP_000200,TRN_198,Janakpuri East,Noida Sector 59,10:32:00,11:33:00,2026-03-28,61,42.5,41.5
TRP_000201,TRN_198,Ramesh Nagar,Patel Nagar,18:01:00,18:09:00,2026-03-22,8,5.0,39.56
TRP_000202,TRN_074,Jasola Apollo,Sant Surdas (Sihi),19:35:00,20:03:00,2026-03-22,28,17.5,36.92
TRP_000203,TRN_066,Jama Masjid,ITO,12:14:00,12:18:00,2026-03-02,4,2.5,34.0
TRP_000204,TRN_022,Kashmere Gate,Escorts Mujesar,17:32:00,18:38:00,2026-03-03,66,38.75,35.49
TRP_000205,TRN_118,Durgabai Deshmukh South Campus,IP Extension,06:58:00,07:31:00,2026-03-18,33,18.75,34.13
TRP_000206,TRN_020,Vinobapuri,Ashram,18:10:00,18:12:00,2026-03-17,2,1.25,37.56
TRP_000207,TRN_059,Uttam Nagar East,Noida Sector 59,12:20:00,13:31:00,2026-03-11,71,45.0,38.08
TRP_000208,TRN_181,Lajpat Nagar,IP Extension,20:01:00,20:21:00,2026-03-10,20,11.25,33.19
TRP_000209,TRN_090,Old Faridabad,Sant Surdas (Sihi),11:07:00,11:15:00,2026-03-07,8,5.0,39.7
TRP_000210,TRN_022,Jama Masjid,NHPC Chowk,12:12:00,12:53:00,2026-03-24,41,27.5,40.05
TRP_000211,TRN_162,Kailash Colony,Sarita Vihar,15:23:00,15:34:00,2026-03-27,11,7.5,40.87
TRP_000212,TRN_067,Delhi Gate,Neelam Chowk Ajronda,14:13:00,15:04:00,2026-03-08,51,32.5,38.48
TRP_000213,TRN_022,Lal Quila,Sant Surdas (Sihi),11:55:00,13:01:00,2026-03-07,66,38.75,35.1
TRP_000214,TRN_070,Kailash Colony,Tughlakabad,18:46:00,19:02:00,2026-03-24,16,10.0,37.0
TRP_000215,TRN_127,Ramesh Nagar,Rajiv Chowk,11:58:00,12:14:00,2026-03-20,16,11.25,41.84
TRP_000216,TRN_099,Bata Chowk,Escorts Mujesar,13:04:00,13:06:00,2026-03-10,2,1.25,37.61
TRP_000217,TRN_165,Kashmere Gate,Janpath,07:54:00,08:05:00,2026-03-20,11,7.5,40.53
TRP_000218,TRN_050,Janakpuri West,Munirka,20:24:00,20:39:00,2026-03-10,15,10.0,41.3
TRP_000219,TRN_164,Mayur Vihar-I,Noida Sector 52,07:23:00,07:41:00,2026-03-04,18,12.5,41.61
TRP_000220,TRN_145,Moolchand,Kailash Colony,17:04:00,17:06:00,2026-03-24,2,1.25,41.71
TRP_000221,TRN_040,Munirka,Chirag Delhi,07:57:00,08:07:00,2026-03-10,10,6.25,38.54
TRP_000222,TRN_125,Mohan Nagar,Jhilmil,12:07:00,12:20:00,2026-03-15,13,7.5,33.42
TRP_000223,TRN_069,Okhla Vihar,Okhla Bird Sanctuary,06:56:00,07:01:00,2026-03-26,5,3.75,41.52
TRP_000224,TRN_033,Major Mohit Sharma Rajendra Nagar,Kashmere Gate,13:29:00,13:52:00,2026-03-03,23,12.5,32.14
TRP_000225,TRN_105,Mayur Vihar Extension,Noida City Centre,06:44:00,06:58:00,2026-03-09,14,8.75,37.57
TRP_000226,TRN_041,Shakurpur,East Azad Nagar,12:04:00,12:54:00,2026-03-05,50,32.5,39.31
TRP_000227,TRN_133,Hauz Khas,Malviya Nagar,19:53:00,19:55:00,2026-03-16,2,1.25,32.3
TRP_000228,TRN_031,Chirag Delhi,Greater Kailash,07:42:00,07:44:00,2026-03-01,2,1.25,33.75
TRP_000229,TRN_022,ITO,Harkesh Nagar Okhla,21:12:00,21:37:00,2026-03-24,25,16.25,39.1
TRP_000230,TRN_031,Janakpuri West,Munirka,12:15:00,12:30:00,2026-03-28,15,10.0,38.71
TRP_000231,TRN_008,Greater Kailash,Kalindi Kunj,07:55:00,08:10:00,2026-03-21,15,10.0,40.1
