third_ac,arrival,from_station_code,train_name,zone,chair_car,first_class,duration_m,sleeper,from_station_name,train_number,departure,return_train,to_station_code,second_ac,classes,to_station_name,duration_h,service_type,first_ac,distance,geometry_type,num_route_coords,origin_lon,origin_lat,dest_lon,dest_lat,departure_min,arrival_min,route_distance_km,duration_hours_clean,avg_speed_kmh,train_type,num_classes,is_peak_departure,coord_invalid,speed_invalid,duration_m_outlier,route_distance_km_outlier,avg_speed_kmh_outlier,num_route_coords_outlier
1,21:55:00,DR,Chalukya Express,CR,0,0,25.0,1,Mumbai Dadar Central,11017,21:30:00,11018,YPR,1,,Yesvantpur Jn,24.0,Exp,0,1205.0,LineString,175,72.842972,19.017179,77.55117399999999,13.022839,1290.0,1315.0,834.9755331302716,0.4166666666666667,2003.9412795126518,Express,3,0,0,1,0,0,0,0
1,04:25:00,CSTM,Konark Express,CR,0,0,15.0,1,Mumbai Cst,11019,15:10:00,11020,BBS,1,,Bhubaneswar,37.0,Exp,0,1932.0,LineString,300,72.836903,18.944481,85.84259499999999,20.265388,910.0,265.0,1369.8551319673868,0.25,5479.420527869547,Express,3,0,0,1,0,1,1,1
1,03:55:00,BBS,Konark Express,CR,0,0,35.0,1,Bhubaneswar,11020,15:20:00,11019,CSTM,1,,Mumbai Cst,36.0,Exp,0,1932.0,LineString,300,85.84259499999999,20.265388,72.836903,18.944481,920.0,235.0,1369.8551319673868,0.5833333333333334,2348.323083372663,Express,3,0,0,1,0,1,0,1
1,06:05:00,CSTM,Sahyadri Express,CR,0,0,15.0,1,Mumbai Cst,11023,17:50:00,11024,KOP,1,,C Shahu M Raj Kolhapur Term,12.0,Exp,0,518.0,LineString,95,72.836903,18.944481,74.237695,16.70257,1070.0,365.0,290.05127350695193,0.25,1160.2050940278077,Express,3,1,0,1,0,0,0,0
1,11:55:00,KOP,Sahyadri Express,CR,0,0,5.0,1,C Shahu M Raj Kolhapur Term,11024,22:50:00,11023,CSTM,1,,Mumbai Cst,13.0,Exp,0,518.0,LineString,95,74.237695,16.70257,72.836903,18.944481,1370.0,715.0,290.05127350695193,0.08333333333333333,3480.615282083423,Express,3,0,0,1,0,0,1,0
0,12:05:00,MMR,Manmad Pune Express(Via Nasik),CR,1,0,35.0,0,Manmad Jn,11025,04:30:00,11026,PUNE,0,,Pune Jn,7.0,Exp,0,364.0,LineString,54,74.438305,20.249887,73.873086,18.529378,270.0,725.0,200.2861918578707,0.5833333333333334,343.3477574706355,Express,1,0,0,1,0,0,0,0
0,21:30:00,PUNE,Pune Manmad Express,CR,1,0,40.0,0,Pune Jn,11026,12:50:00,11025,MMR,0,,Manmad Jn,8.0,Exp,0,364.0,LineString,54,73.873086,18.529378,74.438305,20.249887,770.0,1290.0,200.2861918578707,0.6666666666666666,300.42928778680607,Express,1,0,0,1,0,0,0,0
1,04:55:00,CSTM,Mumbai Cst-Chennai Mail,CR,0,0,10.0,1,Mumbai Cst,11027,23:45:00,11028,MAS,1,,Chennai Central,29.0,Mail,0,1283.0,LineString,203,72.836903,18.944481,80.27485630000001,13.0847613,1425.0,295.0,1027.5017785991263,0.16666666666666666,6165.010671594758,Mail,3,0,0,1,0,0,1,0
0,20:25:00,CSTM,Koyna Express,CR,1,0,45.0,0,Mumbai Cst,11029,08:40:00,11030,KOP,0,,C Shahu M Raj Kolhapur Term,11.0,Exp,0,518.0,LineString,95,72.836903,18.944481,74.237695,16.70257,520.0,1225.0,290.05127350695193,0.75,386.73503134260255,Express,1,1,0,1,0,0,0,0
0,20:22:00,KOP,Koyna Express,CR,1,0,27.0,0,C Shahu M Raj Kolhapur Term,11030,07:55:00,11029,CSTM,0,,Mumbai Cst,12.0,Exp,0,518.0,LineString,95,74.237695,16.70257,72.836903,18.944481,475.0,1222.0,290.05127350695193,0.45,644.5583855710042,Express,1,1,0,1,0,0,0,0
1,06:45:00,PUNE,Pune - Darbhanga Gyan Ganga Exp,CR,0,0,30.0,1,Pune Jn,11033,16:15:00,11034,DBG,1,,Darbhanga Jn,38.0,Exp,0,1948.0,LineString,274,73.873086,18.529378,85.907575,26.157088,975.0,405.0,1499.0229708876118,0.5,2998.0459417752236,Other,3,0,0,1,0,1,0,1
1,21:45:00,DR,Dadar-Mysore Sharavati Express,CR,0,0,15.0,1,Mumbai Dadar Central,11035,21:30:00,11036,MYS,1,,Mysore Jn,24.0,Exp,0,1212.0,LineString,157,72.842972,19.017179,76.646013,12.318946,1290.0,1305.0,848.6973643878091,0.25,3394.7894575512364,Express,3,0,0,1,0,0,1,0
1,05:50:00,MYS,Mysore-Dadar Sharavati Express,CR,0,0,35.0,1,Mysore Jn,11036,06:15:00,11035,DR,1,,Mumbai Dadar Central,23.0,Exp,0,1212.0,LineString,157,76.646013,12.318946,72.842972,19.017179,375.0,350.0,848.6973643878091,0.5833333333333334,1454.9097675219584,Express,3,0,0,1,0,0,0,0
1,01:15:00,PUNE,Pune - Gorakhpur Exp,CR,0,0,0.0,1,Pune Jn,11037,16:15:00,11038,GKP,1,,Gorakhpur Jn,33.0,Exp,0,1771.0,LineString,234,73.873086,18.529378,83.381499,26.759311,975.0,75.0,1336.70897315329,0.0,,Other,3,0,0,0,0,1,0,1
1,04:05:00,GKP,Gorakhpur - Pune Exp,CR,0,0,35.0,1,Gorakhpur Jn,11038,15:30:00,11037,PUNE,1,,Pune Jn,36.0,Exp,0,1771.0,LineString,234,83.381499,26.759311,73.873086,18.529378,930.0,245.0,1336.70897315329,0.5833333333333334,2291.5010968342112,Other,3,0,0,1,0,1,0,1
1,20:15:00,KOP,Maharashtra Express,CR,0,0,45.0,1,C Shahu M Raj Kolhapur Term,11039,15:30:00,11040,G,1,,Gondia Jn,28.0,Exp,0,1346.0,LineString,157,74.237695,16.70257,80.190842,21.462435,930.0,1215.0,819.2323893214927,0.75,1092.309852428657,Express,3,0,0,1,0,0,0,0
0,19:10:00,KOP,Kolhapur-Gorakhpur Express Slip,CR,0,0,40.0,1,C Shahu M Raj Kolhapur Term,11039-SLIP,15:30:00,,GKP,0,,Gorakhpur Jn,51.0,Exp,0,2107.0,LineString,246,74.237695,16.70257,83.381499,26.759311,930.0,1150.0,1462.5016328256536,0.6666666666666666,2193.7524492384805,Express,1,0,0,1,0,1,0,1
1,12:45:00,G,Maharashtra Express,CR,0,0,25.0,1,Gondia Jn,11040,08:20:00,11039,KOP,1,,C Shahu M Raj Kolhapur Term,28.0,Exp,0,1346.0,LineString,157,80.190842,21.462435,74.237695,16.70257,500.0,765.0,819.2323893214927,0.4166666666666667,1966.1577343715826,Express,3,1,0,1,0,0,0,0
0,08:50:00,G,Gondia-Solapur Maharashtra Express Slip,CR,0,0,30.0,1,Gondia Jn,11040-SLIP,08:20:00,,SUR,0,,Solapur Jn,24.0,Exp,0,1132.0,LineString,128,80.190842,21.462435,75.893401,17.664496,500.0,530.0,617.2317202331603,0.5,1234.4634404663207,Express,1,1,0,1,0,0,0,0
1,16:45:00,CSTM,Mumbai - Chennai Express,CR,0,0,45.0,1,Mumbai Cst,11041,14:00:00,11042,MAS,1,,Chennai Central,26.0,Exp,0,1283.0,LineString,202,72.836903,18.944481,80.27485630000001,13.0847613,840.0,1005.0,1027.5017785991263,0.75,1370.0023714655017,Express,3,0,0,1,0,0,0,0
1,12:30:00,LTT,Mumbai Ltt - Madurai Exp,CR,0,0,15.0,1,Lokmanya Tilak Term,11043,00:15:00,11044,MDU,1,,Madurai Jn,36.0,Exp,0,1702.0,LineString,263,72.89173899999999,19.07032,78.11031399999999,9.919907,15.0,750.0,1161.926514018863,0.25,4647.706056075452,Other,3,0,0,1,0,1,1,1
1,05:45:00,MDU,Madurai - Mumbai Ltt Exp,CR,0,0,45.0,1,Madurai Jn,11044,18:00:00,11043,LTT,1,,Lokmanya Tilak Term,35.0,Exp,0,1702.0,LineString,263,78.11031399999999,9.919907,72.89173899999999,19.07032,1080.0,345.0,1161.926514018863,0.75,1549.2353520251506,Other,3,1,0,1,0,1,0,1
1,12:00:00,KOP,Kolhapur Csmt - Dhanbad Deekshabhoomi Exp,CR,0,0,15.0,1,C Shahu M Raj Kolhapur Term,11045,23:45:00,11046,DHN,0,,Dhanbad Jn,60.0,Exp,0,2968.0,LineString,380,74.237695,16.70257,86.428956,23.790966,1425.0,720.0,1495.0567093919003,0.25,5980.226837567601,Other,2,0,0,1,0,1,1,1
0,06:25:00,MRJ,Hubli Express,CR,0,0,15.0,1,Miraj Jn,11047,00:10:00,11048,UBL,0,,Hubli Jn,6.0,Exp,0,279.0,LineString,34,74.638839,16.819946,75.148104,15.350302,10.0,385.0,172.23655182376106,0.25,688.9462072950442,Express,1,0,0,1,0,0,0,0
0,05:15:00,UBL,Hubli Miraj Express,CR,0,0,15.0,1,Hubli Jn,11048,23:00:00,11047,MRJ,0,,Miraj Jn,6.0,Exp,0,279.0,LineString,34,75.148104,15.350302,74.638839,16.819946,1380.0,315.0,172.23655182376106,0.25,688.9462072950442,Express,1,0,0,1,0,0,0,0
1,15:25:00,ADI,Ahmedabad-Kolhapur Express,CR,0,0,55.0,1,Ahmedabad Jn,11049,19:30:00,11050,KOP,1,,C Shahu M Raj Kolhapur Term,19.0,Exp,0,961.0,LineString,153,72.601516,23.025515,74.237695,16.70257,1170.0,925.0,723.5728525528293,0.9166666666666666,789.3522027849048,Express,3,1,0,1,0,0,0,0
1,07:45:00,KOP,Kolhapur-Ahmedabad Express,CR,0,0,55.0,1,C Shahu M Raj Kolhapur Term,11050,12:50:00,11049,ADI,1,,Ahmedabad Jn,18.0,Exp,0,961.0,LineString,153,74.237695,16.70257,72.601516,23.025515,770.0,465.0,723.5728525528293,0.9166666666666666,789.3522027849048,Express,3,0,0,1,0,0,0,0
1,14:15:00,SUR,Solapur-Kolhapur Express,CR,0,0,5.0,1,Solapur Jn,11051,08:10:00,11052,KOP,0,,C Shahu M Raj Kolhapur Term,6.0,Exp,0,315.0,LineString,37,75.893401,17.664496,74.237695,16.70257,490.0,855.0,205.85495050285277,0.08333333333333333,2470.2594060342335,Express,2,1,0,1,0,0,0,0
1,15:00:00,KOP,Kolhapur Solapur Express,CR,0,0,15.0,1,C Shahu M Raj Kolhapur Term,11052,08:45:00,11051,SUR,0,,Solapur Jn,6.0,Exp,0,315.0,LineString,37,74.237695,16.70257,75.893401,17.664496,525.0,900.0,205.85495050285277,0.25,823.4198020114111,Express,2,1,0,1,0,0,0,0
1,16:05:00,GKP,Gorakhpur - Mumbai Ltt Exp,CR,0,0,40.0,1,Gorakhpur Jn,11056,06:25:00,11055,LTT,1,,Lokmanya Tilak Term,33.0,Exp,0,1733.0,LineString,235,83.381499,26.759311,72.89173899999999,19.07032,385.0,965.0,1371.889743732275,0.6666666666666666,2057.8346155984127,Other,3,0,0,1,0,1,0,1
1,16:30:00,DR,Dadar Amritsar Express,CR,0,0,45.0,1,Mumbai Dadar Central,11057,23:45:00,11058,ASR,1,,Amritsar Jn,40.0,Exp,0,2037.0,LineString,270,72.842972,19.017179,74.858025,31.631512,1425.0,990.0,1417.0981400848293,0.75,1889.4641867797725,Express,3,0,0,1,0,1,0,1
1,07:25:00,DR,Dadar Amritsar Express Slip,CR,0,0,40.0,1,Mumbai Dadar Central,11057-SLIP,23:45:00,,DHI,1,,Dhule,7.0,Exp,0,375.0,LineString,60,72.842972,19.017179,74.768847,20.887752,1425.0,445.0,289.442375550872,0.6666666666666666,434.163563326308,Express,3,0,0,1,0,0,0,0
1,04:00:00,ASR,Amritsar Dadar Express,CR,0,0,30.0,1,Amritsar Jn,11058,08:30:00,11057,DR,1,,Mumbai Dadar Central,43.0,Exp,0,2037.0,LineString,270,74.858025,31.631512,72.842972,19.017179,510.0,240.0,1417.0981400848293,0.5,2834.1962801696586,Express,3,1,0,1,0,1,0,1
1,20:55:00,LTT,Mumbai Ltt - Chhapra Godan Exp,CR,0,0,0.0,1,Lokmanya Tilak Term,11059,10:55:00,11060,CPR,1,,Chhapra,34.0,Exp,0,1772.0,LineString,244,72.89173899999999,19.07032,84.725004,25.78832,655.0,1255.0,1426.175260101828,0.0,,Other,3,0,0,0,0,1,0,1
1,16:05:00,CPR,Chhapra - Mumbai Ltt Godan Exp,CR,0,0,35.0,1,Chhapra,11060,05:30:00,11059,LTT,1,,Lokmanya Tilak Term,34.0,Exp,0,1772.0,LineString,244,84.725004,25.78832,72.89173899999999,19.07032,330.0,965.0,1426.175260101828,0.5833333333333334,2444.871874460276,Other,3,0,0,1,0,1,0,1
1,03:45:00,DBG,Darbhanga - Mumbai Ltt Pawan Exp,CR,0,0,55.0,1,Darbhanga Jn,11062,15:50:00,11061,LTT,1,,Lokmanya Tilak Term,35.0,Exp,0,1791.0,LineString,275,85.907575,26.157088,72.89173899999999,19.07032,950.0,225.0,1549.6191284207046,0.9166666666666666,1690.4935946407686,Other,3,0,0,1,0,1,0,1
0,08:10:00,KTYM,Kottayam Kollam Passenger,SR,0,0,30.0,0,Kottayam,56305,05:40:00,,QLN,0,,Kollam Jn,2.0,Pass,0,96.0,LineString,14,76.532168,9.594177,76.59675299999999,8.886586000000001,340.0,490.0,78.99917379246189,0.5,157.99834758492378,Passenger,0,0,0,0,0,0,0,0
0,07:00:00,RNC,Ranchi Lohardaga Passenger,SER,0,0,30.0,0,Ranchi,58651,05:30:00,58652,LAD,0,,Lohardaga,1.0,Pass,0,67.0,LineString,10,85.33352,23.348811,84.70733,23.445967,330.0,420.0,64.8104142186709,0.5,129.6208284373418,Passenger,0,0,0,0,0,0,0,0
0,19:28:00,JU,Jodhpur Pipar Road Passenger Special,NWR,0,0,58.0,0,Jodhpur Jn,04858,18:30:00,04857,PPR,0,,Pipar Road Jn,0.0,Pass,0,46.0,LineString,14,73.02319,26.283765,73.448703,26.45285,1110.0,1168.0,46.37436029044115,0.9666666666666667,47.97347616252533,Passenger,0,1,0,0,0,0,0,0
0,14:25:00,FBD,Farrukhabad-Kanpuranwarganj Passenger,NER,0,0,25.0,0,Farrukhabad,05305,11:00:00,05306,CPA,0,,Kanpur Anwarganj,3.0,Pass,0,138.0,LineString,24,79.57173700000001,27.38236,80.328444,26.456233,660.0,865.0,127.41072554442115,0.4166666666666667,305.78574130661076,Passenger,0,0,0,1,0,0,0,0
0,18:20:00,CPA,Kanpuranwarganj-Farrukhabad Special,NER,0,0,25.0,0,Kanpur Anwarganj,05306,14:55:00,05305,FBD,0,,Farrukhabad,3.0,Exp,0,138.0,LineString,24,80.328444,26.456233,79.57173700000001,27.38236,895.0,1100.0,127.41072554442115,0.4166666666666667,305.78574130661076,Special,0,0,0,1,0,0,0,0
1,22:45:00,KYQ,Kamakhya - Mumbai Ltt (Weekly) Special,NFR,0,0,55.0,1,Kamakhya,05650,15:50:00,05649,LTT,0,,Lokmanya Tilak Term,54.0,Exp,0,2613.0,LineString,332,91.689505,26.156154,72.89173899999999,19.07032,950.0,1365.0,2081.260226201325,0.9166666666666666,2270.4657013105366,Special,2,0,0,1,0,1,0,1
0,13:30:00,LMG,Hill Queen Express,NFR,1,0,45.0,0,Lumding Jn,05697,09:45:00,05698,LFG,0,,Lower Haflong,3.0,Jshtb,0,104.0,LineString,11,93.1766,25.750036,93.126299,25.187996,585.0,810.0,62.69966720724947,0.75,83.59955627633262,Express,1,1,0,0,0,0,0,0
0,17:30:00,LFG,Hill Queen Express,NFR,1,0,45.0,0,Lower Haflong,05698,13:45:00,05697,LMG,0,,Lumding Jn,3.0,Jshtb,0,104.0,LineString,11,93.126299,25.187996,93.1766,25.750036,825.0,1050.0,62.69966720724947,0.75,83.59955627633262,Express,1,0,0,0,0,0,0,0
1,03:40:00,QLN,Kollam-Chennai Central Sf Special,SR,0,0,10.0,1,Kollam Jn,06002,11:30:00,06001,MAS,1,,Chennai Central,16.0,Sf,0,858.0,LineString,149,76.59675299999999,8.886586000000001,80.27485630000001,13.0847613,690.0,220.0,615.6543408538607,0.16666666666666666,3693.9260451231644,Special,3,0,0,1,0,0,1,0
1,11:30:00,MAS,Chennai Central-Kollam Special,SR,0,0,45.0,1,Chennai Central,06003,20:45:00,06002,QLN,1,,Kollam Jn,14.0,Exp,0,857.0,LineString,149,80.27485630000001,13.0847613,76.59675299999999,8.886586000000001,1245.0,690.0,615.6543408538607,0.75,820.8724544718143,Special,3,0,0,1,0,0,0,0
1,10:45:00,QLN,Kollam-Chennai Central Special,SR,0,0,55.0,1,Kollam Jn,06004,17:50:00,06005,MAS,1,,Chennai Central,16.0,Exp,0,857.0,LineString,149,76.59675299999999,8.886586000000001,80.27485630000001,13.0847613,1070.0,645.0,615.6543408538607,0.9166666666666666,671.6229172951208,Special,3,1,0,1,0,0,0,0
1,11:30:00,MAS,Chennai Central-Kollam Sf Special,SR,0,0,45.0,1,Chennai Central,06005,20:45:00,06006,QLN,1,,Kollam Jn,14.0,Sf,0,857.0,LineString,149,80.27485630000001,13.0847613,76.59675299999999,8.886586000000001,1245.0,690.0,615.6543408538607,0.75,820.8724544718143,Special,3,0,0,1,0,0,0,0
1,10:45:00,QLN,Kollam-Chennai Central Sf Special,SR,0,0,55.0,1,Kollam Jn,06006,17:50:00,06007,MAS,1,,Chennai Central,16.0,Sf,0,857.0,LineString,149,76.59675299999999,8.886586000000001,80.27485630000001,13.0847613,1070.0,645.0,615.6543408538607,0.9166666666666666,671.6229172951208,Special,3,1,0,1,0,0,0,0
1,06:45:00,MAS,Chennai Central-Kollam Sf Special,SR,0,0,30.0,1,Chennai Central,06007,15:15:00,06008,QLN,1,,Kollam Jn,15.0,Sf,0,858.0,LineString,149,80.27485630000001,13.0847613,76.59675299999999,8.886586000000001,915.0,405.0,615.6543408538607,0.5,1231.3086817077215,Special,3,0,0,1,0,0,0,0
1,03:40:00,QLN,Kollamchennai Central Sf Special,SR,0,0,10.0,1,Kollam Jn,06008,11:30:00,06007,MAS,1,,Chennai Central,16.0,Sf,0,858.0,LineString,149,76.59675299999999,8.886586000000001,80.27485630000001,13.0847613,690.0,220.0,615.6543408538607,0.16666666666666666,3693.9260451231644,Special,3,0,0,1,0,0,1,0
1,15:30:00,MAS,Chennai Centralkollam Sf Special,SR,0,0,0.0,1,Chennai Central,06009,23:30:00,06008,QLN,1,,Kollam Jn,16.0,Sf,0,858.0,LineString,149,80.27485630000001,13.0847613,76.59675299999999,8.886586000000001,1410.0,930.0,615.6543408538607,0.0,,Special,3,0,0,0,0,0,0,0
1,05:45:00,MAS,Chennai Central Kollam (Weekly) Sf Special,SR,0,0,30.0,1,Chennai Central,06011,15:15:00,06010,QLN,1,,Kollam Jn,14.0,Sf,0,858.0,LineString,149,80.27485630000001,13.0847613,76.59675299999999,8.886586000000001,915.0,345.0,615.6543408538607,0.5,1231.3086817077215,Special,3,0,0,1,0,0,0,0
1,11:30:00,MYS,Mysore-Sainagar Shirdi Special,SWR,0,0,0.0,1,Mysore Jn,06201,05:30:00,06202,SNSI,1,,Sainagar Shirdi,30.0,Exp,0,1304.0,LineString,157,76.646013,12.318946,74.4806877,19.7807923,330.0,690.0,861.3244815036887,0.0,,Special,3,0,0,0,0,0,0,0
1,07:10:00,SNSI,Sainagar Shirdi - Mysore Special,SWR,0,0,15.0,1,Sainagar Shirdi,06202,23:55:00,06201,MYS,1,,Mysore Jn,31.0,Exp,0,1304.0,LineString,157,74.4806877,19.7807923,76.646013,12.318946,1435.0,430.0,861.3244815036887,0.25,3445.297926014755,Special,3,0,0,1,0,0,1,0
0,17:05:00,MYS,Mysore Nanjangud Town Passenger,SWR,0,0,55.0,0,Mysore Jn,06215,16:10:00,06216,NTW,0,,Nanjangud Town,0.0,Pass,0,25.0,LineString,7,76.646013,12.318946,76.68442999999999,12.12211,970.0,1025.0,22.281795069095974,0.9166666666666666,24.307412802650155,Passenger,0,0,0,0,0,0,0,0
0,18:20:00,NTW,Nanjangud Town Mysore Passenger,SWR,0,0,50.0,0,Nanjangud Town,06216,17:30:00,06215,MYS,0,,Mysore Jn,0.0,Pass,0,25.0,LineString,7,76.68442999999999,12.12211,76.646013,12.318946,1050.0,1100.0,22.281795069095974,0.8333333333333334,26.738154082915166,Passenger,0,1,0,0,0,0,0,0
0,07:00:00,SMET,Shimoga Mysore Express,SWR,0,0,50.0,1,Shimoga Town,06228,22:10:00,,MYS,0,,Mysore Jn,8.0,Exp,0,276.0,LineString,21,75.583174,13.943037,76.646013,12.318946,1330.0,420.0,214.14518687387928,0.8333333333333334,256.9742242486551,Express,1,0,0,0,0,0,0,0
1,10:30:00,NCJ,Nagercoil-Mangalore Special,SR,0,0,40.0,1,Nagercoil Jn,06301,16:50:00,06302,MAJN,1,,Mangalore Jn,17.0,Exp,0,711.0,LineString,131,77.44347,8.17385,74.88006,12.866193,1010.0,630.0,592.2228899822857,0.6666666666666666,888.3343349734286,Special,3,0,0,1,0,0,0,0
1,07:50:00,MAJN,Mangalore-Nagercoil Special,SR,0,0,35.0,1,Mangalore Jn,06302,16:15:00,06301,NCJ,1,,Nagercoil Jn,15.0,Exp,0,711.0,LineString,131,74.88006,12.866193,77.44347,8.17385,975.0,470.0,592.2228899822857,0.5833333333333334,1015.2392399696325,Special,3,0,0,1,0,0,0,0
1,16:10:00,YPR,Yesvantpur - Ahmedabad Garib Rath Special,SWR,0,0,50.0,0,Yesvantpur Jn,06501,05:20:00,06502,ADI,0,,Ahmedabad Jn,34.0,Gr,0,1719.0,LineString,252,77.55117399999999,13.022839,72.601516,23.025515,320.0,970.0,1228.850144219792,0.8333333333333334,1474.6201730637501,Garib Rath,1,0,0,1,0,1,0,1
1,11:25:00,ADI,Ahmedabad -Yesvantpur Garib Rath Special,SWR,0,0,10.0,0,Ahmedabad Jn,06502,20:15:00,06501,YPR,0,,Yesvantpur Jn,39.0,Gr,0,1719.0,LineString,252,72.601516,23.025515,77.55117399999999,13.022839,1215.0,685.0,1228.850144219792,0.16666666666666666,7373.100865318752,Garib Rath,1,0,0,1,0,1,1,1
1,11:00:00,YPR,Bijapur Express,SWR,0,0,15.0,1,Yesvantpur Jn,06535,19:45:00,06536,BJP,1,,Bijapur,15.0,Exp,1,712.0,LineString,93,77.55117399999999,13.022839,75.7400012,16.8310603,1185.0,660.0,466.0096507304441,0.25,1864.0386029217764,Express,4,1,0,1,0,0,0,0
1,09:15:00,BJP,Bijapur-Yesvantpur Special,SWR,0,0,35.0,1,Bijapur,06536,17:40:00,06535,YPR,1,,Yesvantpur Jn,15.0,Exp,1,712.0,LineString,93,75.7400012,16.8310603,77.55117399999999,13.022839,1060.0,555.0,466.0096507304441,0.5833333333333334,798.8736869664756,Special,4,1,0,1,0,0,0,0
0,07:55:00,YPR,Yesvantpur-Hosur Passenger Special,SWR,0,0,35.0,0,Yesvantpur Jn,06591,06:20:00,06592,HSRA,0,,Hosur,1.0,Pass,0,67.0,LineString,10,77.55117399999999,13.022839,77.822839,12.717606,380.0,475.0,44.93529977244599,0.5833333333333334,77.03194246705026,Passenger,0,0,0,0,0,0,0,0
0,09:50:00,HSRA,Hosur-Yesvantpur Passenger,SWR,0,0,40.0,0,Hosur,06592,08:10:00,06593,YPR,0,,Yesvantpur Jn,1.0,Pass,0,67.0,LineString,10,77.822839,12.717606,77.55117399999999,13.022839,490.0,590.0,44.93529977244599,0.6666666666666666,67.40294965866899,Passenger,0,1,0,0,0,0,0,0
0,19:20:00,HSRA,Hosur-Yesvantpur Passenger Special,SWR,0,0,35.0,0,Hosur,06594,17:45:00,06593,YPR,0,,Yesvantpur Jn,1.0,Pass,0,67.0,LineString,10,77.822839,12.717606,77.55117399999999,13.022839,1065.0,1160.0,44.93529977244599,0.5833333333333334,77.03194246705026,Passenger,0,1,0,0,0,0,0,0
0,11:45:00,YPR,Yesvantpur-Devanhalli Special,SWR,0,0,5.0,0,Yesvantpur Jn,06595,10:40:00,06596,DHL,0,,Devanhalli,1.0,Pass,0,36.0,LineString,7,77.55117399999999,13.022839,77.70463099999999,13.246834,640.0,705.0,29.94153654829395,0.08333333333333333,359.29843857952744,Special,0,0,0,1,0,0,0,0
