id,station_id,alert_type,message,severity,is_active,created_at,resolved_at
25,18,maintenance,Alert at Pitampura,medium,False,2026-07-06 00:26:03.916347,
26,18,overcrowding,Alert at Pitampura,medium,False,2026-07-05 23:26:03.916428,
27,19,delay,Alert at Rohini East,medium,True,2026-07-06 19:26:03.916513,
28,19,delay,Alert at Rohini East,medium,True,2026-07-07 17:26:03.916611,
29,19,overcrowding,Alert at Rohini East,medium,True,2026-07-06 09:26:03.916673,
30,21,maintenance,Alert at Rithala,medium,False,2026-07-06 12:26:03.916732,
31,23,overcrowding,Alert at Rajdhani Park,low,False,2026-07-07 10:26:03.916790,
32,23,delay,Alert at Rajdhani Park,medium,False,2026-07-07 18:26:03.916842,
33,23,delay,Alert at Rajdhani Park,low,False,2026-07-07 02:26:03.916894,
34,24,overcrowding,Alert at Nangloi Railway Station,high,False,2026-07-06 15:26:03.916951,
35,24,delay,Alert at Nangloi Railway Station,medium,False,2026-07-07 05:26:03.917004,
36,25,delay,Alert at Nangloi,high,False,2026-07-06 05:26:03.917059,
37,25,maintenance,Alert at Nangloi,high,True,2026-07-07 23:26:03.917151,
38,26,maintenance,Alert at Maharaja Surajmal Stadium,high,False,2026-07-06 23:26:03.917230,
39,26,overcrowding,Alert at Maharaja Surajmal Stadium,high,False,2026-07-06 17:26:03.917626,
40,28,delay,Alert at Peera Garhi,high,True,2026-07-07 15:26:03.917834,
41,28,delay,Alert at Peera Garhi,low,False,2026-07-06 01:26:03.917950,
42,30,delay,Alert at Paschim Vihar (East),medium,True,2026-07-06 00:26:03.918043,
43,31,overcrowding,Alert at Madipur,high,True,2026-07-07 20:26:03.918137,
44,31,delay,Alert at Madipur,medium,True,2026-07-07 11:26:03.918222,
45,31,maintenance,Alert at Madipur,high,True,2026-07-06 20:26:03.918304,
46,32,delay,Alert at Shivaji Park,medium,True,2026-07-07 01:26:03.918400,
47,33,delay,Alert at Punjabi Bagh,high,False,2026-07-05 23:26:03.918497,
48,33,delay,Alert at Punjabi Bagh,medium,False,2026-07-06 20:26:03.918584,
49,33,delay,Alert at Punjabi Bagh,low,False,2026-07-07 13:26:03.918668,
50,34,maintenance,Alert at Ashok Park Main,medium,False,2026-07-06 01:26:03.918752,
51,34,maintenance,Alert at Ashok Park Main,low,True,2026-07-05 23:26:03.918853,
52,34,delay,Alert at Ashok Park Main,medium,False,2026-07-07 12:26:03.918944,
53,35,maintenance,Alert at Satguru Ram Singh Marg,high,True,2026-07-07 14:26:03.919040,
54,35,maintenance,Alert at Satguru Ram Singh Marg,medium,False,2026-07-07 19:26:03.919125,
55,35,maintenance,Alert at Satguru Ram Singh Marg,high,True,2026-07-07 06:26:03.919190,
56,36,delay,Alert at Samaypur Badli,medium,False,2026-07-07 17:26:03.919251,
57,36,maintenance,Alert at Samaypur Badli,low,False,2026-07-07 02:26:03.919629,
58,36,delay,Alert at Samaypur Badli,medium,True,2026-07-07 22:26:03.919795,
59,37,delay,Alert at Rohini Sector 18-19,medium,True,2026-07-06 01:26:03.919901,
60,37,maintenance,Alert at Rohini Sector 18-19,high,True,2026-07-07 16:26:03.919994,
61,37,delay,Alert at Rohini Sector 18-19,medium,False,2026-07-06 08:26:03.920083,
62,39,overcrowding,Alert at Jahangirpuri,medium,False,2026-07-06 14:26:03.920179,
63,40,maintenance,Alert at Adarsh Nagar,medium,False,2026-07-07 09:26:03.920281,
64,41,delay,Alert at Azadpur,low,True,2026-07-07 01:26:03.920368,
65,41,delay,Alert at Azadpur,low,True,2026-07-07 02:26:03.920429,
66,41,delay,Alert at Azadpur,medium,True,2026-07-07 23:26:03.920510,
67,42,overcrowding,Alert at Model Town,low,True,2026-07-06 15:26:03.920568,
68,42,maintenance,Alert at Model Town,low,True,2026-07-07 18:26:03.920623,
69,42,delay,Alert at Model Town,high,True,2026-07-07 00:26:03.920682,
70,43,delay,Alert at Guru Tegh Bahadur Nagar,low,False,2026-07-06 16:26:03.920738,
71,43,maintenance,Alert at Guru Tegh Bahadur Nagar,low,True,2026-07-07 04:26:03.920793,
72,44,maintenance,Alert at Vishwavidyalaya,high,False,2026-07-07 08:26:03.920866,
73,44,maintenance,Alert at Vishwavidyalaya,high,True,2026-07-07 07:26:03.920940,
74,44,maintenance,Alert at Vishwavidyalaya,high,False,2026-07-07 10:26:03.921029,
75,45,maintenance,Alert at Vidhan Sabha,high,False,2026-07-06 22:26:03.921119,
76,45,maintenance,Alert at Vidhan Sabha,high,True,2026-07-07 21:26:03.921220,
77,46,maintenance,Alert at Civil Lines,medium,True,2026-07-07 00:26:03.921296,
78,46,delay,Alert at Civil Lines,medium,False,2026-07-07 05:26:03.921352,
79,48,maintenance,Alert at Chawri Bazar,low,False,2026-07-06 17:26:03.921415,
80,48,maintenance,Alert at Chawri Bazar,medium,False,2026-07-07 16:26:03.921467,
81,49,overcrowding,Alert at New Delhi,high,False,2026-07-07 23:26:03.921521,
82,51,delay,Alert at Patel Chowk,high,False,2026-07-07 06:26:03.921606,
83,51,overcrowding,Alert at Patel Chowk,medium,False,2026-07-06 17:26:03.921728,
84,51,overcrowding,Alert at Patel Chowk,low,True,2026-07-06 12:26:03.921801,
85,52,delay,Alert at Central Secretariat,medium,False,2026-07-06 22:26:03.921858,
86,52,delay,Alert at Central Secretariat,high,True,2026-07-07 13:26:03.921922,
87,53,delay,Alert at Udyog Bhawan,high,True,2026-07-06 17:26:03.921980,
88,53,overcrowding,Alert at Udyog Bhawan,high,False,2026-07-07 11:26:03.922033,
89,53,maintenance,Alert at Udyog Bhawan,high,True,2026-07-06 07:26:03.922085,
90,54,delay,Alert at Lok Kalyan Marg,high,True,2026-07-06 09:26:03.922139,
91,54,maintenance,Alert at Lok Kalyan Marg,low,False,2026-07-06 13:26:03.922190,
92,54,maintenance,Alert at Lok Kalyan Marg,high,False,2026-07-07 13:26:03.922243,
93,56,maintenance,Alert at Dilli Haat - INA,low,True,2026-07-07 09:26:03.922302,
94,57,maintenance,Alert at AIIMS,low,False,2026-07-07 09:26:03.922356,
95,58,maintenance,Alert at Green Park,low,True,2026-07-06 15:26:03.922418,
96,59,maintenance,Alert at Hauz Khas,high,True,2026-07-07 03:26:03.922503,
97,59,delay,Alert at Hauz Khas,low,False,2026-07-06 08:26:03.922564,
98,59,delay,Alert at Hauz Khas,high,True,2026-07-06 02:26:03.922617,
99,62,maintenance,Alert at Qutab Minar,high,False,2026-07-06 02:26:03.922684,
100,62,delay,Alert at Qutab Minar,high,False,2026-07-06 11:26:03.922760,
101,62,delay,Alert at Qutab Minar,low,True,2026-07-07 14:26:03.922815,
102,63,delay,Alert at Chhattarpur,low,False,2026-07-07 08:26:03.922871,
103,63,maintenance,Alert at Chhattarpur,low,True,2026-07-06 13:26:03.922923,
104,64,delay,Alert at Sultanpur,medium,False,2026-07-07 14:26:03.922977,
105,64,overcrowding,Alert at Sultanpur,low,True,2026-07-06 21:26:03.923034,
106,64,maintenance,Alert at Sultanpur,high,True,2026-07-07 23:26:03.923086,
107,65,delay,Alert at Ghitorni,low,True,2026-07-06 01:26:03.923146,
108,65,maintenance,Alert at Ghitorni,high,False,2026-07-06 16:26:03.923199,
109,65,overcrowding,Alert at Ghitorni,low,False,2026-07-07 09:26:03.923256,
110,66,delay,Alert at Arjan Garh,high,False,2026-07-05 23:26:03.923310,
111,66,maintenance,Alert at Arjan Garh,medium,True,2026-07-06 07:26:03.923361,
112,68,overcrowding,Alert at Sikanderpur,medium,True,2026-07-07 09:26:03.923418,
113,70,overcrowding,Alert at IFFCO Chowk,medium,False,2026-07-07 19:26:03.923474,
114,70,maintenance,Alert at IFFCO Chowk,medium,False,2026-07-07 17:26:03.923526,
115,71,overcrowding,Alert at Huda City Centre,low,False,2026-07-07 08:26:03.923588,
116,71,overcrowding,Alert at Huda City Centre,high,True,2026-07-07 19:26:03.923640,
117,72,delay,Alert at Vaishali,high,True,2026-07-06 19:26:03.923693,
118,72,delay,Alert at Vaishali,high,True,2026-07-06 03:26:03.923749,
119,72,overcrowding,Alert at Vaishali,medium,False,2026-07-07 19:26:03.923802,
120,73,delay,Alert at Kaushambi,low,True,2026-07-06 11:26:03.923857,
121,73,overcrowding,Alert at Kaushambi,high,True,2026-07-07 04:26:03.923916,
122,73,overcrowding,Alert at Kaushambi,medium,True,2026-07-07 17:26:03.923970,
123,75,maintenance,Alert at Karkarduma,medium,False,2026-07-06 21:26:03.924033,
124,75,delay,Alert at Karkarduma,high,False,2026-07-06 05:26:03.924086,
125,78,maintenance,Alert at Laxmi Nagar,medium,False,2026-07-07 18:26:03.924148,
126,78,overcrowding,Alert at Laxmi Nagar,medium,False,2026-07-06 00:26:03.924201,
127,79,maintenance,Alert at Noida City Centre,low,True,2026-07-07 03:26:03.924256,
128,79,delay,Alert at Noida City Centre,medium,False,2026-07-07 06:26:03.924308,
129,79,delay,Alert at Noida City Centre,low,True,2026-07-06 10:26:03.924365,
130,80,delay,Alert at Golf Course,low,False,2026-07-06 21:26:03.924449,
131,80,maintenance,Alert at Golf Course,high,True,2026-07-05 23:26:03.924588,
132,80,delay,Alert at Golf Course,low,False,2026-07-06 16:26:03.924696,
133,81,delay,Alert at Botanical Garden,medium,False,2026-07-05 23:26:03.924785,
134,82,overcrowding,Alert at Noida Sec -18,medium,False,2026-07-06 01:26:03.924854,
135,83,overcrowding,Alert at Noida Sec -16,high,True,2026-07-06 07:26:03.924916,
136,83,overcrowding,Alert at Noida Sec -16,low,True,2026-07-07 06:26:03.924977,
137,84,overcrowding,Alert at Noida Sec -15,high,False,2026-07-07 15:26:03.925060,
138,84,overcrowding,Alert at Noida Sec -15,low,False,2026-07-07 01:26:03.925188,
139,84,delay,Alert at Noida Sec -15,high,False,2026-07-06 04:26:03.925289,
140,85,maintenance,Alert at New Ashok Nagar,medium,True,2026-07-07 22:26:03.925395,
141,85,delay,Alert at New Ashok Nagar,medium,True,2026-07-07 14:26:03.925488,
142,85,overcrowding,Alert at New Ashok Nagar,medium,False,2026-07-06 07:26:03.925576,
143,86,delay,Alert at Mayur Vihar Ext,high,False,2026-07-07 15:26:03.925665,
144,87,maintenance,Alert at Mayur Vihar-I,high,False,2026-07-06 12:26:03.925733,
145,87,overcrowding,Alert at Mayur Vihar-I,medium,True,2026-07-07 12:26:03.925787,
146,88,maintenance,Alert at Akshardham,high,False,2026-07-07 19:26:03.925845,
147,88,overcrowding,Alert at Akshardham,high,False,2026-07-06 22:26:03.925903,
148,89,overcrowding,Alert at Yamuna Bank,low,True,2026-07-07 19:26:03.925959,
149,89,maintenance,Alert at Yamuna Bank,high,False,2026-07-07 17:26:03.926015,
150,91,overcrowding,Alert at Supreme Court,medium,False,2026-07-07 21:26:03.926075,
151,91,delay,Alert at Supreme Court,medium,False,2026-07-07 15:26:03.926128,
152,92,overcrowding,Alert at Mandi House,high,True,2026-07-06 03:26:03.926181,
153,92,overcrowding,Alert at Mandi House,high,True,2026-07-07 21:26:03.926234,
154,94,delay,Alert at RK Ashram Marg,low,True,2026-07-06 16:26:03.926297,
155,95,maintenance,Alert at Jhandewalan,high,True,2026-07-06 08:26:03.926353,
156,95,overcrowding,Alert at Jhandewalan,high,True,2026-07-06 04:26:03.926406,
157,95,maintenance,Alert at Jhandewalan,medium,False,2026-07-07 18:26:03.926457,
158,96,overcrowding,Alert at Karol Bagh,medium,False,2026-07-06 05:26:03.926537,
159,96,maintenance,Alert at Karol Bagh,high,False,2026-07-06 19:26:03.926594,
160,97,overcrowding,Alert at Rajendra Place,high,False,2026-07-06 07:26:03.926648,
161,97,overcrowding,Alert at Rajendra Place,high,False,2026-07-07 02:26:03.926700,
162,97,maintenance,Alert at Rajendra Place,medium,True,2026-07-06 15:26:03.926760,
163,99,maintenance,Alert at Shadipur,high,False,2026-07-06 14:26:03.926819,
164,99,overcrowding,Alert at Shadipur,low,True,2026-07-06 22:26:03.926877,
