date,time,day,station,line,entry_count,exit_count,net_flow,gate_id,is_peak_hour,is_holiday,weather
2026-01-24,15:45,Saturday,Shivaji Park,Green Line,15,13,2,G-02,0,0,Cloudy
2026-02-01,05:45,Sunday,Jor Bagh,Yellow Line,25,19,6,G-03,0,1,Cloudy
2026-02-27,11:30,Friday,Jangpura,Violet Line,58,50,8,G-04,0,0,Clear
2026-01-05,05:30,Monday,Moti Nagar,Blue Line,30,32,-2,G-05,0,0,Cloudy
2026-02-12,05:15,Thursday,Chandni Chowk,Yellow Line,165,163,2,G-06,0,0,Cloudy
2026-01-22,13:30,Thursday,Lajpat Nagar,Violet Line,173,154,19,G-03,0,0,Foggy
2026-01-17,18:00,Saturday,Tis Hazari,Red Line,147,159,-12,G-02,1,0,Foggy
2026-02-05,12:45,Thursday,Patel Chowk,Yellow Line,88,95,-7,G-05,0,0,Foggy
2026-02-11,21:00,Wednesday,Harkesh Nagar Okhla,Violet Line,34,41,-7,G-06,0,0,Foggy
2026-02-18,10:00,Wednesday,Netaji Subhash Place,Red Line,128,145,-17,G-05,1,0,Foggy
2026-02-25,12:30,Wednesday,ITO,Violet Line,147,141,6,G-01,0,0,Smoggy
2026-01-22,19:00,Thursday,Kanhaiya Nagar,Red Line,165,137,28,G-07,1,0,Foggy
2026-02-15,10:30,Sunday,Kohat Enclave,Red Line,24,20,4,G-02,1,1,Foggy
2026-01-21,13:15,Wednesday,Jasola Apollo,Violet Line,116,91,25,G-04,0,0,Rainy
2026-02-18,22:45,Wednesday,Pragati Maidan,Blue Line,31,31,0,G-03,0,0,Clear
2026-02-01,05:15,Sunday,GTB Nagar,Yellow Line,44,44,0,G-06,0,1,Clear
2026-02-28,14:00,Saturday,Rajdhani Park,Green Line,42,33,9,G-06,0,0,Clear
2026-01-05,21:30,Monday,Rohini West,Red Line,27,24,3,G-06,0,0,Cloudy
2026-02-10,06:00,Tuesday,Neelam Chowk Ajronda,Violet Line,41,42,-1,G-01,0,0,Foggy
2026-01-07,18:45,Wednesday,Moolchand,Violet Line,180,164,16,G-05,1,0,Rainy
2026-01-29,09:45,Thursday,Model Town,Yellow Line,191,155,36,G-06,1,0,Clear
2026-02-09,22:00,Monday,Raja Nahar Singh,Violet Line,37,30,7,G-03,0,0,Foggy
2026-01-29,17:45,Thursday,Chawri Bazar,Yellow Line,319,270,49,G-03,1,0,Foggy
2026-01-21,16:45,Wednesday,Nangloi Railway Station,Green Line,111,110,1,G-03,0,0,Rainy
2026-01-18,20:30,Sunday,Delhi Gate,Violet Line,21,17,4,G-04,0,1,Foggy
2026-01-17,09:45,Saturday,Adarsh Nagar,Yellow Line,147,136,11,G-04,1,0,Clear
2026-02-17,07:15,Tuesday,Paschim Vihar West,Green Line,100,97,3,G-05,0,0,Foggy
2026-01-11,22:30,Sunday,Rajdhani Park,Green Line,32,28,4,G-06,0,1,Cloudy
2026-02-03,22:30,Tuesday,Peeragarhi,Green Line,26,31,-5,G-05,0,0,Rainy
2026-01-19,19:30,Monday,New Delhi,Yellow Line,580,580,0,G-05,1,0,Clear
2026-01-06,08:45,Tuesday,Shastri Park,Red Line,186,183,3,G-03,1,0,Clear
2026-02-26,16:00,Thursday,Uttam Nagar East,Blue Line,43,31,12,G-07,0,1,Foggy
2026-01-04,11:00,Sunday,Badkhal Mor,Violet Line,30,30,0,G-06,0,1,Clear
2026-01-08,16:30,Thursday,Lal Quila,Violet Line,120,153,-33,G-07,0,0,Foggy
2026-01-04,06:45,Sunday,Madipur,Green Line,35,26,9,G-01,0,1,Foggy
2026-01-11,12:00,Sunday,Adarsh Nagar,Yellow Line,48,30,18,G-07,0,1,Cloudy
2026-02-19,11:45,Thursday,Nangloi Railway Station,Green Line,111,91,20,G-07,0,0,Foggy
2026-02-14,13:45,Saturday,Peeragarhi,Green Line,136,150,-14,G-05,0,0,Rainy
2026-01-30,21:00,Friday,Maharaja Surajmal Stadium,Green Line,17,16,1,G-05,0,0,Clear
2026-01-25,11:30,Sunday,Dilshad Garden,Red Line,78,55,23,G-06,0,1,Smoggy
2026-01-03,22:45,Saturday,Shastri Nagar,Red Line,47,52,-5,G-03,0,0,Clear
2026-02-06,20:30,Friday,Pulbangash,Red Line,85,87,-2,G-02,0,0,Clear
2026-01-04,06:15,Sunday,Noida City Centre,Blue Line,91,91,0,G-01,0,1,Cloudy
2026-01-19,12:45,Monday,Tughlakabad,Violet Line,100,131,-31,G-04,0,0,Clear
2026-02-08,13:15,Sunday,Pitampura,Red Line,30,27,3,G-02,0,1,Foggy
2026-01-23,11:15,Friday,Shahdara,Red Line,124,122,2,G-02,0,0,Foggy
2026-01-29,21:00,Thursday,Shastri Park,Red Line,39,33,6,G-06,0,0,Rainy
2026-02-20,23:45,Friday,Rajiv Chowk,Blue Line,132,110,22,G-01,0,0,Cloudy
2026-02-13,09:45,Friday,Rajdhani Park,Green Line,250,247,3,G-01,1,0,Foggy
2026-02-11,19:00,Wednesday,Netaji Subhash Place,Red Line,133,105,28,G-03,1,0,Foggy
2026-01-31,15:15,Saturday,Saket,Yellow Line,31,27,4,G-01,0,0,Foggy
2026-02-17,08:30,Tuesday,Saket,Yellow Line,245,242,3,G-06,1,0,Cloudy
2026-02-17,23:00,Tuesday,Paschim Vihar West,Green Line,32,34,-2,G-01,0,0,Cloudy
2026-01-18,22:00,Sunday,Shastri Park,Red Line,49,32,17,G-02,0,1,Clear
2026-01-08,07:45,Thursday,Indraprastha,Blue Line,73,55,18,G-01,0,0,Clear
2026-02-21,08:15,Saturday,Badkhal Mor,Violet Line,222,193,29,G-07,1,0,Foggy
2026-01-01,22:00,Thursday,Chandni Chowk,Yellow Line,104,87,17,G-01,0,0,Foggy
2026-01-13,22:30,Tuesday,Lal Quila,Violet Line,67,66,1,G-04,0,0,Cloudy
2026-02-22,05:30,Sunday,Dwarka Sector 21,Blue Line,63,56,7,G-03,0,1,Foggy
2026-01-19,14:00,Monday,ITO,Violet Line,35,36,-1,G-05,0,0,Foggy
2026-01-28,21:45,Wednesday,Jasola Apollo,Violet Line,21,17,4,G-05,0,0,Clear
2026-01-14,05:30,Wednesday,Rohini Sector 18,Yellow Line,40,33,7,G-06,0,0,Cloudy
2026-01-10,15:00,Saturday,Punjabi Bagh,Green Line,42,34,8,G-02,0,0,Smoggy
2026-01-08,08:45,Thursday,Barakhamba Road,Blue Line,188,141,47,G-02,1,0,Clear
2026-01-28,18:45,Wednesday,Jama Masjid,Violet Line,149,145,4,G-06,1,0,Clear
2026-02-14,18:15,Saturday,Rajendra Place,Blue Line,208,177,31,G-01,1,0,Cloudy
2026-02-11,23:15,Wednesday,Moolchand,Violet Line,45,44,1,G-01,0,0,Foggy
2026-01-19,07:00,Monday,Vidhan Sabha,Yellow Line,102,117,-15,G-05,0,0,Cloudy
2026-02-16,07:45,Monday,Satguru Ram Singh Marg,Green Line,57,70,-13,G-07,0,0,Foggy
2026-02-22,08:00,Sunday,Saket,Yellow Line,39,45,-6,G-01,1,1,Clear
2026-01-27,16:45,Tuesday,ITO,Violet Line,102,137,-35,G-07,0,0,Cloudy
2026-01-10,13:15,Saturday,Yamuna Bank,Blue Line,190,175,15,G-05,0,0,Cloudy
2026-01-26,23:15,Monday,Dwarka Sector 8,Blue Line,41,40,1,G-07,0,1,Clear
2026-02-14,21:30,Saturday,Seelampur,Red Line,30,22,8,G-05,0,0,Cloudy
2026-02-10,13:45,Tuesday,Dilshad Garden,Red Line,286,245,41,G-07,0,0,Foggy
2026-01-08,09:00,Thursday,Satguru Ram Singh Marg,Green Line,139,127,12,G-06,1,0,Cloudy
2026-01-23,23:15,Friday,Harkesh Nagar Okhla,Violet Line,34,31,3,G-06,0,0,Foggy
2026-01-26,14:45,Monday,Jahangirpuri,Yellow Line,36,37,-1,G-01,0,1,Rainy
2026-02-08,09:00,Sunday,Race Course,Yellow Line,22,28,-6,G-07,1,1,Smoggy
2026-02-23,09:45,Monday,Qutab Minar,Yellow Line,262,232,30,G-02,1,0,Clear
2026-02-07,22:45,Saturday,Neelam Chowk Ajronda,Violet Line,53,58,-5,G-07,0,0,Cloudy
2026-01-28,18:45,Wednesday,Kohat Enclave,Red Line,148,172,-24,G-07,1,0,Smoggy
2026-02-26,21:30,Thursday,Pitampura,Red Line,26,22,4,G-04,0,1,Smoggy
2026-01-20,21:00,Tuesday,Escorts Mujesar,Violet Line,61,45,16,G-05,0,0,Cloudy
2026-02-26,18:30,Thursday,Shahdara,Red Line,18,15,3,G-07,1,1,Clear
2026-02-16,17:45,Monday,Nangloi Railway Station,Green Line,268,258,10,G-02,1,0,Foggy
2026-02-22,17:45,Sunday,Lal Quila,Violet Line,32,25,7,G-02,1,1,Cloudy
2026-02-14,10:45,Saturday,Raja Nahar Singh,Violet Line,152,141,11,G-02,1,0,Smoggy
2026-02-13,13:30,Friday,Janakpuri West,Blue Line,172,217,-45,G-07,0,0,Clear
2026-02-10,08:00,Tuesday,Lal Quila,Violet Line,191,248,-57,G-01,1,0,Cloudy
2026-01-15,14:00,Thursday,Madipur,Green Line,43,42,1,G-02,0,0,Clear
2026-02-15,06:15,Sunday,Karol Bagh,Blue Line,76,67,9,G-03,0,1,Foggy
2026-01-11,08:45,Sunday,Vishwavidyalaya,Yellow Line,62,59,3,G-04,1,1,Foggy
2026-01-13,21:45,Tuesday,Madipur,Green Line,15,15,0,G-07,0,0,Foggy
2026-01-31,14:15,Saturday,Mandi House,Blue Line,152,131,21,G-01,0,0,Foggy
2026-01-18,17:45,Sunday,Kalkaji Mandir,Violet Line,40,38,2,G-02,1,1,Clear
2026-02-02,16:15,Monday,Jahangirpuri,Yellow Line,137,121,16,G-02,0,0,Cloudy
2026-02-07,21:00,Saturday,Brigadier Hoshiar Singh,Green Line,19,20,-1,G-06,0,0,Foggy
2026-02-03,19:45,Tuesday,Rajiv Chowk,Blue Line,797,906,-109,G-04,1,0,Cloudy
2026-02-02,08:45,Monday,Kashmere Gate,Yellow Line,633,554,79,G-01,1,0,Clear
2026-02-10,20:15,Tuesday,Janakpuri West,Blue Line,265,183,82,G-07,0,0,Rainy
2026-02-18,19:30,Wednesday,Old Faridabad,Violet Line,126,110,16,G-05,1,0,Cloudy
2026-01-05,05:30,Monday,Peeragarhi,Green Line,18,17,1,G-03,0,0,Foggy
2026-02-22,15:00,Sunday,Guru Dronacharya,Yellow Line,31,35,-4,G-01,0,1,Foggy
2026-02-26,19:45,Thursday,Yamuna Bank,Blue Line,85,79,6,G-07,1,1,Cloudy
2026-01-07,05:00,Wednesday,Vidhan Sabha,Yellow Line,42,37,5,G-01,0,0,Foggy
2026-01-02,17:30,Friday,Samaypur Badli,Yellow Line,104,132,-28,G-05,1,0,Cloudy
2026-01-31,21:30,Saturday,Chawri Bazar,Yellow Line,67,57,10,G-05,0,0,Foggy
2026-01-28,11:45,Wednesday,Kohat Enclave,Red Line,113,98,15,G-01,0,0,Rainy
2026-02-19,22:00,Thursday,Udyog Bhawan,Yellow Line,25,24,1,G-01,0,0,Rainy
2026-02-27,16:45,Friday,Ashok Park Main,Green Line,101,82,19,G-04,0,0,Foggy
2026-02-18,14:30,Wednesday,Bata Chowk,Violet Line,28,30,-2,G-07,0,0,Foggy
2026-02-13,10:00,Friday,Raja Nahar Singh,Violet Line,141,135,6,G-07,1,0,Foggy
2026-02-26,18:45,Thursday,Delhi Gate,Violet Line,21,16,5,G-07,1,1,Foggy
2026-01-05,13:15,Monday,Tughlakabad,Violet Line,81,77,4,G-04,0,0,Clear
2026-01-03,22:15,Saturday,Rajendra Place,Blue Line,33,25,8,G-01,0,0,Rainy
2026-01-15,17:45,Thursday,Model Town,Yellow Line,313,295,18,G-04,1,0,Smoggy
2026-01-14,07:30,Wednesday,Moti Nagar,Blue Line,94,104,-10,G-02,0,0,Cloudy
2026-01-07,08:45,Wednesday,Nangloi,Green Line,173,153,20,G-05,1,0,Foggy
2026-01-14,07:00,Wednesday,Jangpura,Violet Line,67,77,-10,G-06,0,0,Cloudy
2026-02-01,12:30,Sunday,Patel Chowk,Yellow Line,29,28,1,G-01,0,1,Clear
2026-01-19,08:15,Monday,Shahdara,Red Line,263,222,41,G-02,1,0,Smoggy
2026-01-28,16:30,Wednesday,Dwarka,Blue Line,66,65,1,G-04,0,0,Clear
2026-01-12,15:30,Monday,Rohini Sector 18,Yellow Line,15,16,-1,G-03,0,0,Clear
2026-02-04,08:15,Wednesday,Patel Chowk,Yellow Line,283,309,-26,G-03,1,0,Rainy
2026-02-21,14:30,Saturday,Nangloi Railway Station,Green Line,35,30,5,G-01,0,0,Clear
2026-01-19,10:00,Monday,Sikanderpur,Yellow Line,536,482,54,G-07,1,0,Foggy
2026-01-18,22:45,Sunday,Nehru Place,Violet Line,85,84,1,G-02,0,1,Clear
2026-01-18,19:45,Sunday,Shastri Park,Red Line,23,35,-12,G-07,1,1,Foggy
2026-01-21,16:45,Wednesday,HUDA City Centre,Yellow Line,187,182,5,G-02,0,0,Foggy
2026-02-18,06:45,Wednesday,Ghitorni,Yellow Line,29,28,1,G-01,0,0,Cloudy
2026-01-24,09:45,Saturday,Nangloi,Green Line,144,107,37,G-03,1,0,Cloudy
2026-02-10,23:15,Tuesday,Dwarka Sector 8,Blue Line,37,30,7,G-04,0,0,Cloudy
2026-02-03,17:15,Tuesday,Badarpur Border,Violet Line,183,166,17,G-04,1,0,Smoggy
2026-02-17,17:30,Tuesday,Kohat Enclave,Red Line,129,105,24,G-02,1,0,Foggy
2026-01-01,09:45,Thursday,Shahdara,Red Line,216,216,0,G-06,1,0,Foggy
2026-02-09,16:15,Monday,MG Road,Yellow Line,85,98,-13,G-07,0,0,Foggy
2026-02-16,09:30,Monday,Sarita Vihar,Violet Line,322,304,18,G-02,1,0,Clear
2026-01-13,16:30,Tuesday,Green Park,Yellow Line,80,85,-5,G-04,0,0,Smoggy
2026-02-19,19:45,Thursday,Saket,Yellow Line,241,241,0,G-04,1,0,Cloudy
2026-02-17,10:15,Tuesday,Dwarka Sector 21,Blue Line,368,394,-26,G-06,1,0,Clear
2026-02-01,18:45,Sunday,AIIMS,Yellow Line,33,28,5,G-01,1,1,Foggy
2026-01-19,18:00,Monday,Lajpat Nagar,Violet Line,426,444,-18,G-03,1,0,Smoggy
2026-01-12,08:30,Monday,Adarsh Nagar,Yellow Line,186,133,53,G-07,1,0,Clear
2026-02-15,05:00,Sunday,Mewala Maharajpur,Violet Line,27,21,6,G-04,0,1,Smoggy
2026-02-25,11:15,Wednesday,Rajouri Garden,Blue Line,203,180,23,G-05,0,0,Rainy
2026-02-18,19:00,Wednesday,Brigadier Hoshiar Singh,Green Line,205,153,52,G-04,1,0,Cloudy
2026-01-02,16:15,Friday,ITO,Violet Line,64,75,-11,G-05,0,0,Foggy
2026-02-22,10:45,Sunday,Race Course,Yellow Line,27,19,8,G-04,1,1,Cloudy
2026-02-15,11:45,Sunday,Chandni Chowk,Yellow Line,130,113,17,G-02,0,1,Foggy
2026-01-26,15:30,Monday,AIIMS,Yellow Line,44,33,11,G-01,0,1,Cloudy
2026-01-10,13:30,Saturday,IFFCO Chowk,Yellow Line,89,97,-8,G-05,0,0,Rainy
2026-01-24,16:45,Saturday,Azadpur,Yellow Line,373,394,-21,G-02,0,0,Cloudy
2026-01-07,14:45,Wednesday,Uttam Nagar East,Blue Line,25,25,0,G-01,0,0,Clear
2026-02-07,22:30,Saturday,Jahangirpuri,Yellow Line,42,48,-6,G-05,0,0,Smoggy
2026-02-21,05:30,Saturday,Shivaji Park,Green Line,49,46,3,G-05,0,0,Clear
2026-01-02,08:30,Friday,Civil Lines,Yellow Line,218,202,16,G-03,1,0,Clear
2026-02-02,11:15,Monday,Shastri Park,Red Line,93,96,-3,G-04,0,0,Rainy
2026-01-31,10:15,Saturday,Jahangirpuri,Yellow Line,232,207,25,G-06,1,0,Clear
2026-01-18,10:45,Sunday,Central Secretariat,Yellow Line,68,60,8,G-03,1,1,Cloudy
2026-02-08,06:15,Sunday,Pragati Maidan,Blue Line,35,49,-14,G-05,0,1,Cloudy
2026-02-04,07:30,Wednesday,Dwarka,Blue Line,133,148,-15,G-05,0,0,Clear
2026-02-15,11:00,Sunday,Udyog Bhawan,Yellow Line,44,47,-3,G-05,0,1,Clear
2026-02-11,14:45,Wednesday,Chandni Chowk,Yellow Line,91,79,12,G-01,0,0,Cloudy
2026-01-03,18:00,Saturday,Moolchand,Violet Line,136,138,-2,G-04,1,0,Clear
2026-01-24,14:15,Saturday,Vishwavidyalaya,Yellow Line,91,105,-14,G-06,0,0,Foggy
2026-02-04,11:15,Wednesday,Chandni Chowk,Yellow Line,240,306,-66,G-05,0,0,Cloudy
2026-01-07,14:15,Wednesday,Jahangirpuri,Yellow Line,26,27,-1,G-06,0,0,Cloudy
2026-01-10,13:15,Saturday,Arjan Garh,Yellow Line,167,131,36,G-03,0,0,Cloudy
2026-01-31,14:15,Saturday,Sarita Vihar,Violet Line,33,39,-6,G-05,0,0,Clear
2026-01-21,16:30,Wednesday,New Delhi,Yellow Line,401,335,66,G-04,0,0,Smoggy
2026-01-18,09:15,Sunday,Neelam Chowk Ajronda,Violet Line,45,45,0,G-02,1,1,Clear
2026-01-02,17:30,Friday,Shahdara,Red Line,148,177,-29,G-06,1,0,Clear
2026-02-08,11:00,Sunday,Tughlakabad,Violet Line,35,35,0,G-04,0,1,Foggy
2026-01-26,08:00,Monday,Dwarka Sector 21,Blue Line,61,46,15,G-07,1,1,Cloudy
2026-01-22,11:30,Thursday,Pratap Nagar,Red Line,70,64,6,G-04,0,0,Foggy
2026-01-26,22:00,Monday,Escorts Mujesar,Violet Line,21,19,2,G-07,0,1,Clear
2026-02-27,10:45,Friday,NHPC Chowk,Violet Line,345,273,72,G-02,1,0,Clear
2026-02-23,17:30,Monday,Sikanderpur,Yellow Line,364,348,16,G-03,1,0,Foggy
2026-02-28,19:00,Saturday,Jangpura,Violet Line,243,215,28,G-02,1,0,Clear
2026-01-27,05:45,Tuesday,Sultanpur,Yellow Line,52,43,9,G-04,0,0,Foggy
2026-01-10,11:30,Saturday,Sultanpur,Yellow Line,107,117,-10,G-04,0,0,Foggy
2026-02-18,17:45,Wednesday,Rajouri Garden,Blue Line,449,391,58,G-02,1,0,Rainy
2026-01-20,07:00,Tuesday,Khan Market,Violet Line,92,90,2,G-02,0,0,Clear
2026-01-05,19:45,Monday,Inderlok,Red Line,99,110,-11,G-02,1,0,Foggy
2026-01-18,22:30,Sunday,Malviya Nagar,Yellow Line,40,43,-3,G-05,0,1,Cloudy
2026-02-28,08:45,Saturday,Janakpuri West,Blue Line,385,313,72,G-01,1,0,Cloudy
2026-02-28,16:15,Saturday,Neelam Chowk Ajronda,Violet Line,66,49,17,G-05,0,0,Clear
2026-01-18,23:00,Sunday,Madipur,Green Line,28,19,9,G-05,0,1,Foggy
2026-02-08,05:15,Sunday,Sarita Vihar,Violet Line,33,36,-3,G-03,0,1,Foggy
2026-02-04,07:00,Wednesday,Central Secretariat,Yellow Line,326,307,19,G-01,0,0,Cloudy
2026-02-09,17:45,Monday,Rajiv Chowk,Blue Line,586,621,-35,G-01,1,0,Rainy
2026-02-04,07:15,Wednesday,Madipur,Green Line,114,107,7,G-02,0,0,Foggy
2026-02-26,06:00,Thursday,Pratap Nagar,Red Line,35,40,-5,G-07,0,1,Foggy
2026-01-19,21:30,Monday,Sultanpur,Yellow Line,24,21,3,G-01,0,0,Foggy
2026-02-10,17:15,Tuesday,HUDA City Centre,Yellow Line,532,491,41,G-07,1,0,Foggy
2026-02-03,19:30,Tuesday,Hauz Khas,Yellow Line,447,571,-124,G-02,1,0,Foggy
2026-01-01,11:30,Thursday,Qutab Minar,Yellow Line,56,48,8,G-05,0,0,Foggy
2026-02-12,18:00,Thursday,Mewala Maharajpur,Violet Line,105,88,17,G-01,1,0,Foggy
2026-02-08,14:00,Sunday,Vishwavidyalaya,Yellow Line,66,60,6,G-07,0,1,Cloudy
2026-02-22,12:00,Sunday,Mundka,Green Line,28,27,1,G-03,0,1,Clear
2026-02-12,18:30,Thursday,Arjan Garh,Yellow Line,257,233,24,G-06,1,0,Foggy
2026-02-14,17:15,Saturday,Rajendra Place,Blue Line,99,109,-10,G-06,1,0,Clear
2026-01-23,19:15,Friday,Saket,Yellow Line,135,152,-17,G-07,1,0,Cloudy
2026-01-15,15:00,Thursday,Jahangirpuri,Yellow Line,22,17,5,G-05,0,0,Foggy
2026-02-08,08:15,Sunday,Nangloi Railway Station,Green Line,39,40,-1,G-04,1,1,Clear
2026-01-20,19:45,Tuesday,INA,Yellow Line,99,111,-12,G-04,1,0,Clear
2026-01-22,10:45,Thursday,MG Road,Yellow Line,287,298,-11,G-03,1,0,Clear
2026-02-22,06:45,Sunday,Brigadier Hoshiar Singh,Green Line,24,22,2,G-06,0,1,Clear
2026-01-29,14:00,Thursday,Noida Sector 16,Blue Line,50,55,-5,G-06,0,0,Foggy
2026-02-21,11:30,Saturday,Shivaji Park,Green Line,69,53,16,G-07,0,0,Cloudy
2026-01-06,17:30,Tuesday,Mundka,Green Line,158,136,22,G-06,1,0,Clear
2026-01-25,12:15,Sunday,Rajdhani Park,Green Line,36,35,1,G-03,0,1,Clear
2026-02-02,22:45,Monday,Kirti Nagar,Blue Line,28,34,-6,G-01,0,0,Smoggy
2026-02-15,10:00,Sunday,Pragati Maidan,Blue Line,24,19,5,G-07,1,1,Smoggy
2026-02-05,11:30,Thursday,Guru Dronacharya,Yellow Line,90,87,3,G-03,0,0,Clear
2026-01-07,17:45,Wednesday,Vishwavidyalaya,Yellow Line,378,413,-35,G-01,1,0,Cloudy
2026-02-08,09:00,Sunday,Kashmere Gate,Yellow Line,157,127,30,G-01,1,1,Cloudy
2026-01-21,07:00,Wednesday,Civil Lines,Yellow Line,132,127,5,G-04,0,0,Clear
2026-02-21,07:15,Saturday,Malviya Nagar,Yellow Line,93,89,4,G-05,0,0,Smoggy
2026-01-13,07:15,Tuesday,Malviya Nagar,Yellow Line,113,95,18,G-05,0,0,Clear
2026-01-15,09:45,Thursday,Civil Lines,Yellow Line,131,170,-39,G-03,1,0,Clear
2026-01-16,05:15,Friday,Jor Bagh,Yellow Line,33,30,3,G-05,0,0,Foggy
2026-02-06,18:15,Friday,Adarsh Nagar,Yellow Line,176,190,-14,G-03,1,0,Cloudy
2026-02-02,05:00,Monday,Rajouri Garden,Blue Line,67,68,-1,G-04,0,0,Clear
2026-02-28,19:15,Saturday,Netaji Subhash Place,Red Line,101,133,-32,G-01,1,0,Foggy
2026-01-07,20:15,Wednesday,Punjabi Bagh,Green Line,74,69,5,G-03,0,0,Foggy
