date,time,day,train_id,line,station,coach_number,capacity,passenger_count,occupancy_percent,crowd_level,is_peak_hour,is_holiday,weather
2026-02-03,07:50,Tuesday,DMT-G011,Yellow Line,Ghitorni,4,350,210,60.2,Medium,0,0,Foggy
2026-02-05,08:10,Thursday,DMT-Y022,Blue Line,Dwarka Sector 8,6,320,328,102.7,Overcrowded,1,0,Cloudy
2026-01-03,11:15,Saturday,DMT-R024,Green Line,Punjabi Bagh,2,320,194,60.9,Medium,0,0,Foggy
2026-02-26,14:00,Thursday,DMT-B013,Blue Line,Janakpuri West,2,320,65,20.4,Low,0,1,Clear
2026-02-13,13:40,Friday,DMT-R013,Yellow Line,Qutab Minar,2,300,142,47.6,Low,0,0,Foggy
2026-01-17,08:10,Saturday,DMT-V011,Violet Line,Jasola Apollo,6,350,255,73.1,Medium,1,0,Foggy
2026-02-05,07:15,Thursday,DMT-G007,Violet Line,Sarita Vihar,6,300,100,33.5,Low,0,0,Smoggy
2026-02-16,17:40,Monday,DMT-Y014,Yellow Line,Udyog Bhawan,2,300,205,68.4,Medium,1,0,Foggy
2026-02-25,23:15,Wednesday,DMT-R025,Red Line,Shastri Park,7,300,79,26.6,Low,0,0,Smoggy
2026-01-08,20:00,Thursday,DMT-Y022,Violet Line,Govindpuri,5,320,264,82.8,High,0,0,Foggy
2026-02-20,11:20,Friday,DMT-B025,Blue Line,Dwarka Sector 21,6,340,186,54.8,Medium,0,0,Rainy
2026-02-22,21:55,Sunday,DMT-R013,Violet Line,Badkhal Mor,4,350,68,19.6,Low,0,1,Cloudy
2026-01-05,13:30,Monday,DMT-V013,Yellow Line,Chandni Chowk,4,340,278,82.0,High,0,0,Clear
2026-02-23,15:10,Monday,DMT-Y010,Green Line,Paschim Vihar East,5,340,87,25.9,Low,0,0,Clear
2026-02-25,20:40,Wednesday,DMT-Y020,Yellow Line,Kashmere Gate,6,340,146,43.0,Low,0,0,Clear
2026-02-06,22:15,Friday,DMT-B025,Yellow Line,Chawri Bazar,2,300,63,21.1,Low,0,0,Rainy
2026-01-16,10:15,Friday,DMT-B021,Violet Line,Badarpur Border,5,350,252,72.3,Medium,1,0,Foggy
2026-01-08,14:50,Thursday,DMT-R025,Green Line,Mundka,7,350,26,7.5,Low,0,0,Cloudy
2026-02-28,10:15,Saturday,DMT-G008,Violet Line,Mandi House,3,340,253,74.6,Medium,1,0,Foggy
2026-02-20,23:50,Friday,DMT-G018,Yellow Line,Saket,7,300,29,9.9,Low,0,0,Clear
2026-01-02,13:55,Friday,DMT-G013,Red Line,Rohini West,4,340,178,52.5,Medium,0,0,Clear
2026-01-27,08:05,Tuesday,DMT-V018,Violet Line,Badkhal Mor,8,320,240,75.1,Medium,1,0,Foggy
2026-02-25,09:35,Wednesday,DMT-V013,Blue Line,Kirti Nagar,2,320,384,120.0,Overcrowded,1,0,Cloudy
2026-02-18,08:05,Wednesday,DMT-R016,Violet Line,Kalkaji Mandir,8,300,346,115.4,Overcrowded,1,0,Cloudy
2026-01-25,05:45,Sunday,DMT-R001,Green Line,Paschim Vihar West,5,350,76,21.7,Low,0,1,Foggy
2026-02-14,21:15,Saturday,DMT-G022,Green Line,Brigadier Hoshiar Singh,2,320,29,9.1,Low,0,0,Cloudy
2026-01-04,12:20,Sunday,DMT-Y011,Yellow Line,AIIMS,6,350,66,19.1,Low,0,1,Foggy
2026-02-10,19:25,Tuesday,DMT-V014,Red Line,Rohini West,2,320,384,120.0,Overcrowded,1,0,Foggy
2026-01-26,20:05,Monday,DMT-B021,Blue Line,Noida City Centre,1,340,48,14.3,Low,0,1,Clear
2026-01-10,15:00,Saturday,DMT-V012,Yellow Line,Hauz Khas,3,320,58,18.3,Low,0,0,Cloudy
2026-01-24,13:25,Saturday,DMT-R016,Yellow Line,Qutab Minar,8,350,199,56.9,Medium,0,0,Foggy
2026-01-27,05:20,Tuesday,DMT-B014,Red Line,Rohini East,6,350,45,13.0,Low,0,0,Foggy
2026-01-15,06:40,Thursday,DMT-Y010,Blue Line,Karol Bagh,2,350,61,17.5,Low,0,0,Clear
2026-02-02,18:35,Monday,DMT-B001,Green Line,Brigadier Hoshiar Singh,1,340,356,104.9,Overcrowded,1,0,Smoggy
2026-01-06,17:20,Tuesday,DMT-R010,Yellow Line,Chandni Chowk,7,300,215,72.0,Medium,1,0,Smoggy
2026-01-15,19:05,Thursday,DMT-B013,Green Line,Nangloi,2,320,193,60.3,Medium,1,0,Smoggy
2026-02-19,15:15,Thursday,DMT-Y024,Blue Line,Rajiv Chowk,3,320,43,13.5,Low,0,0,Smoggy
2026-02-22,20:25,Sunday,DMT-B004,Red Line,Kohat Enclave,3,300,72,24.3,Low,0,1,Smoggy
2026-02-27,09:50,Friday,DMT-V012,Yellow Line,Race Course,2,340,361,106.2,Overcrowded,1,0,Foggy
2026-01-13,20:35,Tuesday,DMT-R019,Blue Line,Noida Sector 15,6,320,193,60.3,Medium,0,0,Clear
2026-01-15,21:35,Thursday,DMT-Y016,Blue Line,Moti Nagar,4,340,80,23.7,Low,0,0,Foggy
2026-02-23,19:20,Monday,DMT-B006,Blue Line,Mandi House,3,350,290,83.0,High,1,0,Cloudy
2026-01-25,21:20,Sunday,DMT-B011,Red Line,Seelampur,4,350,66,19.1,Low,0,1,Foggy
2026-01-19,11:45,Monday,DMT-R022,Yellow Line,IFFCO Chowk,3,350,176,50.3,Medium,0,0,Smoggy
2026-02-19,13:00,Thursday,DMT-R020,Blue Line,Kirti Nagar,1,300,80,27.0,Low,0,0,Foggy
2026-01-14,10:55,Wednesday,DMT-B018,Yellow Line,Sultanpur,4,340,368,108.3,Overcrowded,1,0,Smoggy
2026-01-27,19:40,Tuesday,DMT-V003,Blue Line,Rajendra Place,3,300,289,96.6,High,1,0,Smoggy
2026-02-21,07:00,Saturday,DMT-G009,Green Line,Kirti Nagar,3,300,170,56.8,Medium,0,0,Clear
2026-01-08,16:50,Thursday,DMT-V011,Yellow Line,Chandni Chowk,1,350,211,60.5,Medium,0,0,Smoggy
2026-01-02,15:00,Friday,DMT-Y019,Violet Line,NHPC Chowk,4,320,30,9.5,Low,0,0,Foggy
2026-02-01,06:50,Sunday,DMT-Y011,Blue Line,Karol Bagh,5,350,61,17.5,Low,0,1,Cloudy
2026-01-26,06:20,Monday,DMT-Y003,Green Line,Satguru Ram Singh Marg,1,350,51,14.8,Low,0,1,Smoggy
2026-02-27,16:55,Friday,DMT-V016,Red Line,Rohini East,7,300,149,49.8,Low,0,0,Clear
2026-01-12,21:50,Monday,DMT-Y012,Violet Line,Delhi Gate,5,350,43,12.5,Low,0,0,Cloudy
2026-02-20,17:50,Friday,DMT-V025,Green Line,Mundka,7,300,341,114.0,Overcrowded,1,0,Rainy
2026-02-28,18:25,Saturday,DMT-G024,Red Line,Netaji Subhash Place,3,320,275,86.1,High,1,0,Foggy
2026-01-24,20:25,Saturday,DMT-R015,Green Line,Brigadier Hoshiar Singh,2,300,86,28.9,Low,0,0,Foggy
2026-01-14,22:25,Wednesday,DMT-R014,Red Line,Rohini East,5,320,80,25.2,Low,0,0,Smoggy
2026-02-07,10:45,Saturday,DMT-G004,Green Line,Paschim Vihar East,4,340,260,76.7,Medium,1,0,Cloudy
2026-01-02,05:25,Friday,DMT-G006,Red Line,Rohini West,4,340,93,27.5,Low,0,0,Foggy
2026-02-07,23:40,Saturday,DMT-R021,Blue Line,Noida City Centre,5,300,49,16.4,Low,0,0,Clear
2026-02-08,08:10,Sunday,DMT-V003,Green Line,Satguru Ram Singh Marg,4,300,68,22.9,Low,1,1,Cloudy
2026-02-04,05:25,Wednesday,DMT-V015,Red Line,Tis Hazari,7,300,24,8.3,Low,0,0,Rainy
2026-02-17,23:50,Tuesday,DMT-G001,Green Line,Ashok Park Main,2,340,87,25.6,Low,0,0,Foggy
2026-01-20,16:45,Tuesday,DMT-R010,Blue Line,Indraprastha,7,320,187,58.7,Medium,0,0,Smoggy
2026-02-28,21:35,Saturday,DMT-B017,Yellow Line,Azadpur,6,300,55,18.4,Low,0,0,Foggy
2026-02-28,07:25,Saturday,DMT-V016,Blue Line,Moti Nagar,5,320,124,39.0,Low,0,0,Cloudy
2026-02-18,08:00,Wednesday,DMT-V022,Blue Line,Pragati Maidan,1,340,352,103.7,Overcrowded,1,0,Smoggy
2026-01-30,16:05,Friday,DMT-Y013,Red Line,Welcome,6,340,169,49.9,Low,0,0,Rainy
2026-01-31,07:35,Saturday,DMT-Y016,Violet Line,Kailash Colony,4,340,149,43.9,Low,0,0,Cloudy
2026-01-21,10:10,Wednesday,DMT-G005,Violet Line,Badkhal Mor,6,300,200,66.7,Medium,1,0,Clear
2026-01-02,10:05,Friday,DMT-V005,Violet Line,Sarai,4,300,184,61.6,Medium,1,0,Rainy
2026-01-14,23:05,Wednesday,DMT-B002,Blue Line,Barakhamba Road,3,320,70,22.1,Low,0,0,Cloudy
2026-01-24,13:15,Saturday,DMT-B022,Yellow Line,INA,6,320,209,65.4,Medium,0,0,Cloudy
2026-02-25,09:20,Wednesday,DMT-V022,Red Line,Inderlok,1,340,289,85.3,High,1,0,Clear
2026-01-23,12:55,Friday,DMT-V019,Green Line,Ashok Park Main,2,350,164,47.0,Low,0,0,Foggy
2026-01-01,11:55,Thursday,DMT-Y002,Green Line,Nangloi,2,340,174,51.5,Medium,0,0,Cloudy
2026-02-03,12:55,Tuesday,DMT-R017,Yellow Line,Hauz Khas,4,350,137,39.2,Low,0,0,Smoggy
2026-02-18,15:00,Wednesday,DMT-B021,Green Line,Brigadier Hoshiar Singh,3,300,48,16.2,Low,0,0,Rainy
2026-01-04,11:35,Sunday,DMT-G019,Blue Line,Pragati Maidan,5,300,39,13.0,Low,0,1,Cloudy
2026-01-23,05:55,Friday,DMT-V014,Blue Line,Dwarka Sector 8,8,320,121,37.9,Low,0,0,Cloudy
2026-01-21,06:40,Wednesday,DMT-V024,Violet Line,Tughlakabad,1,340,66,19.5,Low,0,0,Smoggy
2026-02-10,09:05,Tuesday,DMT-Y003,Green Line,Kirti Nagar,3,340,401,118.1,Overcrowded,1,0,Foggy
2026-02-22,14:40,Sunday,DMT-Y024,Blue Line,Mandi House,2,340,55,16.5,Low,0,1,Cloudy
2026-02-01,10:20,Sunday,DMT-Y004,Yellow Line,Sultanpur,5,320,34,10.9,Low,1,1,Foggy
2026-02-12,09:45,Thursday,DMT-Y006,Red Line,Kohat Enclave,7,350,420,120.0,Overcrowded,1,0,Foggy
2026-02-11,14:55,Wednesday,DMT-R006,Violet Line,Mandi House,7,350,54,15.5,Low,0,0,Clear
2026-01-26,09:10,Monday,DMT-V013,Red Line,Pulbangash,1,300,54,18.2,Low,1,1,Foggy
2026-01-26,14:45,Monday,DMT-R002,Yellow Line,Rohini Sector 18,3,320,50,15.7,Low,0,1,Rainy
2026-02-01,06:15,Sunday,DMT-R016,Green Line,Brigadier Hoshiar Singh,6,340,57,17.0,Low,0,1,Smoggy
2026-02-02,16:55,Monday,DMT-R011,Green Line,Punjabi Bagh,6,300,117,39.2,Low,0,0,Clear
2026-01-05,17:35,Monday,DMT-G018,Violet Line,Lal Quila,4,350,420,120.0,Overcrowded,1,0,Cloudy
2026-01-19,22:50,Monday,DMT-Y002,Red Line,Tis Hazari,3,320,66,20.8,Low,0,0,Smoggy
2026-02-16,08:10,Monday,DMT-B021,Blue Line,Janakpuri West,1,300,219,73.1,Medium,1,0,Foggy
2026-02-27,21:15,Friday,DMT-G015,Green Line,Madipur,5,300,32,10.7,Low,0,0,Foggy
2026-01-29,20:45,Thursday,DMT-G014,Blue Line,Dwarka Sector 8,8,340,147,43.2,Low,0,0,Foggy
2026-01-19,22:05,Monday,DMT-G001,Green Line,Rajdhani Park,8,300,21,7.0,Low,0,0,Foggy
2026-01-01,13:40,Thursday,DMT-V016,Violet Line,Khan Market,1,300,104,34.8,Low,0,0,Rainy
2026-02-25,13:55,Wednesday,DMT-B021,Violet Line,Badarpur Border,3,340,226,66.7,Medium,0,0,Foggy
2026-01-16,14:35,Friday,DMT-G012,Violet Line,Escorts Mujesar,5,340,59,17.4,Low,0,0,Clear
2026-02-14,09:15,Saturday,DMT-Y012,Yellow Line,HUDA City Centre,5,320,288,90.2,High,1,0,Foggy
2026-01-30,18:40,Friday,DMT-Y017,Violet Line,Raja Nahar Singh,8,350,391,111.8,Overcrowded,1,0,Clear
2026-02-08,12:45,Sunday,DMT-V004,Green Line,Mundka,4,320,66,20.8,Low,0,1,Cloudy
2026-02-25,17:50,Wednesday,DMT-Y006,Green Line,Peeragarhi,1,320,384,120.0,Overcrowded,1,0,Clear
2026-01-05,07:30,Monday,DMT-G011,Blue Line,Mandi House,7,340,158,46.7,Low,0,0,Clear
2026-01-09,11:35,Friday,DMT-V001,Yellow Line,GTB Nagar,7,340,255,75.1,Medium,0,0,Cloudy
2026-02-03,22:55,Tuesday,DMT-B009,Violet Line,Nehru Place,5,340,37,11.1,Low,0,0,Foggy
2026-01-04,09:55,Sunday,DMT-Y018,Red Line,Rohini West,6,300,49,16.5,Low,1,1,Cloudy
2026-02-25,15:45,Wednesday,DMT-G021,Violet Line,NHPC Chowk,8,340,56,16.6,Low,0,0,Foggy
2026-02-17,06:50,Tuesday,DMT-B021,Yellow Line,Chandni Chowk,5,320,35,11.2,Low,0,0,Foggy
2026-02-04,17:15,Wednesday,DMT-R012,Yellow Line,New Delhi,7,320,384,120.0,Overcrowded,1,0,Cloudy
2026-02-27,20:10,Friday,DMT-V011,Yellow Line,Saket,1,320,243,76.0,Medium,0,0,Clear
2026-01-27,23:50,Tuesday,DMT-R006,Blue Line,Dwarka Sector 21,4,350,41,11.9,Low,0,0,Smoggy
2026-02-27,16:20,Friday,DMT-Y015,Green Line,Nangloi,1,350,181,51.8,Medium,0,0,Clear
2026-01-25,14:35,Sunday,DMT-V013,Violet Line,Khan Market,2,320,48,15.1,Low,0,1,Rainy
2026-02-24,20:55,Tuesday,DMT-B025,Yellow Line,Sultanpur,2,350,94,27.0,Low,0,0,Foggy
2026-01-27,11:30,Tuesday,DMT-B009,Red Line,Rohini East,8,300,164,54.9,Medium,0,0,Foggy
2026-02-18,23:50,Wednesday,DMT-R001,Yellow Line,Ghitorni,5,350,92,26.4,Low,0,0,Foggy
2026-02-18,09:55,Wednesday,DMT-R005,Red Line,Pitampura,6,350,356,101.8,Overcrowded,1,0,Foggy
2026-02-01,09:20,Sunday,DMT-G004,Blue Line,Noida City Centre,5,350,35,10.3,Low,1,1,Cloudy
2026-01-18,13:15,Sunday,DMT-R010,Yellow Line,MG Road,2,340,69,20.5,Low,0,1,Rainy
2026-02-25,12:40,Wednesday,DMT-V022,Green Line,Ashok Park Main,3,340,252,74.4,Medium,0,0,Clear
2026-01-30,10:05,Friday,DMT-R017,Green Line,Satguru Ram Singh Marg,6,340,215,63.5,Medium,1,0,Rainy
2026-01-23,05:45,Friday,DMT-R022,Red Line,Dilshad Garden,2,320,102,32.0,Low,0,0,Cloudy
2026-02-09,07:50,Monday,DMT-Y023,Green Line,Kirti Nagar,2,340,107,31.6,Low,0,0,Clear
2026-02-13,20:25,Friday,DMT-V022,Red Line,Seelampur,1,300,143,47.9,Low,0,0,Foggy
2026-02-12,17:00,Thursday,DMT-G020,Green Line,Punjabi Bagh,6,320,250,78.4,Medium,1,0,Clear
2026-01-06,14:10,Tuesday,DMT-Y003,Red Line,Dilshad Garden,3,300,60,20.3,Low,0,0,Cloudy
2026-02-03,13:05,Tuesday,DMT-G007,Violet Line,Mewala Maharajpur,3,340,93,27.5,Low,0,0,Smoggy
2026-02-13,09:00,Friday,DMT-Y019,Green Line,Kirti Nagar,3,350,420,120.0,Overcrowded,1,0,Cloudy
2026-02-01,19:45,Sunday,DMT-Y025,Yellow Line,INA,6,320,43,13.6,Low,1,1,Cloudy
2026-01-25,19:25,Sunday,DMT-Y006,Red Line,Rohini West,2,300,45,15.2,Low,1,1,Cloudy
2026-02-08,10:20,Sunday,DMT-G010,Yellow Line,Civil Lines,7,340,40,12.0,Low,1,1,Clear
2026-01-04,15:00,Sunday,DMT-Y013,Red Line,Rohini East,1,340,82,24.3,Low,0,1,Cloudy
2026-01-13,08:05,Tuesday,DMT-B021,Red Line,Dilshad Garden,6,320,245,76.8,Medium,1,0,Foggy
2026-01-13,14:45,Tuesday,DMT-V006,Red Line,Pulbangash,3,320,96,30.1,Low,0,0,Smoggy
2026-02-04,09:10,Wednesday,DMT-Y016,Red Line,Kashmere Gate,3,320,282,88.2,High,1,0,Foggy
2026-01-25,12:25,Sunday,DMT-V008,Red Line,Rohini West,3,300,63,21.1,Low,0,1,Cloudy
2026-01-27,05:55,Tuesday,DMT-Y008,Violet Line,Jangpura,7,340,59,17.4,Low,0,0,Clear
2026-01-29,22:20,Thursday,DMT-G001,Yellow Line,Vishwavidyalaya,1,350,37,10.8,Low,0,0,Cloudy
2026-02-12,14:00,Thursday,DMT-V025,Blue Line,Mandi House,4,350,49,14.0,Low,0,0,Foggy
2026-01-24,14:45,Saturday,DMT-R001,Green Line,Brigadier Hoshiar Singh,1,320,88,27.6,Low,0,0,Cloudy
2026-01-15,08:05,Thursday,DMT-G021,Yellow Line,Sultanpur,8,320,333,104.1,Overcrowded,1,0,Clear
2026-02-03,10:05,Tuesday,DMT-B013,Violet Line,Lal Quila,5,300,188,62.8,Medium,1,0,Cloudy
2026-02-13,06:40,Friday,DMT-B020,Yellow Line,Sultanpur,8,340,44,13.1,Low,0,0,Clear
2026-01-09,09:05,Friday,DMT-G008,Green Line,Nangloi Railway Station,1,320,318,99.6,High,1,0,Foggy
2026-02-16,10:20,Monday,DMT-G020,Yellow Line,Hauz Khas,2,350,239,68.4,Medium,1,0,Foggy
2026-02-23,20:15,Monday,DMT-B002,Yellow Line,Vishwavidyalaya,2,340,229,67.4,Medium,0,0,Foggy
2026-01-11,15:00,Sunday,DMT-R006,Red Line,Shastri Nagar,4,340,65,19.3,Low,0,1,Clear
2026-01-07,23:05,Wednesday,DMT-B006,Blue Line,Moti Nagar,5,300,91,30.5,Low,0,0,Clear
2026-02-25,11:30,Wednesday,DMT-B016,Yellow Line,Saket,8,300,141,47.1,Low,0,0,Clear
2026-01-17,20:00,Saturday,DMT-Y021,Blue Line,Dwarka Sector 8,6,350,217,62.1,Medium,0,0,Foggy
2026-01-28,17:25,Wednesday,DMT-B004,Red Line,Pulbangash,6,350,257,73.6,Medium,1,0,Foggy
2026-01-22,14:40,Thursday,DMT-Y003,Yellow Line,Kashmere Gate,3,340,87,25.6,Low,0,0,Clear
2026-02-18,16:15,Wednesday,DMT-B024,Green Line,Ashok Park Main,7,320,173,54.1,Medium,0,0,Foggy
2026-01-03,18:25,Saturday,DMT-B004,Violet Line,Escorts Mujesar,6,350,258,73.7,Medium,1,0,Cloudy
2026-01-16,15:40,Friday,DMT-R016,Red Line,Kohat Enclave,2,340,41,12.2,Low,0,0,Clear
2026-02-26,08:15,Thursday,DMT-Y023,Blue Line,Moti Nagar,7,350,57,16.3,Low,1,1,Foggy
2026-02-12,13:00,Thursday,DMT-Y006,Blue Line,Karol Bagh,8,350,137,39.4,Low,0,0,Clear
2026-01-01,16:45,Thursday,DMT-B020,Blue Line,Barakhamba Road,4,340,248,73.1,Medium,0,0,Foggy
2026-01-05,16:00,Monday,DMT-V012,Yellow Line,Rajiv Chowk,3,300,103,34.6,Low,0,0,Cloudy
2026-02-23,08:50,Monday,DMT-V024,Violet Line,Kailash Colony,4,340,241,71.0,Medium,1,0,Smoggy
2026-02-25,14:45,Wednesday,DMT-B020,Yellow Line,INA,7,340,62,18.3,Low,0,0,Smoggy
2026-01-11,14:00,Sunday,DMT-R011,Violet Line,Central Secretariat,2,320,43,13.4,Low,0,1,Foggy
2026-01-22,21:15,Thursday,DMT-B023,Green Line,Brigadier Hoshiar Singh,7,340,68,20.2,Low,0,0,Clear
2026-01-29,18:20,Thursday,DMT-G010,Blue Line,Dwarka Sector 8,2,320,336,105.1,Overcrowded,1,0,Foggy
2026-02-24,19:25,Tuesday,DMT-R004,Yellow Line,Chawri Bazar,8,320,176,55.3,Medium,1,0,Rainy
2026-01-29,14:35,Thursday,DMT-R006,Violet Line,Old Faridabad,3,340,88,26.1,Low,0,0,Foggy
2026-01-16,23:00,Friday,DMT-V004,Violet Line,Jasola Apollo,7,350,59,16.9,Low,0,0,Clear
2026-02-14,08:25,Saturday,DMT-Y021,Red Line,Netaji Subhash Place,1,320,254,79.6,Medium,1,0,Clear
2026-01-05,09:40,Monday,DMT-G002,Yellow Line,IFFCO Chowk,5,350,374,106.9,Overcrowded,1,0,Foggy
2026-02-14,15:10,Saturday,DMT-R007,Red Line,Kashmere Gate,7,300,117,39.3,Low,0,0,Clear
2026-02-07,14:15,Saturday,DMT-B006,Violet Line,Sector 28,7,320,81,25.5,Low,0,0,Clear
2026-02-09,10:35,Monday,DMT-B016,Blue Line,Indraprastha,5,320,271,84.7,High,1,0,Foggy
2026-02-03,18:10,Tuesday,DMT-Y005,Green Line,Maharaja Surajmal Stadium,1,350,420,120.0,Overcrowded,1,0,Foggy
2026-02-05,16:10,Thursday,DMT-V022,Yellow Line,IFFCO Chowk,3,350,201,57.6,Medium,0,0,Foggy
2026-01-01,07:45,Thursday,DMT-Y019,Red Line,Shastri Park,4,300,188,62.9,Medium,0,0,Clear
2026-01-04,09:45,Sunday,DMT-Y017,Yellow Line,Chandni Chowk,3,320,54,17.1,Low,1,1,Clear
2026-01-22,06:05,Thursday,DMT-G008,Green Line,Brigadier Hoshiar Singh,8,300,44,14.9,Low,0,0,Smoggy
2026-01-12,06:55,Monday,DMT-V005,Yellow Line,Sultanpur,8,350,69,19.8,Low,0,0,Clear
2026-01-01,20:35,Thursday,DMT-R003,Violet Line,Bata Chowk,4,320,213,66.7,Medium,0,0,Cloudy
2026-02-12,05:35,Thursday,DMT-R017,Yellow Line,GTB Nagar,3,320,64,20.1,Low,0,0,Cloudy
2026-02-09,06:40,Monday,DMT-V016,Yellow Line,INA,7,320,96,30.3,Low,0,0,Foggy
2026-01-24,06:15,Saturday,DMT-G023,Blue Line,Moti Nagar,6,350,63,18.0,Low,0,0,Foggy
2026-01-24,06:10,Saturday,DMT-Y007,Green Line,Satguru Ram Singh Marg,4,340,69,20.3,Low,0,0,Foggy
2026-02-22,10:00,Sunday,DMT-G018,Red Line,Kohat Enclave,3,300,72,24.2,Low,1,1,Foggy
2026-01-10,15:50,Saturday,DMT-R011,Violet Line,Jama Masjid,2,340,43,12.8,Low,0,0,Cloudy
2026-02-16,05:30,Monday,DMT-R018,Red Line,Pratap Nagar,8,340,65,19.4,Low,0,0,Foggy
2026-01-22,21:10,Thursday,DMT-G007,Blue Line,Rajouri Garden,8,300,30,10.3,Low,0,0,Clear
2026-02-25,21:40,Wednesday,DMT-G017,Yellow Line,INA,4,320,75,23.4,Low,0,0,Foggy
2026-01-24,09:50,Saturday,DMT-Y005,Violet Line,Sarita Vihar,1,300,176,58.7,Medium,1,0,Foggy
2026-02-16,12:25,Monday,DMT-G011,Green Line,Udyog Nagar,5,340,124,36.6,Low,0,0,Cloudy
2026-01-23,11:25,Friday,DMT-G012,Violet Line,Raja Nahar Singh,8,320,93,29.3,Low,0,0,Cloudy
2026-01-14,07:50,Wednesday,DMT-V006,Green Line,Satguru Ram Singh Marg,8,320,201,62.9,Medium,0,0,Smoggy
2026-01-24,15:30,Saturday,DMT-B016,Green Line,Brigadier Hoshiar Singh,8,350,36,10.5,Low,0,0,Clear
2026-02-16,06:35,Monday,DMT-Y017,Violet Line,Raja Nahar Singh,2,300,80,26.9,Low,0,0,Foggy
2026-02-24,17:45,Tuesday,DMT-G011,Violet Line,Old Faridabad,2,320,384,120.0,Overcrowded,1,0,Cloudy
2026-02-12,22:45,Thursday,DMT-V001,Violet Line,Lajpat Nagar,7,320,92,28.8,Low,0,0,Smoggy
2026-01-11,22:40,Sunday,DMT-V022,Green Line,Maharaja Surajmal Stadium,7,300,32,10.8,Low,0,1,Clear
2026-01-15,11:25,Thursday,DMT-R018,Violet Line,Janpath,3,320,127,39.8,Low,0,0,Foggy
2026-01-11,12:55,Sunday,DMT-Y023,Yellow Line,Rajiv Chowk,7,340,83,24.4,Low,0,1,Foggy
2026-02-10,20:15,Tuesday,DMT-Y005,Yellow Line,Hauz Khas,5,300,237,79.1,Medium,0,0,Rainy
2026-01-07,21:10,Wednesday,DMT-G017,Violet Line,Sarai,1,350,39,11.3,Low,0,0,Rainy
2026-01-05,05:45,Monday,DMT-B012,Green Line,Paschim Vihar West,6,300,49,16.4,Low,0,0,Foggy
2026-02-26,16:10,Thursday,DMT-V024,Blue Line,Dwarka Sector 8,4,350,42,12.0,Low,0,1,Foggy
2026-02-25,16:50,Wednesday,DMT-R025,Blue Line,Dwarka Sector 21,2,350,146,41.8,Low,0,0,Foggy
2026-01-23,09:00,Friday,DMT-R025,Yellow Line,Hauz Khas,7,340,408,120.0,Overcrowded,1,0,Clear
2026-02-03,07:50,Tuesday,DMT-G011,Blue Line,Noida Sector 15,7,300,132,44.0,Low,0,0,Foggy
