date,day,station,line,zone,daily_entries,daily_exits,total_footfall,is_interchange,is_holiday,avg_dwell_time_sec,weather
2026-01-15,Thursday,Madipur,Green Line,4,3236,2968,6204,0,0,18,Foggy
2026-01-03,Saturday,Kailash Colony,Violet Line,2,1142,1128,2270,0,0,32,Cloudy
2026-02-21,Saturday,Mundka,Green Line,2,784,759,1543,0,0,23,Rainy
2026-02-14,Saturday,Nangloi,Green Line,1,1728,1670,3398,0,0,27,Foggy
2026-01-09,Friday,Nangloi Railway Station,Green Line,2,1808,1659,3467,0,0,37,Foggy
2026-02-01,Sunday,Udyog Bhawan,Yellow Line,1,728,664,1392,0,1,30,Foggy
2026-01-02,Friday,Jor Bagh,Yellow Line,1,2707,2635,5342,0,0,29,Smoggy
2026-01-19,Monday,Rohini East,Red Line,1,2507,2349,4856,0,0,23,Smoggy
2026-02-23,Monday,Paschim Vihar West,Green Line,2,2937,2869,5806,0,0,42,Clear
2026-01-14,Wednesday,Bata Chowk,Violet Line,2,2397,2178,4575,0,0,38,Cloudy
2026-02-03,Tuesday,Janpath,Violet Line,2,3288,3131,6419,0,0,24,Foggy
2026-02-21,Saturday,New Delhi,Yellow Line,3,5974,5256,11230,0,0,39,Cloudy
2026-01-21,Wednesday,Netaji Subhash Place,Red Line,3,2534,2392,4926,0,0,24,Cloudy
2026-02-24,Tuesday,Pragati Maidan,Blue Line,2,3107,2798,5905,0,0,33,Cloudy
2026-02-22,Sunday,NHPC Chowk,Violet Line,1,917,953,1870,0,1,26,Clear
2026-02-16,Monday,Rohini West,Red Line,2,2833,2675,5508,0,0,30,Clear
2026-01-23,Friday,Sarita Vihar,Violet Line,3,2139,2095,4234,0,0,32,Rainy
2026-02-03,Tuesday,AIIMS,Yellow Line,1,2301,2193,4494,0,0,21,Clear
2026-01-02,Friday,Mewala Maharajpur,Violet Line,4,2201,2052,4253,0,0,34,Clear
2026-01-30,Friday,Green Park,Yellow Line,3,1937,1908,3845,0,0,25,Clear
2026-01-30,Friday,Sultanpur,Yellow Line,3,1832,1676,3508,0,0,41,Foggy
2026-01-28,Wednesday,Adarsh Nagar,Yellow Line,2,3385,3078,6463,0,0,23,Foggy
2026-01-07,Wednesday,Saket,Yellow Line,3,2213,2118,4331,0,0,26,Clear
2026-02-06,Friday,Govindpuri,Violet Line,1,2292,2063,4355,0,0,42,Foggy
2026-02-13,Friday,Guru Dronacharya,Yellow Line,1,1608,1509,3117,0,0,27,Foggy
2026-01-03,Saturday,Dwarka Sector 8,Blue Line,2,1032,913,1945,0,0,40,Foggy
2026-02-15,Sunday,Mohan Estate,Violet Line,2,529,471,1000,0,1,26,Foggy
2026-01-25,Sunday,New Delhi,Yellow Line,1,2555,2411,4966,0,1,26,Cloudy
2026-02-09,Monday,Yamuna Bank,Blue Line,1,6655,6482,13137,0,0,38,Clear
2026-01-13,Tuesday,Khan Market,Violet Line,4,2586,2428,5014,0,0,41,Clear
2026-02-13,Friday,Satguru Ram Singh Marg,Green Line,2,2001,1941,3942,0,0,42,Cloudy
2026-01-24,Saturday,Kanhaiya Nagar,Red Line,3,1129,1037,2166,0,0,23,Clear
2026-02-27,Friday,Kashmere Gate,Yellow Line,3,10753,9843,20596,1,0,22,Rainy
2026-01-03,Saturday,Badkhal Mor,Violet Line,3,1006,936,1942,0,0,17,Smoggy
2026-01-02,Friday,Noida Sector 15,Blue Line,1,3082,2898,5980,0,0,22,Foggy
2026-01-22,Thursday,Kalkaji Mandir,Violet Line,4,3265,3129,6394,0,0,16,Foggy
2026-01-17,Saturday,Qutab Minar,Yellow Line,1,1482,1343,2825,0,0,42,Foggy
2026-02-20,Friday,Vishwavidyalaya,Yellow Line,4,5178,4941,10119,0,0,43,Clear
2026-02-21,Saturday,Keshav Puram,Red Line,3,974,871,1845,0,0,43,Foggy
2026-02-03,Tuesday,Shahdara,Red Line,3,1931,1802,3733,0,0,36,Foggy
2026-02-15,Sunday,Uttam Nagar East,Blue Line,2,462,435,897,0,1,24,Foggy
2026-02-23,Monday,Noida Sector 15,Blue Line,3,3304,3024,6328,0,0,26,Rainy
2026-01-31,Saturday,Adarsh Nagar,Yellow Line,2,977,895,1872,0,0,15,Foggy
2026-02-27,Friday,Rohini East,Red Line,2,2764,2569,5333,0,0,40,Foggy
2026-02-03,Tuesday,Sarita Vihar,Violet Line,1,3201,2857,6058,0,0,15,Cloudy
2026-01-01,Thursday,Kailash Colony,Violet Line,1,1758,1796,3554,0,0,39,Cloudy
2026-01-08,Thursday,Badkhal Mor,Violet Line,2,3363,3184,6547,0,0,39,Smoggy
2026-02-23,Monday,MG Road,Yellow Line,1,3502,3319,6821,0,0,38,Clear
2026-01-25,Sunday,Chhattarpur,Yellow Line,1,728,691,1419,0,1,36,Clear
2026-02-27,Friday,Haiderpur Badli Mor,Yellow Line,2,2535,2412,4947,0,0,26,Clear
2026-02-10,Tuesday,Qutab Minar,Yellow Line,2,2468,2362,4830,0,0,29,Clear
2026-01-31,Saturday,Badarpur Border,Violet Line,1,770,717,1487,0,0,38,Rainy
2026-01-05,Monday,Welcome,Red Line,2,2219,2197,4416,0,0,23,Clear
2026-02-19,Thursday,Green Park,Yellow Line,2,1655,1591,3246,0,0,22,Smoggy
2026-01-12,Monday,Dwarka Sector 8,Blue Line,1,2168,2060,4228,0,0,30,Cloudy
2026-02-09,Monday,Sarita Vihar,Violet Line,3,3514,3328,6842,0,0,26,Smoggy
2026-02-18,Wednesday,Indraprastha,Blue Line,3,2942,2807,5749,0,0,36,Foggy
2026-02-28,Saturday,Khan Market,Violet Line,2,1068,975,2043,0,0,22,Foggy
2026-01-30,Friday,Pitampura,Red Line,4,1852,1708,3560,0,0,36,Cloudy
2026-01-06,Tuesday,Lal Quila,Violet Line,2,1528,1442,2970,0,0,26,Clear
2026-02-13,Friday,Badkhal Mor,Violet Line,4,1895,1784,3679,0,0,33,Cloudy
2026-01-28,Wednesday,Jama Masjid,Violet Line,2,3498,3409,6907,0,0,21,Foggy
2026-01-01,Thursday,Sarita Vihar,Violet Line,4,1708,1645,3353,0,0,16,Foggy
2026-01-12,Monday,Kohat Enclave,Red Line,1,2724,2667,5391,0,0,40,Smoggy
2026-01-23,Friday,Noida Sector 16,Blue Line,2,1995,1879,3874,0,0,17,Clear
2026-02-03,Tuesday,Jahangirpuri,Yellow Line,1,1834,1706,3540,0,0,33,Cloudy
2026-01-30,Friday,Bata Chowk,Violet Line,2,2793,2552,5345,0,0,40,Clear
2026-02-13,Friday,Moti Nagar,Blue Line,2,2889,2822,5711,0,0,28,Rainy
2026-01-12,Monday,Haiderpur Badli Mor,Yellow Line,1,3262,3050,6312,0,0,19,Clear
2026-01-18,Sunday,Chawri Bazar,Yellow Line,2,1030,915,1945,0,1,43,Rainy
2026-02-26,Thursday,Moolchand,Violet Line,2,967,819,1786,0,1,25,Rainy
2026-02-07,Saturday,Jor Bagh,Yellow Line,2,1588,1529,3117,0,0,31,Clear
2026-02-02,Monday,Azadpur,Yellow Line,3,4592,4569,9161,0,0,42,Foggy
2026-01-08,Thursday,Malviya Nagar,Yellow Line,3,3085,2973,6058,0,0,39,Foggy
2026-01-17,Saturday,Model Town,Yellow Line,3,918,884,1802,0,0,32,Rainy
2026-01-23,Friday,Karol Bagh,Blue Line,1,6743,6371,13114,0,0,23,Foggy
2026-01-16,Friday,Chhattarpur,Yellow Line,3,2621,2548,5169,0,0,20,Clear
2026-02-20,Friday,Rajendra Place,Blue Line,3,1961,1859,3820,0,0,40,Foggy
2026-02-12,Thursday,Sector 28,Violet Line,2,1865,1723,3588,0,0,41,Clear
2026-02-13,Friday,Maharaja Surajmal Stadium,Green Line,2,3364,3108,6472,0,0,20,Foggy
2026-02-15,Sunday,Shastri Park,Red Line,4,567,544,1111,0,1,36,Foggy
2026-01-02,Friday,Madipur,Green Line,1,2861,2730,5591,0,0,29,Foggy
2026-02-21,Saturday,Moti Nagar,Blue Line,2,1270,1191,2461,0,0,16,Clear
2026-01-15,Thursday,Sector 28,Violet Line,2,3597,3394,6991,0,0,31,Foggy
2026-01-17,Saturday,Satguru Ram Singh Marg,Green Line,4,1644,1426,3070,0,0,34,Cloudy
2026-01-12,Monday,Chandni Chowk,Yellow Line,1,11483,11350,22833,0,0,26,Foggy
2026-01-21,Wednesday,AIIMS,Yellow Line,3,3094,3037,6131,0,0,31,Clear
2026-01-03,Saturday,Harkesh Nagar Okhla,Violet Line,1,1033,966,1999,0,0,36,Clear
2026-02-02,Monday,Rajendra Place,Blue Line,2,1505,1413,2918,0,0,31,Foggy
2026-02-27,Friday,Janakpuri West,Blue Line,2,6299,5964,12263,0,0,15,Foggy
2026-02-05,Thursday,Maharaja Surajmal Stadium,Green Line,3,2476,2518,4994,0,0,35,Foggy
2026-02-28,Saturday,Kohat Enclave,Red Line,1,1156,1105,2261,0,0,34,Cloudy
2026-02-11,Wednesday,Jama Masjid,Violet Line,1,1814,1695,3509,0,0,25,Clear
2026-01-09,Friday,Nangloi Railway Station,Green Line,3,2047,1839,3886,0,0,26,Smoggy
2026-01-26,Monday,Khan Market,Violet Line,2,427,395,822,0,1,33,Clear
2026-02-03,Tuesday,Inderlok,Red Line,3,1882,1752,3634,0,0,19,Clear
2026-01-19,Monday,Kirti Nagar,Blue Line,1,1953,1898,3851,1,0,15,Foggy
2026-01-14,Wednesday,Vishwavidyalaya,Yellow Line,2,5951,5965,11916,0,0,35,Foggy
2026-01-23,Friday,GTB Nagar,Yellow Line,3,1846,1757,3603,0,0,26,Foggy
2026-02-11,Wednesday,Janpath,Violet Line,2,2169,2121,4290,0,0,15,Foggy
2026-01-23,Friday,Sector 28,Violet Line,2,1505,1391,2896,0,0,19,Foggy
2026-01-17,Saturday,Mohan Estate,Violet Line,2,1342,1325,2667,0,0,42,Clear
2026-01-04,Sunday,Sikanderpur,Yellow Line,1,1814,1645,3459,0,1,36,Cloudy
2026-01-01,Thursday,Dwarka Sector 8,Blue Line,3,1920,1818,3738,0,0,39,Foggy
2026-02-02,Monday,HUDA City Centre,Yellow Line,2,5230,5121,10351,0,0,30,Smoggy
2026-01-22,Thursday,Rajouri Garden,Blue Line,1,5687,5281,10968,0,0,31,Foggy
2026-02-11,Wednesday,Rajouri Garden,Blue Line,1,6903,6317,13220,0,0,24,Clear
2026-01-11,Sunday,Karol Bagh,Blue Line,1,1874,1577,3451,0,1,23,Clear
2026-02-21,Saturday,Saket,Yellow Line,4,1177,1029,2206,0,0,32,Clear
2026-01-03,Saturday,Pitampura,Red Line,2,1152,1069,2221,0,0,44,Cloudy
2026-01-26,Monday,Netaji Subhash Place,Red Line,2,446,415,861,0,1,31,Clear
2026-01-13,Tuesday,Hauz Khas,Yellow Line,4,11509,10857,22366,0,0,31,Smoggy
2026-02-08,Sunday,MG Road,Yellow Line,3,695,664,1359,0,1,24,Smoggy
2026-02-09,Monday,Qutab Minar,Yellow Line,4,3208,3106,6314,0,0,42,Clear
2026-01-29,Thursday,Dwarka Sector 8,Blue Line,3,3366,3081,6447,0,0,23,Cloudy
2026-01-17,Saturday,Moti Nagar,Blue Line,1,1622,1612,3234,0,0,31,Cloudy
2026-02-19,Thursday,Udyog Nagar,Green Line,4,3438,3402,6840,0,0,40,Foggy
2026-01-04,Sunday,Sarita Vihar,Violet Line,3,558,520,1078,0,1,26,Clear
2026-01-25,Sunday,Ramesh Nagar,Blue Line,1,955,926,1881,0,1,23,Rainy
2026-02-05,Thursday,Old Faridabad,Violet Line,2,2872,2741,5613,0,0,29,Foggy
2026-02-16,Monday,Badarpur Border,Violet Line,1,2388,2429,4817,0,0,38,Foggy
2026-01-14,Wednesday,Saket,Yellow Line,3,2260,2076,4336,0,0,31,Foggy
2026-02-01,Sunday,Madipur,Green Line,3,515,482,997,0,1,22,Clear
2026-01-09,Friday,Lajpat Nagar,Violet Line,1,6560,6321,12881,0,0,36,Foggy
2026-02-17,Tuesday,Nangloi Railway Station,Green Line,4,2750,2548,5298,0,0,21,Cloudy
2026-01-12,Monday,Lal Quila,Violet Line,4,2672,2487,5159,0,0,32,Foggy
2026-01-29,Thursday,Lal Quila,Violet Line,2,2495,2395,4890,0,0,15,Clear
2026-01-24,Saturday,Lal Quila,Violet Line,3,789,731,1520,0,0,20,Clear
2026-02-21,Saturday,Maharaja Surajmal Stadium,Green Line,2,786,722,1508,0,0,41,Clear
2026-01-05,Monday,Delhi Gate,Violet Line,1,2373,2257,4630,0,0,20,Rainy
2026-02-02,Monday,Satguru Ram Singh Marg,Green Line,2,2790,2540,5330,0,0,35,Foggy
2026-01-03,Saturday,Kohat Enclave,Red Line,2,1606,1512,3118,0,0,27,Cloudy
2026-01-26,Monday,Rajiv Chowk,Blue Line,1,2944,2979,5923,1,1,27,Foggy
2026-02-02,Monday,Rajiv Chowk,Blue Line,2,7580,7192,14772,1,0,21,Cloudy
2026-02-24,Tuesday,Tughlakabad,Violet Line,2,1575,1459,3034,0,0,35,Clear
2026-02-03,Tuesday,Sultanpur,Yellow Line,2,1786,1682,3468,0,0,39,Foggy
2026-01-14,Wednesday,Paschim Vihar East,Green Line,1,2231,2107,4338,0,0,40,Foggy
2026-01-11,Sunday,Badkhal Mor,Violet Line,1,785,746,1531,0,1,40,Clear
2026-01-04,Sunday,Janakpuri West,Blue Line,4,1583,1534,3117,0,1,40,Smoggy
2026-02-04,Wednesday,Rithala,Red Line,3,2623,2419,5042,0,0,29,Foggy
2026-02-05,Thursday,Dwarka Sector 8,Blue Line,1,3580,3383,6963,0,0,16,Clear
2026-01-11,Sunday,Udyog Bhawan,Yellow Line,2,919,848,1767,0,1,20,Foggy
2026-01-15,Thursday,Kashmere Gate,Yellow Line,1,10624,10144,20768,1,0,29,Clear
2026-01-26,Monday,Moti Nagar,Blue Line,4,761,690,1451,0,1,20,Foggy
2026-01-27,Tuesday,Arjan Garh,Yellow Line,3,3097,2904,6001,0,0,43,Foggy
2026-02-19,Thursday,Shahdara,Red Line,4,2831,2631,5462,0,0,21,Cloudy
2026-01-03,Saturday,Old Faridabad,Violet Line,4,821,788,1609,0,0,38,Smoggy
2026-01-25,Sunday,Govindpuri,Violet Line,1,516,533,1049,0,1,19,Clear
2026-01-23,Friday,Jor Bagh,Yellow Line,3,3403,3126,6529,0,0,30,Foggy
2026-01-28,Wednesday,Rajiv Chowk,Blue Line,1,10128,9466,19594,1,0,32,Clear
2026-02-18,Wednesday,Raja Nahar Singh,Violet Line,2,1557,1488,3045,0,0,32,Foggy
2026-02-06,Friday,Nangloi,Green Line,3,1797,1701,3498,0,0,26,Foggy
2026-01-25,Sunday,Moolchand,Violet Line,4,717,687,1404,0,1,18,Foggy
2026-02-20,Friday,Rohini East,Red Line,3,3524,3443,6967,0,0,32,Cloudy
2026-02-04,Wednesday,Central Secretariat,Yellow Line,3,5479,5107,10586,1,0,25,Smoggy
2026-01-04,Sunday,Neelam Chowk Ajronda,Violet Line,3,439,420,859,0,1,25,Rainy
2026-02-03,Tuesday,Patel Chowk,Yellow Line,2,3408,3266,6674,0,0,37,Cloudy
2026-02-16,Monday,Patel Chowk,Yellow Line,1,2147,2052,4199,0,0,22,Cloudy
2026-01-30,Friday,Bata Chowk,Violet Line,3,2141,2027,4168,0,0,35,Smoggy
2026-01-02,Friday,Mundka,Green Line,2,3032,2848,5880,0,0,31,Smoggy
2026-02-17,Tuesday,Sector 28,Violet Line,3,3371,3130,6501,0,0,30,Clear
2026-01-12,Monday,IFFCO Chowk,Yellow Line,3,1893,1803,3696,0,0,26,Clear
2026-02-16,Monday,Delhi Gate,Violet Line,1,2996,2853,5849,0,0,17,Foggy
2026-01-31,Saturday,Moti Nagar,Blue Line,3,1520,1474,2994,0,0,34,Smoggy
2026-01-02,Friday,Neelam Chowk Ajronda,Violet Line,2,2266,2124,4390,0,0,42,Foggy
2026-01-12,Monday,Moolchand,Violet Line,3,2086,1924,4010,0,0,16,Clear
2026-01-31,Saturday,Moti Nagar,Blue Line,4,1369,1222,2591,0,0,34,Cloudy
2026-01-29,Thursday,Kirti Nagar,Blue Line,3,1796,1676,3472,1,0,35,Cloudy
2026-02-28,Saturday,Punjabi Bagh,Green Line,3,1446,1350,2796,0,0,29,Cloudy
2026-02-22,Sunday,Escorts Mujesar,Violet Line,4,535,515,1050,0,1,24,Clear
2026-01-29,Thursday,JLN Stadium,Violet Line,2,2110,2006,4116,0,0,44,Clear
2026-01-29,Thursday,Peeragarhi,Green Line,3,1807,1637,3444,0,0,29,Clear
2026-02-14,Saturday,Paschim Vihar East,Green Line,3,1507,1486,2993,0,0,26,Cloudy
2026-01-17,Saturday,Haiderpur Badli Mor,Yellow Line,3,953,909,1862,0,0,34,Clear
2026-01-11,Sunday,Satguru Ram Singh Marg,Green Line,4,506,488,994,0,1,26,Rainy
2026-02-01,Sunday,Arjan Garh,Yellow Line,3,634,553,1187,0,1,30,Rainy
2026-02-23,Monday,Rajouri Garden,Blue Line,3,6033,5730,11763,0,0,19,Foggy
2026-01-11,Sunday,Jangpura,Violet Line,2,573,529,1102,0,1,22,Foggy
2026-01-11,Sunday,Badarpur Border,Violet Line,3,529,528,1057,0,1,31,Clear
2026-01-27,Tuesday,Mundka,Green Line,3,3525,3523,7048,0,0,20,Cloudy
2026-02-07,Saturday,Saket,Yellow Line,4,1370,1297,2667,0,0,28,Foggy
2026-02-15,Sunday,Model Town,Yellow Line,3,736,666,1402,0,1,19,Rainy
2026-01-10,Saturday,Rohini West,Red Line,4,956,863,1819,0,0,32,Clear
2026-02-14,Saturday,Kanhaiya Nagar,Red Line,3,1117,1097,2214,0,0,41,Foggy
2026-01-11,Sunday,Nangloi Railway Station,Green Line,4,512,482,994,0,1,34,Rainy
2026-02-03,Tuesday,Seelampur,Red Line,1,2341,2289,4630,0,0,18,Foggy
2026-01-15,Thursday,Inderlok,Red Line,3,2618,2337,4955,0,0,24,Foggy
2026-02-20,Friday,Seelampur,Red Line,1,3431,3300,6731,0,0,16,Foggy
2026-02-26,Thursday,Satguru Ram Singh Marg,Green Line,2,736,744,1480,0,1,39,Foggy
2026-02-01,Sunday,Kashmere Gate,Yellow Line,3,2934,2717,5651,1,1,32,Foggy
2026-01-24,Saturday,Rajdhani Park,Green Line,1,1358,1303,2661,0,0,36,Clear
2026-02-25,Wednesday,Nehru Place,Violet Line,1,7245,6687,13932,0,0,42,Smoggy
2026-01-23,Friday,Rithala,Red Line,3,2075,1919,3994,0,0,24,Clear
2026-01-09,Friday,Jahangirpuri,Yellow Line,3,2138,1970,4108,0,0,43,Cloudy
2026-01-06,Tuesday,Shastri Nagar,Red Line,3,2746,2597,5343,0,0,19,Cloudy
2026-02-18,Wednesday,Escorts Mujesar,Violet Line,3,2711,2589,5300,0,0,37,Clear
2026-02-11,Wednesday,Jahangirpuri,Yellow Line,4,1524,1472,2996,0,0,32,Clear
2026-01-19,Monday,Tughlakabad,Violet Line,4,3044,2944,5988,0,0,38,Rainy
2026-01-28,Wednesday,Welcome,Red Line,1,2168,2016,4184,0,0,27,Foggy
2026-01-10,Saturday,Sikanderpur,Yellow Line,4,3230,3120,6350,0,0,18,Smoggy
2026-01-18,Sunday,Jahangirpuri,Yellow Line,1,483,457,940,0,1,18,Foggy
2026-01-21,Wednesday,Pragati Maidan,Blue Line,2,2578,2399,4977,0,0,19,Smoggy
2026-02-06,Friday,Netaji Subhash Place,Red Line,2,2332,2194,4526,0,0,17,Cloudy
2026-02-25,Wednesday,Indraprastha,Blue Line,3,1725,1658,3383,0,0,25,Clear
2026-02-23,Monday,Chhattarpur,Yellow Line,4,3029,3002,6031,0,0,31,Foggy
2026-02-22,Sunday,Ghitorni,Yellow Line,1,518,473,991,0,1,25,Clear
2026-02-01,Sunday,Badarpur Border,Violet Line,1,828,829,1657,0,1,25,Clear
2026-01-18,Sunday,Kirti Nagar,Blue Line,1,822,897,1719,1,1,41,Clear
2026-01-13,Tuesday,Guru Dronacharya,Yellow Line,1,1695,1579,3274,0,0,29,Clear
2026-02-01,Sunday,JLN Stadium,Violet Line,2,692,679,1371,0,1,44,Cloudy
2026-01-23,Friday,Shivaji Park,Green Line,4,3230,3100,6330,0,0,24,Smoggy
2026-02-22,Sunday,Vidhan Sabha,Yellow Line,2,516,504,1020,0,1,37,Clear
2026-01-11,Sunday,Govindpuri,Violet Line,4,905,873,1778,0,1,31,Foggy
2026-02-18,Wednesday,Satguru Ram Singh Marg,Green Line,2,2887,2614,5501,0,0,27,Cloudy
2026-01-23,Friday,Nehru Place,Violet Line,4,6863,6546,13409,0,0,27,Cloudy
