date,day,line,total_trips,total_passengers,avg_speed_kmph,distance_km,energy_consumption_kwh,on_time_percent,revenue_inr,operational_cost_inr,is_holiday,weather
2026-01-14,Wednesday,Red Line,355,102595,39.0,25.1,89354.34,79.4,2421292.72,2495457.31,0,Smoggy
2026-01-11,Sunday,Blue Line,194,48694,34.8,56.6,31647.31,90.9,1093765.11,1026164.97,1,Foggy
2026-01-29,Thursday,Blue Line,365,100740,36.6,56.6,63541.21,77.8,2497659.36,2930678.97,0,Smoggy
2026-01-19,Monday,Red Line,252,88704,33.6,25.1,42410.86,80.4,1874451.55,1829555.93,0,Rainy
2026-02-24,Tuesday,Red Line,334,88510,32.3,25.1,83041.27,97.4,1709170.71,3333889.06,0,Cloudy
2026-02-09,Monday,Red Line,218,49268,38.5,25.1,51771.81,85.9,1259882.45,2208879.82,0,Clear
2026-01-04,Sunday,Yellow Line,141,59079,35.0,49.3,34754.09,75.3,1608606.85,997055.93,1,Clear
2026-01-23,Friday,Blue Line,216,81864,37.7,56.6,53044.96,82.0,2003146.46,2357992.61,0,Cloudy
2026-02-19,Thursday,Green Line,208,47424,37.6,29.6,39014.79,91.4,1154753.05,2032332.11,0,Foggy
2026-02-28,Saturday,Green Line,213,61344,37.6,29.6,56157.28,79.7,1107398.1,1200579.12,0,Clear
2026-02-25,Wednesday,Yellow Line,141,31725,35.4,49.3,24339.01,89.4,696160.91,1192861.37,0,Cloudy
2026-01-15,Thursday,Green Line,232,58000,42.1,29.6,40024.74,75.4,1148361.08,2185542.28,0,Foggy
2026-01-09,Friday,Green Line,374,112200,33.1,29.6,101294.89,84.8,2058071.1,3361731.89,0,Smoggy
2026-01-02,Friday,Blue Line,290,83520,41.2,56.6,61418.03,77.2,1876480.48,1602715.37,0,Clear
2026-01-04,Sunday,Green Line,135,40635,36.1,29.6,36756.2,85.0,1029154.86,984991.05,1,Cloudy
2026-02-18,Wednesday,Green Line,357,138873,42.3,29.6,87750.14,77.9,3240981.91,2797021.93,0,Cloudy
2026-02-11,Wednesday,Yellow Line,364,116844,35.0,49.3,86790.48,87.0,2778565.15,3210227.72,0,Rainy
2026-01-25,Sunday,Green Line,161,57960,32.8,29.6,35260.26,82.1,1322818.98,1121236.53,1,Clear
2026-02-02,Monday,Green Line,348,137808,39.0,29.6,95355.43,88.6,3027526.21,1907744.42,0,Clear
2026-01-09,Friday,Blue Line,153,46512,39.3,56.6,35521.05,90.1,874898.11,962060.14,0,Rainy
2026-01-09,Friday,Green Line,291,103887,39.6,29.6,69532.0,81.1,2435923.32,1562473.9,0,Foggy
2026-02-10,Tuesday,Blue Line,242,92202,31.0,56.6,66737.44,80.3,1666308.59,2518892.72,0,Cloudy
2026-02-06,Friday,Red Line,310,127410,39.4,25.1,69800.97,80.3,3110235.4,3534116.66,0,Smoggy
2026-02-23,Monday,Yellow Line,200,81800,42.3,49.3,54780.89,79.8,1770195.49,2202441.46,0,Rainy
2026-01-07,Wednesday,Violet Line,325,87100,39.0,46.6,53335.91,97.4,1636106.84,2848571.16,0,Foggy
2026-01-11,Sunday,Yellow Line,146,46866,39.6,49.3,27744.66,97.7,1269750.69,1314915.27,1,Clear
2026-01-01,Thursday,Violet Line,232,47328,36.3,46.6,64287.28,81.2,1231955.92,2402851.14,0,Clear
2026-02-12,Thursday,Violet Line,313,140537,35.5,46.6,56713.48,92.5,3385118.46,2535679.71,0,Rainy
2026-02-13,Friday,Yellow Line,213,45582,43.4,49.3,48921.99,93.3,953984.22,2498461.93,0,Cloudy
2026-01-11,Sunday,Red Line,142,36210,30.8,25.1,22559.74,82.7,814997.77,1256553.68,1,Rainy
2026-01-06,Tuesday,Blue Line,121,29524,41.1,56.6,18919.65,75.6,813670.13,1138399.89,0,Rainy
2026-01-16,Friday,Violet Line,183,48861,37.5,46.6,38129.75,90.7,1227209.05,1963055.54,0,Cloudy
2026-02-20,Friday,Yellow Line,378,162162,41.3,49.3,58198.11,77.6,4213531.39,3595612.01,0,Clear
2026-02-01,Sunday,Yellow Line,63,21231,36.9,49.3,10359.3,97.7,458930.5,695068.79,1,Smoggy
2026-01-03,Saturday,Yellow Line,176,46992,42.6,49.3,38959.54,83.0,1065490.49,2043002.46,0,Clear
2026-01-02,Friday,Violet Line,328,70848,37.6,46.6,74485.7,84.4,1948452.65,2383093.83,0,Foggy
2026-02-17,Tuesday,Violet Line,222,52392,43.9,46.6,61096.5,91.9,1145210.85,1992844.7,0,Cloudy
2026-02-20,Friday,Violet Line,307,129247,30.3,46.6,72851.12,81.0,3049199.46,1584444.05,0,Clear
2026-02-05,Thursday,Red Line,244,78324,42.5,25.1,37348.89,90.9,1964210.53,2469464.61,0,Foggy
2026-02-06,Friday,Blue Line,222,92352,42.4,56.6,53539.87,88.2,2209340.05,2356232.63,0,Clear
2026-01-09,Friday,Red Line,289,82943,32.9,25.1,61630.0,89.8,1885368.17,2138462.33,0,Rainy
2026-02-23,Monday,Red Line,186,77748,41.9,25.1,49774.24,82.2,1693176.41,1649830.08,0,Rainy
2026-01-04,Sunday,Violet Line,76,29108,30.7,46.6,12191.54,90.1,798456.61,529427.92,1,Clear
2026-02-18,Wednesday,Yellow Line,220,67760,36.8,49.3,52588.44,87.0,1442675.19,1226856.82,0,Foggy
2026-02-15,Sunday,Blue Line,152,33136,42.8,56.6,29887.25,88.8,649370.91,1544159.4,1,Foggy
2026-01-21,Wednesday,Red Line,369,76014,44.9,25.1,96255.4,96.4,1886368.65,4159697.34,0,Foggy
2026-01-01,Thursday,Violet Line,174,78126,43.1,46.6,30304.72,79.9,1841142.07,2038064.94,0,Rainy
2026-02-18,Wednesday,Yellow Line,308,97944,41.0,49.3,84950.86,84.0,2212230.11,3291743.69,0,Rainy
2026-02-03,Tuesday,Violet Line,311,120668,38.0,46.6,76976.51,94.1,2210315.0,2098964.18,0,Clear
2026-01-16,Friday,Violet Line,347,147128,39.2,46.6,83576.92,93.3,2818895.66,2381156.61,0,Foggy
2026-02-19,Thursday,Green Line,177,50091,44.2,29.6,43342.93,86.5,1278902.05,2078115.54,0,Foggy
2026-02-25,Wednesday,Yellow Line,222,45288,30.9,49.3,48757.39,81.9,1120043.45,2438435.47,0,Clear
2026-02-25,Wednesday,Green Line,198,74646,44.5,29.6,50642.29,96.2,1738254.88,1833759.05,0,Smoggy
2026-02-09,Monday,Violet Line,162,45360,41.8,46.6,39296.22,79.4,862269.51,951403.04,0,Clear
2026-02-09,Monday,Red Line,314,105190,35.9,25.1,52670.08,80.6,2935359.91,2143037.75,0,Clear
2026-01-28,Wednesday,Violet Line,322,127190,35.3,46.6,85959.6,79.0,2856364.38,2390503.24,0,Clear
2026-01-22,Thursday,Blue Line,299,116610,33.3,56.6,57457.96,77.0,3147758.51,2932528.89,0,Foggy
2026-01-16,Friday,Red Line,322,141358,37.3,25.1,85719.96,97.8,2907724.74,3327856.51,0,Smoggy
2026-02-22,Sunday,Red Line,84,28308,30.4,25.1,17736.63,86.6,758145.47,937185.77,1,Cloudy
2026-01-11,Sunday,Yellow Line,115,37260,44.1,49.3,22241.71,76.9,895946.56,939527.53,1,Clear
2026-02-17,Tuesday,Green Line,168,62664,35.8,29.6,46989.13,77.9,1150034.35,963280.7,0,Cloudy
2026-01-28,Wednesday,Yellow Line,327,70632,40.6,49.3,67657.76,87.4,1810105.94,3469056.73,0,Clear
2026-01-07,Wednesday,Blue Line,364,159432,44.9,56.6,67205.39,92.6,3191929.51,3311772.96,0,Clear
2026-01-16,Friday,Yellow Line,250,89500,32.1,49.3,64153.43,90.1,2033553.52,2647957.75,0,Foggy
2026-01-21,Wednesday,Green Line,312,109824,31.1,29.6,81952.81,95.8,2212895.59,2795812.48,0,Foggy
2026-02-26,Thursday,Yellow Line,80,21680,30.1,49.3,12068.59,93.8,536320.54,670092.06,1,Foggy
2026-01-01,Thursday,Yellow Line,335,107535,33.1,49.3,71846.16,78.7,2243947.52,3702199.79,0,Smoggy
2026-01-07,Wednesday,Yellow Line,133,40831,37.7,49.3,33270.02,87.4,810920.32,874151.39,0,Foggy
2026-01-05,Monday,Blue Line,210,80220,36.0,56.6,43124.68,76.6,1453507.02,1956857.77,0,Smoggy
2026-01-16,Friday,Green Line,315,101115,40.9,29.6,70660.99,96.6,2359141.35,3239770.6,0,Foggy
2026-02-25,Wednesday,Red Line,378,165186,34.7,25.1,66788.18,92.8,3467203.23,4071918.18,0,Foggy
2026-02-12,Thursday,Red Line,228,51756,38.1,25.1,45433.58,82.6,1379411.46,2685093.92,0,Foggy
2026-01-21,Wednesday,Green Line,267,101727,31.6,29.6,53133.26,93.3,2656927.75,2263486.93,0,Cloudy
2026-01-10,Saturday,Red Line,179,79297,39.5,25.1,34828.38,80.5,2078357.53,2132166.64,0,Foggy
2026-02-28,Saturday,Violet Line,173,53457,38.7,46.6,45858.38,92.7,1327683.11,1063121.08,0,Clear
2026-02-23,Monday,Green Line,351,144261,36.0,29.6,54583.7,88.3,3702754.0,3488685.67,0,Foggy
2026-02-04,Wednesday,Green Line,233,73395,36.1,29.6,45187.45,84.0,1770077.39,1607994.59,0,Cloudy
2026-01-02,Friday,Green Line,166,68392,34.0,29.6,34636.28,79.2,1592520.95,1415539.31,0,Foggy
2026-02-03,Tuesday,Yellow Line,239,86040,41.1,49.3,55930.15,94.6,2089046.96,2411150.79,0,Cloudy
2026-02-16,Monday,Red Line,130,33670,37.3,25.1,35586.75,84.6,824388.79,1553243.24,0,Smoggy
2026-01-24,Saturday,Green Line,155,41540,32.4,29.6,25478.97,83.8,766078.4,786292.36,0,Smoggy
2026-02-20,Friday,Violet Line,121,29766,35.9,46.6,18979.91,97.4,620089.12,986048.42,0,Foggy
2026-02-15,Sunday,Green Line,196,62720,30.2,29.6,31434.57,79.8,1163021.03,1331092.53,1,Rainy
2026-01-07,Wednesday,Yellow Line,152,38000,35.5,49.3,27236.7,79.9,708202.11,1735886.98,0,Cloudy
2026-01-27,Tuesday,Yellow Line,233,78288,33.3,49.3,60934.87,94.3,1878335.63,2265084.14,0,Foggy
2026-01-07,Wednesday,Red Line,151,38354,39.0,25.1,37033.79,86.1,934464.4,1092523.32,0,Cloudy
2026-02-05,Thursday,Green Line,154,46508,44.6,29.6,33596.25,89.9,871310.53,1037764.75,0,Foggy
2026-01-10,Saturday,Violet Line,200,46400,43.3,46.6,50126.29,83.9,1244203.23,1445886.54,0,Foggy
2026-02-17,Tuesday,Violet Line,342,128592,30.7,46.6,64642.56,78.7,3041557.1,3771157.39,0,Foggy
2026-02-09,Monday,Green Line,347,107223,37.4,29.6,91112.22,89.5,2463951.4,1908290.41,0,Smoggy
2026-02-09,Monday,Green Line,230,94990,38.5,29.6,44544.04,92.4,2004289.78,1666039.03,0,Foggy
2026-02-19,Thursday,Green Line,275,61875,42.0,29.6,72882.33,93.9,1354763.29,1478808.65,0,Clear
2026-02-11,Wednesday,Green Line,339,140007,41.3,29.6,58141.12,85.5,3626036.56,2308226.93,0,Clear
2026-01-01,Thursday,Red Line,128,56576,40.6,25.1,25426.19,91.4,1576004.8,799198.1,0,Smoggy
2026-01-07,Wednesday,Blue Line,142,58078,40.0,56.6,23828.0,95.4,1183970.59,714644.34,0,Rainy
2026-01-10,Saturday,Blue Line,199,72834,35.0,56.6,54991.46,87.9,1456200.33,2189123.71,0,Cloudy
2026-01-18,Sunday,Blue Line,119,44863,33.2,56.6,28249.1,77.3,927731.48,1121744.24,1,Foggy
2026-01-16,Friday,Violet Line,347,78769,41.0,46.6,94388.12,94.4,1895287.72,4054446.73,0,Foggy
2026-02-17,Tuesday,Red Line,311,120357,41.8,25.1,67082.04,88.1,3095191.18,3339429.32,0,Clear
2026-02-15,Sunday,Green Line,138,48300,41.8,29.6,26254.92,87.4,1065328.49,1616942.14,1,Foggy
2026-01-05,Monday,Violet Line,355,135255,39.6,46.6,99320.21,85.2,3247785.81,3241073.52,0,Cloudy
2026-01-18,Sunday,Violet Line,112,24528,30.9,46.6,19134.52,94.2,568363.79,939288.73,1,Foggy
2026-01-01,Thursday,Green Line,232,100224,37.1,29.6,35900.05,96.6,2437307.44,1421495.34,0,Clear
2026-02-13,Friday,Blue Line,366,161406,30.3,56.6,67644.41,75.4,3623558.23,3143125.51,0,Foggy
2026-02-19,Thursday,Green Line,278,63106,38.4,29.6,64610.45,75.2,1339355.29,2041046.34,0,Clear
2026-02-12,Thursday,Blue Line,143,42185,40.8,56.6,38086.12,85.3,1053339.47,960761.69,0,Smoggy
2026-02-26,Thursday,Blue Line,124,39308,36.3,56.6,24165.74,79.0,870483.89,1169682.41,1,Foggy
2026-01-13,Tuesday,Blue Line,328,76424,43.3,56.6,87863.83,82.1,2100128.88,2977246.39,0,Foggy
2026-01-29,Thursday,Blue Line,238,52598,33.8,56.6,57326.28,76.7,1386797.07,2302228.03,0,Cloudy
2026-01-11,Sunday,Green Line,107,25894,30.7,29.6,22664.31,77.4,517355.49,573573.0,1,Foggy
2026-01-03,Saturday,Yellow Line,144,58320,44.2,49.3,21957.03,81.1,1368701.8,974233.19,0,Cloudy
2026-01-03,Saturday,Yellow Line,336,119952,44.4,49.3,80548.76,79.4,2979440.72,3511618.87,0,Cloudy
2026-01-06,Tuesday,Violet Line,158,64464,39.6,46.6,43132.76,83.7,1184841.04,1408402.68,0,Clear
2026-02-11,Wednesday,Red Line,362,118736,31.9,25.1,73980.34,95.3,2413776.42,2314068.18,0,Cloudy
2026-02-14,Saturday,Yellow Line,227,80812,30.3,49.3,46340.7,95.2,1684454.19,1997014.98,0,Cloudy
2026-01-21,Wednesday,Red Line,191,55390,36.5,25.1,38110.2,77.1,1338521.67,1501937.06,0,Clear
2026-01-07,Wednesday,Violet Line,203,41209,35.2,46.6,55097.85,95.0,925084.39,2078860.36,0,Smoggy
2026-01-01,Thursday,Yellow Line,149,56322,42.0,49.3,41423.51,78.9,1183978.65,1107476.18,0,Cloudy
2026-02-25,Wednesday,Yellow Line,178,72268,31.5,49.3,39866.76,77.3,1806444.3,1777670.17,0,Foggy
2026-02-15,Sunday,Green Line,156,66924,39.1,29.6,33642.46,84.6,1742013.02,1858739.24,1,Clear
2026-02-03,Tuesday,Blue Line,374,104346,38.8,56.6,64805.12,79.3,2529967.7,3683623.85,0,Clear
2026-01-19,Monday,Yellow Line,309,116802,33.4,49.3,65975.46,96.6,2983432.1,2528329.7,0,Cloudy
2026-01-11,Sunday,Blue Line,64,14720,37.7,56.6,17110.31,96.0,361505.07,699864.48,1,Foggy
2026-02-16,Monday,Blue Line,358,114202,32.4,56.6,68435.42,86.6,3049577.68,2121939.18,0,Foggy
2026-01-27,Tuesday,Violet Line,142,40612,33.4,46.6,32971.09,92.2,1039024.95,1354688.02,0,Cloudy
2026-02-17,Tuesday,Blue Line,320,139840,38.1,56.6,69830.65,87.3,2650423.52,3241330.26,0,Rainy
2026-01-06,Tuesday,Green Line,350,134050,40.7,29.6,74243.89,87.7,3645354.03,3312967.67,0,Smoggy
2026-01-04,Sunday,Green Line,67,29547,41.5,29.6,13694.2,93.2,593931.78,645060.33,1,Foggy
2026-02-23,Monday,Violet Line,345,109020,42.2,46.6,80814.14,75.1,2538920.35,3194567.12,0,Cloudy
2026-02-05,Thursday,Violet Line,320,71040,44.1,46.6,81212.12,82.8,1734262.04,2684085.27,0,Rainy
2026-01-24,Saturday,Red Line,270,71550,31.7,25.1,56058.01,84.5,1878383.34,1582736.9,0,Clear
2026-02-12,Thursday,Violet Line,261,80388,31.2,46.6,72506.43,87.2,1722766.35,2073909.29,0,Smoggy
2026-01-23,Friday,Blue Line,155,61845,32.8,56.6,30162.6,92.9,1606935.41,1839315.85,0,Smoggy
2026-01-15,Thursday,Violet Line,135,38610,36.8,46.6,33812.0,75.6,710950.2,976804.75,0,Foggy
2026-01-20,Tuesday,Red Line,156,69888,38.2,25.1,37184.68,94.6,1277032.29,1272136.22,0,Smoggy
2026-01-23,Friday,Yellow Line,153,55080,32.1,49.3,37266.29,86.5,1224516.71,1362319.22,0,Smoggy
2026-01-08,Thursday,Violet Line,354,144432,44.0,46.6,67673.56,88.6,3893393.83,2466232.14,0,Clear
2026-01-26,Monday,Green Line,138,46368,32.1,29.6,30773.41,84.8,1006066.98,1153437.97,1,Rainy
2026-01-16,Friday,Blue Line,145,54665,42.1,56.6,25685.24,87.8,1383718.55,783913.49,0,Cloudy
2026-01-23,Friday,Green Line,216,61128,36.5,29.6,52137.08,81.7,1152057.66,2205275.43,0,Clear
2026-02-04,Wednesday,Green Line,280,94080,40.5,29.6,53331.58,84.9,2253123.61,2383037.39,0,Foggy
2026-02-18,Wednesday,Violet Line,339,126786,36.8,46.6,59324.52,85.9,2809368.61,3145226.31,0,Foggy
2026-01-29,Thursday,Blue Line,338,78416,33.2,56.6,85284.29,82.3,2098618.06,3802680.63,0,Cloudy
2026-02-11,Wednesday,Blue Line,229,79921,33.4,56.6,52091.43,85.2,2003213.67,1902329.62,0,Rainy
2026-02-10,Tuesday,Blue Line,325,96850,34.2,56.6,69992.54,82.2,1959637.34,3672013.24,0,Rainy
2026-02-24,Tuesday,Blue Line,342,128592,39.2,56.6,62514.21,78.6,2890517.33,3623022.59,0,Smoggy
2026-02-08,Sunday,Blue Line,136,54400,44.2,56.6,27512.71,81.0,1038517.64,1470846.48,1,Clear
2026-01-15,Thursday,Yellow Line,311,87080,43.5,49.3,55999.22,89.1,2094134.88,1972927.34,0,Foggy
2026-02-17,Tuesday,Red Line,255,107355,44.1,25.1,49459.0,96.9,2168366.53,1323794.39,0,Cloudy
2026-01-22,Thursday,Yellow Line,207,43677,39.3,49.3,50784.61,90.1,1137927.45,1185056.8,0,Foggy
2026-01-24,Saturday,Green Line,262,113184,30.4,29.6,69578.84,84.0,2493354.57,1426738.85,0,Foggy
2026-02-15,Sunday,Yellow Line,192,48000,36.3,49.3,45992.65,79.8,1072145.3,1987674.05,1,Cloudy
2026-02-15,Sunday,Yellow Line,117,48321,36.5,49.3,23034.13,92.8,1331986.77,995262.58,1,Rainy
2026-02-25,Wednesday,Red Line,218,66272,30.3,25.1,32816.42,86.3,1527124.17,1808832.28,0,Cloudy
2026-01-18,Sunday,Red Line,137,31099,39.5,25.1,34006.48,83.5,832224.13,1445872.78,1,Rainy
2026-02-06,Friday,Blue Line,284,94572,39.6,56.6,73365.98,83.0,1997187.87,2646212.67,0,Smoggy
2026-01-06,Tuesday,Yellow Line,269,95764,38.2,49.3,47399.88,87.5,1895528.65,1426331.6,0,Clear
2026-02-07,Saturday,Yellow Line,377,148538,38.2,49.3,87740.15,97.2,3354164.7,2819920.29,0,Foggy
2026-01-07,Wednesday,Yellow Line,163,60636,37.8,49.3,41455.25,83.8,1349471.91,1201554.01,0,Cloudy
2026-01-22,Thursday,Yellow Line,288,57888,32.0,49.3,64186.26,93.1,1086526.32,1660066.0,0,Foggy
2026-01-11,Sunday,Red Line,89,37469,37.7,25.1,20539.18,87.4,751799.08,823475.6,1,Clear
2026-01-29,Thursday,Violet Line,192,67392,38.8,46.6,41974.39,77.3,1287330.18,1858954.67,0,Foggy
2026-02-08,Sunday,Blue Line,101,43430,34.7,56.6,23989.46,82.3,811359.6,920533.91,1,Rainy
2026-02-23,Monday,Yellow Line,217,54033,44.3,49.3,55909.93,77.9,1212538.13,2047969.54,0,Foggy
2026-01-30,Friday,Blue Line,327,109218,36.2,56.6,72226.47,82.9,2472751.16,2932362.33,0,Clear
2026-02-06,Friday,Blue Line,327,140283,34.9,56.6,56854.28,97.5,3055564.48,3467194.02,0,Foggy
2026-02-11,Wednesday,Yellow Line,303,124836,32.0,49.3,56641.05,83.8,2992114.22,3038484.08,0,Smoggy
2026-01-21,Wednesday,Green Line,164,72488,43.6,29.6,26725.79,94.8,1519066.18,1849198.69,0,Rainy
2026-02-15,Sunday,Yellow Line,197,66192,31.3,49.3,33042.52,97.3,1789307.49,2087334.43,1,Clear
2026-02-10,Tuesday,Yellow Line,332,95616,35.7,49.3,59308.08,76.3,2469465.48,3514344.71,0,Clear
2026-01-16,Friday,Violet Line,359,76826,44.6,46.6,57723.59,95.9,1771263.78,3070825.85,0,Cloudy
2026-02-27,Friday,Red Line,310,112840,35.9,25.1,83863.81,84.2,2296316.1,3291278.76,0,Rainy
2026-01-01,Thursday,Yellow Line,322,121394,31.4,49.3,60461.7,93.1,3381641.35,2435710.48,0,Foggy
2026-01-10,Saturday,Red Line,333,92241,36.0,25.1,72612.7,95.9,2544296.19,2040780.16,0,Foggy
