date,day,hour,station,line,footfall_count,direction,is_peak_hour,is_holiday,weather
2026-01-01,Thursday,19,Nangloi Railway Station,Green Line,417,Up,1,0,Cloudy
2026-02-15,Sunday,8,Adarsh Nagar,Yellow Line,78,Up,1,1,Foggy
2026-02-13,Friday,7,Samaypur Badli,Yellow Line,427,Up,0,0,Cloudy
2026-02-15,Sunday,7,Udyog Bhawan,Yellow Line,119,Up,0,1,Foggy
2026-02-27,Friday,9,Yamuna Bank,Blue Line,1213,Down,1,0,Clear
2026-02-25,Wednesday,21,Jahangirpuri,Yellow Line,149,Down,0,0,Clear
2026-01-23,Friday,10,Shivaji Park,Green Line,645,Down,1,0,Clear
2026-01-19,Monday,20,Noida City Centre,Blue Line,542,Up,0,0,Foggy
2026-02-19,Thursday,13,Brigadier Hoshiar Singh,Green Line,291,Down,0,0,Clear
2026-02-16,Monday,10,Mundka,Green Line,820,Down,1,0,Clear
2026-01-21,Wednesday,13,Rajdhani Park,Green Line,334,Up,0,0,Clear
2026-01-10,Saturday,11,INA,Yellow Line,285,Down,0,0,Foggy
2026-01-22,Thursday,16,Shahdara,Red Line,192,Up,0,0,Clear
2026-01-22,Thursday,6,Rajiv Chowk,Blue Line,275,Down,0,0,Smoggy
2026-01-03,Saturday,17,Uttam Nagar East,Blue Line,565,Up,1,0,Foggy
2026-01-09,Friday,9,Arjan Garh,Yellow Line,666,Down,1,0,Clear
2026-01-13,Tuesday,14,Green Park,Yellow Line,85,Down,0,0,Clear
2026-01-30,Friday,7,Nangloi,Green Line,354,Up,0,0,Cloudy
2026-01-19,Monday,23,Pratap Nagar,Red Line,41,Down,0,0,Cloudy
2026-01-27,Tuesday,20,Moolchand,Violet Line,334,Up,0,0,Foggy
2026-02-16,Monday,12,Kohat Enclave,Red Line,228,Down,0,0,Cloudy
2026-01-29,Thursday,13,Malviya Nagar,Yellow Line,342,Up,0,0,Cloudy
2026-02-28,Saturday,13,Malviya Nagar,Yellow Line,163,Down,0,0,Foggy
2026-01-06,Tuesday,17,Delhi Gate,Violet Line,558,Down,1,0,Foggy
2026-02-14,Saturday,11,Pragati Maidan,Blue Line,165,Down,0,0,Foggy
2026-02-09,Monday,6,Shivaji Park,Green Line,71,Down,0,0,Rainy
2026-01-23,Friday,13,Raja Nahar Singh,Violet Line,298,Up,0,0,Rainy
2026-02-04,Wednesday,22,HUDA City Centre,Yellow Line,297,Up,0,0,Cloudy
2026-01-29,Thursday,22,Welcome,Red Line,98,Down,0,0,Cloudy
2026-01-23,Friday,10,Chandni Chowk,Yellow Line,2415,Down,1,0,Cloudy
2026-01-15,Thursday,13,Punjabi Bagh,Green Line,360,Up,0,0,Cloudy
2026-02-13,Friday,14,MG Road,Yellow Line,94,Down,0,0,Rainy
2026-02-26,Thursday,21,Janpath,Violet Line,71,Up,0,1,Cloudy
2026-02-11,Wednesday,13,Khan Market,Violet Line,201,Down,0,0,Foggy
2026-02-01,Sunday,21,Escorts Mujesar,Violet Line,87,Up,0,1,Foggy
2026-01-24,Saturday,16,Kalkaji Mandir,Violet Line,413,Up,0,0,Rainy
2026-01-06,Tuesday,14,MG Road,Yellow Line,38,Down,0,0,Clear
2026-01-24,Saturday,5,Noida Sector 15,Blue Line,47,Down,0,0,Rainy
2026-01-08,Thursday,21,Central Secretariat,Yellow Line,118,Down,0,0,Foggy
2026-02-26,Thursday,22,Chandni Chowk,Yellow Line,369,Up,0,1,Cloudy
2026-01-22,Thursday,20,Maharaja Surajmal Stadium,Green Line,366,Down,0,0,Foggy
2026-01-18,Sunday,23,Qutab Minar,Yellow Line,94,Up,0,1,Smoggy
2026-01-21,Wednesday,7,Vishwavidyalaya,Yellow Line,688,Down,0,0,Cloudy
2026-01-02,Friday,8,Kailash Colony,Violet Line,636,Down,1,0,Foggy
2026-02-06,Friday,5,Tughlakabad,Violet Line,70,Down,0,0,Clear
2026-02-18,Wednesday,9,Guru Dronacharya,Yellow Line,666,Up,1,0,Foggy
2026-01-30,Friday,9,Chandni Chowk,Yellow Line,2514,Up,1,0,Cloudy
2026-01-07,Wednesday,14,Jangpura,Violet Line,80,Up,0,0,Clear
2026-01-22,Thursday,13,Janpath,Violet Line,274,Up,0,0,Clear
2026-01-25,Sunday,21,Rajouri Garden,Blue Line,173,Down,0,1,Clear
2026-01-06,Tuesday,22,Uttam Nagar East,Blue Line,72,Down,0,0,Clear
2026-01-15,Thursday,9,Model Town,Yellow Line,355,Up,1,0,Cloudy
2026-01-08,Thursday,23,Rajouri Garden,Blue Line,326,Down,0,0,Clear
2026-02-03,Tuesday,13,IFFCO Chowk,Yellow Line,269,Down,0,0,Smoggy
2026-02-24,Tuesday,20,HUDA City Centre,Yellow Line,509,Down,0,0,Foggy
2026-02-05,Thursday,18,Sarai,Violet Line,511,Up,1,0,Clear
2026-02-05,Thursday,11,Ramesh Nagar,Blue Line,323,Down,0,0,Rainy
2026-02-02,Monday,23,Janpath,Violet Line,82,Up,0,0,Foggy
2026-01-23,Friday,15,Noida City Centre,Blue Line,214,Down,0,0,Foggy
2026-02-19,Thursday,20,Badarpur Border,Violet Line,221,Up,0,0,Cloudy
2026-02-15,Sunday,22,Mewala Maharajpur,Violet Line,55,Up,0,1,Smoggy
2026-02-03,Tuesday,15,Lajpat Nagar,Violet Line,235,Up,0,0,Clear
2026-01-05,Monday,14,Pitampura,Red Line,92,Down,0,0,Clear
2026-02-19,Thursday,9,Nangloi Railway Station,Green Line,520,Down,1,0,Rainy
2026-02-11,Wednesday,21,Rajdhani Park,Green Line,49,Up,0,0,Smoggy
2026-02-17,Tuesday,13,Rithala,Red Line,166,Up,0,0,Clear
2026-01-10,Saturday,18,Tis Hazari,Red Line,402,Down,1,0,Smoggy
2026-01-15,Thursday,14,Brigadier Hoshiar Singh,Green Line,81,Down,0,0,Foggy
2026-02-04,Wednesday,11,Pragati Maidan,Blue Line,149,Up,0,0,Rainy
2026-02-11,Wednesday,22,Rajendra Place,Blue Line,94,Up,0,0,Rainy
2026-02-28,Saturday,9,Escorts Mujesar,Violet Line,554,Down,1,0,Clear
2026-01-10,Saturday,11,Jasola Apollo,Violet Line,258,Down,0,0,Clear
2026-01-31,Saturday,21,Paschim Vihar West,Green Line,72,Down,0,0,Clear
2026-02-12,Thursday,22,Kalkaji Mandir,Violet Line,109,Down,0,0,Cloudy
2026-02-28,Saturday,12,Harkesh Nagar Okhla,Violet Line,231,Down,0,0,Foggy
2026-02-16,Monday,15,Jama Masjid,Violet Line,101,Down,0,0,Foggy
2026-01-07,Wednesday,20,Dwarka,Blue Line,177,Up,0,0,Cloudy
2026-01-08,Thursday,16,Lajpat Nagar,Violet Line,855,Down,0,0,Foggy
2026-02-27,Friday,9,Kirti Nagar,Blue Line,651,Down,1,0,Clear
2026-01-18,Sunday,6,Old Faridabad,Violet Line,55,Up,0,1,Cloudy
2026-01-03,Saturday,16,Shastri Park,Red Line,262,Up,0,0,Foggy
2026-02-03,Tuesday,20,Udyog Bhawan,Yellow Line,191,Up,0,0,Cloudy
2026-02-14,Saturday,9,MG Road,Yellow Line,794,Up,1,0,Clear
2026-02-18,Wednesday,15,Pulbangash,Red Line,96,Down,0,0,Foggy
2026-02-27,Friday,21,Vidhan Sabha,Yellow Line,150,Up,0,0,Cloudy
2026-02-10,Tuesday,10,Lal Quila,Violet Line,482,Up,1,0,Clear
2026-01-16,Friday,18,Pragati Maidan,Blue Line,479,Up,1,0,Clear
2026-01-05,Monday,16,Tis Hazari,Red Line,277,Down,0,0,Foggy
2026-01-21,Wednesday,16,Neelam Chowk Ajronda,Violet Line,243,Down,0,0,Smoggy
2026-01-01,Thursday,7,Haiderpur Badli Mor,Yellow Line,267,Up,0,0,Foggy
2026-02-10,Tuesday,8,Raja Nahar Singh,Violet Line,427,Up,1,0,Smoggy
2026-02-22,Sunday,22,Moti Nagar,Blue Line,94,Down,0,1,Rainy
2026-01-04,Sunday,18,Seelampur,Red Line,104,Down,1,1,Clear
2026-01-22,Thursday,22,Sikanderpur,Yellow Line,340,Up,0,0,Cloudy
2026-01-12,Monday,13,Chhattarpur,Yellow Line,333,Down,0,0,Foggy
2026-02-01,Sunday,9,IFFCO Chowk,Yellow Line,63,Down,1,1,Smoggy
2026-02-07,Saturday,21,Noida City Centre,Blue Line,368,Down,0,0,Clear
2026-01-17,Saturday,11,Neelam Chowk Ajronda,Violet Line,299,Up,0,0,Foggy
2026-02-28,Saturday,19,Indraprastha,Blue Line,432,Down,1,0,Cloudy
2026-01-28,Wednesday,12,Maharaja Surajmal Stadium,Green Line,234,Down,0,0,Cloudy
2026-01-01,Thursday,17,HUDA City Centre,Yellow Line,888,Down,1,0,Foggy
2026-01-19,Monday,9,Lal Quila,Violet Line,491,Down,1,0,Smoggy
2026-01-19,Monday,13,Pragati Maidan,Blue Line,270,Up,0,0,Cloudy
2026-02-20,Friday,19,GTB Nagar,Yellow Line,585,Up,1,0,Cloudy
2026-01-05,Monday,11,Shahdara,Red Line,226,Up,0,0,Foggy
2026-01-27,Tuesday,21,New Delhi,Yellow Line,238,Up,0,0,Clear
2026-01-27,Tuesday,15,Sarita Vihar,Violet Line,97,Down,0,0,Cloudy
2026-02-14,Saturday,8,Rajendra Place,Blue Line,532,Up,1,0,Foggy
2026-02-11,Wednesday,16,Escorts Mujesar,Violet Line,260,Up,0,0,Rainy
2026-02-21,Saturday,22,Seelampur,Red Line,126,Down,0,0,Clear
2026-02-23,Monday,11,Dilshad Garden,Red Line,633,Up,0,0,Foggy
2026-01-12,Monday,21,Rajdhani Park,Green Line,105,Up,0,0,Rainy
2026-02-19,Thursday,15,Sarai,Violet Line,102,Down,0,0,Cloudy
2026-01-04,Sunday,20,Paschim Vihar West,Green Line,69,Down,0,1,Clear
2026-01-31,Saturday,17,Dwarka,Blue Line,339,Up,1,0,Clear
2026-01-05,Monday,23,Rajiv Chowk,Blue Line,270,Down,0,0,Clear
2026-01-25,Sunday,8,Udyog Bhawan,Yellow Line,104,Up,1,1,Clear
2026-01-01,Thursday,21,Tis Hazari,Red Line,79,Up,0,0,Rainy
2026-02-01,Sunday,11,Sarita Vihar,Violet Line,93,Down,0,1,Clear
2026-01-08,Thursday,17,IFFCO Chowk,Yellow Line,576,Up,1,0,Foggy
2026-02-19,Thursday,8,Adarsh Nagar,Yellow Line,379,Up,1,0,Clear
2026-02-03,Tuesday,22,Shastri Nagar,Red Line,92,Up,0,0,Smoggy
2026-02-22,Sunday,11,IFFCO Chowk,Yellow Line,63,Down,0,1,Foggy
2026-01-09,Friday,15,Nangloi,Green Line,120,Down,0,0,Cloudy
2026-01-19,Monday,10,Jahangirpuri,Yellow Line,290,Down,1,0,Foggy
2026-01-23,Friday,13,Khan Market,Violet Line,371,Down,0,0,Cloudy
2026-01-28,Wednesday,16,Harkesh Nagar Okhla,Violet Line,353,Up,0,0,Clear
2026-02-28,Saturday,10,AIIMS,Yellow Line,285,Up,1,0,Clear
2026-02-20,Friday,12,Noida City Centre,Blue Line,507,Up,0,0,Foggy
2026-01-01,Thursday,9,Peeragarhi,Green Line,583,Down,1,0,Smoggy
2026-02-24,Tuesday,5,Keshav Puram,Red Line,103,Down,0,0,Foggy
2026-02-15,Sunday,23,Badarpur Border,Violet Line,80,Down,0,1,Foggy
2026-01-09,Friday,12,New Delhi,Yellow Line,769,Down,0,0,Rainy
2026-02-09,Monday,12,Paschim Vihar East,Green Line,227,Down,0,0,Foggy
2026-01-11,Sunday,21,Pragati Maidan,Blue Line,101,Up,0,1,Clear
2026-02-18,Wednesday,19,JLN Stadium,Violet Line,353,Down,1,0,Foggy
2026-01-15,Thursday,20,Jor Bagh,Yellow Line,396,Down,0,0,Foggy
2026-02-18,Wednesday,19,Brigadier Hoshiar Singh,Green Line,579,Up,1,0,Clear
2026-01-21,Wednesday,15,Mundka,Green Line,105,Up,0,0,Clear
2026-02-15,Sunday,12,Inderlok,Red Line,50,Down,0,1,Cloudy
2026-01-26,Monday,18,Jor Bagh,Yellow Line,91,Up,1,1,Smoggy
2026-02-26,Thursday,9,Badkhal Mor,Violet Line,76,Down,1,1,Foggy
2026-02-10,Tuesday,14,Pratap Nagar,Red Line,93,Up,0,0,Clear
2026-01-23,Friday,14,Kanhaiya Nagar,Red Line,144,Up,0,0,Clear
2026-01-09,Friday,15,Sultanpur,Yellow Line,57,Down,0,0,Rainy
2026-02-13,Friday,19,Peeragarhi,Green Line,391,Down,1,0,Clear
2026-01-05,Monday,14,Arjan Garh,Yellow Line,94,Up,0,0,Smoggy
2026-01-06,Tuesday,9,Badarpur Border,Violet Line,395,Up,1,0,Clear
2026-02-26,Thursday,15,Green Park,Yellow Line,87,Up,0,1,Rainy
2026-01-15,Thursday,10,Noida City Centre,Blue Line,1275,Up,1,0,Rainy
2026-02-25,Wednesday,17,Janakpuri West,Blue Line,1521,Down,1,0,Foggy
2026-01-28,Wednesday,15,Rajiv Chowk,Blue Line,300,Up,0,0,Foggy
2026-02-15,Sunday,6,Pulbangash,Red Line,120,Down,0,1,Clear
2026-02-23,Monday,22,Neelam Chowk Ajronda,Violet Line,79,Down,0,0,Smoggy
2026-01-17,Saturday,14,Adarsh Nagar,Yellow Line,66,Up,0,0,Clear
2026-01-29,Thursday,18,Azadpur,Yellow Line,1542,Up,1,0,Clear
2026-02-08,Sunday,17,Jahangirpuri,Yellow Line,105,Up,1,1,Rainy
2026-02-17,Tuesday,13,Chawri Bazar,Yellow Line,332,Up,0,0,Rainy
2026-02-22,Sunday,18,Harkesh Nagar Okhla,Violet Line,106,Up,1,1,Clear
2026-02-07,Saturday,11,Jor Bagh,Yellow Line,265,Up,0,0,Foggy
2026-01-22,Thursday,18,Indraprastha,Blue Line,552,Down,1,0,Cloudy
2026-01-12,Monday,20,Satguru Ram Singh Marg,Green Line,140,Down,0,0,Cloudy
2026-01-31,Saturday,21,Arjan Garh,Yellow Line,38,Down,0,0,Cloudy
2026-01-08,Thursday,21,Malviya Nagar,Yellow Line,117,Down,0,0,Cloudy
2026-02-15,Sunday,9,Rajdhani Park,Green Line,85,Down,1,1,Clear
2026-01-08,Thursday,19,Pragati Maidan,Blue Line,490,Down,1,0,Cloudy
2026-01-09,Friday,5,Qutab Minar,Yellow Line,88,Up,0,0,Clear
2026-01-25,Sunday,23,Badkhal Mor,Violet Line,70,Down,0,1,Smoggy
2026-01-16,Friday,23,Civil Lines,Yellow Line,169,Down,0,0,Foggy
2026-01-26,Monday,20,Vishwavidyalaya,Yellow Line,170,Up,0,1,Rainy
2026-02-28,Saturday,20,Inderlok,Red Line,431,Down,0,0,Clear
2026-01-24,Saturday,7,AIIMS,Yellow Line,374,Down,0,0,Foggy
2026-02-01,Sunday,18,Badarpur Border,Violet Line,88,Down,1,1,Smoggy
2026-01-19,Monday,9,Rajiv Chowk,Blue Line,1820,Down,1,0,Rainy
2026-02-06,Friday,22,Punjabi Bagh,Green Line,152,Down,0,0,Foggy
2026-01-17,Saturday,7,Chhattarpur,Yellow Line,154,Down,0,0,Clear
2026-02-05,Thursday,19,GTB Nagar,Yellow Line,257,Down,1,0,Smoggy
2026-01-02,Friday,6,NHPC Chowk,Violet Line,85,Up,0,0,Clear
2026-02-28,Saturday,21,Arjan Garh,Yellow Line,151,Down,0,0,Clear
2026-01-11,Sunday,5,Jor Bagh,Yellow Line,100,Down,0,1,Cloudy
2026-01-31,Saturday,11,Dwarka Sector 21,Blue Line,613,Down,0,0,Foggy
2026-01-29,Thursday,5,Shivaji Park,Green Line,141,Up,0,0,Clear
2026-01-09,Friday,16,Badkhal Mor,Violet Line,189,Down,0,0,Foggy
2026-01-17,Saturday,9,Adarsh Nagar,Yellow Line,371,Up,1,0,Clear
2026-01-10,Saturday,12,Kanhaiya Nagar,Red Line,197,Up,0,0,Foggy
2026-02-06,Friday,21,Nehru Place,Violet Line,235,Up,0,0,Clear
2026-01-02,Friday,12,Rithala,Red Line,283,Down,0,0,Rainy
2026-01-05,Monday,5,Dwarka,Blue Line,81,Down,0,0,Clear
2026-02-19,Thursday,11,Paschim Vihar West,Green Line,388,Down,0,0,Foggy
2026-01-02,Friday,15,Pitampura,Red Line,73,Down,0,0,Cloudy
2026-01-25,Sunday,14,Chawri Bazar,Yellow Line,100,Down,0,1,Clear
2026-01-26,Monday,23,INA,Yellow Line,96,Down,0,1,Cloudy
2026-01-10,Saturday,23,Rohini East,Red Line,66,Up,0,0,Smoggy
2026-02-05,Thursday,22,Ramesh Nagar,Blue Line,77,Up,0,0,Foggy
2026-01-31,Saturday,12,Inderlok,Red Line,294,Down,0,0,Cloudy
2026-01-04,Sunday,10,Race Course,Yellow Line,113,Down,1,1,Clear
2026-01-16,Friday,11,MG Road,Yellow Line,201,Down,0,0,Foggy
2026-01-02,Friday,17,Rajiv Chowk,Blue Line,1156,Down,1,0,Clear
2026-02-17,Tuesday,19,Janakpuri West,Blue Line,964,Up,1,0,Clear
2026-01-06,Tuesday,7,Arjan Garh,Yellow Line,242,Up,0,0,Rainy
2026-01-11,Sunday,18,Indraprastha,Blue Line,51,Down,1,1,Foggy
2026-02-20,Friday,14,Peeragarhi,Green Line,76,Down,0,0,Smoggy
2026-01-30,Friday,15,Mundka,Green Line,56,Down,0,0,Cloudy
2026-02-23,Monday,7,Noida Sector 16,Blue Line,227,Down,0,0,Foggy
2026-01-16,Friday,13,Shivaji Park,Green Line,161,Up,0,0,Smoggy
2026-01-26,Monday,21,New Delhi,Yellow Line,318,Up,0,1,Cloudy
2026-02-05,Thursday,16,Barakhamba Road,Blue Line,256,Up,0,0,Clear
2026-02-18,Wednesday,12,Jasola Apollo,Violet Line,168,Up,0,0,Clear
2026-01-29,Thursday,19,Chhattarpur,Yellow Line,549,Down,1,0,Clear
2026-02-21,Saturday,18,NHPC Chowk,Violet Line,675,Up,1,0,Foggy
2026-01-23,Friday,7,Saket,Yellow Line,298,Down,0,0,Cloudy
2026-01-11,Sunday,18,Tis Hazari,Red Line,124,Up,1,1,Foggy
2026-01-06,Tuesday,17,ITO,Violet Line,307,Up,1,0,Cloudy
2026-01-20,Tuesday,22,Kanhaiya Nagar,Red Line,107,Down,0,0,Foggy
2026-02-15,Sunday,11,Race Course,Yellow Line,124,Down,0,1,Foggy
2026-02-09,Monday,14,Noida Sector 15,Blue Line,148,Up,0,0,Clear
2026-02-02,Monday,23,Sultanpur,Yellow Line,66,Up,0,0,Clear
2026-01-24,Saturday,15,Rohini Sector 18,Yellow Line,70,Up,0,0,Smoggy
2026-02-24,Tuesday,5,Noida Sector 15,Blue Line,83,Up,0,0,Clear
2026-02-20,Friday,7,Shahdara,Red Line,321,Up,0,0,Rainy
2026-01-06,Tuesday,21,Ramesh Nagar,Blue Line,173,Up,0,0,Foggy
2026-02-02,Monday,15,Badarpur Border,Violet Line,51,Up,0,0,Cloudy
2026-01-17,Saturday,20,Ashok Park Main,Green Line,292,Up,0,0,Foggy
2026-01-02,Friday,22,Yamuna Bank,Blue Line,256,Up,0,0,Cloudy
2026-01-29,Thursday,7,Sector 28,Violet Line,280,Up,0,0,Rainy
2026-01-09,Friday,21,Ghitorni,Yellow Line,75,Down,0,0,Foggy
2026-01-04,Sunday,17,Lajpat Nagar,Violet Line,216,Up,1,1,Foggy
2026-01-31,Saturday,18,Badarpur Border,Violet Line,358,Down,1,0,Foggy
2026-02-18,Wednesday,6,Tis Hazari,Red Line,81,Down,0,0,Rainy
2026-01-13,Tuesday,22,Rohini East,Red Line,166,Up,0,0,Clear
2026-02-13,Friday,18,Badkhal Mor,Violet Line,567,Up,1,0,Foggy
2026-02-13,Friday,10,Patel Chowk,Yellow Line,379,Down,1,0,Clear
