date,day,line,ridership_count,avg_trip_duration_min,revenue_inr,transport_type,total_trips,operational_hours,is_holiday,weather
2026-01-05,Monday,Blue Line,67689,39.2,1227581.67,Metro Rail,270,17.561208819490474,0,Foggy
2026-02-28,Saturday,Green Line,17440,27.5,499965.46,Metro Rail,282,17.658499953972477,0,Clear
2026-02-04,Wednesday,Blue Line,68121,17.5,1763264.34,Metro Rail,192,18.393012624965102,0,Clear
2026-01-26,Monday,Yellow Line,27435,33.5,559891.13,Metro Rail,208,18.67002291768361,1,Foggy
2026-02-24,Tuesday,Red Line,44810,17.6,1276718.39,Metro Rail,193,18.943057374189678,0,Clear
2026-02-15,Sunday,Yellow Line,26829,51.1,795643.38,Metro Rail,245,18.48845638476044,1,Clear
2026-02-12,Thursday,Violet Line,54109,29.3,1435042.88,Metro Rail,321,18.97148938844297,0,Foggy
2026-02-10,Tuesday,Red Line,44828,33.0,1366428.66,Metro Rail,164,17.665484139697035,0,Clear
2026-02-08,Sunday,Green Line,10646,53.8,317372.88,Metro Rail,326,18.179458457209435,1,Foggy
2026-01-16,Friday,Red Line,45366,18.2,1234409.59,Metro Rail,163,18.233327626194896,0,Rainy
2026-02-21,Saturday,Violet Line,30050,41.8,611534.53,Metro Rail,187,17.664914585056188,0,Clear
2026-02-09,Monday,Violet Line,54253,39.8,1190961.58,Metro Rail,210,18.2186780285297,0,Clear
2026-01-17,Saturday,Violet Line,29636,47.0,894683.0,Metro Rail,293,18.682232150777736,0,Smoggy
2026-02-22,Sunday,Violet Line,18218,52.4,429857.83,Metro Rail,341,18.315475379093865,1,Smoggy
2026-02-15,Sunday,Yellow Line,27235,27.8,557987.49,Metro Rail,254,17.679616344834038,1,Clear
2026-02-18,Wednesday,Yellow Line,81160,50.0,2457489.26,Metro Rail,396,18.59263602393523,0,Clear
2026-02-27,Friday,Red Line,45084,21.3,1022159.85,Metro Rail,382,18.513855529173657,0,Clear
2026-01-07,Wednesday,Violet Line,53406,41.3,1237464.98,Metro Rail,271,18.864992056136288,0,Cloudy
2026-02-11,Wednesday,Green Line,31637,18.7,815008.92,Metro Rail,330,17.661210900491355,0,Clear
2026-01-24,Saturday,Violet Line,30096,18.5,686016.91,Metro Rail,300,18.065613016606214,0,Clear
2026-01-16,Friday,Blue Line,67764,53.2,1894586.53,Metro Rail,218,18.483268256791998,0,Cloudy
2026-01-10,Saturday,Red Line,24924,20.7,462422.71,Metro Rail,338,18.253024494014074,0,Rainy
2026-01-30,Friday,Blue Line,67587,48.7,1403710.9,Metro Rail,312,18.0273965943104,0,Cloudy
2026-02-13,Friday,Blue Line,67348,32.8,1784634.51,Metro Rail,166,18.194669035633876,0,Foggy
2026-01-23,Friday,Blue Line,67623,15.8,1796774.16,Metro Rail,268,18.447734489414582,0,Clear
2026-02-16,Monday,Red Line,45159,54.7,1327471.08,Metro Rail,186,18.715395772582767,0,Foggy
2026-01-31,Saturday,Green Line,17388,35.9,345512.75,Metro Rail,292,17.736500671018685,0,Smoggy
2026-01-07,Wednesday,Yellow Line,81099,16.9,2591840.79,Metro Rail,388,18.368236036057418,0,Smoggy
2026-01-11,Sunday,Yellow Line,27280,43.8,767177.9,Metro Rail,342,17.81457737713388,1,Smoggy
2026-02-10,Tuesday,Red Line,45092,42.2,918728.78,Metro Rail,290,18.51533368853145,0,Cloudy
2026-01-08,Thursday,Green Line,31361,52.0,583909.53,Metro Rail,262,18.192245004663143,0,Clear
2026-02-12,Thursday,Blue Line,67362,50.2,1386213.48,Metro Rail,237,18.53438676393982,0,Cloudy
2026-01-08,Thursday,Green Line,31439,37.1,884364.92,Metro Rail,180,17.5683272201724,0,Cloudy
2026-02-22,Sunday,Blue Line,22413,41.2,561370.12,Metro Rail,198,17.9498529277353,1,Foggy
2026-02-27,Friday,Red Line,44820,17.3,1351700.13,Metro Rail,320,17.714782998523788,0,Smoggy
2026-02-01,Sunday,Blue Line,22701,48.3,608512.35,Metro Rail,152,18.89319777967388,1,Rainy
2026-02-17,Tuesday,Blue Line,67258,54.8,1805703.53,Metro Rail,294,17.51676781185839,0,Clear
2026-02-04,Wednesday,Yellow Line,81093,23.4,2239471.47,Metro Rail,352,18.899414141142415,0,Clear
2026-01-20,Tuesday,Blue Line,67423,37.8,1344494.1,Metro Rail,255,18.4970988765137,0,Clear
2026-01-06,Tuesday,Violet Line,53626,44.7,1347884.88,Metro Rail,245,17.598165537455262,0,Clear
2026-02-20,Friday,Green Line,31511,24.5,697537.09,Metro Rail,265,17.690151551874656,0,Foggy
2026-02-12,Thursday,Violet Line,53862,47.5,1084555.06,Metro Rail,161,18.914145627614108,0,Foggy
2026-01-24,Saturday,Red Line,25015,37.1,492535.86,Metro Rail,306,18.756183596057273,0,Foggy
2026-01-13,Tuesday,Red Line,45304,31.9,1239389.81,Metro Rail,167,17.67638117015402,0,Foggy
2026-02-10,Tuesday,Red Line,44989,54.6,1335734.24,Metro Rail,169,17.929174228291554,0,Smoggy
2026-01-19,Monday,Blue Line,67818,43.2,2139178.4,Metro Rail,210,17.594537241628604,0,Clear
2026-02-13,Friday,Red Line,45116,32.9,1318768.91,Metro Rail,189,18.75310178338462,0,Clear
2026-01-04,Sunday,Green Line,10414,43.8,307691.22,Metro Rail,153,18.329131822320136,1,Rainy
2026-02-13,Friday,Yellow Line,81576,35.3,1903920.6,Metro Rail,305,18.684692635251622,0,Clear
2026-02-02,Monday,Blue Line,67876,19.2,1545727.41,Metro Rail,191,17.75605854146235,0,Cloudy
2026-01-31,Saturday,Yellow Line,44901,47.7,844191.09,Metro Rail,174,18.129038267313334,0,Cloudy
2026-02-17,Tuesday,Blue Line,68067,34.1,1385004.32,Metro Rail,316,18.93796383352047,0,Foggy
2026-02-19,Thursday,Violet Line,54339,40.7,1520811.07,Metro Rail,397,18.123907743152202,0,Cloudy
2026-02-02,Monday,Blue Line,67056,48.9,2059719.97,Metro Rail,295,18.919243107494147,0,Rainy
2026-02-05,Thursday,Yellow Line,80926,32.3,2534576.72,Metro Rail,355,17.825780695409833,0,Foggy
2026-02-14,Saturday,Yellow Line,44492,37.0,1199855.56,Metro Rail,218,18.724199311138992,0,Foggy
2026-01-16,Friday,Yellow Line,80949,28.1,1982608.97,Metro Rail,340,18.079380575476076,0,Foggy
2026-01-22,Thursday,Blue Line,67932,53.8,1689915.48,Metro Rail,258,18.669217274445476,0,Smoggy
2026-02-01,Sunday,Red Line,15145,32.4,416604.53,Metro Rail,223,17.69192289843887,1,Foggy
2026-02-04,Wednesday,Green Line,31359,46.6,708571.05,Metro Rail,362,18.147344182809626,0,Cloudy
2026-01-07,Wednesday,Yellow Line,81642,40.7,1529280.07,Metro Rail,199,18.71720367662541,0,Foggy
2026-01-25,Sunday,Red Line,14802,35.3,349115.69,Metro Rail,247,18.362447489128762,1,Foggy
2026-02-18,Wednesday,Violet Line,53931,34.5,1250180.63,Metro Rail,259,18.13591162467479,0,Cloudy
2026-01-21,Wednesday,Yellow Line,81221,47.3,1869835.51,Metro Rail,250,17.605698935268933,0,Cloudy
2026-01-27,Tuesday,Blue Line,67060,30.8,1684694.3,Metro Rail,212,17.92826808193168,0,Foggy
2026-02-19,Thursday,Green Line,31583,41.0,1000600.18,Metro Rail,187,18.805539268066035,0,Foggy
2026-01-07,Wednesday,Red Line,45091,30.5,897502.6,Metro Rail,356,17.635475323723252,0,Cloudy
2026-02-01,Sunday,Red Line,14762,27.7,429056.15,Metro Rail,193,17.778520325048998,1,Foggy
2026-01-03,Saturday,Blue Line,37255,25.0,1143947.74,Metro Rail,367,17.862662511129283,0,Foggy
2026-01-04,Sunday,Red Line,14912,49.5,327302.3,Metro Rail,316,17.568566605389154,1,Smoggy
2026-01-18,Sunday,Violet Line,18114,52.1,479852.08,Metro Rail,374,18.60053603532286,1,Cloudy
2026-02-08,Sunday,Green Line,10462,46.1,237813.43,Metro Rail,355,18.252456702580613,1,Rainy
2026-01-28,Wednesday,Red Line,44890,40.3,1008007.13,Metro Rail,294,18.03902251865994,0,Clear
2026-01-05,Monday,Blue Line,67738,48.4,1601577.34,Metro Rail,397,17.61722895367524,0,Cloudy
2026-02-24,Tuesday,Violet Line,53846,44.8,1578348.93,Metro Rail,387,18.29163561736111,0,Smoggy
2026-01-02,Friday,Blue Line,67336,49.6,1964560.34,Metro Rail,207,17.628972621400663,0,Clear
2026-02-08,Sunday,Red Line,14958,28.7,349725.73,Metro Rail,260,18.205981740284695,1,Smoggy
2026-02-06,Friday,Red Line,44817,16.4,908797.79,Metro Rail,260,17.844815757228183,0,Clear
2026-01-04,Sunday,Red Line,14965,20.2,317701.67,Metro Rail,329,18.99961342570764,1,Cloudy
2026-01-05,Monday,Blue Line,67831,42.0,1345185.21,Metro Rail,327,17.504413454914822,0,Cloudy
2026-01-03,Saturday,Yellow Line,44872,15.3,1037676.18,Metro Rail,246,17.534166678740867,0,Clear
2026-02-19,Thursday,Yellow Line,80134,38.4,2217701.17,Metro Rail,318,18.047759306950496,0,Clear
2026-01-05,Monday,Yellow Line,81205,24.2,2379642.12,Metro Rail,200,18.430678649398388,0,Clear
2026-02-12,Thursday,Green Line,31598,16.4,657629.6,Metro Rail,284,18.835167882637844,0,Foggy
2026-02-03,Tuesday,Red Line,44904,49.1,1112669.04,Metro Rail,196,18.38309110557943,0,Cloudy
2026-02-23,Monday,Yellow Line,80992,25.7,2208707.83,Metro Rail,225,17.77696102420754,0,Rainy
2026-02-20,Friday,Green Line,31376,16.1,847499.28,Metro Rail,155,18.813050036735937,0,Smoggy
2026-02-06,Friday,Violet Line,54172,25.6,1342357.71,Metro Rail,173,18.46989971057567,0,Smoggy
2026-01-21,Wednesday,Violet Line,54440,17.6,1324139.49,Metro Rail,219,18.111464366987473,0,Rainy
2026-01-01,Thursday,Yellow Line,80744,26.5,2185391.83,Metro Rail,269,18.329768946437337,0,Rainy
2026-01-04,Sunday,Green Line,10521,37.9,205652.06,Metro Rail,306,18.719406100292613,1,Clear
2026-02-15,Sunday,Violet Line,17929,18.9,419499.33,Metro Rail,238,17.511920201236205,1,Rainy
2026-01-22,Thursday,Yellow Line,81621,35.9,1617191.04,Metro Rail,348,17.700171421511985,0,Cloudy
2026-01-21,Wednesday,Red Line,44842,27.8,837721.81,Metro Rail,370,17.661110704364653,0,Cloudy
2026-02-13,Friday,Green Line,31614,24.3,612235.36,Metro Rail,267,18.133518281774847,0,Foggy
2026-02-15,Sunday,Green Line,10584,24.9,266628.56,Metro Rail,333,17.959340595695835,1,Foggy
2026-02-22,Sunday,Yellow Line,27342,38.0,744840.45,Metro Rail,289,18.920729830681005,1,Rainy
2026-02-08,Sunday,Red Line,14886,22.2,276585.56,Metro Rail,262,17.790857582905325,1,Cloudy
2026-02-10,Tuesday,Yellow Line,80757,37.3,1905778.28,Metro Rail,308,18.373573220149574,0,Cloudy
2026-01-05,Monday,Green Line,31345,44.1,943916.18,Metro Rail,231,18.108444435424364,0,Rainy
2026-02-11,Wednesday,Violet Line,54132,31.1,1055547.22,Metro Rail,327,17.759156513269524,0,Rainy
2026-02-15,Sunday,Green Line,10562,48.0,299310.51,Metro Rail,359,17.84689602111512,1,Foggy
2026-01-29,Thursday,Blue Line,67263,43.6,1662104.31,Metro Rail,289,18.082332094693395,0,Clear
2026-02-19,Thursday,Yellow Line,80969,51.8,1733902.75,Metro Rail,205,18.902012314389253,0,Cloudy
2026-02-16,Monday,Violet Line,53420,17.4,1425614.69,Metro Rail,380,18.656270363711904,0,Rainy
2026-01-09,Friday,Yellow Line,81334,39.1,2355502.25,Metro Rail,223,18.32322583879007,0,Rainy
2026-01-01,Thursday,Yellow Line,80731,17.8,2138045.5,Metro Rail,247,17.63120224628411,0,Smoggy
2026-02-22,Sunday,Blue Line,22438,17.2,615921.0,Metro Rail,157,17.865058888098023,1,Clear
2026-01-08,Thursday,Yellow Line,81378,32.5,2338808.6,Metro Rail,263,18.55261529469525,0,Rainy
2026-01-20,Tuesday,Violet Line,54112,38.7,1569204.69,Metro Rail,169,18.73952982391988,0,Clear
2026-02-01,Sunday,Yellow Line,26895,42.6,511634.71,Metro Rail,345,17.641610674720035,1,Foggy
2026-01-28,Wednesday,Yellow Line,81786,54.9,2612644.04,Metro Rail,203,18.46685101326945,0,Smoggy
2026-01-06,Tuesday,Red Line,45214,35.0,887276.15,Metro Rail,207,18.93579013343964,0,Clear
2026-02-22,Sunday,Red Line,15032,23.9,299298.91,Metro Rail,276,18.323795513870532,1,Foggy
2026-02-26,Thursday,Green Line,10344,15.6,245055.13,Metro Rail,390,18.751289950078167,1,Clear
2026-01-29,Thursday,Blue Line,68035,33.7,2045494.96,Metro Rail,264,18.818385526590422,0,Clear
2026-02-23,Monday,Violet Line,54402,42.4,1386111.93,Metro Rail,222,17.937329900563498,0,Foggy
2026-01-10,Saturday,Yellow Line,44951,33.9,876420.51,Metro Rail,257,17.5839429004214,0,Foggy
2026-01-29,Thursday,Blue Line,67107,16.8,1416699.5,Metro Rail,288,18.443338054374212,0,Cloudy
2026-01-12,Monday,Yellow Line,81626,45.7,1890937.06,Metro Rail,157,18.504894463572047,0,Cloudy
2026-02-25,Wednesday,Green Line,31301,27.9,754535.41,Metro Rail,328,18.399359632213336,0,Clear
2026-02-13,Friday,Green Line,31646,36.9,782711.23,Metro Rail,303,17.721845518532696,0,Cloudy
2026-01-24,Saturday,Green Line,17327,46.3,386993.93,Metro Rail,399,17.608855692040947,0,Foggy
2026-01-14,Wednesday,Green Line,31394,48.0,864045.03,Metro Rail,248,18.15363255845343,0,Rainy
2026-02-05,Thursday,Red Line,45026,52.1,1184918.04,Metro Rail,329,18.141917024263698,0,Cloudy
2026-02-05,Thursday,Red Line,45010,46.6,852272.34,Metro Rail,361,18.113151660674337,0,Clear
2026-01-21,Wednesday,Yellow Line,80607,16.5,2191607.08,Metro Rail,275,18.537996577217164,0,Clear
2026-02-10,Tuesday,Violet Line,53517,15.4,1705470.38,Metro Rail,244,18.584214769170252,0,Foggy
2026-01-14,Wednesday,Blue Line,67407,15.9,1657218.12,Metro Rail,370,18.938864613998096,0,Foggy
2026-01-23,Friday,Violet Line,54114,16.3,1346854.21,Metro Rail,250,17.731260188746884,0,Cloudy
2026-01-13,Tuesday,Green Line,31369,54.4,846564.5,Metro Rail,270,18.85376247920489,0,Rainy
2026-01-26,Monday,Blue Line,22476,47.7,448416.7,Metro Rail,316,18.070792949585503,1,Foggy
2026-01-16,Friday,Yellow Line,81246,41.4,2079190.35,Metro Rail,232,18.923188183763155,0,Foggy
2026-02-17,Tuesday,Blue Line,67600,54.5,1450364.39,Metro Rail,265,18.267447741124798,0,Clear
2026-02-16,Monday,Green Line,31272,32.7,617675.81,Metro Rail,174,17.551711524511237,0,Smoggy
2026-01-25,Sunday,Red Line,14980,24.9,437580.62,Metro Rail,334,17.69481685431942,1,Clear
2026-02-13,Friday,Green Line,31413,26.3,754327.21,Metro Rail,278,18.48887037468158,0,Cloudy
2026-02-10,Tuesday,Blue Line,67618,25.5,1741402.37,Metro Rail,298,18.945777715433202,0,Cloudy
2026-02-18,Wednesday,Blue Line,67629,49.7,1623203.36,Metro Rail,307,18.390229827595586,0,Foggy
2026-01-31,Saturday,Violet Line,30284,49.3,589582.08,Metro Rail,333,18.476528637288,0,Rainy
2026-01-27,Tuesday,Blue Line,67789,29.0,1855243.72,Metro Rail,294,18.185702938663926,0,Clear
2026-02-12,Thursday,Violet Line,53828,53.4,1462251.01,Metro Rail,204,18.891220254122864,0,Clear
2026-02-13,Friday,Yellow Line,80805,26.2,1708573.47,Metro Rail,238,17.656391608690644,0,Cloudy
2026-01-17,Saturday,Red Line,25134,54.2,613762.06,Metro Rail,182,18.401425729604483,0,Foggy
2026-01-05,Monday,Blue Line,67725,28.8,1999796.31,Metro Rail,312,18.60031707523821,0,Cloudy
2026-01-22,Thursday,Yellow Line,80791,42.5,2197747.72,Metro Rail,296,18.28335896894914,0,Rainy
2026-02-07,Saturday,Blue Line,37752,54.0,790330.45,Metro Rail,228,17.655206969692397,0,Cloudy
2026-01-14,Wednesday,Yellow Line,82006,40.3,2608587.54,Metro Rail,163,17.505136810668777,0,Rainy
2026-02-02,Monday,Red Line,45015,29.6,941535.05,Metro Rail,178,18.1472813561763,0,Rainy
2026-01-13,Tuesday,Blue Line,67648,21.7,1839675.87,Metro Rail,366,17.66005571283638,0,Cloudy
2026-02-02,Monday,Blue Line,67417,42.8,1623135.72,Metro Rail,208,18.44633079920568,0,Foggy
2026-02-21,Saturday,Blue Line,37674,29.4,857447.89,Metro Rail,161,17.87654839200297,0,Foggy
2026-01-15,Thursday,Green Line,31566,24.8,967997.49,Metro Rail,377,17.824901026122262,0,Foggy
2026-02-28,Saturday,Yellow Line,45588,15.3,1150192.61,Metro Rail,269,17.628762255135037,0,Rainy
2026-02-28,Saturday,Violet Line,30118,36.1,663554.47,Metro Rail,308,18.02780006581829,0,Cloudy
2026-01-14,Wednesday,Yellow Line,80233,19.4,1938058.04,Metro Rail,152,17.67919017663913,0,Cloudy
2026-01-13,Tuesday,Red Line,45312,52.7,1004413.0,Metro Rail,223,18.81478148966326,0,Clear
2026-02-05,Thursday,Violet Line,54496,36.3,1436528.43,Metro Rail,211,17.783006947261963,0,Foggy
2026-02-02,Monday,Blue Line,67774,23.7,1932642.79,Metro Rail,324,17.72946586750912,0,Foggy
2026-02-18,Wednesday,Blue Line,67590,24.4,1674554.59,Metro Rail,270,18.70030393697601,0,Foggy
2026-02-26,Thursday,Blue Line,22317,23.6,496595.96,Metro Rail,278,18.52794084563392,1,Rainy
2026-01-21,Wednesday,Violet Line,54018,54.9,1645223.63,Metro Rail,260,18.331158170525356,0,Rainy
2026-01-02,Friday,Blue Line,67512,16.1,1948453.72,Metro Rail,385,18.651769428913337,0,Rainy
2026-01-14,Wednesday,Green Line,31425,30.8,581540.34,Metro Rail,162,17.54547459836683,0,Foggy
2026-01-21,Wednesday,Green Line,31740,45.8,755357.91,Metro Rail,345,17.639983199588734,0,Smoggy
2026-01-22,Thursday,Blue Line,68142,30.8,1797260.51,Metro Rail,153,18.00619726624552,0,Cloudy
2026-01-02,Friday,Green Line,31362,22.5,829127.15,Metro Rail,361,18.816288709484848,0,Cloudy
2026-02-02,Monday,Green Line,31635,24.7,976944.34,Metro Rail,389,17.757568089711228,0,Cloudy
2026-01-22,Thursday,Violet Line,54210,39.8,1208733.37,Metro Rail,327,17.805754233766784,0,Clear
2026-02-06,Friday,Violet Line,54213,51.7,1092747.36,Metro Rail,288,18.658459323007605,0,Clear
2026-01-08,Thursday,Red Line,44824,21.1,1114016.77,Metro Rail,292,17.75229712059777,0,Foggy
2026-02-14,Saturday,Red Line,25221,41.5,695568.22,Metro Rail,243,18.644195982009368,0,Cloudy
2026-01-04,Sunday,Blue Line,22272,52.7,597919.46,Metro Rail,350,18.594186099455644,1,Clear
2026-01-27,Tuesday,Blue Line,68089,45.3,1888958.55,Metro Rail,157,17.545176910589472,0,Foggy
2026-01-10,Saturday,Blue Line,37399,39.8,685261.26,Metro Rail,180,18.62214117434092,0,Cloudy
2026-02-04,Wednesday,Green Line,31530,23.0,864067.66,Metro Rail,241,18.00930302319481,0,Cloudy
2026-01-17,Saturday,Blue Line,37476,24.2,1182977.59,Metro Rail,209,18.849215959635924,0,Cloudy
2026-01-08,Thursday,Green Line,31534,52.5,903951.8,Metro Rail,284,17.691508820825714,0,Cloudy
2026-02-27,Friday,Blue Line,67551,16.0,2046541.22,Metro Rail,365,18.9440108876984,0,Foggy
2026-02-11,Wednesday,Blue Line,67557,41.3,1462312.8,Metro Rail,254,18.064346883311913,0,Rainy
2026-02-20,Friday,Red Line,44746,30.7,1207561.59,Metro Rail,331,17.990078684994074,0,Cloudy
2026-02-17,Tuesday,Green Line,31604,27.3,822691.14,Metro Rail,194,18.46349449422998,0,Clear
2026-01-25,Sunday,Blue Line,22536,37.2,495722.16,Metro Rail,356,18.934067265930192,1,Clear
2026-02-08,Sunday,Violet Line,18088,24.3,463418.38,Metro Rail,256,17.873679428850537,1,Smoggy
2026-01-12,Monday,Blue Line,67411,26.7,1993609.91,Metro Rail,162,18.87284888106988,0,Smoggy
2026-01-15,Thursday,Violet Line,54123,16.6,1128061.86,Metro Rail,243,18.64709418634118,0,Clear
2026-01-01,Thursday,Yellow Line,80625,17.2,1722551.43,Metro Rail,362,18.65682506257086,0,Cloudy
2026-01-06,Tuesday,Yellow Line,80663,26.1,1881020.61,Metro Rail,157,18.790909372298515,0,Clear
2026-01-08,Thursday,Blue Line,67564,18.7,1706545.58,Metro Rail,227,18.108243442933667,0,Clear
2026-01-11,Sunday,Blue Line,22525,24.2,675139.22,Metro Rail,343,18.27086266055798,1,Clear
2026-01-18,Sunday,Violet Line,17886,40.5,326771.57,Metro Rail,331,18.044494249282124,1,Clear
2026-02-19,Thursday,Blue Line,67443,46.9,1553967.38,Metro Rail,248,17.85951457307264,0,Cloudy
2026-02-14,Saturday,Yellow Line,44847,22.9,1225731.26,Metro Rail,185,18.275367883234097,0,Clear
2026-02-23,Monday,Green Line,31472,16.8,661895.35,Metro Rail,309,17.819452993442965,0,Clear
2026-01-12,Monday,Red Line,44962,16.4,1114844.77,Metro Rail,241,18.90762133097036,0,Foggy
2026-01-16,Friday,Yellow Line,80812,25.3,1581723.68,Metro Rail,160,18.676267347738236,0,Foggy
2026-01-07,Wednesday,Blue Line,67416,31.6,2001808.51,Metro Rail,307,17.660142953624124,0,Foggy
2026-01-09,Friday,Yellow Line,80620,15.3,2279589.08,Metro Rail,339,18.102765872072975,0,Foggy
2026-02-16,Monday,Blue Line,67785,30.0,2024108.43,Metro Rail,348,17.61710085529461,0,Clear
2026-02-03,Tuesday,Yellow Line,81318,25.3,2204768.84,Metro Rail,347,18.62429301329669,0,Cloudy
2026-01-11,Sunday,Yellow Line,26856,34.3,584790.5,Metro Rail,344,17.525965417547766,1,Foggy
2026-02-27,Friday,Blue Line,67597,24.2,1220693.89,Metro Rail,181,18.383780870343,0,Cloudy
2026-01-19,Monday,Violet Line,53554,21.0,1275568.17,Metro Rail,238,18.658790647667445,0,Cloudy
2026-01-15,Thursday,Green Line,31464,51.1,827797.29,Metro Rail,306,17.609192141895225,0,Cloudy
2026-02-21,Saturday,Yellow Line,45338,18.0,1370122.86,Metro Rail,321,18.09981741998653,0,Cloudy
2026-02-20,Friday,Yellow Line,80602,22.3,2162000.2,Metro Rail,352,18.37618377168293,0,Foggy
2026-02-25,Wednesday,Red Line,44924,38.5,1256416.95,Metro Rail,155,17.80833914440183,0,Clear
2026-02-07,Saturday,Red Line,24605,37.6,601704.8,Metro Rail,298,18.329513778796255,0,Clear
2026-01-09,Friday,Yellow Line,81028,25.4,2276774.87,Metro Rail,295,17.69753220168721,0,Foggy
2026-01-11,Sunday,Red Line,14979,22.8,294654.68,Metro Rail,229,18.86988996892009,1,Smoggy
2026-01-26,Monday,Violet Line,17864,28.5,442962.0,Metro Rail,315,17.921384297493766,1,Clear
2026-02-15,Sunday,Yellow Line,27012,27.2,507930.19,Metro Rail,372,17.98119523434128,1,Clear
2026-02-12,Thursday,Blue Line,67350,45.9,1847899.09,Metro Rail,165,17.668937032224616,0,Cloudy
2026-02-24,Tuesday,Violet Line,53937,49.4,1193706.41,Metro Rail,151,18.393640797380133,0,Clear
2026-01-20,Tuesday,Blue Line,67624,30.5,1515321.87,Metro Rail,315,17.63941803384706,0,Clear
2026-01-25,Sunday,Blue Line,22606,35.5,518336.09,Metro Rail,282,18.863011701640932,1,Cloudy
2026-01-23,Friday,Violet Line,54130,54.3,1280689.74,Metro Rail,238,17.623701370860722,0,Cloudy
2026-01-01,Thursday,Blue Line,67291,51.3,1776573.88,Metro Rail,248,17.60701233909592,0,Clear
2026-01-29,Thursday,Blue Line,67662,50.7,2054534.45,Metro Rail,376,18.09561873275393,0,Cloudy
2026-01-16,Friday,Violet Line,53758,31.8,1016783.34,Metro Rail,191,18.64937956286733,0,Foggy
